,PLDA33~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.125,
3011.256,1.5250322,
3008.346,60.110197,
3005.435,51.185958,
3002.525,63.704978,
2999.614,69.538645,
2996.704,65.334797,
2993.793,62.370392,
2990.882,70.958942,
2987.972,84.774101,
2985.061,71.525255,
2982.151,73.710289,
2979.240,65.256165,
2976.329,85.891381,
2973.419,82.475258,
2970.508,87.291584,
2967.598,79.731626,
2964.687,83.083559,
2961.777,77.19111,
2958.866,99.209323,
2955.955,98.633849,
2953.045,104.05845,
2950.134,103.05575,
2947.224,101.01734,
2944.313,104.07728,
2941.403,112.30383,
2938.492,117.31132,
2935.581,120.875,
2932.671,122.79777,
2929.760,125.64806,
2926.850,137.67312,
2923.939,128.39839,
2921.028,131.51632,
2918.118,144.19238,
2915.207,125.81807,
2912.297,149.78191,
2909.386,134.8823,
2906.476,123.36378,
2903.565,135.22907,
2900.654,147.26327,
2897.744,141.78699,
2894.833,135.69973,
2891.923,128.766,
2889.012,128.07731,
2886.102,144.85473,
2883.191,130.88633,
2880.280,165.39176,
2877.370,147.06117,
2874.459,71.334274,
2871.549,75.374734,
2868.638,109.47083,
2865.727,114.03651,
2862.817,138.98996,
2859.906,138.48185,
2856.996,139.78443,
2854.085,161.63551,
2851.175,142.51659,
2848.264,139.728,
2845.353,130.15537,
2842.443,141.67709,
2839.532,127.45717,
2836.622,123.875,
2833.711,132.81536,
2830.801,140.875,
2827.890,133.2299,
2824.979,149.07292,
2822.069,141.02284,
2819.158,155.39522,
2816.248,145.92132,
2813.337,165.4933,
2810.427,147.83092,
2807.516,135.4075,
2804.605,145.53126,
2801.695,151.34867,
2798.784,154.35754,
2795.874,150.02012,
2792.963,132.44606,
2790.052,169.86513,
2787.142,144.112,
2784.231,152.35948,
2781.321,138.93786,
2778.410,142.36484,
2775.500,148.17259,
2772.589,157.64411,
2769.678,158.19581,
2766.768,154.38179,
2763.857,149.50699,
2760.947,152.875,
2758.036,164.73494,
2755.126,171.59295,
2752.215,165.59777,
2749.304,164.51349,
2746.394,149.47375,
2743.483,165.07499,
2740.573,164.21348,
2737.662,159.53477,
2734.751,162.13217,
2731.841,175.01053,
2728.930,169.81556,
2726.020,175.19618,
2723.109,164.10183,
2720.199,176.56261,
2717.288,167.40055,
2714.377,165.03762,
2711.467,181.49807,
2708.556,170.14111,
2705.646,169.10036,
2702.735,178.55542,
2699.825,185.0277,
2696.914,195.68502,
2694.003,187.38882,
2691.093,181.05311,
2688.182,184.14908,
2685.272,199.80388,
2682.361,180.21015,
2679.450,191.1219,
2676.540,178.91565,
2673.629,178.22031,
2670.719,182.50994,
2667.808,176.45863,
2664.898,196.61527,
2661.987,177.17463,
2659.076,189.06033,
2656.166,187.16506,
2653.255,180.98724,
2650.345,174.73888,
2647.434,180.01847,
2644.524,197.08361,
2641.613,197.47525,
2638.702,186.1275,
2635.792,199.8431,
2632.881,196.7918,
2629.971,200.47237,
2627.060,198.875,
2624.149,200.7125,
2621.239,219.40761,
2618.328,192.59558,
2615.418,204.22954,
2612.507,203.56271,
2609.597,200.70135,
2606.686,211.7967,
2603.775,209.95039,
2600.865,215.5167,
2597.954,209.11457,
2595.044,211.23195,
2592.133,205.875,
2589.223,219.2487,
2586.312,221.75438,
2583.401,225.48812,
2580.491,223.23076,
2577.580,209.87005,
2574.670,208.25869,
2571.759,211.875,
2568.848,218.46067,
2565.938,226.73222,
2563.027,212.94775,
2560.117,212.32361,
2557.206,213.06688,
2554.296,224.73312,
2551.385,230.18901,
2548.474,254.39396,
2545.564,238.69804,
2542.653,235.64346,
2539.743,228.94894,
2536.832,216.07874,
2533.922,238.68577,
2531.011,229.34979,
2528.100,238.54051,
2525.190,243.24672,
2522.279,259.03084,
2519.369,235.23389,
2516.458,218.20715,
2513.548,233.86567,
2510.637,248.19869,
2507.726,239.43634,
2504.816,243.43757,
2501.905,231.70122,
2498.995,227.54713,
2496.084,251.72865,
2493.173,238.58526,
2490.263,258.20047,
2487.352,245.58447,
2484.442,261.02061,
2481.531,257.29523,
2478.621,248.19725,
2475.710,279.81366,
2472.799,259.78993,
2469.889,233.53984,
2466.978,253.53471,
2464.068,267.40943,
2461.157,264.45249,
2458.247,261.75729,
2455.336,256.85348,
2452.425,256.09198,
2449.515,255.4696,
2446.604,264.40728,
2443.694,266.27058,
2440.783,276.54279,
2437.872,262.51035,
2434.962,251.03629,
2432.051,260.99256,
2429.141,271.89271,
2426.230,272.67943,
2423.320,277.38896,
2420.409,282.93284,
2417.498,286.02951,
2414.588,273.98537,
2411.677,270.3053,
2408.767,282.63386,
2405.856,287.22023,
2402.946,283.0296,
2400.035,275.37969,
2397.124,309.50604,
2394.214,290.66059,
2391.303,292.40549,
2388.393,286.59362,
2385.482,289.83094,
2382.571,261.67204,
2379.661,266.57284,
2376.750,264.18773,
2373.840,289.56243,
2370.929,304.75587,
2368.019,307.21307,
2365.108,289.89856,
2362.197,294.04215,
2359.287,297.27834,
2356.376,302.86443,
2353.466,308.08734,
2350.555,304.08497,
2347.645,306.42731,
2344.734,314.39114,
2341.823,307.02425,
2338.913,325.52719,
2336.002,302.81984,
2333.092,320.86366,
2330.181,314.62947,
2327.270,313.93001,
2324.360,331.42922,
2321.449,340.11988,
2318.539,325.91782,
2315.628,332.05965,
2312.718,320.62609,
2309.807,337.42151,
2306.896,337.3163,
2303.986,320.09583,
2301.075,326.875,
2298.165,342.83684,
2295.254,327.30586,
2292.344,337.03267,
