,PLDD2F~1,
Wavenumbers [1/cm],Intensity,
3014.167,-5.125,
3011.256,1.7749785,
3008.346,19.956623,
3005.435,-11.584361,
3002.525,10.762584,
2999.614,3.8256545,
2996.704,5.5121139,
2993.793,2.1319121,
2990.882,6.4780024,
2987.972,16.789236,
2985.061,2.0917516,
2982.151,6.636346,
2979.240,3.9900083,
2976.329,7.6154445,
2973.419,13.875,
2970.508,21.891624,
2967.598,-5.6948794,
2964.687,16.724863,
2961.777,-4.3646847,
2958.866,17.55107,
2955.955,0.32190847,
2953.045,0.54392183,
2950.134,18.087831,
2947.224,6.2450946,
2944.313,14.380698,
2941.403,10.613138,
2938.492,11.725946,
2935.581,15.213637,
2932.671,16.836386,
2929.760,27.617313,
2926.850,6.2336486,
2923.939,3.875,
2921.028,17.745728,
2918.118,19.254092,
2915.207,-2.8403724,
2912.297,15.752292,
2909.386,25.473541,
2906.476,15.200855,
2903.565,13.569078,
2900.654,5.4867281,
2897.744,7.9755777,
2894.833,4.7411856,
2891.923,-5.4486976,
2889.012,-9.9226864,
2886.102,-5.2263357,
2883.191,-55.087239,
2880.280,-39.311619,
2877.370,-186.71766,
2874.459,-290.32592,
2871.549,-172.32159,
2868.638,-63.028144,
2865.727,-36.151918,
2862.817,-20.638384,
2859.906,-24.073724,
2856.996,-4.1431148,
2854.085,18.360327,
2851.175,10.516587,
2848.264,3.2328336,
2845.353,12.918134,
2842.443,13.277785,
2839.532,10.098885,
2836.622,22.206382,
2833.711,13.926807,
2830.801,13.07647,
2827.890,13.771862,
2824.979,22.084978,
2822.069,17.000093,
2819.158,23.694403,
2816.248,22.104736,
2813.337,33.493303,
2810.427,22.044415,
2807.516,11.35719,
2804.605,23.24038,
2801.695,12.914466,
2798.784,9.875,
2795.874,4.5794724,
2792.963,8.73202,
2790.052,16.872641,
2787.142,24.625116,
2784.231,23.392098,
2781.321,10.560699,
2778.410,8.3648432,
2775.500,14.172585,
2772.589,14.02943,
2769.678,22.410838,
2766.768,17.00509,
2763.857,22.453034,
2760.947,11.856087,
2758.036,18.193528,
2755.126,23.16346,
2752.215,21.193247,
2749.304,13.662784,
