,PLE17F~1,
Wavenumbers [1/cm],Intensity,
3014.167,1,
3011.256,0.10002147,
3008.346,27.769049,
3005.435,10.388698,
3002.525,21.282438,
2999.614,7.901309,
2996.704,9.2298986,
2993.793,12.743088,
2990.882,21.389295,
2987.972,24.954595,
2985.061,17.773401,
2982.151,15.596635,
2979.240,24.115008,
2976.329,28.49181,
2973.419,29.399742,
2970.508,34.45003,
2967.598,11.426506,
2964.687,13.372282,
2961.777,18.034087,
2958.866,34.007424,
2955.955,30.829637,
2953.045,23.384799,
2950.134,28.542262,
2947.224,12.96794,
2944.313,38.809116,
2941.403,29.130931,
2938.492,28.138209,
2935.581,36.564396,
2932.671,39.600866,
2929.760,40.792303,
2926.850,52.216164,
2923.939,40.397175,
2921.028,43.064636,
2918.118,44.639798,
2915.207,35.936621,
2912.297,46.932299,
2909.386,41.204378,
2906.476,37.356749,
2903.565,46.677034,
2900.654,46.270991,
2897.744,49.2263,
2894.833,59.989821,
2891.923,45.945498,
2889.012,55.329481,
2886.102,61.959466,
2883.191,67.99056,
2880.280,102.39234,
2877.370,83.377968,
2874.459,26.710627,
2871.549,25.052743,
2868.638,43.455661,
2865.727,22.87304,
2862.817,53.300789,
2859.906,27.304833,
2856.996,62.456977,
2854.085,61.436956,
2851.175,44.807266,
2848.264,39.421664,
2845.353,41.237237,
2842.443,48.406267,
2839.532,46.104459,
2836.622,47.634767,
2833.711,46.836744,
2830.801,43.108085,
2827.890,47.793724,
2824.979,50.296053,
2822.069,40.159209,
2819.158,52.479783,
2816.248,44.023159,
2813.337,55.845131,
2810.427,48.081259,
2807.516,52.949688,
2804.605,49.656257,
2801.695,52.644722,
2798.784,44.221769,
2795.874,44.564635,
2792.963,41.999785,
2790.052,42.998713,
2787.142,45.171193,
2784.231,46.517098,
2781.321,46.874279,
2778.410,48.319791,
2775.500,44.57552,
2772.589,44.577215,
2769.678,53.641616,
2766.768,50.883484,
2763.857,50.894026,
2760.947,43.490544,
2758.036,53.859944,
2755.126,55,
2752.215,59.786423,
2749.304,59.638494,
2746.394,56.116911,
2743.483,66.749988,
2740.573,63.676968,
2737.662,45.690821,
2734.751,53.068095,
2731.841,51.35165,
2728.930,52.673712,
2726.020,61.117477,
2723.109,62.453667,
2720.199,61.706282,
2717.288,60.806572,
2714.377,62.25836,
2711.467,56.83626,
2708.556,51.648842,
2705.646,49.084492,
2702.735,71.822157,
2699.825,59.043628,
2696.914,73.19093,
2694.003,64.413004,
2691.093,71.321303,
2688.182,67.236296,
2685.272,68.601708,
2682.361,61.635371,
2679.450,64.370346,
2676.540,58.040648,
2673.629,63.650204,
2670.719,67.788353,
2667.808,59.340449,
2664.898,69.895911,
2661.987,68.53309,
2659.076,68.601286,
2656.166,67.822514,
2653.255,66.037415,
2650.345,65,
2647.434,43.00086,
2644.524,73.455628,
2641.613,76.485859,
2638.702,78.015781,
2635.792,70.686942,
2632.881,68.071545,
2629.971,76.087328,
2627.060,78.499064,
2624.149,78.65001,
2621.239,76.76334,
2618.328,60.466259,
2615.418,70.668181,
2612.507,78.067164,
2609.597,54.846306,
2606.686,58.232957,
2603.775,77.757933,
2600.865,71,
2597.954,74.143742,
2595.044,75.678476,
2592.133,69.942644,
2589.223,78.698957,
2586.312,79,
2583.401,65.981709,
2580.491,71.052826,
2577.580,80.968643,
2574.670,63.106949,
2571.759,81.414374,
2568.848,80.828661,
2565.938,98.095372,
2563.027,82.195441,
2560.117,74.560723,
2557.206,77.040589,
2554.296,78.455377,
2551.385,74.066031,
2548.474,97.704093,
2545.564,90.506488,
2542.653,94.620803,
2539.743,93.580097,
2536.832,87,
2533.922,91.984231,
2531.011,94.024744,
2528.100,92.404152,
2525.190,87.952868,
2522.279,85.906204,
2519.369,84.905606,
2516.458,78.660766,
2513.548,89.79975,
2510.637,91.614827,
2507.726,97.565047,
2504.816,90.562571,
2501.905,86.130488,
2498.995,85.955503,
2496.084,100.08013,
2493.173,88.052317,
2490.263,101.53902,
2487.352,94.791333,
2484.442,89.145613,
2481.531,92.265905,
2478.621,97,
2475.710,98.038339,
2472.799,98.560587,
2469.889,93.725779,
2466.978,90.732074,
2464.068,87.915351,
2461.157,82.694933,
2458.247,93.147049,
2455.336,97.935428,
2452.425,101,
2449.515,103.52806,
2446.604,93.705064,
2443.694,87.441593,
2440.783,111.14865,
2437.872,98.474044,
2434.962,107.58526,
2432.051,97.024673,
2429.141,93.864733,
2426.230,95.804427,
2423.320,103.29958,
2420.409,114.19244,
2417.498,112.57305,
2414.588,92.022931,
2411.677,98.251008,
2408.767,102.72343,
2405.856,111.00945,
2402.946,109.51743,
2400.035,124.37561,
2397.124,111.23529,
2394.214,119.7024,
2391.303,112.71274,
2388.393,96.309272,
2385.482,118.76627,
2382.571,92.645318,
2379.661,94.674533,
2376.750,99.627982,
2373.840,115.70623,
2370.929,122.93502,
2368.019,108.38547,
2365.108,108.41885,
2362.197,105.40274,
2359.287,119.36992,
2356.376,127.99119,
2353.466,115.22777,
2350.555,107.60499,
2347.645,107,
2344.734,116.45624,
2341.823,107.199,
2338.913,129.20445,
2336.002,111.82053,
2333.092,113.80471,
2330.181,104.47316,
2327.270,102.05501,
2324.360,120.41978,
2321.449,132.44557,
2318.539,133.68198,
2315.628,118.28696,
2312.718,115.94934,
2309.807,117.43458,
2306.896,131.45696,
2303.986,119.35069,
2301.075,125,
2298.165,138.56756,
2295.254,114.6032,
2292.344,122.46882,
2289.433,132.60227,
2286.522,127.80794,
2283.612,143.14031,
2280.701,138.94172,
2277.791,118.08015,
2274.880,117.64604,
2271.969,114.80247,
2269.059,126.79292,
2266.148,118.05676,
2263.238,121.19691,
2260.327,140.34461,
2257.417,122.03278,
2254.506,139.0456,
2251.595,134.7237,
2248.685,140.99418,
2245.774,129.7805,
2242.864,146.10223,
2239.953,155.17254,
2237.043,125.37608,
2234.132,134.27264,
2231.221,145.73641,
2228.311,138.78093,
2225.400,158.94371,
2222.490,151.80119,
2219.579,135.49618,
2216.669,154.96661,
2213.758,148.30194,
2210.847,147.44835,
2207.937,162.42995,
2205.026,151.99941,
2202.116,166.68896,
2199.205,164.23741,
2196.294,159.25602,
2193.384,151.8685,
2190.473,152.71596,
2187.563,187.88883,
2184.652,164.09633,
2181.742,157.81804,
2178.831,152.36186,
2175.920,157.1603,
2173.010,192.72732,
2170.099,171.07042,
2167.189,185.99282,
2164.278,187.05427,
2161.368,203.2852,
2158.457,213.15275,
2155.546,197.98555,
2152.636,190.48403,
2149.725,206.14764,
2146.815,213.83316,
2143.904,210.70631,
2140.993,219.24876,
2138.083,203.56532,
2135.172,214.5042,
2132.262,216.50352,
2129.351,216.48965,
2126.441,225.71848,
2123.530,226.98878,
2120.619,225.31196,
2117.709,217.83575,
2114.798,203.56148,
2111.888,196.53743,
2108.977,202.45033,
2106.067,182.24867,
2103.156,192.5967,
2100.245,185.99122,
2097.335,174.89005,
2094.424,191.21301,
2091.514,173.49729,
2088.603,178.9677,
2085.692,183.49818,
2082.782,179.70682,
2079.871,207.92998,
2076.961,210.25831,
2074.050,227.59394,
2071.140,197.90821,
2068.229,186.1836,
2065.318,192.80326,
2062.408,196.65886,
2059.497,206.44051,
2056.587,208.65135,
2053.676,199.91692,
2050.766,203.6151,
2047.855,206.23107,
2044.944,183.72435,
2042.034,202.78606,
2039.123,193.48148,
2036.213,213.30669,
2033.302,227.60858,
2030.391,229.49165,
2027.481,227,
2024.570,221.10016,
2021.660,198.35997,
2018.749,238.70832,
2015.839,207.21063,
2012.928,214.77013,
2010.017,213.67535,
2007.107,214.67477,
2004.196,226.21432,
2001.286,239.83391,
1998.375,227.69094,
1995.465,224.14643,
1992.554,237.27048,
1989.643,245.75805,
1986.733,238.92982,
1983.822,224.79616,
1980.912,249.67292,
1978.001,231.23747,
1975.090,221.00763,
1972.180,218.96542,
1969.269,232.45406,
1966.359,230.97283,
1963.448,260.79526,
1960.538,231.8015,
1957.627,215.75851,
1954.716,223.74146,
1951.806,273.01288,
1948.895,232.95955,
1945.985,226.35294,
1943.074,253.03693,
1940.164,244.08645,
1937.253,240.87383,
1934.342,231.88022,
1931.432,228.96846,
1928.521,235.70121,
1925.611,225.62997,
1922.700,251.28314,
1919.790,259.86126,
1916.879,236.74374,
1913.968,253.97664,
1911.058,279.88588,
1908.147,253.58689,
1905.237,268.66171,
1902.326,242.38369,
1899.415,255.12682,
1896.505,239.78314,
1893.594,251.44821,
1890.684,246.44456,
1887.773,236.35329,
1884.863,260.1344,
1881.952,279.36992,
1879.041,271.65265,
1876.131,263.92811,
1873.220,249.92473,
1870.310,288.84298,
1867.399,291.01599,
1864.489,240.44091,
1861.578,277.96139,
1858.667,293.77248,
1855.757,270.81504,
1852.846,258.27178,
1849.936,265.86087,
1847.025,255.41119,
1844.114,269.26592,
1841.204,287.8042,
1838.293,283.01164,
1835.383,274.907,
1832.472,294.16348,
1829.562,306.08359,
1826.651,286.53801,
1823.740,279.45594,
1820.830,296.97653,
1817.919,281.64059,
1815.009,279.5687,
1812.098,283.59055,
1809.188,318.70535,
1806.277,279.92954,
1803.366,290.35119,
1800.456,253.81359,
1797.545,285,
1794.635,285.129,
1791.724,290.45625,
1788.813,314.4018,
1785.903,316.48258,
1782.992,313.31597,
1780.082,322.14193,
1777.171,268.65523,
1774.261,247.53543,
1771.350,284.60425,
1768.439,302.30043,
1765.529,319.27127,
1762.618,307.58437,
1759.708,306.02175,
1756.797,334.43182,
1753.887,350.10204,
1750.976,345.76898,
1748.065,345.77112,
1745.155,343.08388,
1742.244,337.36504,
1739.334,337.05412,
1736.423,364.14202,
1733.512,376.45529,
1730.602,372.5119,
1727.691,327.24335,
1724.781,373.77982,
1721.870,372.29513,
1718.960,397.60036,
1716.049,393.9323,
1713.138,378.32007,
1710.228,364.68614,
1707.317,386.88343,
1704.407,388.20321,
1701.496,411.70024,
1698.586,377.96461,
1695.675,424.59256,
1692.764,412.85245,
1689.854,387.12597,
1686.943,404.35921,
1684.033,423.52811,
1681.122,428.91504,
1678.211,410.18083,
1675.301,469.815,
1672.390,427.92822,
1669.480,404.23264,
1666.569,433.49514,
1663.659,471.88567,
1660.748,464.82646,
1657.837,456.52487,
1654.927,479.29713,
1652.016,449.9757,
1649.106,449.29377,
1646.195,461.93508,
1643.285,501.23047,
1640.374,553.10105,
1637.463,511.43235,
1634.553,535.31034,
1631.642,556.22802,
1628.732,577.07703,
1625.821,590.01636,
1622.911,614.85912,
1620.000,625.86141,
1617.089,659.32338,
1614.179,677.49238,
1611.268,706.88466,
1608.358,748.03343,
1605.447,773.57162,
1602.536,765.68113,
1599.626,794.43785,
1596.715,794.2772,
1593.805,770.74737,
1590.894,777.68737,
1587.984,850.88564,
1585.073,774.36587,
1582.162,791.56056,
1579.252,766.90456,
1576.341,789.63935,
1573.431,750.00955,
1570.520,708.71805,
1567.610,693.29401,
1564.699,705.5006,
1561.788,727.90125,
1558.878,728.85513,
1555.967,697.59142,
1553.057,704.68944,
1550.146,669.68011,
1547.235,646.49359,
1544.325,665.70383,
1541.414,689.96137,
1538.504,703.56901,
1535.593,687.49725,
1532.683,652.83999,
1529.772,659.14962,
1526.861,688.98836,
1523.951,693.08169,
1521.040,706.71285,
1518.130,726.82569,
1515.219,764.27998,
1512.309,751.37383,
1509.398,712.36308,
1506.487,721.36219,
1503.577,723.14695,
1500.666,723.5523,
1497.756,723.66147,
1494.845,765.87884,
1491.934,714.78267,
1489.024,648.37067,
1486.113,731.30383,
1483.203,728.23016,
1480.292,677.78633,
1477.382,693.24745,
