,PLF62F~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.125,
3011.256,-0.22502147,
3008.346,17.05759,
3005.435,-4.4288822,
3002.525,6.7424496,
2999.614,13.726963,
2996.704,15.379126,
2993.793,0.49423993,
2990.882,8.264295,
2987.972,26.753921,
2985.061,7.3085032,
2982.151,19.039711,
2979.240,14.558461,
2976.329,18.38319,
2973.419,15.875,
2970.508,20.191644,
2967.598,6.875,
2964.687,6.3974185,
2961.777,-2.2789291,
2958.866,31.546616,
2955.955,18.045363,
2953.045,11.09426,
2950.134,22.598016,
2947.224,19.988875,
2944.313,25.223291,
2941.403,13.838961,
2938.492,25.427837,
2935.581,30.256568,
2932.671,21.797772,
2929.760,26.786524,
2926.850,16.979511,
2923.939,22.113305,
2921.028,31.72798,
2918.118,32.694899,
2915.207,19.514087,
2912.297,37.760755,
2909.386,24.101269,
2906.476,18.751426,
2903.565,14.971293,
2900.654,25.93364,
2897.744,32.786995,
2894.833,25.875,
2891.923,23.442299,
2889.012,25.453036,
2886.102,38.042573,
2883.191,-3.0891274,
2880.280,46.329551,
2877.370,-36.310751,
2874.459,-88.426782,
2871.549,-45.098362,
2868.638,-33.716745,
2865.727,3.5057756,
2862.817,13.261353,
2859.906,15.216879,
2856.996,23.350092,
2854.085,43.839313,
2851.175,19.447275,
2848.264,25.159333,
2845.353,23.220072,
2842.443,40.472215,
2839.532,30.457165,
2836.622,22.633463,
2833.711,32.659937,
2830.801,27.08382,
2827.890,34.539315,
2824.979,31.220943,
2822.069,36.034209,
2819.158,47.21462,
2816.248,42.127895,
2813.337,33.606717,
2810.427,27.346064,
2807.516,32.299532,
2804.605,29.50962,
2801.695,37.572372,
2798.784,26.836,
2795.874,31.729878,
2792.963,29.374893,
2790.052,33.873499,
2787.142,35.888347,
2784.231,40.972845,
2781.321,28.434978,
2778.410,26.439713,
2775.500,31.343276,
2772.589,34.722088,
2769.678,47.482515,
2766.768,28.830316,
2763.857,36.40294,
2760.947,44.340327,
2758.036,36.333583,
2755.126,45.973288,
2752.215,41.065948,
2749.304,41.258097,
2746.394,35.568529,
2743.483,46.824979,
2740.573,38.454592,
2737.662,45.524414,
2734.751,32.200268,
2731.841,39.794417,
2728.930,34.997854,
2726.020,44.436343,
2723.109,37.349418,
2720.199,41.150043,
2717.288,37.59398,
2714.377,55.549763,
2711.467,45.317853,
2708.556,36.960052,
2705.646,43.100363,
2702.735,65.042526,
2699.825,55.114957,
2696.914,50.351372,
2694.003,54.875,
2691.093,50.856955,
2688.182,50.457223,
2685.272,50.556366,
2682.361,44.510371,
2679.450,46.53753,
2676.540,38.200185,
2673.629,45.910918,
2670.719,42.079259,
2667.808,44.118178,
2664.898,52.017999,
2661.987,52.941844,
2659.076,52.019402,
2656.166,47.922657,
2653.255,42.725342,
2650.345,47.659029,
2647.434,37.64665,
2644.524,46.647186,
2641.613,47.189268,
2638.702,54.748752,
2635.792,56.750372,
2632.881,49.25603,
2629.971,48.492466,
2627.060,43.040939,
2624.149,54.846867,
2621.239,58.117589,
2618.328,42.875,
2615.418,49.179553,
2612.507,60.633898,
2609.597,43.527694,
2606.686,53.875,
2603.775,59.636908,
2600.865,59.75894,
2597.954,44.641625,
2595.044,58.553476,
2592.133,53.429115,
2589.223,56.332899,
2586.312,56.337329,
2583.401,49.323907,
2580.491,59.312474,
2577.580,51.866748,
2574.670,44.661102,
2571.759,52.637834,
2568.848,54.819705,
2565.938,63.303612,
2563.027,53.850025,
2560.117,47.510515,
2557.206,47.875,
2554.296,56.733124,
2551.385,59.122982,
2548.474,75.171658,
2545.564,73.191555,
2542.653,73.338087,
2539.743,70.924291,
2536.832,54.792752,
2533.922,67.859231,
2531.011,69.624767,
2528.100,64.080536,
2525.190,73.429916,
2522.279,89.843244,
2519.369,67.365657,
2516.458,57.203613,
2513.548,68.056591,
2510.637,80.120931,
2507.726,82.001389,
2504.816,67.748728,
2501.905,70.42561,
2498.995,78.994438,
2496.084,78.422024,
2493.173,65.690562,
2490.263,83.807241,
2487.352,67.167133,
2484.442,73.305409,
2481.531,66.082505,
2478.621,60.107225,
2475.710,86.775319,
2472.799,70.422123,
2469.889,68.600779,
2466.978,71.380216,
2464.068,61.213598,
2461.157,73.799952,
2458.247,76.330818,
2455.336,78.107888,
2452.425,73.068386,
2449.515,70.696218,
2446.604,86.292083,
2443.694,74.386504,
2440.783,76.733108,
2437.872,75.09379,
2434.962,75.358879,
2432.051,66.214624,
2429.141,76.433778,
2426.230,83.483853,
2423.320,88.189245,
2420.409,75.503481,
2417.498,72.816036,
2414.588,71.342748,
2411.677,55.771458,
2408.767,83.416337,
2405.856,95.751181,
2402.946,84.184206,
2400.035,76.076877,
2397.124,77.762701,
2394.214,80.767795,
2391.303,88.339092,
2388.393,81.156379,
2385.482,75.051247,
2382.571,89.44545,
2379.661,56.665792,
2376.750,66.397053,
2373.840,87.718714,
2370.929,90.86417,
2368.019,79.80233,
2365.108,90.642016,
2362.197,92.485948,
2359.287,97.261631,
2356.376,98.875,
2353.466,101.33053,
2350.555,87.665028,
2347.645,95.387574,
2344.734,93.570838,
2341.823,100.72575,
2338.913,95.940678,
2336.002,103.47067,
2333.092,98.300456,
2330.181,108.22789,
2327.270,80.800186,
2324.360,94.068406,
2321.449,89.844391,
2318.539,94.428522,
2315.628,91.992904,
2312.718,88.108479,
2309.807,114.21657,
2306.896,117.1113,
2303.986,118.40103,
2301.075,115.76866,
2298.165,120.04829,
2295.254,98.413576,
2292.344,109.24431,
2289.433,102.85182,
2286.522,104.57583,
2283.612,117.39542,
2280.701,121.60594,
2277.791,112.19373,
2274.880,100.79691,
2271.969,114.23302,
2269.059,119.16384,
2266.148,109.17717,
2263.238,103.67423,
2260.327,112.5991,
2257.417,109.34944,
2254.506,121.79812,
2251.595,111.61334,
2248.685,108.81532,
2245.774,101.35875,
2242.864,112.61565,
2239.953,112.51631,
2237.043,117.86144,
2234.132,108.52694,
2231.221,123.37636,
2228.311,137.57344,
2225.400,125.79056,
2222.490,121.76097,
2219.579,122.00356,
2216.669,135.35831,
2213.758,121.9155,
2210.847,110.45687,
2207.937,137.69418,
2205.026,127.31902,
2202.116,136.51513,
2199.205,133.99971,
2196.294,138.751,
2193.384,137.1645,
2190.473,126.57922,
2187.563,146.79766,
2184.652,131.92928,
2181.742,132.55616,
2178.831,127.78943,
2175.920,137.29212,
2173.010,162.97704,
2170.099,157.27678,
2167.189,144.11179,
2164.278,173.35339,
2161.368,154.87476,
2158.457,159.02775,
2155.546,175.25292,
2152.636,169.36442,
2149.725,173.35821,
2146.815,174.90837,
2143.904,173.17982,
2140.993,185.1078,
2138.083,188.06344,
2135.172,187.41279,
2132.262,179.11972,
2129.351,185.18195,
2126.441,192.29249,
2123.530,183.99846,
2120.619,193.22369,
2117.709,180.50181,
2114.798,174.26347,
2111.888,164.62545,
2108.977,162.50414,
2106.067,153.98258,
2103.156,162.19269,
2100.245,150.87563,
2097.335,153.44044,
2094.424,162.48151,
2091.514,155.94759,
2088.603,155.02709,
2085.692,156.01252,
2082.782,163.82276,
2079.871,164.23206,
2076.961,160.13331,
2074.050,184.6447,
2071.140,139.90956,
2068.229,144.12758,
2065.318,168.875,
2062.408,169.85987,
2059.497,179.89287,
2056.587,172.39847,
2053.676,172.59132,
2050.766,193.25841,
2047.855,171.13454,
2044.944,149.33332,
2042.034,170.69001,
2039.123,174.35648,
2036.213,180.47274,
2033.302,185.09216,
2030.391,191.4345,
2027.481,204.2407,
2024.570,192.17547,
2021.660,177.58455,
2018.749,185.10294,
2015.839,188.05019,
2012.928,173.09312,
2010.017,178.68064,
2007.107,177.08623,
2004.196,182.70831,
2001.286,200.64881,
1998.375,194.60727,
1995.465,166.78304,
1992.554,178.5278,
1989.643,196.32198,
1986.733,199.0557,
1983.822,174.91562,
1980.912,211.57697,
1978.001,180.53549,
1975.090,198.29637,
1972.180,179.73805,
1969.269,183.02735,
1966.359,183.49649,
1963.448,208.55665,
1960.538,189.84914,
1957.627,180.20008,
1954.716,183.76009,
1951.806,219.18594,
1948.895,186.10983,
1945.985,184.55147,
1943.074,193.82711,
1940.164,173.40368,
1937.253,166.76181,
1934.342,177.89211,
1931.432,183.91601,
1928.521,186.875,
1925.611,193.36195,
1922.700,196.66644,
1919.790,183.95607,
1916.879,183.7355,
1913.968,176.88361,
1911.058,221.83595,
1908.147,181.79765,
1905.237,191.94112,
1902.326,169.06016,
1899.415,188.48839,
1896.505,137.60373,
1893.594,133.40861,
1890.684,155.32599,
1887.773,167.73672,
1884.863,200.19846,
1881.952,200.32012,
1879.041,185.79712,
1876.131,192.64755,
1873.220,184.41478,
1870.310,202.36824,
1867.399,204.85901,
1864.489,151.74429,
1861.578,200.77038,
1858.667,222.27325,
1855.757,184.27357,
1852.846,187.13141,
1849.936,192.99111,
1847.025,189.40786,
1844.114,197.21155,
1841.204,237.73864,
1838.293,232.39579,
1835.383,195.28252,
1832.472,212.82978,
1829.562,222.26614,
1826.651,212.19122,
1823.740,203.13935,
1820.830,216.07987,
