,PLF7FD~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.125,
3011.256,1.7750322,
3008.346,42.379541,
3005.435,21.435958,
3002.525,33.162472,
2999.614,47.837991,
2996.704,35.133253,
2993.793,44.629608,
2990.882,45.079177,
2987.972,48.07455,
2985.061,41.228452,
2982.151,52.170384,
2979.240,48.758078,
2976.329,53.13046,
2973.419,61.309596,
2970.508,67.058307,
2967.598,54.551506,
2964.687,48.378396,
2961.777,57.748968,
2958.866,69.139847,
2955.955,68.855063,
2953.045,70.142907,
2950.134,75.486508,
2947.224,61.722845,
2944.313,77.630698,
2941.403,82.553831,
2938.492,78.092464,
2935.581,80.028033,
2932.671,86.927599,
2929.760,87.828827,
2926.850,93.236653,
2923.939,77.568955,
2921.028,100.34301,
2918.118,98.883183,
2915.207,81.181926,
2912.297,89.082687,
2909.386,88.752729,
2906.476,94.481749,
2903.565,87.963517,
2900.654,90.513272,
2897.744,93.974133,
2894.833,83.36209,
2891.923,81.070498,
2889.012,75.783961,
2886.102,89.043931,
2883.191,57.147656,
2880.280,110.6561,
2877.370,57.258905,
2874.459,30.778993,
2871.549,14.559204,
2868.638,54.219812,
2865.727,65.917285,
2862.817,65.653083,
2859.906,77.036678,
2856.996,92.08877,
2854.085,115.96957,
2851.175,86.649092,
2848.264,92.620165,
2845.353,85.275969,
2842.443,90.927089,
2839.532,98.438376,
2836.622,87.669922,
2833.711,90.384034,
2830.801,98.72206,
2827.890,98.041079,
2824.979,89.34704,
2822.069,110.23872,
2819.158,118.22473,
2816.248,98.688687,
2813.337,119.65062,
2810.427,105.25723,
2807.516,91.182658,
2804.605,108.16827,
2801.695,106.50656,
2798.784,94.494615,
2795.874,94.96931,
2792.963,99.41053,
2790.052,102.1235,
2787.142,112.80931,
2784.231,110.35172,
2781.321,93.319345,
2778.410,106.97526,
2775.500,101.89086,
2772.589,109.77867,
2769.678,113.1591,
2766.768,114.44344,
2763.857,122.22712,
2760.947,104.17543,
2758.036,123.13781,
2755.126,115.65278,
2752.215,115.22967,
2749.304,124.125,
2746.394,119.4536,
2743.483,133.07498,
2740.573,130.9148,
2737.662,118.23151,
2734.751,118.47446,
2731.841,120.23306,
2728.930,112.5147,
2726.020,133.90567,
2723.109,116.62017,
2720.199,128.75318,
2717.288,123.38778,
2714.377,136.57484,
2711.467,130.91181,
2708.556,122.65721,
2705.646,120.57573,
2702.735,139.125,
2699.825,133.25589,
2696.914,126.31545,
2694.003,130.09736,
2691.093,124.46435,
2688.182,132.23463,
2685.272,149.29286,
2682.361,123.00164,
2679.450,134.23604,
2676.540,118.42986,
2673.629,127.15194,
2670.719,127.32926,
2667.808,136.97909,
2664.898,141.16391,
2661.987,145.25836,
2659.076,140.01509,
2656.166,145.28523,
2653.255,127.79337,
2650.345,135.66947,
2647.434,131.04012,
2644.524,157.87798,
2641.613,152.49646,
2638.702,157.06188,
2635.792,148.0931,
2632.881,156.01186,
2629.971,152.89007,
2627.060,154.95781,
2624.149,159.58437,
2621.239,166.13686,
2618.328,137.125,
2615.418,143.42955,
2612.507,154.26335,
2609.597,145.85953,
2606.686,159.56676,
2603.775,153.60516,
2600.865,158.71205,
2597.954,151.1312,
2595.044,164.187,
2592.133,144.01029,
2589.223,157.9566,
2586.312,156.68779,
2583.401,163.28921,
2580.491,171.37015,
2577.580,148.1349,
2574.670,151.63436,
2571.759,159.43835,
2568.848,161.2465,
2565.938,174.07745,
2563.027,162.29547,
2560.117,154.04088,
2557.206,177.34271,
2554.296,175.09525,
2551.385,169.687,
2548.474,198.68114,
2545.564,176.2646,
2542.653,203.05117,
2539.743,192.79136,
2536.832,171.57359,
2533.922,179.01462,
2531.011,180.3743,
2528.100,182.9333,
2525.190,177.19303,
2522.279,200.56222,
2519.369,185.80445,
2516.458,178.68095,
2513.548,176.69776,
2510.637,198.87907,
2507.726,194.50046,
2504.816,191.99986,
2501.905,183.82073,
2498.995,186.06528,
2496.084,188.19122,
2493.173,189.59851,
2490.263,200.28209,
2487.352,203.29193,
2484.442,205.13143,
2481.531,199.07182,
2478.621,198.89278,
2475.710,196.17101,
2472.799,198.91876,
2469.889,196.88125,
2466.978,195.74365,
2464.068,202.65943,
2461.157,197.35502,
2458.247,201.37508,
2455.336,207.16805,
2452.425,196.2099,
2449.515,213.5304,
2446.604,206.00285,
2443.694,209.05509,
2440.783,211.79279,
2437.872,225.35924,
2434.962,202.76095,
2432.051,209.29191,
2429.141,223.125,
2426.230,209.10287,
2423.320,206.9958,
2420.409,227.45203,
2417.498,216.33005,
2414.588,221.6649,
2411.677,204.30832,
2408.767,229.29528,
2405.856,221.78922,
2402.946,233.38684,
2400.035,224.03344,
2397.124,218.47259,
2394.214,228.8006,
2391.303,227.05318,
2388.393,226.125,
2385.482,235.68438,
2382.571,235.44125,
2379.661,230.59032,
2376.750,228.48942,
2373.840,241.125,
2370.929,259.91924,
2368.019,249.9686,
2365.108,238.80039,
2362.197,234.50037,
2359.287,250.09993,
2356.376,251.12852,
2353.466,260.79287,
2350.555,248.6552,
2347.645,248.83627,
2344.734,239.1849,
2341.823,238.125,
2338.913,245.83545,
2336.002,260.62011,
2333.092,264.91837,
2330.181,256.14289,
2327.270,241.06009,
2324.360,265.18397,
2321.449,259.44813,
2318.539,260.6357,
2315.628,265.30965,
2312.718,271.5413,
2309.807,270.42295,
2306.896,283.84174,
2303.986,271.56007,
2301.075,276.44413,
2298.165,274.33645,
2295.254,252.5774,
