,PLF965~1,
Wavenumbers [1/cm],Intensity,
3014.167,3.875,
3011.256,1.1249463,
3008.346,66.807296,
3005.435,59.532248,
3002.525,75.875,
2999.614,68.875,
2996.704,70.919329,
2993.793,72.11348,
2990.882,80.875,
2987.972,95.84473,
2985.061,91.648401,
2982.151,95.636346,
2979.240,87.990008,
2976.329,90.112714,
2973.419,105.24419,
2970.508,113.6583,
2967.598,105.97058,
2964.687,110.74049,
2961.777,103.90909,
2958.866,113.55255,
2955.955,126.9524,
2953.045,127.40743,
2950.134,119.66217,
2947.224,129.07428,
2944.313,139.91987,
2941.403,132.70803,
2938.492,146.27878,
2935.581,144.7351,
2932.671,141.91794,
2929.760,155.80577,
2926.850,156.77049,
2923.939,137.875,
2921.028,152.51632,
2918.118,153.89389,
2915.207,140.16608,
2912.297,161.76922,
2909.386,161.69251,
2906.476,155.16996,
2903.565,153.60018,
2900.654,162.03982,
2897.744,166.81214,
2894.833,154.04009,
2891.923,159.90391,
2889.012,140.95015,
2886.102,156.39798,
2883.191,123.8986,
2880.280,138.42045,
2877.370,78.212362,
2874.459,-7.6152968,
2871.549,57.809469,
2868.638,131.1533,
2865.727,134.53269,
2862.817,144.07553,
2859.906,144.83795,
2856.996,168.37274,
2854.085,191.7616,
2851.175,168.56477,
2848.264,157.169,
2845.353,158.30634,
2842.443,173.88196,
2839.532,174.86003,
2836.622,159.39193,
2833.711,175.23765,
2830.801,164.78897,
2827.890,175.9397,
2824.979,175.31908,
2822.069,181.89774,
2819.158,181.21462,
2816.248,182.10474,
2813.337,185.62744,
2810.427,172.05131,
2807.516,172.08359,
2804.605,171.3702,
2801.695,189.44079,
2798.784,176.90992,
2795.874,167.14411,
2792.963,177.73202,
2790.052,195.8705,
2787.142,180.30942,
2784.231,184.42471,
2781.321,172.06934,
2778.410,180.74557,
2775.500,173.23603,
2772.589,180.37576,
2769.678,192.80332,
2766.768,188.19344,
2763.857,194.55901,
2760.947,186.33402,
2758.036,196.81778,
2755.126,186.78312,
2752.215,185.32055,
2749.304,199.72571,
2746.394,199.75809,
2743.483,194.07499,
2740.573,210.06975,
2737.662,187.66198,
2734.751,194.99149,
2731.841,187.84752,
2728.930,188.75215,
2726.020,197.10995,
2723.109,200.66892,
2720.199,221.34699,
2717.288,211.94435,
2714.377,214.39172,
2711.467,198.44863,
2708.556,205.39626,
2705.646,214.32573,
2702.735,221.03221,
2699.825,217.74411,
2696.914,227.11319,
2694.003,224.90264,
2691.093,232.32145,
2688.182,235.16611,
2685.272,227.23773,
2682.361,221.45142,
2679.450,223.16718,
2676.540,194.42375,
2673.629,215.56561,
2670.719,215.15227,
2667.808,218.97227,
2664.898,226.17364,
2661.987,227.60829,
2659.076,222.38362,
2656.166,237.34254,
2653.255,230.54337,
2650.345,229.01112,
2647.434,219.44717,
2644.524,242.62798,
2641.613,238.61793,
2638.702,232.98547,
2635.792,226.21698,
2632.881,238.72026,
2629.971,231.76758,
2627.060,231.54,
2624.149,248.54999,
2621.239,242.35425,
2618.328,246.5359,
2615.418,236.22045,
2612.507,243.28602,
2609.597,235.43588,
2606.686,248.8228,
2603.775,248.7123,
2600.865,250.57811,
2597.954,259.16248,
2595.044,260.58005,
2592.133,253.70941,
2589.223,263.7908,
2586.312,267.84989,
2583.401,262.42609,
2580.491,265.5048,
2577.580,267.8618,
2574.670,258.49131,
2571.759,258.72859,
2568.848,265.99104,
2565.938,266.54162,
2563.027,267.3864,
2560.117,252.15536,
2557.206,266.95618,
2554.296,275.58438,
2551.385,257.94103,
2548.474,281.57909,
2545.564,272.4448,
2542.653,285.73741,
2539.743,294.96126,
2536.832,279.56845,
2533.922,272.26923,
2531.011,298.52486,
2528.100,282.6171,
2525.190,289.38278,
2522.279,303.65565,
2519.369,277.96939,
2516.458,276.43095,
2513.548,284.9658,
2510.637,290.02689,
2507.726,316.31736,
2504.816,287.24816,
2501.905,286.42561,
2498.995,285.17359,
2496.084,292.02135,
2493.173,278.63758,
2490.263,302.96433,
2487.352,313.04033,
2484.442,298.43173,
2481.531,313.03454,
2478.621,312.03612,
2475.710,311.90567,
2472.799,311.43559,
2469.889,306.11601,
2466.978,314.875,
2464.068,317.74803,
2461.157,307.22247,
2458.247,317.13976,
2455.336,324.19398,
2452.425,317.74292,
2449.515,316.12032,
2446.604,319.99019,
2443.694,311.08385,
2440.783,309.16216,
2437.872,321.91146,
2434.962,324.18836,
2432.051,326.89967,
2429.141,334.41607,
2426.230,335.07057,
2423.320,335.07472,
2420.409,337.42005,
2417.498,334.43962,
2414.588,331.43018,
2411.677,322.34116,
2408.767,335.12795,
2405.856,337.75118,
2402.946,337.13684,
2400.035,353.85623,
2397.124,340.12098,
2394.214,361.7678,
2391.303,362.9082,
2388.393,339.70519,
2385.482,327.18343,
2382.571,321.20406,
2379.661,321.01457,
2376.750,340.44875,
2373.840,357.65937,
2370.929,357.875,
2368.019,369.86394,
2365.108,348.08442,
2362.197,353.44489,
2359.287,361.06832,
2356.376,378.84506,
2353.466,368.89043,
2350.555,363.68996,
2347.645,376.6763,
2344.734,378.20678,
