,PLIQUI~4,
Wavenumbers [1/cm],Intensity,
3014.167,-0.875,
3011.256,1.0249785,
3008.346,21.004689,
3005.435,10.973059,
3002.525,25.672539,
2999.614,25.304254,
2996.704,28.088924,
2993.793,25.753456,
2990.882,25.949412,
2987.972,38.079595,
2985.061,28.68165,
2982.151,20.198943,
2979.240,29.671556,
2976.329,43.61681,
2973.419,40.940404,
2970.508,43.208317,
2967.598,30.647088,
2964.687,26.855978,
2961.777,37.654961,
2958.866,42.456354,
2955.955,42.089606,
2953.045,35.693245,
2950.134,46.518585,
2947.224,44.751314,
2944.313,62.529558,
2941.403,57.255931,
2938.492,47.401418,
2935.581,53.689396,
2932.671,45.567079,
2929.760,55.055768,
2926.850,52.229511,
2923.939,56.484812,
2921.028,64.060364,
2918.118,65.926009,
2915.207,57.055168,
2912.297,72.010755,
2909.386,73.730838,
2906.476,51.13346,
2903.565,56.802034,
2900.654,65.571912,
2897.744,59.137572,
2894.833,58.063183,
2891.923,68.910306,
2889.012,54.78974,
2886.102,74.414175,
2883.191,67.140104,
2880.280,90.364241,
2877.370,73.299512,
2874.459,24.948894,
2871.549,21.296018,
2868.638,66.856919,
2865.727,61.071163,
2862.817,56.396391,
2859.906,53.834396,
2856.996,67.622736,
2854.085,83.089313,
2851.175,77.359991,
2848.264,59.840667,
2845.353,51.815145,
2842.443,76.736141,
2839.532,52.378821,
2836.622,58.641926,
2833.711,68.176807,
2830.801,62.830145,
2827.890,65.105783,
2824.979,73.125,
2822.069,73.250093,
2819.158,77.284023,
2816.248,58.653948,
2813.337,91.701848,
2810.427,64.772376,
2807.516,69.758125,
2804.605,66.555292,
2801.695,76.651325,
2798.784,77.346769,
2795.874,68.409959,
2792.963,54.338933,
2790.052,77.118351,
2787.142,71.809308,
2784.231,73.609483,
2781.321,63.18786,
2778.410,70.764582,
2775.500,69.402935,
2772.589,80.547785,
2769.678,85.408232,
2766.768,89.631787,
2763.857,73.703034,
2760.947,69.647065,
2758.036,82.443528,
2755.126,77.033117,
2752.215,74.506897,
2749.304,79.252699,
2746.394,64.417279,
2743.483,83.575002,
2740.573,84.012172,
2737.662,74.008138,
2734.751,71.799732,
2731.841,74.908883,
2728.930,76.777575,
2726.020,77.686343,
2723.109,71.486001,
2720.199,85.459467,
2717.288,79.738145,
2714.377,93.962381,
2711.467,93.617299,
2708.556,72.167526,
2705.646,87.491235,
2702.735,101.44974,
2699.825,91.168628,
2696.914,91.55364,
2694.003,98.86809,
2691.093,98.910798,
2688.182,91.196851,
2685.272,91.169099,
2682.361,88.795307,
2679.450,100.00155,
2676.540,79.064028,
2673.629,81.102551,
2670.719,93.051988,
2667.808,105.54137,
2664.898,89.16391,
2661.987,88.724934,
2659.076,91.362065,
2656.166,93.237571,
2653.255,95.381805,
2650.345,92.71665,
2647.434,92.039261,
2644.524,89.966721,
2641.613,97.725253,
2638.702,81.456402,
2635.792,102.18582,
2632.881,111.0834,
2629.971,91.547718,
2627.060,96.290939,
2624.149,98.450005,
2621.239,94.125,
2618.328,89.955451,
2615.418,90.438642,
2612.507,96.642796,
2609.597,97.849551,
2606.686,92.371981,
2603.775,90.406749,
2600.865,105.29909,
2597.954,104.41248,
2595.044,106.82119,
2592.133,92.175875,
2589.223,110.30607,
2586.312,115.39136,
2583.401,100.77828,
2580.491,110.01439,
2577.580,91.158007,
2574.670,108.9111,
2571.759,111.93321,
2568.848,110.89291,
2565.938,119.02977,
2563.027,109.70914,
2560.117,90.676392,
2557.206,103.494,
2554.296,120.63987,
2551.385,118.74496,
2548.474,132.12538,
2545.564,115.91639,
2542.653,137.35654,
2539.743,127.75439,
2536.832,105.04275,
2533.922,111.18808,
2531.011,120.62453,
2528.100,126.59536,
2525.190,122.28729,
2522.279,134.56222,
2519.369,123.72874,
2516.458,118.45361,
2513.548,117.1704,
2510.637,129.06352,
2507.726,128.43727,
2504.816,120.12387,
2501.905,132.60305,
2498.995,115.0805,
2496.084,129.51176,
2493.173,116.51937,
2490.263,118.29338,
2487.352,127.08327,
2484.442,123.56184,
2481.531,128.1834,
2478.621,131.9828,
2475.710,157.91797,
2472.799,128.41203,
2469.889,121.09453,
2466.978,143.77428,
2464.068,132.97149,
2461.157,130.43494,
2458.247,132.02197,
2455.336,127.06043,
2452.425,131.90802,
2449.515,143.75701,
2446.604,135.83702,
2443.694,122.05509,
2440.783,128.03153,
2437.872,135.01561,
2434.962,130.02362,
2432.051,131.92761,
2429.141,131.58393,
2426.230,138.4079,
2423.320,148.59637,
2420.409,149.23401,
2417.498,150.91152,
2414.588,136.95777,
2411.677,133.02146,
2408.767,153.33071,
2405.856,146.34641,
2402.946,136.74967,
2400.035,152.60154,
2397.124,141.2373,
2394.214,144.7202,
2391.303,144.76592,
2388.393,141.61803,
2385.482,134.47749,
2382.571,134.17624,
2379.661,116.35752,
2376.750,138.64705,
2373.840,147.41877,
2370.929,155.02753,
2368.019,161.8122,
2365.108,150.14856,
2362.197,156.08394,
2359.287,163.72166,
2356.376,158.13557,
2353.466,164.54968,
2350.555,153.38483,
2347.645,139.61243,
2344.734,153.24947,
2341.823,158.125,
2338.913,168.7041,
2336.002,163.97905,
2333.092,155.86083,
2330.181,164.47789,
2327.270,168.23501,
2324.360,162.35138,
2321.449,179.8937,
2318.539,169.03936,
2315.628,165.82244,
2312.718,153.75935,
2309.807,170.01307,
2306.896,174.81826,
2303.986,160.0861,
2301.075,168.50798,
2298.165,182.49065,
2295.254,167.53432,
2292.344,176.75149,
2289.433,184.70409,
2286.522,173.41955,
2283.612,178.60458,
2280.701,189.97251,
2277.791,203.72238,
2274.880,167.12906,
2271.969,161.92747,
2269.059,180.06234,
2266.148,167.42717,
2263.238,181.71572,
2260.327,187.64218,
2257.417,178.99,
2254.506,183.85724,
2251.595,194.27413,
2248.685,186.91539,
2245.774,180.7185,
2242.864,183.00527,
2239.953,207.39402,
2237.043,191.50108,
2234.132,184.97953,
2231.221,195.23098,
2228.311,187.68687,
2225.400,195.57533,
2222.490,204.62649,
2219.579,186.72402,
2216.669,204.63692,
2213.758,196.90669,
2210.847,207.02171,
2207.937,215.88069,
2205.026,212.68039,
2202.116,211.61864,
2199.205,202.72453,
2196.294,211.001,
2193.384,206.57249,
2190.473,214.5628,
2187.563,251.01383,
2184.652,226.76949,
2181.742,219.71598,
2178.831,222.44407,
2175.920,227.62227,
2173.010,241.72591,
2170.099,254.79068,
2167.189,250.10347,
2164.278,249.47274,
2161.368,262.55364,
2158.457,261.125,
2155.546,263.36731,
2152.636,252.58248,
2149.725,249.62164,
2146.815,261.72457,
2143.904,269.12871,
2140.993,273.00337,
2138.083,265.97297,
2135.172,281.14179,
2132.262,275.9956,
2129.351,288.47336,
2126.441,280.75603,
2123.530,276.28214,
2120.619,287.37282,
2117.709,275.13506,
2114.798,275.52869,
2111.888,250.02518,
2108.977,255.66143,
2106.067,258.09149,
2103.156,266.80319,
2100.245,243.11371,
2097.335,226.81086,
2094.424,240.5611,
2091.514,241.90723,
2088.603,240.39687,
2085.692,238.62318,
2082.782,236.95229,
2079.871,239.76794,
2076.961,241.99584,
2074.050,240.04621,
2071.140,254.42414,
2068.229,238.39062,
2065.318,245.21125,
2062.408,245.07961,
2059.497,263.75598,
2056.587,270.57855,
2053.676,249.5262,
2050.766,252.50915,
2047.855,232.86546,
2044.944,256.26283,
2042.034,243.888,
2039.123,248.22601,
2036.213,250.60719,
2033.302,274.27667,
2030.391,266.05818,
2027.481,266.95407,
2024.570,270.75366,
2021.660,242.83975,
2018.749,288.7071,
2015.839,274.35859,
2012.928,248.7458,
2010.017,250.9426,
2007.107,260.93808,
2004.196,274.06554,
2001.286,293.33348,
1998.375,270.46554,
1995.465,263.27143,
1992.554,264.125,
1989.643,262.19413,
1986.733,245.91096,
1983.822,246.3569,
1980.912,266.20373,
1978.001,246.43854,
1975.090,255.09447,
1972.180,250.71279,
1969.269,244.44688,
1966.359,248.5844,
1963.448,269.5015,
1960.538,257.02575,
1957.627,230.7256,
1954.716,239.78028,
1951.806,245.77082,
1948.895,260.42051,
1945.985,268.36356,
1943.074,236.72281,
1940.164,232.76922,
1937.253,235.13798,
1934.342,234.5865,
1931.432,230.70229,
1928.521,227.22863,
1925.611,245.30661,
1922.700,238.87915,
1919.790,243.73762,
1916.879,238.61325,
1913.968,236.12746,
1911.058,263.21808,
1908.147,223.45348,
1905.237,241.05888,
1902.326,268.15909,
1899.415,233.28352,
1896.505,198.63687,
1893.594,179.30489,
1890.684,197.58242,
1887.773,233.65029,
1884.863,243.10905,
1881.952,248.8899,
1879.041,240.26466,
1876.131,243.45441,
1873.220,226.81962,
1870.310,251.04423,
1867.399,259.02904,
1864.489,220.09859,
1861.578,245.05899,
1858.667,251.33759,
1855.757,230.54147,
1852.846,215.39166,
1849.936,227.54342,
1847.025,234.53619,
1844.114,241.5509,
1841.204,263.46066,
1838.293,272.6408,
1835.383,254.38101,
1832.472,266.69543,
1829.562,270.54297,
1826.651,248.03056,
1823.740,259.78021,
1820.830,262.49504,
1817.919,258.68187,
1815.009,228.15681,
1812.098,288.65252,
1809.188,276.42737,
1806.277,244.81109,
1803.366,252.17491,
1800.456,255.8944,
1797.545,271.24546,
1794.635,291.22199,
1791.724,282.31921,
1788.813,278.73863,
1785.903,310.57275,
1782.992,275.58849,
1780.082,261.47198,
1777.171,195.10517,
1774.261,144.12046,
1771.350,210.24451,
1768.439,267.14866,
1765.529,302.85467,
1762.618,317.64187,
1759.708,292.60302,
1756.797,289.02652,
1753.887,319.10022,
1750.976,329.71466,
1748.065,343.02822,
1745.155,346.01536,
1742.244,336.50363,
1739.334,320.8003,
1736.423,347.62589,
1733.512,329.83629,
1730.602,331.58931,
1727.691,315.39817,
1724.781,353.95986,
1721.870,346.00583,
1718.960,346.88062,
1716.049,353.99782,
1713.138,368.80493,
1710.228,346.75668,
1707.317,368.77757,
1704.407,397.28012,
1701.496,356.37071,
1698.586,364.1368,
1695.675,380.09634,
1692.764,375.44467,
1689.854,352.16436,
1686.943,396.5399,
1684.033,384.47271,
1681.122,378.22695,
1678.211,375.15355,
1675.301,402.04175,
1672.390,384.08313,
1669.480,370.56621,
1666.569,424.85839,
1663.659,404.09234,
1660.748,402.79986,
1657.837,438.13101,
1654.927,482.04726,
1652.016,437.82967,
1649.106,466.49222,
1646.195,481.84429,
1643.285,511.44401,
1640.374,524.51873,
1637.463,496.82757,
1634.553,535.24322,
1631.642,543.26615,
1628.732,556.14278,
1625.821,559.14724,
1622.911,592.93341,
1620.000,643.48247,
1617.089,630.40361,
1614.179,648.58918,
1611.268,693.41482,
1608.358,734.20525,
1605.447,767.23954,
1602.536,762.60179,
1599.626,838.47943,
1596.715,828.78818,
1593.805,794.92905,
1590.894,809.61907,
1587.984,838.10776,
1585.073,779.16456,
1582.162,775.63897,
1579.252,770.57859,
1576.341,756.30799,
1573.431,768.78848,
1570.520,744.07867,
1567.610,744.81142,
1564.699,732.89937,
1561.788,732.05453,
1558.878,708.86276,
1555.967,667.39509,
1553.057,663.60764,
1550.146,659.67775,
1547.235,634.82488,
1544.325,658.31904,
1541.414,653.72157,
1538.504,657.46695,
1535.593,675.43905,
1532.683,663.58439,
1529.772,657.22511,
1526.861,641.68774,
1523.951,650.01559,
1521.040,676.35672,
1518.130,684.39276,
1515.219,725.40446,
1512.309,725.29611,
1509.398,668.9843,
1506.487,671.58172,
1503.577,669.71281,
1500.666,672.6773,
1497.756,671.33714,
1494.845,695.9238,
1491.934,643.10295,
1489.024,636.3655,
1486.113,677.8497,
1483.203,655.36814,
1480.292,642.79137,
1477.382,658.09821,
1474.471,596.13041,
1471.560,594.26665,
1468.650,588.1428,
1465.739,586.60843,
1462.829,593.89954,
1459.918,598.78247,
1457.008,607.23278,
1454.097,601.18457,
1451.186,595.27394,
1448.276,587.09375,
1445.365,550.80352,
1442.455,549.85168,
1439.544,537.01051,
1436.633,495.125,
1433.723,502.72699,
1430.812,551.83981,
1427.902,499.79368,
1424.991,569.9281,
1422.081,525.33367,
1419.170,508.16409,
1416.259,528.80677,
1413.349,547.71934,
1410.438,550.02566,
1407.528,519.51288,
1404.617,531.30716,
1401.707,531.5172,
1398.796,490.05164,
1395.885,491.64886,
1392.975,502.72794,
1390.064,470.31526,
1387.154,510.61026,
1384.243,473.19342,
1381.332,457.57568,
1378.422,444.54534,
1375.511,433.30397,
1372.601,445.10541,
1369.690,483.84279,
1366.780,466.36395,
1363.869,507.34601,
1360.958,537.66911,
1358.048,541.15844,
1355.137,522.30311,
1352.227,551.50435,
1349.316,604.90266,
1346.406,617.93954,
1343.495,634.15633,
1340.584,620.1598,
1337.674,675.94417,
1334.763,642.04242,
1331.853,666.15042,
1328.942,690.25107,
1326.032,667.84076,
1323.121,671.01657,
1320.210,679.45237,
1317.300,698.6515,
1314.389,735.30605,
1311.479,753.00854,
1308.568,754.10478,
1305.657,761.97723,
1302.747,763.7703,
1299.836,849.43946,
1296.926,823.125,
1294.015,823.125,
1291.105,838.97475,
1288.194,891.44581,
1285.283,880.4969,
1282.373,870.49219,
1279.462,869.57599,
1276.552,890.0306,
1273.641,911.46776,
1270.731,921.23845,
1267.820,945.569,
1264.909,900.78351,
1261.999,840.85733,
1259.088,860.924,
1256.178,888.67515,
1253.267,875.4795,
1250.356,832.19878,
1247.446,838.76754,
1244.535,837.2947,
1241.625,814.08797,
1238.714,826.49535,
1235.804,864.50366,
1232.893,852.87847,
1229.982,837.33965,
1227.072,843.67683,
1224.161,867.65911,
1221.251,835.64405,
1218.340,811.46438,
1215.430,828.24748,
1212.519,824.03427,
1209.608,787.26561,
1206.698,778.01879,
1203.787,797.03455,
1200.877,791.79365,
1197.966,802.58356,
1195.055,791.17952,
1192.145,830.44889,
1189.234,915.49216,
1186.324,944.85138,
1183.413,936.24175,
1180.503,940.85834,
1177.592,945.38748,
1174.681,924.64555,
1171.771,935.47529,
1168.860,950.65781,
1165.950,931.96776,
1163.039,945.28347,
1160.129,920.68297,
1157.218,910.1434,
1154.307,928.69038,
1151.397,930.56531,
1148.486,920.81382,
1145.576,985.66019,
1142.665,951.9195,
1139.754,962.14306,
1136.844,944.81622,
1133.933,948.44163,
1131.023,934.4644,
1128.112,914.83846,
1125.202,933.57908,
1122.291,956.86623,
1119.380,934.14232,
1116.470,935.90738,
1113.559,887.41031,
1110.649,873.125,
1107.738,896.16518,
1104.828,904.47421,
1101.917,887.53326,
1099.006,886.47551,
1096.096,888.34001,
1093.185,891.85202,
1090.275,926.92362,
1087.364,913.16907,
1084.453,918.31153,
1081.543,931.00144,
1078.632,926.17051,
1075.722,920.45936,
1072.811,952.68347,
1069.901,960.54282,
1066.990,906.15846,
1064.079,928.51172,
1061.169,928.55596,
1058.258,911.31363,
1055.348,907.30083,
1052.437,909.46905,
1049.527,905.9236,
1046.616,900.71063,
1043.705,924.78948,
1040.795,946.81061,
1037.884,948.55041,
1034.974,934.30413,
1032.063,922.79417,
1029.153,928.43659,
1026.242,931.03146,
1023.331,923.62548,
1020.421,975.10471,
1017.510,970.67148,
1014.600,966.88806,
1011.689,978.29684,
1008.778,949.20383,
1005.868,966.83928,
1002.957,935.00617,
1000.047,974.53302,
997.136,1016.38,
994.226,1033.2327,
991.315,1029.0804,
988.404,1015.3155,
985.494,980.83466,
982.583,1012.5272,
979.673,992.24902,
976.762,985.47341,
973.852,991.98711,
970.941,990.12272,
968.030,967.36772,
965.120,946.304,
962.209,988.9311,
959.299,993.292,
956.388,1007.244,
953.477,1023.6463,
950.567,1033.5235,
947.656,1040.7854,
944.746,1022.9447,
941.835,1037.5115,
938.925,1076.0017,
936.014,1088.5609,
933.103,1066.8827,
930.193,1031.3321,
927.282,1009.2707,
924.372,1030.4109,
921.461,1053.0078,
918.551,1043.8589,
915.640,1026.6007,
912.729,1009.4642,
909.819,988.01801,
906.908,1025.0847,
903.998,1006.4455,
901.087,986.48536,
898.176,986.23732,
895.266,1003.3774,
892.355,1018.9262,
889.445,1007.1764,
886.534,1034.6758,
883.624,1056.9458,
880.713,1069.7182,
877.802,1060.2293,
874.892,1026.5873,
871.981,989.37668,
869.071,830.64823,
866.160,825.89367,
863.250,889.06948,
860.339,965.76294,
857.428,1027.2644,
854.518,1068.1511,
851.607,999.92143,
848.697,961.30013,
845.786,919.54393,
842.875,924.63301,
839.965,993.56698,
837.054,1032.6274,
834.144,1077.38,
831.233,1113.4564,
828.323,1136.0273,
825.412,1138.3638,
822.501,1124.2739,
819.591,1125.1003,
816.680,1121.9199,
813.770,1114.2335,
810.859,1074.0257,
807.949,1056.0324,
805.038,1117.2555,
802.127,1060.4597,
799.217,1064.0697,
796.306,1075.6386,
793.396,1097.3084,
790.485,1109.7537,
787.574,1067.81,
784.664,1085.8525,
781.753,1119.3193,
778.843,1135.5952,
775.932,1139.5941,
773.022,1140.6871,
770.111,1112.0718,
767.200,1129.1578,
764.290,1125.879,
761.379,1121.0943,
758.469,1128.1011,
755.558,1142.9062,
752.648,1135.5748,
749.737,1135.4306,
746.826,1121.6721,
743.916,1104.5666,
741.005,1107.8937,
738.095,1150.1113,
735.184,1118.657,
732.274,1065.2086,
729.363,1025.4178,
726.452,1026.5036,
723.542,1083.9705,
720.631,1090.1832,
717.721,1097.9991,
714.810,1129.7726,
711.899,1168.9864,
708.989,1151.234,
706.078,1146.3172,
703.168,1145.125,
700.257,1147.6004,
697.347,1147.8645,
694.436,1136.125,
691.525,1136.125,
688.615,1140.5274,
685.704,1131.4693,
682.794,1126.8908,
679.883,1162.0529,
676.973,1160.4502,
674.062,1187.5625,
671.151,1181.2085,
668.241,1146.9305,
665.330,1126.9359,
662.420,1122.9423,
659.509,1144.3476,
656.598,1174.0022,
653.688,1200.2658,
650.777,1213.909,
647.867,1207.5384,
644.956,1205.5058,
642.046,1180.6637,
639.135,1143.6097,
636.224,1134.129,
633.314,1134.9229,
630.403,1155.8174,
627.493,1167.8206,
624.582,1165.361,
621.672,1170.905,
618.761,1166.5654,
615.850,1208.653,
612.940,1240.0266,
610.029,1231.2043,
607.119,1225.6769,
604.208,1233.6452,
601.297,1246.0983,
598.387,1243.9463,
595.476,1216.4964,
592.566,1220.4317,
589.655,1230.8434,
586.745,1230.4834,
583.834,1228.1754,
580.923,1246.0444,
578.013,1232.704,
575.102,1225.1099,
572.192,1241.0611,
569.281,1273.8596,
566.371,1266.816,
563.460,1276.0016,
560.549,1274.7649,
557.639,1284.7017,
554.728,1325.9425,
551.818,1307.2149,
548.907,1299.4685,
545.996,1285.4613,
543.086,1267.2928,
540.175,1268.0714,
537.265,1240.6024,
534.354,1251.196,
531.444,1267.6665,
528.533,1257.7253,
525.622,1280.2278,
522.712,1275.4169,
519.801,1255.3773,
516.891,1235.7856,
513.980,1248.9486,
511.070,1254.3511,
508.159,1257.0801,
505.248,1264.6344,
502.338,1283.4924,
499.427,1261.8811,
496.517,1282.7108,
493.606,1291.3478,
490.695,1270.3717,
487.785,1286.5373,
484.874,1296.8797,
481.964,1274.1319,
479.053,1232.9994,
476.143,1219.944,
473.232,1255.0952,
470.321,1275.9371,
467.411,1271.7283,
464.500,1238.4159,
461.590,1249.902,
458.679,1263.0303,
455.769,1260.0978,
452.858,1241.1357,
449.947,1289.2634,
447.037,1251.1909,
444.126,1243.4159,
441.216,1282.0667,
438.305,1275.9712,
435.395,1271.8468,
432.484,1265.9575,
429.573,1246.6348,
426.663,1188.8642,
423.752,1122.7521,
420.842,1011.6381,
417.931,868.46218,
415.020,718.30727,
412.110,994.06445,
409.199,1168.5186,
406.289,1229.1042,
403.378,1186.2121,
400.468,1211.9159,
397.557,1187.2194,
394.646,1181.7128,
391.736,1252.7427,
388.825,1303.2762,
385.915,1301.0948,
383.004,1286.125,
380.094,1285.2037,
377.183,1267.1442,
374.272,1271.895,
371.362,1282.7739,
368.451,1287.8484,
365.541,1266.8334,
362.630,1290.0757,
359.719,1307.6137,
356.809,1290.7204,
353.898,1267.5077,
350.988,1269.2623,
348.077,1292.9687,
345.167,1331.8545,
342.256,1287.0304,
339.345,1298.0395,
336.435,1315.5163,
333.524,1305.4908,
330.614,1285.3716,
327.703,1302.2282,
324.793,1310.9776,
321.882,1273.1538,
318.971,1285.0489,
316.061,1286.1951,
313.150,1294.9035,
310.240,1332.7515,
307.329,1356.9934,
304.418,1382.0834,
301.508,1405.6542,
298.597,1422.6838,
295.687,1411.9347,
292.776,1404.0417,
289.866,1402.6819,
286.955,1410.0692,
284.044,1424.4075,
281.134,1462.8589,
278.223,1513.2927,
275.313,1500.7662,
272.402,1525.4275,
269.492,1552.0958,
266.581,1560.5562,
263.670,1468.6586,
260.760,1484.9604,
257.849,1532.8503,
254.939,1557.8023,
252.028,1549.4389,
249.117,1533.7907,
246.207,1533.3308,
243.296,1588.2336,
240.386,1567.3523,
237.475,1560.8087,
234.565,1572.6649,
231.654,1569.7433,
228.743,1547.8364,
225.833,1527.5516,
222.922,1514.9167,
220.012,1467.5606,
217.101,1494.8173,
214.191,1528.6341,
211.280,1493.7159,
208.369,1454.7931,
205.459,1423.5505,
202.548,1406.8855,
199.638,1428.6549,
196.727,1412.3812,
193.816,1402.2424,
190.906,1411.6871,
187.995,1342.1807,
185.085,1346.0235,
182.174,1367.9185,
179.264,1333.9485,
176.353,1293.6006,
173.442,1293.7908,
170.532,1322.2283,
167.621,1254.4566,
164.711,1225.0881,
161.800,1177.523,
158.890,1067.4047,
155.979,1012.8257,
153.068,933.21645,
150.158,824.93981,
147.247,682.78526,
144.337,593.68815,
141.426,483.80837,
138.516,316.05582,
135.605,228.46397,
132.694,164.72938,
129.784,115.81164,
126.873,62.892031,
123.963,41.881738,
121.052,29.025794,
118.141,16.175558,
115.231,16.83557,
112.320,15.00682,
109.410,11.443224,
106.499,7.8824476,
103.589,7.6852545,
100.678,8.125,
97.767,8.125,
94.857,3.9670657,
91.946,5.349887,
89.036,9.2218167,
86.125,3.5481746,
83.215,5.3105221,
80.304,4.5335097,
77.393,-6.0890393,
74.483,2.9520244,
71.572,4.863831,
68.662,-0.59793,
65.751,2.2278743,
62.840,5.5335099,
59.930,6.6267104,
57.019,0.98605453,
54.109,0.125,
51.198,0.42660928,
48.288,1.1306624,
45.377,1.8340405,
