,PL8595~1,
Raman shift [1/cm],Intensity,
3014.167,-0.75,
3011.256,1.0499571,
3008.346,236.09949,
3005.435,296.63516,
3002.525,306.38255,
2999.614,304.96299,
2996.704,323.60463,
2993.793,333.48848,
2990.882,338.29582,
2987.972,322.50225,
2985.061,362.93964,
2982.151,364.4601,
2979.240,365.26424,
2976.329,385.76365,
2973.419,409.48107,
2970.508,396.01667,
2967.598,421.62871,
2964.687,416.8913,
2961.777,431.59194,
2958.866,435.91716,
2955.955,438.28539,
2953.045,468.13142,
2950.134,477.9002,
2947.224,479.22153,
2944.313,490.83405,
2941.403,493.21396,
2938.492,493.27169,
2935.581,502.54571,
2932.671,513.37017,
2929.760,514.25,
2926.850,517.09323,
2923.939,536.32944,
2921.028,524.37927,
2918.118,546.95151,
2915.207,552.77524,
2912.297,546.25846,
2909.386,542.84854,
2906.476,543.86236,
2903.565,546.87889,
2900.654,546.19136,
2897.744,543.19971,
2894.833,536.36346,
2891.923,530.6282,
2889.012,535.70665,
2886.102,530.98109,
2883.191,534.24056,
2880.280,524.80979,
2877.370,513.51739,
2874.459,460.99865,
2871.549,515.92128,
2868.638,554.11596,
2865.727,546.83457,
2862.817,579.09357,
2859.906,565.13604,
2856.996,572.71151,
2854.085,558.3634,
2851.175,582.3675,
2848.264,585.809,
2845.353,567.27157,
2842.443,571.84373,
2839.532,568.71274,
2836.622,573.16016,
2833.711,585.61265,
2830.801,566.17132,
2827.890,589.85667,
2824.979,597.11404,
2822.069,591.3296,
2819.158,597.10984,
2816.248,591.51447,
2813.337,596.33291,
2810.427,619.6467,
2807.516,609.40828,
2804.605,617.34614,
2801.695,592.0263,
2798.784,592.80646,
2795.874,604.10488,
2792.963,599.82128,
2790.052,600.24914,
2787.142,590.51323,
2784.231,598.25,
2781.321,586.12428,
2778.410,586.73984,
2775.500,593.31345,
2772.589,624.36544,
2769.678,630.81994,
2766.768,631.56844,
2763.857,626.61994,
2760.947,631.19957,
2758.036,624.94428,
2755.126,653.68589,
2752.215,651.26839,
2749.304,651.42088,
2746.394,651.09676,
2743.483,654.25,
2740.573,648.92697,
2737.662,665.20859,
2734.751,643.39068,
2731.841,650.03388,
2728.930,656.92371,
2726.020,654.80093,
2723.109,671.64141,
2720.199,658.1719,
2717.288,663.49453,
2714.377,666.02508,
2711.467,682.79067,
2708.556,694.12242,
2705.646,688.71478,
2702.735,711.38142,
2699.825,688.98823,
2696.914,706.91683,
2694.003,700.79146,
2691.093,709.01775,
2688.182,713.88704,
2685.272,712.05512,
2682.361,699.82642,
2679.450,710.03598,
2676.540,704.43292,
2673.629,717.56388,
2670.719,714.04574,
2667.808,709.15273,
2664.898,715.54864,
2661.987,727.75017,
2659.076,734.25,
2656.166,755.54006,
2653.255,755.61905,
2650.345,740.4333,
2647.434,747.53608,
2644.524,765.49702,
2641.613,757.84962,
2638.702,753.21844,
2635.792,755.37463,
2632.881,767.48794,
2629.971,755.92774,
2627.060,775.74719,
2624.149,790.90001,
2621.239,777.74111,
2618.328,766.35207,
2615.418,788.92727,
2612.507,791.07606,
2609.597,794.34182,
2606.686,808.57528,
2603.775,793.09127,
2600.865,804.13057,
2597.954,804.20209,
2595.044,802.58924,
2592.133,809.8106,
2589.223,829.51528,
2586.312,826.5917,
2583.401,832.73907,
2580.491,819.37505,
2577.580,834.25825,
2574.670,836.48263,
2571.759,825.94692,
2568.848,824.07321,
2565.938,840.82153,
2563.027,828.34772,
2560.117,846.7734,
2557.206,857.15406,
2554.296,853.90675,
2551.385,863.63811,
2548.474,857.84219,
2545.564,838.59821,
2542.653,856.66945,
2539.743,881.37323,
2536.832,880.31169,
2533.922,863.865,
2531.011,893.45074,
2528.100,887.30929,
2525.190,889.60082,
2522.279,888.01551,
2519.369,889.89111,
2516.458,902.47026,
2513.548,889.73197,
2510.637,897.69666,
2507.726,887.68866,
2504.816,886.50028,
2501.905,891.49634,
2498.995,938.92096,
2496.084,906.54271,
2493.173,922.88179,
2490.263,914.6884,
2487.352,907.79253,
2484.442,927.65469,
2481.531,943.61705,
2478.621,936.64335,
2475.710,975.01997,
2472.799,947.46971,
2469.889,955.7043,
2466.978,962.3015,
2464.068,958.50395,
2461.157,951.94493,
2458.247,971.35303,
2455.336,969.06016,
2452.425,969.38208,
2449.515,984.28741,
2446.604,978.00571,
2443.694,992.83142,
2440.783,990.01126,
2437.872,993.65111,
2434.962,1001.3606,
2432.051,994.71299,
2429.141,986.28542,
2426.230,1023.3816,
2423.320,1004.4923,
2420.409,1025.7372,
2417.498,1020.2584,
2414.588,1031.3298,
2411.677,1026.4611,
2408.767,1016.127,
2405.856,1048.25,
2402.946,1052.3572,
2400.035,1038.0669,
2397.124,1054.9559,
2394.214,1071.274,
2391.303,1044.25,
2388.393,1067.3919,
2385.482,1066.6466,
2382.571,1053.8953,
2379.661,1064.8546,
2376.750,1090.0873,
2373.840,1102.8969,
2370.929,1102.25,
2368.019,1103.9372,
2365.108,1107.2945,
2362.197,1124.8609,
2359.287,1128.04,
2356.376,1136.2377,
2353.466,1117.4932,
2350.555,1119.6805,
2347.645,1120.1202,
2344.734,1137.7708,
2341.823,1123.6314,
2338.913,1121.3814,
2336.002,1139.037,
2333.092,1149.434,
2330.181,1148.7589,
2327.270,1186.1048,
