,PL9E87~1,
Raman shift [1/cm],Intensity,
3014.167,0.75,
3011.256,2.75,
3008.346,72.874558,
3005.435,79.633391,
3002.525,84.845078,
2999.614,69.929254,
2996.704,81.572683,
2993.793,88.13076,
2990.882,88.26906,
2987.972,82.850899,
2985.061,96.543095,
2982.151,94.034038,
2979.240,94.066539,
2976.329,97.75546,
2973.419,114.05809,
2970.508,108.23328,
2967.598,98.415462,
2964.687,103.21196,
2961.777,108.50206,
2958.866,106.07987,
2955.955,112.2677,
2953.045,105.85068,
2950.134,116.20774,
2947.224,131.63612,
2944.313,127.75,
2941.403,119.92838,
2938.492,129.62264,
2935.581,130.41136,
2932.671,129.26931,
2929.760,128.9577,
2926.850,113.74286,
2923.939,144.39019,
2921.028,136.04404,
2918.118,130.01071,
2915.207,131.04108,
2912.297,132.72884,
2909.386,143.14416,
2906.476,141.55618,
2903.565,146.86334,
2900.654,139.75,
2897.744,126.76257,
2894.833,123.62637,
2891.923,126.6699,
2889.012,135.95809,
2886.102,128.29325,
2883.191,121.75094,
2880.280,107.9031,
2877.370,93.395356,
2874.459,62.215479,
2871.549,96.381859,
2868.638,128.06958,
2865.727,127.40769,
2862.817,145.69383,
2859.906,122.91524,
2856.996,146.7183,
2854.085,137.90543,
2851.175,137.75,
2848.264,140.31867,
2845.353,144.51276,
2842.443,140.13886,
2839.532,158.28726,
2836.622,138.75,
2833.711,152.42349,
2830.801,135.97352,
2827.890,141.62765,
2824.979,147.68805,
2822.069,142.94333,
2819.158,153.28908,
2816.248,150.96816,
2813.337,143.1317,
2810.427,161.27204,
2807.516,143.91563,
2804.605,161.29807,
2801.695,147.78947,
2798.784,155.86292,
2795.874,160.16423,
2792.963,168.60702,
2790.052,156.75193,
2787.142,152.01323,
2784.231,152.65374,
2781.321,155.81286,
2778.410,156.75,
2775.500,152.92069,
2772.589,159.01987,
2769.678,172.92745,
2766.768,174.50339,
2763.857,167.27601,
2760.947,167.26576,
2758.036,164.66717,
2755.126,156.60897,
2752.215,164.51379,
2749.304,183.60071,
2746.394,173.80846,
2743.483,171.70003,
2740.573,176.50889,
2737.662,179.51628,
2734.751,173.42473,
2731.841,183.66942,
2728.930,172.09742,
2726.020,174.52546,
2723.109,173.63658,
2720.199,179.04372,
2717.288,179.39963,
2714.377,166.17098,
2711.467,173.47089,
2708.556,184.93105,
2705.646,175.21478,
2702.735,191.40463,
2699.825,184.15184,
2696.914,190.36909,
2694.003,165.57601,
2691.093,185.19645,
2688.182,187.27741,
2685.272,192.51102,
2682.361,187.38537,
2679.450,185.87345,
2676.540,180.75,
2673.629,186.39122,
2670.719,188.75739,
2667.808,188.50682,
2664.898,193.38618,
2661.987,196.94987,
2659.076,199.6056,
2656.166,198.86257,
2653.255,191.86224,
2650.345,202.0785,
2647.434,195.09296,
2644.524,204.1553,
2641.613,199.03535,
2638.702,201.60797,
2635.792,197.18769,
2632.881,199.7916,
2629.971,199.26005,
2627.060,204.41625,
2624.149,206.37188,
2621.239,207.00445,
2618.328,212.21626,
2615.418,215.11817,
2612.507,213.40212,
2609.597,208.12724,
2606.686,212.7761,
2603.775,208.26984,
2600.865,219.98212,
2597.954,212.27705,
2595.044,219.44619,
2592.133,217.64177,
2589.223,206.48472,
2586.312,220.26256,
2583.401,221.85219,
2580.491,228.0096,
2577.580,221.75,
2574.670,218.98263,
2571.759,219.45719,
2568.848,230.68925,
2565.938,225.98815,
2563.027,220.21363,
2560.117,225.92758,
2557.206,244.02306,
2554.296,213.89188,
2551.385,217.63408,
2548.474,228.45372,
2545.564,228.75,
2542.653,237.67617,
2539.743,233.34242,
2536.832,239.34253,
2533.922,233.00231,
2531.011,252.3247,
2528.100,252.68725,
2525.190,249.49344,
2522.279,256.46861,
2519.369,253.16495,
2516.458,265.97734,
2513.548,234.53234,
2510.637,250.75,
2507.726,253.56042,
2504.816,250.74887,
2501.905,248.61951,
2498.995,256.09309,
2496.084,243.29702,
2493.173,261.51391,
2490.263,253.62679,
2487.352,253.95707,
2484.442,248.5658,
2481.531,274.43091,
2478.621,264.91112,
2475.710,281.65799,
2472.799,267.53029,
2469.889,259.78047,
2466.978,268.13135,
2464.068,267.9193,
2461.157,263.17251,
2458.247,264.1618,
2455.336,268.09051,
2452.425,263.29245,
2449.515,272.3446,
2446.604,276.69936,
2443.694,282.93673,
2440.783,289.46284,
2437.872,271.67707,
2434.962,273.95276,
2432.051,283.31168,
2429.141,278.61473,
2426.230,281.48924,
2423.320,280.2067,
2420.409,290.05145,
2417.498,288.91294,
2414.588,291.2101,
2411.677,293.14444,
2408.767,298.18504,
2405.856,285.97141,
2402.946,286.64276,
2400.035,297.33686,
2397.124,283.88368,
2394.214,305.29159,
2391.303,299.20868,
2388.393,304.41284,
2385.482,299.27874,
2382.571,296.05345,
2379.661,303.65705,
2376.750,302.53814,
2373.840,296.55317,
2370.929,321.44677,
2368.019,314.31714,
2365.108,302.4699,
2362.197,333.05694,
2359.287,347.54833,
2356.376,334.77289,
2353.466,325.73457,
2350.555,322.24473,
2347.645,321.99899,
2344.734,325.8099,
2341.823,333.60075,
2338.913,331.68432,
2336.002,330.08729,
2333.092,336.87642,
2330.181,337.75,
2327.270,322.63008,
2324.360,320.30422,
2321.449,342.24321,
2318.539,349.66436,
