,PLB961~1,
Raman shift [1/cm],Intensity,
3014.167,-0.5,
3011.256,1.7000429,
3008.346,342.03149,
3005.435,393.15017,
3002.525,411.16275,
2999.614,418.87664,
2996.704,442.17319,
2993.793,445.75691,
2990.882,456.88159,
2987.972,448.7472,
2985.061,487.74629,
2982.151,475.5,
2979.240,511.29847,
2976.329,513.48908,
2973.419,527.33004,
2970.508,565.51662,
2967.598,532.22048,
2964.687,574.1413,
2961.777,587.02996,
2958.866,585.15231,
2955.955,609.81194,
2953.045,609.71926,
2950.134,633.35132,
2947.224,653.92703,
2944.313,672.9943,
2941.403,655.03513,
2938.492,690.05284,
2935.581,672.34419,
2932.671,685.89913,
2929.760,682.56923,
2926.850,714.77556,
2923.939,726.90188,
2921.028,709.71166,
2918.118,721.48111,
2915.207,723.43662,
2912.297,719.49577,
2909.386,738.95254,
2906.476,736.31464,
2903.565,748.40371,
2900.654,733.15926,
2897.744,738.12283,
2894.833,717.572,
2891.923,719.1474,
2889.012,736.75433,
2886.102,717.06352,
2883.191,731.48301,
2880.280,711.23683,
2877.370,686.06976,
2874.459,682.55663,
2871.549,709.56606,
2868.638,754.18451,
2865.727,738.29992,
2862.817,776.14305,
2859.906,761.75356,
2856.996,781.45471,
2854.085,785.33822,
2851.175,778.92772,
2848.264,786.059,
2845.353,806.83142,
2842.443,779.29513,
2839.532,795.14172,
2836.622,780.70769,
2833.711,766.86265,
2830.801,772.60074,
2827.890,778.81647,
2824.979,798.5,
2822.069,798.62509,
2819.158,808.35984,
2816.248,800.52316,
2813.337,794.37681,
2810.427,823.8967,
2807.516,816.18344,
2804.605,844.10094,
2801.695,813.7237,
2798.784,803.68277,
2795.874,833.96179,
2792.963,815.35745,
2790.052,812.50214,
2787.142,817.92108,
2784.231,807.0171,
2781.321,821.31718,
2778.410,824.37057,
2775.500,831.41241,
2772.589,827.03975,
2769.678,848.35665,
2766.768,835.89027,
2763.857,855.18594,
2760.947,870.00315,
2758.036,862.87575,
2755.126,882.07051,
2752.215,880.2454,
2749.304,868.64929,
2746.394,887.61691,
2743.483,887.25003,
2740.573,884.93586,
2737.662,890.92604,
2734.751,884.64068,
2731.841,890.39194,
2728.930,905.5,
2726.020,896.60185,
2723.109,873.5415,
2720.199,905.12818,
2717.288,910.0949,
2714.377,905.82524,
2711.467,917.84396,
2708.556,939.31895,
2705.646,927.9084,
2702.735,931.01805,
2699.825,946.05454,
2696.914,953.21456,
2694.003,934.6382,
2691.093,958.33876,
2688.182,937.62667,
2685.272,953.65932,
2682.361,952.74127,
2679.450,962.65632,
2676.540,945.33741,
2673.629,946.12776,
2670.719,961.57301,
2667.808,970.01364,
2664.898,974.47373,
2661.987,993.76671,
