,PLBA93~1,
Raman shift [1/cm],Intensity,
3014.167,1.625,
3011.256,1.9749678,
3008.346,397.40136,
3005.435,453.97129,
3002.525,480.77768,
2999.614,485.90295,
2996.704,508.48376,
2993.793,532.23502,
2990.882,542.49524,
2987.972,531.80157,
2985.061,559.97475,
2982.151,577.16452,
2979.240,585.07079,
2976.329,600.11135,
2973.419,633.14824,
2970.508,640.19159,
2967.598,665.0993,
2964.687,663.69905,
2961.777,659.12913,
2958.866,697.27286,
2955.955,703.65379,
2953.045,733.87331,
2950.134,742.24312,
2947.224,755.10897,
2944.313,781.9619,
2941.403,778.98175,
2938.492,814.76321,
2935.581,790.79192,
2932.671,815.77946,
2929.760,798.31732,
2926.850,808.57274,
2923.939,833.94745,
2921.028,812.52487,
2918.118,864.66278,
2915.207,858.98591,
2912.297,857.66731,
2909.386,856.85857,
2906.476,869.81882,
2903.565,845.20574,
2900.654,854.63611,
2897.744,858.43642,
2894.833,844.03736,
2891.923,850.3013,
2889.012,860.46315,
2886.102,835.5642,
2883.191,835.61934,
2880.280,832.28528,
2877.370,823.39822,
2874.459,777.32322,
2871.549,837.05974,
2868.638,869.625,
2865.727,890.4442,
2862.817,887.05282,
2859.906,908.39708,
2856.996,915.58424,
2854.085,905.25942,
2851.175,918.2184,
2848.264,912.478,
2845.353,898.71127,
2842.443,898.23266,
2839.532,924.99793,
2836.622,898.92839,
2833.711,905.88403,
2830.801,914.22206,
2827.890,920.48343,
2824.979,928.78509,
2822.069,931.92067,
2819.158,953.4444,
2816.248,958.57868,
2813.337,933.77987,
2810.427,965.91975,
2807.516,958.21516,
2804.605,958.58173,
2801.695,944.4013,
2798.784,960.92477,
2795.874,966.46931,
2792.963,964.48181,
2790.052,968.62243,
2787.142,981.29596,
2784.231,969.49612,
2781.321,966.44218,
2778.410,974.06029,
2775.500,961.49811,
2772.589,977.58601,
2769.678,990.51227,
2766.768,1000.8269,
2763.857,1000.045,
2760.947,1005.7133,
2758.036,1002.6822,
2755.126,1014.4776,
2752.215,1033.5387,
2749.304,1016.0729,
2746.394,1037.2379,
2743.483,1029.025,
2740.573,1041.4967,
2737.662,1040.051,
2734.751,1041.0229,
2731.841,1040.0298,
2728.930,1044.8284,
2726.020,1051.9722,
2723.109,1060.8518,
2720.199,1067.372,
2717.288,1058.7637,
2714.377,1060.1752,
2711.467,1077.0349,
2708.556,1080.3589,
2705.646,1096.6109,
2702.735,1109.4781,
2699.825,1119.3322,
2696.914,1109.625,
2694.003,1097.5339,
2691.093,1122.8922,
2688.182,1110.7346,
2685.272,1092.1385,
2682.361,1111.5955,
2679.450,1109.6703,
2676.540,1109.2347,
2673.629,1138.2932,
2670.719,1153.0409,
2667.808,1148.3059,
2664.898,1129.0666,
2661.987,1147.8588,
2659.076,1177.8448,
2656.166,1165.9323,
2653.255,1180.4753,
2650.345,1190.8972,
2647.434,1196.4824,
2644.524,1206.0111,
2641.613,1205.9393,
2638.702,1198.7355,
2635.792,1200.7207,
2632.881,1200.6367,
2629.971,1216.8599,
2627.060,1242.7941,
2624.149,1216.275,
2621.239,1215.8913,
2618.328,1214.939,
2615.418,1240.975,
2612.507,1241.0716,
2609.597,1232.0022,
2606.686,1248.2354,
2603.775,1252.8671,
2600.865,1267.2701,
2597.954,1275.1583,
2595.044,1300.0085,
2592.133,1302.0774,
2589.223,1292.7934,
2586.312,1306.625,
2583.401,1303.0337,
2580.491,1285.5577,
2577.580,1306.6349,
2574.670,1317.6063,
2571.759,1325.1199,
2568.848,1333.7963,
2565.938,1326.1964,
2563.027,1334.1863,
2560.117,1340.5315,
2557.206,1378.6914,
2554.296,1347.625,
2551.385,1350.691,
2548.474,1364.477,
2545.564,1390.8969,
2542.653,1366.0579,
2539.743,1353.9217,
2536.832,1369.1147,
2533.922,1380.3977,
2531.011,1424.7753,
2528.100,1414.625,
2525.190,1392.4889,
2522.279,1417.625,
2519.369,1414.0026,
2516.458,1423.9713,
2513.548,1413.5435,
2510.637,1410.4695,
2507.726,1434.2532,
2504.816,1412.2484,
2501.905,1431.8421,
2498.995,1445.0278,
2496.084,1435.625,
2493.173,1458.8363,
2490.263,1449.7041,
2487.352,1447.7951,
2484.442,1498.4794,
2481.531,1497.992,
2478.621,1491.7861,
2475.710,1545.0729,
2472.799,1486.45,
2469.889,1526.5945,
2466.978,1515.3571,
2464.068,1526.9055,
2461.157,1520.2775,
2458.247,1512.0661,
2455.336,1521.1553,
2452.425,1548.1297,
2449.515,1537.9556,
2446.604,1562.3807,
2443.694,1576.0436,
2440.783,1574.0056,
2437.872,1575.5156,
2434.962,1576.8278,
2432.051,1598.3783,
