,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_mix_1E-2mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__1__31,
Raman shift [1/cm],Intensity,
3014.167,0.125,
3011.256,-0.57515031,
3008.346,263.34935,
3005.435,315.81758,
3002.525,336.14513,
2999.614,339.88734,
2996.704,338.44356,
2993.793,351.98272,
2990.882,367.94941,
2987.972,383.15022,
2985.061,392.11515,
2982.151,407.69308,
2979.240,421.27615,
2976.329,429.40094,
2973.419,446.75581,
2970.508,469.79153,
2967.598,467.60653,
2964.687,501.42323,
2961.777,484.38119,
2958.866,504.11609,
2955.955,516.125,
2953.045,522.34426,
2950.134,536.27368,
2947.224,577.49509,
2944.313,585.6307,
2941.403,595.76825,
2938.492,604.125,
2935.581,619.61945,
2932.671,597.68725,
2929.760,627.83657,
2926.850,656.44568,
2923.939,653.63897,
2921.028,644.07176,
2918.118,666.92601,
2915.207,675.71361,
2912.297,666.16731,
2909.386,684.73813,
2906.476,671.58289,
2903.565,665.02871,
2900.654,660.79537,
2897.744,666.11243,
2894.833,660.589,
2891.923,665.4776,
2889.012,666.04407,
2886.102,655.70879,
2883.191,640.13822,
2880.280,632.5939,
2877.370,618.49131,
2874.459,611.47101,
2871.549,656.54642,
2868.638,668.62398,
2865.727,684.73649,
2862.817,683.99534,
2859.906,691.4042,
2856.996,700.16576,
2854.085,685.84348,
2851.175,687.08274,
2848.264,698.42867,
2845.353,686.62896,
2842.443,672.11107,
2839.532,681.02054,
2836.622,656.18685,
2833.711,657.39187,
2830.801,674.70736,
2827.890,663.4799,
2824.979,673.54496,
2822.069,696.19323,
2819.158,693.76381,
2816.248,675.64237,
2813.337,693.35183,
2810.427,691.77927,
2807.516,683.91641,
2804.605,687.85576,
2801.695,690.96714,
2798.784,684.60346,
2795.874,682.54451,
2792.963,689.83926,
2790.052,674.12822,
2787.142,677.125,
2784.231,679.96351,
2781.321,686.62212,
2778.410,678.29505,
2775.500,674.82741,
2772.589,702.12348,
2769.678,691.1932,
2766.768,685.64536,
2763.857,705.38897,
2760.947,717.15652,
2758.036,707.72364,
2755.126,727.21688,
2752.215,730.80675,
2749.304,724.3804,
2746.394,710.39515,
2743.483,717.87499,
2740.573,733.43258,
2737.662,701.46523,
2734.751,730.68774,
2731.841,708.20374,
2728.930,724.22672,
2726.020,720.01273,
2723.109,740.403,
2720.199,745.63434,
2717.288,744.59945,
2714.377,735.64172,
2711.467,756.89533,
2708.556,770.38016,
2705.646,754.99818,
2702.735,740.46521,
2699.825,763.26506,
2696.914,787.41092,
2694.003,779.63882,
2691.093,783.57145,
2688.182,803.21759,
2685.272,780.04534,
2682.361,776.36627,
2679.450,779.91098,
2676.540,784.0437,
2673.629,784.43888,
2670.719,799.54829,
2667.808,779.34089,
2664.898,766.50146,
2661.987,782.92513,
2659.076,782.01509,
2656.166,790.89986,
2653.255,820.78317,
2650.345,813.54786,
2647.434,828.83892,
2644.524,824.39123,
2641.613,833.63914,
2638.702,811.44062,
2635.792,819.0612,
2632.881,833.74397,
2629.971,821.42021,
2627.060,838.12562,
2624.149,839.09687,
2621.239,837.10721,
2618.328,863.15009,
2615.418,848.09319,
2612.507,836.68241,
2609.597,843.82959,
2606.686,879.48846,
2603.775,887.04564,
2600.865,885.30246,
2597.954,878.31046,
2595.044,870.38453,
2592.133,891.4053,
2589.223,907.4987,
2586.312,890.56716,
2583.401,913.47172,
2580.491,904.23561,
2577.580,892.16626,
2574.670,920.16911,
2571.759,908.85703,
2568.848,907.11955,
2565.938,919.50593,
2563.027,917.6364,
2560.117,925.91943,
2557.206,903.57888,
2554.296,953.83438,
2551.385,931.81099,
2548.474,925.90269,
2545.564,913.47321,
2542.653,939.28272,
2539.743,948.06339,
2536.832,948.59416,
2533.922,933.66115,
2531.011,961.62547,
2528.100,952.45603,
2525.190,965.82131,
2522.279,976.70292,
2519.369,970.84182,
2516.458,993.80347,
2513.548,983.66169,
2510.637,963.00203,
2507.726,965.80903,
2504.816,977.25014,
2501.905,981.37134,
2498.995,975.96107,
2496.084,989.73824,
2493.173,1002.178,
2490.263,1000.7544,
2487.352,1004.6242,
2484.442,994.83377,
2481.531,1002.2845,
2478.621,1015.1061,
2475.710,1016.125,
2472.799,1017.3582,
2469.889,1031.7898,
2466.978,1020.7541,
2464.068,1038.9399,
2461.157,1036.97,
2458.247,1043.2134,
2455.336,1054.8275,
2452.425,1048.6674,
2449.515,1064.3038,
2446.604,1045.1826,
2443.694,1057.5905,
2440.783,1076.4606,
2437.872,1075.3803,
2434.962,1089.2172,
2432.051,1102.7854,
2429.141,1089.7192,
2426.230,1092.7339,
2423.320,1098.5391,
2420.409,1095.9137,
2417.498,1095.2795,
2414.588,1094.6802,
2411.677,1130.9816,
2408.767,1127.6309,
2405.856,1129.594,
2402.946,1140.3931,
2400.035,1127.1438,
2397.124,1134.7988,
2394.214,1141.0982,
2391.303,1151.6995,
2388.393,1155.3924,
2385.482,1148.3894,
2382.571,1150.9092,
2379.661,1164.5437,
2376.750,1170.1742,
2373.840,1188.1843,
2370.929,1180.2333,
2368.019,1201.7869,
2365.108,1201.7088,
2362.197,1188.8757,
2359.287,1200.915,
2356.376,1190.1461,
2353.466,1181.6386,
2350.555,1199.7798,
2347.645,1200.2296,
2344.734,1225.6135,
2341.823,1222.2742,
2338.913,1240.3951,
2336.002,1226.8331,
2333.092,1222.9872,
2330.181,1238.5137,
2327.270,1248.015,
2324.360,1267.8396,
2321.449,1259.9107,
2318.539,1279.7427,
2315.628,1266.9915,
2312.718,1255.592,
2309.807,1304.5102,
2306.896,1297.3848,
2303.986,1293.2938,
2301.075,1283.742,
2298.165,1260.1822,
2295.254,1283.4787,
2292.344,1270.7515,
2289.433,1295.4995,
2286.522,1316.9062,
2283.612,1307.1135,
2280.701,1324.0891,
2277.791,1313.9666,
2274.880,1332.199,
2271.969,1323.9645,
2269.059,1348.3784,
2266.148,1364.0182,
2263.238,1363.9242,
2260.327,1404.9868,
2257.417,1381.5811,
2254.506,1393.0566,
2251.595,1377.2741,
2248.685,1393.4845,
2245.774,1391.2131,
2242.864,1385.8108,
2239.953,1407.1664,
2237.043,1407.2557,
2234.132,1430.2834,
2231.221,1440.3886,
2228.311,1434.2964,
2225.400,1432.6035,
2222.490,1453.5811,
2219.579,1488.1688,
2216.669,1504.6846,
2213.758,1522.1303,
2210.847,1539.7371,
2207.937,1527.6543,
2205.026,1536.2358,
2202.116,1558.2354,
2199.205,1588.113,
2196.294,1589.927,
2193.384,1619.019,
2190.473,1628.841,
2187.563,1672.3618,
2184.652,1722.7817,
2181.742,1752.5139,
2178.831,1836.3002,
2175.920,1914.9319,
2173.010,1988.4289,
2170.099,2092.9152,
2167.189,2197.2372,
2164.278,2364.1843,
2161.368,2475.835,
2158.457,2603.6751,
2155.546,2715.5463,
2152.636,2851.3162,
2149.725,2949.2122,
2146.815,3041.3554,
2143.904,3088.835,
2140.993,3126.1619,
2138.083,3182.6204,
2135.172,3200.6712,
2132.262,3170.7157,
2129.351,3103.2626,
2126.441,3055.2026,
2123.530,2922.7893,
2120.619,2782.2819,
2117.709,2599.3082,
2114.798,2448.8899,
2111.888,2339.4646,
2108.977,2193.0388,
2106.067,2100.998,
2103.156,2023.2575,
2100.245,1936.093,
2097.335,1878.6224,
2094.424,1833.2791,
2091.514,1806.5172,
2088.603,1746.125,
2085.692,1749.0804,
2082.782,1709.4224,
2079.871,1737.3058,
2076.961,1699.4185,
2074.050,1686.3189,
2071.140,1687.3896,
2068.229,1670.9479,
2065.318,1674.311,
2062.408,1680.7536,
2059.497,1688.3572,
2056.587,1656.5675,
2053.676,1653.0075,
2050.766,1683.8156,
2047.855,1646.1852,
2044.944,1614.258,
2042.034,1620.5759,
2039.123,1642.5459,
2036.213,1640.5116,
2033.302,1645.0595,
2030.391,1627.9225,
2027.481,1660.7099,
2024.570,1675.5965,
2021.660,1633.7267,
2018.749,1639.125,
2015.839,1645.0436,
2012.928,1679.677,
2010.017,1661.9567,
2007.107,1652.4745,
2004.196,1656.1012,
2001.286,1657.542,
1998.375,1656.3415,
1995.465,1635.4598,
1992.554,1620.4839,
1989.643,1629.7448,
1986.733,1639.6803,
1983.822,1615.6767,
1980.912,1619.2037,
1978.001,1606.023,
1975.090,1614.3509,
1972.180,1596.8843,
1969.269,1608.9383,
1966.359,1624.7737,
1963.448,1628.7776,
1960.538,1617.9524,
1957.627,1617.7999,
1954.716,1622.0101,
1951.806,1612.3237,
1948.895,1612.4267,
1945.985,1593.2525,
1943.074,1620.7707,
1940.164,1619.4517,
1937.253,1595.3903,
1934.342,1595.6806,
1931.432,1607.8979,
1928.521,1566.6673,
1925.611,1576.0013,
1922.700,1563.0076,
1919.790,1631.0548,
1916.879,1568.705,
1913.968,1572.1139,
1911.058,1608.143,
1908.147,1577.6009,
1905.237,1567.2795,
1902.326,1577.6213,
1899.415,1541.7177,
1896.505,1551.125,
1893.594,1565.2074,
1890.684,1577.478,
1887.773,1582.3661,
1884.863,1591.6763,
1881.952,1614.0498,
1879.041,1625.3945,
1876.131,1586.2204,
1873.220,1568.4082,
1870.310,1567.125,
1867.399,1578.9331,
1864.489,1608.9178,
1861.578,1577.5372,
1858.667,1563.4454,
1855.757,1575.7085,
1852.846,1598.8993,
1849.936,1604.9628,
1847.025,1607.2929,
1844.114,1650.5509,
1841.204,1655.3208,
1838.293,1632.6591,
1835.383,1615.9505,
1832.472,1629.2067,
1829.562,1674.4531,
1826.651,1689.971,
1823.740,1692.2208,
1820.830,1657.0853,
1817.919,1664.0413,
1815.009,1702.3744,
1812.098,1666.8337,
1809.188,1667.7529,
1806.277,1636.8332,
1803.366,1721.1601,
1800.456,1666.9828,
1797.545,1715.0187,
1794.635,1702.577,
1791.724,1702.0278,
1788.813,1751.1237,
1785.903,1755.5668,
1782.992,1786.3441,
1780.082,1774.9404,
1777.171,1721.7883,
1774.261,1713.8701,
1771.350,1757.7425,
1768.439,1786.5895,
1765.529,1777.1297,
1762.618,1791.1818,
1759.708,1782.299,
1756.797,1796.5795,
1753.887,1807.2023,
1750.976,1814.663,
1748.065,1846.0036,
1745.155,1876.2604,
1742.244,1861.9366,
1739.334,1860.7109,
1736.423,1877.8427,
1733.512,1891.1291,
1730.602,1891.8809,
1727.691,1893.428,
1724.781,1919.2955,
1721.870,1934.1727,
1718.960,1900.769,
1716.049,1940.9466,
1713.138,1992.8748,
1710.228,1987.9408,
1707.317,1965.7799,
1704.407,2032.3016,
1701.496,2055.6213,
1698.586,2050.6571,
1695.675,2047.3179,
1692.764,2100.1414,
1689.854,2076.3376,
1686.943,2123.4387,
1684.033,2142.6779,
1681.122,2166.7172,
1678.211,2181.9822,
1675.301,2301.755,
1672.390,2291.2207,
1669.480,2323.9031,
1666.569,2420.9756,
1663.659,2487.664,
1660.748,2521.8796,
1657.837,2613.0714,
1654.927,2700.453,
1652.016,2716.3605,
1649.106,2807.5449,
1646.195,2864.5086,
1643.285,2883.543,
1640.374,3030.355,
1637.463,3042.0618,
1634.553,3094.1151,
1631.642,3161.7754,
1628.732,3313.0079,
1625.821,3461.197,
1622.911,3570.5051,
1620.000,3783.4163,
1617.089,3964.5031,
1614.179,4169.2874,
1611.268,4327.2509,
1608.358,4573.3256,
1605.447,4699.2116,
1602.536,4725.6946,
1599.626,4805.3193,
1596.715,4803.049,
1593.805,4756.5141,
1590.894,4721.1822,
1587.984,4715.3928,
1585.073,4698.1087,
1582.162,4698.4645,
1579.252,4612.3851,
1576.341,4597.1303,
1573.431,4598.125,
1570.520,4553.0268,
1567.610,4501.8695,
1564.699,4480.4246,
1561.788,4401.0694,
1558.878,4302.2142,
1555.967,4176.6499,
1553.057,4116.6424,
1550.146,4076.3251,
1547.235,4011.4408,
1544.325,3965.2901,
1541.414,3908.8403,
1538.504,3834.1312,
1535.593,3777.7008,
1532.683,3712.4013,
1529.772,3650.9127,
1526.861,3607.5597,
1523.951,3543.5072,
1521.040,3500.2736,
1518.130,3471.8572,
1515.219,3431.9655,
1512.309,3403.9853,
1509.398,3359.6061,
1506.487,3339.912,
1503.577,3364.2505,
1500.666,3302.8039,
1497.756,3314.0654,
1494.845,3287.364,
1491.934,3244.7281,
1489.024,3123.454,
1486.113,3189.5934,
1483.203,3140.9468,
1480.292,3083.2143,
1477.382,3073.3168,
1474.471,3074.6598,
1471.560,3030.8594,
1468.650,2992.2602,
1465.739,2995.5753,
1462.829,2960.751,
1459.918,2938.7549,
1457.008,2971.5407,
1454.097,2969.9334,
1451.186,2958.3339,
1448.276,2972.9973,
1445.365,2961.9133,
1442.455,2993.125,
1439.544,2969.569,
1436.633,2899.3107,
1433.723,2942.6537,
1430.812,2875.0168,
1427.902,2860.4034,
1424.991,2830.075,
1422.081,2782.3337,
1419.170,2814.4155,
1416.259,2803.9237,
1413.349,2814.4746,
1410.438,2777.1382,
1407.528,2800.3245,
1404.617,2800.8141,
1401.707,2786.1849,
1398.796,2766.3558,
1395.885,2790.2514,
1392.975,2857.4792,
1390.064,2864.8941,
1387.154,2851.4501,
1384.243,2752.0557,
1381.332,2751.6422,
1378.422,2833.7284,
1375.511,2942.395,
1372.601,3036.282,
1369.690,3140.1339,
1366.780,3119.6914,
1363.869,3221.276,
1360.958,3324.5251,
1358.048,3372.7377,
1355.137,3441.9502,
1352.227,3557.2626,
1349.316,3664.3978,
1346.406,3736.8382,
1343.495,3808.7854,
1340.584,3886.6607,
1337.674,3889.4466,
1334.763,3894.9125,
1331.853,3968.1638,
1328.942,3967.5671,
1326.032,4101.7024,
1323.121,4115.0828,
1320.210,4168.3919,
1317.300,4206.9785,
1314.389,4257.8342,
1311.479,4323.7171,
1308.568,4393.636,
1305.657,4482.9492,
1302.747,4567.5192,
1299.836,4717.1447,
1296.926,4765.0816,
1294.015,4871.7231,
1291.105,5044.3085,
1288.194,5165.3704,
1285.283,5301.8215,
1282.373,5429.6559,
1279.462,5484.7131,
1276.552,5511.0306,
1273.641,5551.4481,
1270.731,5589.2981,
1267.820,5610.7238,
1264.909,5584.2013,
1261.999,5541.0251,
1259.088,5538.2888,
1256.178,5434.4938,
