,PL284A~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.875,
3011.256,2.9750215,
3008.346,33.341148,
3005.435,9.6064496,
3002.525,27.140101,
2999.614,21.004909,
2996.704,35.01624,
2993.793,9.6088718,
2990.882,20.745235,
2987.972,19.829595,
2985.061,17.968605,
2982.151,20.710289,
2979.240,12.371173,
2976.329,35.129095,
2973.419,25.582831,
2970.508,24.191644,
2967.598,37.205923,
2964.687,26.740489,
2961.777,17.19111,
2958.866,47.215262,
2955.955,41.669243,
2953.045,32.608784,
2950.134,27.385186,
2947.224,21.928346,
2944.313,48.436965,
2941.403,41.220346,
2938.492,43.449527,
2935.581,45.579293,
2932.671,42.716213,
2929.760,48.340384,
2926.850,48.822744,
2923.939,45.996507,
2921.028,61.681092,
2918.118,42.055101,
2915.207,44.05223,
2912.297,45.870769,
2909.386,49.079378,
2906.476,40.394677,
2903.565,43.053527,
2900.654,34.662649,
2897.744,42.812139,
2894.833,34.163729,
2891.923,27.253199,
2889.012,29.747833,
2886.102,36.270947,
2883.191,-0.091015386,
2880.280,-25.388171,
2877.370,-151.02004,
2874.459,-196.25688,
2871.549,-114.33491,
2868.638,-27.438443,
2865.727,-0.96349039,
2862.817,14.518045,
2859.906,22.419161,
2856.996,36.295748,
2854.085,59.156522,
2851.175,49.73045,
2848.264,37.664168,
2845.353,32.306341,
2842.443,53.472215,
2839.532,45.009394,
2836.622,31.605466,
2833.711,46.349097,
2830.801,44.975735,
2827.890,43.229902,
2824.979,49.442982,
2822.069,57.988721,
2819.158,70.155326,
2816.248,60.427107,
2813.337,69.493303,
2810.427,49.441117,
2807.516,53.76703,
2804.605,61.487982,
2801.695,58.217094,
2798.784,45.540308,
2795.874,54.880284,
2792.963,48.589255,
2790.052,54.873499,
2787.142,55.335655,
2784.231,60.359483,
2781.321,39.069345,
2778.410,58.949869,
2775.500,54.982244,
2772.589,60.413228,
2769.678,61.052454,
2766.768,61.816742,
2763.857,56.40294,
2760.947,66.856087,
2758.036,52.862195,
2755.126,59.684829,
2752.215,65.256897,
2749.304,71.747301,
2746.394,60.393162,
2743.483,63.124965,
2740.573,60.116108,
2737.662,55.864648,
2734.751,48.316756,
2731.841,63.929951,
2728.930,63.773283,
2726.020,61.869792,
2723.109,59.648166,
2720.199,67.071945,
2717.288,59.050184,
2714.377,75.678943,
2711.467,68.121149,
2708.556,65.21521,
2705.646,73.720073,
2702.735,81.717791,
2699.825,76.691307,
2696.914,74.827744,
2694.003,72.544914,
2691.093,85.660798,
2688.182,67.254998,
2685.272,82.158074,
2682.361,65.992903,
2679.450,61.660978,
2676.540,73.956296,
2673.629,74.888469,
2670.719,66.948012,
2667.808,72.534551,
2664.898,78.017999,
2661.987,72.708389,
2659.076,64.400869,
2656.166,65.294886,
2653.255,73.800171,
2650.345,79.011117,
2647.434,66.589777,
2644.524,79.855792,
2641.613,86.961111,
2638.702,86.001248,
2635.792,73.405412,
2632.881,81.029742,
2629.971,68.787672,
2627.060,90.542498,
2624.149,83.875,
2621.239,72.602766,
2618.328,64.595583,
2615.418,78.55227,
2612.507,85.66547,
2609.597,91.058633,
2606.686,78.68022,
2603.775,78.835318,
2600.865,79.110492,
2597.954,76.641625,
2595.044,88.571189,
2592.133,80.652058,
2589.223,90.573957,
2586.312,94.558409,
2583.401,89.345775,
2580.491,86.134595,
2577.580,83.868399,
2574.670,78.491314,
2571.759,84.233727,
2568.848,86.935748,
2565.938,111.49422,
2563.027,86.313653,
2560.117,76.790877,
2557.206,84.723707,
2554.296,83.733124,
2551.385,91.817039,
2548.474,111.65307,
2545.564,86.887977,
2542.653,106.96895,
2539.743,113.01055,
2536.832,87.52733,
2533.922,89.938077,
2531.011,95.249884,
2528.100,98.341897,
2525.190,101.82787,
2522.279,101.64051,
2519.369,90.233893,
2516.458,79.87854,
2513.548,101.67475,
2510.637,100.79724,
2507.726,112.68912,
2504.816,98.311298,
2501.905,104.67195,
2498.995,114.57641,
2496.084,110.48824,
2493.173,94.190229,
2490.263,110.98691,
2487.352,101.08367,
2484.442,108.43816,
2481.531,115.40159,
2478.621,102.82282,
2475.710,129.73698,
2472.799,107.92886,
2469.889,100.23789,
2466.978,99.823501,
2464.068,122.77456,
2461.157,98.414962,
2458.247,105.30148,
2455.336,113.12941,
2452.425,108.85141,
2449.515,117.75234,
2446.604,115.11234,
2443.694,103.73518,
2440.783,119.73649,
2437.872,104.83854,
2434.962,105.18836,
2432.051,117.16528,
2429.141,131.56904,
2426.230,111.43959,
2423.320,126.07472,
2420.409,125.01627,
2417.498,118.83288,
2414.588,118.24767,
2411.677,121.26944,
2408.767,129.34547,
2405.856,132.66304,
2402.946,132.55329,
2400.035,121.48063,
2397.124,112.22259,
2394.214,124.8214,
2391.303,116.54912,
2388.393,112.59362,
2385.482,93.84436,
2382.571,86.736087,
2379.661,79.967949,
2376.750,103.0818,
