,PL328E~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2.375,
3011.256,-0.375,
3008.346,32.889213,
3005.435,5.2045085,
3002.525,13.662472,
2999.614,10.566591,
2996.704,28.943557,
2993.793,23.138824,
2990.882,19.40359,
2987.972,37.483741,
2985.061,16.718605,
2982.151,21.221635,
2979.240,36.840774,
2976.329,35.614079,
2973.419,39.809596,
2970.508,43.091653,
2967.598,19.816165,
2964.687,24.102581,
2961.777,21.001032,
2958.866,42.633908,
2955.955,31.383849,
2953.045,33.560137,
2950.134,42.380093,
2947.224,33.422127,
2944.313,52.085825,
2941.403,43.363138,
2938.492,49.177837,
2935.581,47.66793,
2932.671,51.028465,
2929.760,56.328827,
2926.850,59.841164,
2923.939,50.625,
2921.028,52.166192,
2918.118,64.004092,
2915.207,53.681926,
2912.297,59.59115,
2909.386,61.062944,
2906.476,47.602566,
2903.565,52.092405,
2900.654,57.013272,
2897.744,63.625,
2894.833,58.264275,
2891.923,58.734003,
2889.012,40.075869,
2886.102,64.625,
2883.191,57.631608,
2880.280,120.07955,
2877.370,110.43321,
2874.459,48.788697,
2871.549,46.506194,
2868.638,49.354875,
2865.727,41.255776,
2862.817,47.368308,
2859.906,44.080839,
2856.996,51.606885,
2854.085,70.589313,
2851.175,53.528633,
2848.264,52.120165,
2845.353,46.250444,
2842.443,65.041711,
2839.532,42.087738,
2836.622,46.259767,
2833.711,57.557521,
2830.801,50.344845,
2827.890,50.457158,
2824.979,54.254934,
2822.069,68.488535,
2819.158,60.045489,
2816.248,58.901054,
2813.337,70.129888,
2810.427,58.750337,
2807.516,54.99922,
2804.605,65.012018,
2801.695,58.664466,
2798.784,53.772846,
2795.874,53.759554,
2792.963,62.910745,
2790.052,59.625858,
2787.142,65.21727,
2784.231,67.722845,
2781.321,56.247838,
2778.410,54.774739,
2775.500,58.327415,
2772.589,59.047785,
2769.678,59.730777,
2766.768,60.75509,
2763.857,66.83309,
2760.947,47.128152,
2758.036,74.733444,
2755.126,72.244658,
2752.215,72.752299,
2749.304,70.263494,
2746.394,67.741911,
2743.483,72.325014,
2740.573,78.49672,
2737.662,58.838021,
2734.751,58.207441,
2731.841,62.625,
2728.930,59.400429,
2726.020,68.079283,
2723.109,69.418917,
2720.199,75.372032,
2717.288,62.957125,
2714.377,74.23746,
2711.467,69.838186,
2708.556,64.018685,
2705.646,61.625,
2702.735,81.127579,
2699.825,73.35405,
2696.914,85.292302,
2694.003,85.781094,
2691.093,87.374707,
2688.182,83.443519,
2685.272,78.863975,
2682.361,74.531113,
2679.450,64.332816,
2676.540,74.584352,
2673.629,71.297653,
2670.719,71.836647,
2667.808,86.944102,
2664.898,85.625,
2661.987,82.791611,
2659.076,93.717663,
2656.166,61.8674,
2653.255,76.769562,
2650.345,79.568738,
2647.434,71.540121,
2644.524,96.833607,
2641.613,80.081944,
2638.702,84.498752,
2635.792,92.251117,
2632.881,91.130826,
2629.971,80.047718,
2627.060,82.290003,
2624.149,94.246877,
2621.239,89.619071,
2618.328,83.86203,
2615.418,72.597735,
2612.507,88.968857,
2609.597,79.818612,
2606.686,89.04066,
2603.775,90.946431,
2600.865,89.50894,
2597.954,82.397821,
2595.044,112.66928,
2592.133,94.675875,
2589.223,98.540798,
2586.312,97.283295,
