,PL3ADE~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.625,
3011.256,0.47502147,
3008.346,85.682148,
3005.435,72.495147,
3002.525,99.337528,
2999.614,104.85033,
2996.704,107.05644,
2993.793,98.003456,
2990.882,106.67265,
2987.972,124.25897,
2985.061,101.375,
2982.151,112.82375,
2979.240,107.32462,
2976.329,125.15367,
2973.419,122.06691,
2970.508,134.05836,
2967.598,124.89709,
2964.687,124.92663,
2961.777,128.12706,
2958.866,140.38094,
2955.955,133.8927,
2953.045,149.64122,
2950.134,146.375,
2947.224,153.74509,
2944.313,166.375,
2941.403,158.55338,
2938.492,166.08774,
2935.581,182.27803,
2932.671,161.53812,
2929.760,176.84038,
2926.850,174.47951,
2923.939,177.89368,
2921.028,191.62215,
2918.118,194.95308,
2915.207,178.78639,
2912.297,181.36231,
2909.386,185.3823,
2906.476,176.28232,
2903.565,176.44019,
2900.654,177.60956,
2897.744,171.27442,
2894.833,165.02445,
2891.923,164.1314,
2889.012,164.91835,
2886.102,149.10609,
2883.191,135.38161,
2880.280,94.288863,
2877.370,-40.508377,
2874.459,-180.06487,
2871.549,-47.597831,
2868.638,125.65944,
2865.727,128.08653,
2862.817,159.79075,
2859.906,165.76815,
2856.996,187.36141,
2854.085,203.57881,
2851.175,192.32682,
2848.264,200.934,
2845.353,184.48284,
2842.443,194.96525,
2839.532,207.25557,
2836.622,196.04362,
2833.711,202.21958,
2830.801,198.47574,
2827.890,197.7299,
2824.979,205.22697,
2822.069,207.6593,
2819.158,222.49359,
2816.248,203.38658,
2813.337,233.85916,
2810.427,204.94112,
2807.516,204.21672,
2804.605,217.78365,
2801.695,214.28288,
2798.784,202.96638,
2795.874,209.65996,
2792.963,208.44638,
2790.052,219.37243,
2787.142,223.34877,
2784.231,218.8921,
2781.321,209.18642,
2778.410,207.20495,
2775.500,212.97017,
2772.589,229.49044,
2769.678,231.30332,
2766.768,221.01188,
2763.857,240.63704,
2760.947,228.35609,
2758.036,242.31778,
2755.126,229.56517,
2752.215,236.22507,
2749.304,241.375,
2746.394,242.73993,
2743.483,245.87498,
2740.573,256.5852,
2737.662,241.69453,
2734.751,232.93324,
2731.841,246.75413,
2728.930,245.47672,
2726.020,246.26794,
2723.109,232.52992,
2720.199,246.70947,
2717.288,239.90055,
2714.377,244.50418,
2711.467,258.60467,
2708.556,248.24742,
2705.646,249.60036,
2702.735,264.05542,
2699.825,269.54951,
2696.914,267.85137,
2694.003,260.65955,
2691.093,266.24985,
2688.182,257.02907,
2685.272,278.73773,
2682.361,264.28111,
2679.450,276.02512,
2676.540,264.35468,
2673.629,259.7248,
2670.719,271.64488,
2667.808,280.47227,
2664.898,271.34873,
2661.987,289.50836,
2659.076,283.39225,
2656.166,285.18026,
2653.255,275.66922,
2650.345,285.29515,
2647.434,279.43273,
2644.524,299.44454,
2641.613,305.97525,
2638.702,283.80109,
2635.792,289.3431,
2632.881,294.95237,
2629.971,291.88505,
2627.060,301.20906,
2624.149,302.26562,
2621.239,297.5998,
2618.328,298.12068,
2615.418,298.67955,
2612.507,305.16949,
2609.597,313.18139,
2606.686,298.51758,
2603.775,302.57341,
2600.865,305.02008,
2597.954,306.90825,
2595.044,332.41928,
