,PL3EC8~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.375,
3011.256,-0.07493558,
3008.346,47.869869,
3005.435,51.858219,
3002.525,64.417506,
2999.614,70.427618,
2996.704,79.899228,
2993.793,68.120392,
2990.882,77.838707,
2987.972,76.60482,
2985.061,72.18165,
2982.151,79.551057,
2979.240,84.006165,
2976.329,88.862714,
2973.419,89.732573,
2970.508,102.02496,
2967.598,92.194879,
2964.687,94.131793,
2961.777,92.94111,
2958.866,105.29662,
2955.955,102.41924,
2953.045,116.87331,
2950.134,108.86991,
2947.224,107.27978,
2944.313,129.17557,
2941.403,132.97035,
2938.492,126.625,
2935.581,128.03359,
2932.671,125.74517,
2929.760,127.15962,
2926.850,130.46823,
2923.939,127.58293,
2921.028,136.93679,
2918.118,139.36429,
2915.207,129.5047,
2912.297,133.59538,
2909.386,140.82208,
2906.476,129.14468,
2903.565,148.85167,
2900.654,129.73118,
2897.744,144.42384,
2894.833,124.50137,
2891.923,118.625,
2889.012,126.03541,
2886.102,131.52366,
2883.191,111.63444,
2880.280,113.247,
2877.370,19.491518,
2874.459,-23.267937,
2871.549,31.178009,
2868.638,109.99403,
2865.727,121.70575,
2862.817,125.43917,
2859.906,134.28312,
2856.996,139.09103,
2854.085,165.11033,
2851.175,161.54976,
2848.264,153.82616,
2845.353,132.71127,
2842.443,144.21177,
2839.532,149.41608,
2836.622,135.11393,
2833.711,161.98765,
2830.801,161.43088,
2827.890,152.87676,
2824.979,167.40296,
2822.069,182.49991,
2819.158,165.16408,
2816.248,165.83158,
2813.337,176.33599,
2810.427,157.79442,
2807.516,166.46672,
2804.605,166.82933,
2801.695,167.05921,
2798.784,174.03362,
2795.874,156.32419,
2792.963,162.26766,
2790.052,176.62092,
2787.142,174.59877,
2784.231,174.39986,
2781.321,154.2536,
2778.410,167.35976,
2775.500,162.6688,
2772.589,174.77943,
2769.678,181.76835,
2766.768,178.0017,
2763.857,188.67702,
2760.947,184.6313,
2758.036,188.16642,
2755.126,184.86432,
2752.215,181.09318,
2749.304,185.85881,
2746.394,197.98993,
2743.483,205.52496,
2740.573,213.625,
2737.662,185.95488,
2734.751,180.83378,
2731.841,183.97665,
2728.930,188.66727,
2726.020,196.50752,
2723.109,187.19208,
2720.199,202.39071,
2717.288,194.97537,
2714.377,209.07484,
2711.467,203.00193,
2708.556,206.01868,
2705.646,209.54051,
2702.735,208.97037,
2699.825,210.35405,
2696.914,224.72094,
2694.003,220.36809,
2691.093,223.08949,
2688.182,220.22426,
2685.272,229.95217,
2682.361,207.47216,
2679.450,210.41098,
2676.540,211.11278,
2673.629,225.99724,
2670.719,215.04829,
2667.808,217.67364,
2664.898,232.18336,
2661.987,232.09158,
2659.076,215.53234,
2656.166,218.20511,
2653.255,214.99405,
2650.345,231.16947,
2647.434,230.39665,
2644.524,236.69454,
2641.613,240.48232,
2638.702,245.59344,
2635.792,234.71773,
2632.881,235.69655,
2629.971,248.94726,
2627.060,236.9575,
2624.149,244.54375,
2621.239,241.86759,
2618.328,239.11635,
2615.418,230.27955,
2612.507,256.10318,
2609.597,241.37949,
2606.686,237.74148,
2603.775,259.26786,
2600.865,266.33148,
2597.954,268.86457,
2595.044,263.38319,
2592.133,245.68236,
2589.223,262.78186,
2586.312,275.54966,
2583.401,258.82937,
2580.491,257.35096,
2577.580,265.63655,
2574.670,272.34826,
2571.759,276.02911,
2568.848,275.50896,
2565.938,276.57731,
2563.027,281.60003,
2560.117,258.73712,
2557.206,270.41836,
2554.296,277.9385,
2551.385,272.87298,
2548.474,310.03319,
2545.564,277.23943,
2542.653,291.25587,
2539.743,299.71126,
2536.832,288.09416,
2533.922,285.86154,
2531.011,301.44993,
2528.100,298.82708,
2525.190,308.85533,
2522.279,325.49945,
2519.369,300.21005,
2516.458,282.39412,
2513.548,312.2699,
2510.637,311.50203,
2507.726,307.43912,
2504.816,298.12443,
2501.905,301.11768,
2498.995,302.64022,
2496.084,317.39851,
2493.173,311.86175,
2490.263,310.42274,
2487.352,322.83367,
2484.442,327.3402,
2481.531,317.67296,
2478.621,318.8383,
2475.710,337.60966,
2472.799,332.41876,
2469.889,321.1707,
2466.978,326.11978,
2464.068,342.99013,
2461.157,330.00511,
2458.247,320.86041,
2455.336,341.21992,
2452.425,326.79479,
2449.515,333.88903,
2446.604,332.85538,
2443.694,342.95066,
2440.783,348.67342,
2437.872,344.60955,
2434.962,361.16879,
2432.051,347.30425,
2429.141,356.35447,
2426.230,356.49462,
2423.320,379.46788,
2420.409,367.65726,
2417.498,364.58288,
2414.588,352.55285,
2411.677,343.4856,
2408.767,367.13091,
2405.856,381.75826,
2402.946,375.40427,
2400.035,371.91843,
2397.124,365.76937,
2394.214,384.78581,
2391.303,371.01728,
2388.393,359.17381,
2385.482,347.02156,
2382.571,337.29594,
2379.661,329.67162,
2376.750,342.19875,
2373.840,379.80303,
2370.929,408.37592,
2368.019,387.27587,
2365.108,388.74018,
2362.197,395.44416,
2359.287,401.40662,
2356.376,421.5933,
2353.466,423.08053,
2350.555,408.22999,
2347.645,411.17731,
2344.734,415.98906,
2341.823,424.49233,
2338.913,426.73693,
2336.002,419.28771,
2333.092,406.8665,
2330.181,423.50474,
2327.270,407.94513,
2324.360,416.71694,
2321.449,436.625,
2318.539,437.1357,
2315.628,441.11221,
2312.718,447.92456,
2309.807,444.625,
2306.896,444.625,
2303.986,445.93021,
2301.075,448.24202,
2298.165,458.2021,
2295.254,441.05586,
2292.344,450.35941,
2289.433,460.96864,
2286.522,475.94633,
2283.612,483.48469,
2280.701,478.16312,
2277.791,475.38455,
2274.880,471.76496,
2271.969,483.10648,
2269.059,497.00376,
2266.148,492.68176,
2263.238,486.82577,
2260.327,480.69397,
2257.417,482.57389,
2254.506,494.12076,
2251.595,488.35602,
2248.685,509.24218,
2245.774,492.79033,
2242.864,494.46788,
2239.953,509.81115,
2237.043,515.55965,
2234.132,503.77047,
2231.221,502.0462,
2228.311,514.80282,
2225.400,510.96274,
2222.490,522.06798,
2219.579,524.75356,
2216.669,544.5773,
2213.758,535.70864,
2210.847,532.07335,
2207.937,544.1771,
2205.026,565.62529,
2202.116,553.42968,
2199.205,548.22453,
2196.294,554.25301,
2193.384,560.15101,
2190.473,549.8973,
2187.563,614.52833,
2184.652,591.61276,
2181.742,571.67009,
2178.831,587.48891,
2175.920,604.38456,
2173.010,626.80244,
2170.099,604.82886,
2167.189,620.82591,
2164.278,648.1848,
2161.368,645.625,
2158.457,640.54148,
2155.546,648.20003,
2152.636,633.14635,
2149.725,664.90013,
2146.815,669.75848,
2143.904,668.93725,
2140.993,701.18581,
2138.083,704.51864,
2135.172,683.72576,
2132.262,677.8838,
2129.351,704.28031,
2126.441,693.95504,
2123.530,696.625,
2120.619,692.35912,
