,PL51DF~1,
Wavenumbers [1/cm],Intensity,
3014.167,2,
3011.256,-2,
3008.346,15.081623,
3005.435,9.5795085,
3002.525,16.452461,
2999.614,13.089627,
2996.704,27.088658,
2993.793,16.486176,
2990.882,24.175588,
2987.972,36.828471,
2985.061,6.9901529,
2982.151,24.329422,
2979.240,20.431547,
2976.329,35.259556,
2973.419,40.861876,
2970.508,31.933307,
2967.598,27.474297,
2964.687,26.55163,
2961.777,32.470039,
2958.866,25.671616,
2955.955,36.453518,
2953.045,34.183446,
2950.134,36.212831,
2947.224,25.024877,
2944.313,54.157407,
2941.403,49.607208,
2938.492,44.436318,
2935.581,52.930051,
2932.671,41.922772,
2929.760,52.257687,
2926.850,49,
2923.939,46.640188,
2921.028,48.311788,
2918.118,58.658688,
2915.207,39.170777,
2912.297,54.906911,
2909.386,49.810216,
2906.476,39.488783,
2903.565,52.322966,
2900.654,44.164816,
2897.744,49.075433,
2894.833,56.649454,
2891.923,48.458296,
2889.012,44.66474,
2886.102,57.644588,
2883.191,75.986784,
2880.280,122.14834,
2877.370,95.209499,
2874.459,83.905346,
2871.549,26.907832,
2868.638,43.047406,
2865.727,38.153878,
2862.817,38.114962,
2859.906,47.632483,
2856.996,48.44792,
2854.085,67.922283,
2851.175,58.331358,
2848.264,61.485495,
2845.353,46.517609,
2842.443,64.809052,
2839.532,54.671656,
2836.622,50.455078,
2833.711,47.740966,
2830.801,45.697795,
2827.890,49.606665,
2824.979,58.790022,
2822.069,64.874907,
2819.158,52.859837,
2816.248,51.747105,
2813.337,75.370747,
2810.427,54.169415,
2807.516,51.899376,
2804.605,53.225965,
2801.695,58.565791,
2798.784,48.813154,
2795.874,52.139838,
2792.963,45.356913,
2790.052,50.997641,
2787.142,52.815924,
2784.231,53.517098,
2781.321,42.440022,
2778.410,50.244922,
2775.500,59.658618,
2772.589,55.115443,
2769.678,58.320808,
2766.768,62.623303,
2763.857,58.262041,
2760.947,48.496848,
2758.036,59.859944,
2755.126,76.006406,
2752.215,66.445546,
2749.304,66.021591,
2746.394,60.963676,
2743.483,68.150016,
2740.573,71.210204,
2737.662,51.680469,
2734.751,56.534047,
2731.841,72.622718,
2728.930,55.69485,
2726.020,62.775463,
2723.109,64.546333,
2720.199,68.903228,
2717.288,63.244533,
2714.377,72.74164,
2711.467,59.573629,
2708.556,68.606315,
2705.646,56.633765,
2702.735,80.659789,
2699.825,71.065443,
2696.914,76.905012,
