,PL5D13~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.375,
3011.256,1.1750107,
3008.346,33.889213,
3005.435,20.473059,
3002.525,45.475112,
2999.614,54.149673,
2996.704,45.129126,
2993.793,48.24424,
2990.882,53.754765,
2987.972,60.579595,
2985.061,48.078197,
2982.151,52.43173,
2979.240,49.955782,
2976.329,50.100429,
2973.419,57.178787,
2970.508,57.158347,
2967.598,45.150703,
2964.687,59.445652,
2961.777,64.530992,
2958.866,67.622031,
2955.955,62.518817,
2953.045,74.009799,
2950.134,67.645372,
2947.224,69.052032,
2944.313,80.478988,
2941.403,73.148723,
2938.492,80.890573,
2935.581,75.850758,
2932.671,76.26448,
2929.760,78.971162,
2926.850,78.886279,
2923.939,84.863305,
2921.028,97.560364,
2918.118,75.426009,
2915.207,73.618547,
2912.297,76.582687,
2909.386,95.245432,
2906.476,79.439638,
2903.565,88.96501,
2900.654,76.800921,
2897.744,93.448989,
2894.833,73.027184,
2891.923,70.923103,
2889.012,54.081648,
2886.102,52.376359,
2883.191,35.636328,
2880.280,-3.1932044,
2877.370,-137.2817,
2874.459,-224.0352,
2871.549,-123.08465,
2868.638,22.315646,
2865.727,35.967306,
2862.817,49.739962,
2859.906,51.473994,
2856.996,80.095563,
2854.085,98.068298,
2851.175,83.149092,
2848.264,85.909333,
2845.353,78.926938,
2842.443,86.635445,
2839.532,85.386147,
2836.622,90.535155,
2833.711,101.40994,
2830.801,89.538965,
2827.890,92.605783,
2824.979,99.341009,
2822.069,97.681861,
2819.158,101.86489,
2816.248,105.85474,
2813.337,117.33599,
2810.427,93.058883,
2807.516,92.941563,
2804.605,99.44231,
2801.695,104.32237,
2798.784,95.438154,
2795.874,94.888823,
2792.963,102.76755,
2790.052,103.62328,
2787.142,98.21727,
2784.231,99.303592,
2781.321,109.61924,
2778.410,96.699869,
2775.500,109.5812,
2772.589,111.47057,
2769.678,105.40997,
2766.768,107.0017,
2763.857,107.88897,
2760.947,114.625,
2758.036,108.69503,
2755.126,111.72329,
2752.215,112.66602,
2749.304,113.64659,
2746.394,108.47176,
2743.483,111.625,
2740.573,113.39934,
2737.662,101.75221,
2734.751,117.6492,
2731.841,116.27335,
2728.930,103.34099,
2726.020,115.17593,
2723.109,112.51158,
2720.199,125.4688,
2717.288,121.43157,
2714.377,128.10828,
2711.467,134.03489,
2708.556,129.01868,
2705.646,118.17427,
2702.735,128.46263,
2699.825,127.24498,
2696.914,140.24457,
2694.003,136.08354,
2691.093,127.4108,
2688.182,132.67982,
2685.272,130.74876,
2682.361,119.83679,
2679.450,129.95006,
2676.540,103.2144,
2673.629,133.94786,
2670.719,136.05568,
2667.808,131.77091,
2664.898,139.66391,
2661.987,142.625,
2659.076,143.49784,
2656.166,133.8674,
2653.255,139.625,
2650.345,130.21665,
2647.434,123.11143,
2644.524,147.30844,
2641.613,153.91098,
2638.702,147.79859,
2635.792,144.5931,
2632.881,139.80969,
2629.971,148.32979,
2627.060,134.12219,
2624.149,148.81564,
2621.239,159.16354,
2618.328,146.00648,
2615.418,153.96136,
2612.507,145.79894,
2609.597,142.53318,
2606.686,141.625,
2603.775,148.82739,
2600.865,154.33148,
2597.954,150.52917,
2595.044,149.28576,
2592.133,139.00705,
2589.223,162.83029,
2586.312,161.40392,
2583.401,153.31844,
2580.491,163.15864,
2577.580,160.6151,
2574.670,149.92047,
2571.759,147.53424,
2568.848,157.27142,
2565.938,160.91069,
2563.027,155.57505,
2560.117,147.34464,
2557.206,156.04935,
2554.296,173.5655,
2551.385,161.43498,
2548.474,192.40345,
2545.564,164.01784,
2542.653,200.69883,
2539.743,181.82216,
2536.832,164.86986,
2533.922,164.83,
2531.011,181.1997,
2528.100,170.9002,
2525.190,178.13278,
2522.279,192.64014,
2519.369,172.32313,
2516.458,165.50956,
2513.548,170.33395,
2510.637,189.17834,
2507.726,186.6956,
2504.816,168.81328,
2501.905,189.85671,
2498.995,182.26669,
2496.084,180.30446,
2493.173,171.49288,
2490.263,189.53466,
2487.352,180.16753,
2484.442,192.9098,
2481.531,182.04001,
2478.621,176.99943,
2475.710,201.65567,
2472.799,201.43222,
2469.889,184.74688,
2466.978,185.6765,
2464.068,200.07478,
2461.157,189.50755,
2458.247,184.88976,
2455.336,205.79332,
2452.425,193.12026,
2449.515,198.09694,
2446.604,198.40157,
2443.694,194.1604,
2440.783,202.19595,
2437.872,206.29682,
2434.962,198.41302,
2432.051,211.84126,
2429.141,203.69584,
2426.230,198.42943,
2423.320,201.29609,
2420.409,206.92645,
2417.498,204.59131,
2414.588,202.81516,
2411.677,196.44974,
2408.767,217.61319,
2405.856,211.34168,
2402.946,220.63125,
2400.035,203.24939,
2397.124,200.54477,
2394.214,224.2738,
2391.303,217.05048,
2388.393,197.68079,
2385.482,192.66906,
2382.571,168.59938,
2379.661,176.76457,
2376.750,192.72587,
2373.840,210.54686,
2370.929,228.44089,
2368.019,232.39593,
2365.108,228.9051,
2362.197,219.81953,
2359.287,236.59158,
2356.376,213.67255,
2353.466,254.32373,
2350.555,224.67486,
2347.645,224.54552,
2344.734,229.41302,
2341.823,244.37625,
2338.913,235.84887,
2336.002,236.52444,
2333.092,238.6712,
2330.181,239.9421,
2327.270,239.84502,
2324.360,232.77592,
2321.449,246.94813,
2318.539,255.79627,
2315.628,253.16337,
2312.718,257.4576,
2309.807,257.69331,
2306.896,254.5937,
2303.986,247.41076,
2301.075,254.24202,
2298.165,261.80783,
2295.254,245.03432,
2292.344,259.41337,
2289.433,257.91454,
2286.522,261.51327,
2283.612,261.13391,
2280.701,270.20344,
2277.791,276.1441,
2274.880,269.11892,
2271.969,282.91718,
2269.059,271.36341,
2266.148,253.22266,
2263.238,269.3161,
2260.327,273.24577,
2257.417,279.96445,
2254.506,281.09796,
2251.595,286.62866,
2248.685,276.99618,
2245.774,270.11958,
2242.864,282.94918,
2239.953,285.57676,
2237.043,279.79393,
2234.132,288.78341,
2231.221,286.80842,
2228.311,286.23453,
2225.400,314.6962,
2222.490,284.66739,
2219.579,294.65071,
2216.669,298.11785,
2213.758,304.84331,
2210.847,308.43104,
2207.937,320.13639,
2205.026,311.84657,
2202.116,321.49657,
2199.205,300.68735,
2196.294,304.187,
2193.384,319.54552,
2190.473,320.47711,
2187.563,343.60083,
2184.652,338.77561,
2181.742,331.05576,
2178.831,321.61726,
2175.920,330.96197,
2173.010,333.42545,
2170.099,336.49157,
2167.189,356.58912,
2164.278,351.33153,
2161.368,354.19588,
2158.457,356.72883,
2155.546,367.60869,
2152.636,359.14635,
2149.725,375.08806,
2146.815,379.65837,
2143.904,394.72537,
2140.993,393.29699,
2138.083,390.00188,
2135.172,403.07882,
2132.262,401.11444,
2129.351,401.91124,
2126.441,401.858,
2123.530,414.73724,
2120.619,419.9463,
