,PL6104~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.25,
3011.256,1.9000322,
3008.346,82.061984,
3005.435,85.444349,
3002.525,99.212528,
2999.614,103.4786,
2996.704,111.39124,
2993.793,106.98387,
2990.882,118.68512,
2987.972,119.2046,
2985.061,119.11701,
2982.151,115.27856,
2979.240,123.91922,
2976.329,123.02321,
2973.419,134.09596,
2970.508,153.34994,
2967.598,135.39337,
2964.687,136.33967,
2961.777,157.8058,
2958.866,158.90825,
2955.955,157.34957,
2953.045,168.53412,
2950.134,182.1334,
2947.224,166.99019,
2944.313,185.05912,
2941.403,192.76232,
2938.492,195.94105,
2935.581,195.8144,
2932.671,203.21139,
2929.760,205.43845,
2926.850,209.7797,
2923.939,210.57245,
2921.028,207.64417,
2918.118,219.26889,
2915.207,202.59801,
2912.297,214.17807,
2909.386,212.45438,
2906.476,206.18821,
2903.565,211.45963,
2900.654,215.30864,
2897.744,211.99856,
2894.833,193.48709,
2891.923,209.84621,
2889.012,183.33093,
2886.102,195.47837,
2883.191,188.25944,
2880.280,181.04904,
2877.370,104.81414,
2874.459,64.998647,
2871.549,114.82912,
2868.638,172.98192,
2865.727,182.93461,
2862.817,206.10827,
2859.906,193.44087,
2856.996,222.23189,
2854.085,222.72899,
2851.175,224.27113,
2848.264,210.25,
2845.353,208.42254,
2842.443,223.03816,
2839.532,217.72771,
2836.622,212.58138,
2833.711,214.29397,
2830.801,219.75368,
2827.890,229.45628,
2824.979,223.10197,
2822.069,224.31823,
2819.158,235.57076,
2816.248,230.055,
2813.337,239.30123,
2810.427,217.20592,
2807.516,224.14203,
2804.605,234.22836,
2801.695,222.89472,
2798.784,224.65862,
2795.874,219.52968,
2792.963,221.39277,
2790.052,228.24807,
2787.142,225.68442,
2784.231,239.02486,
2781.321,230.31286,
2778.410,233.32487,
2775.500,236.25,
2772.589,232.4419,
2769.678,242.03149,
2766.768,244.82862,
2763.857,241.25,
2760.947,243.26261,
2758.036,242.70858,
2755.126,252.86966,
2752.215,252.84547,
2749.304,248.14389,
2746.394,249.82662,
2743.483,254.84997,
2740.573,246.94242,
2737.662,244.69674,
2734.751,241.2258,
2731.841,252.41301,
2728.930,251.16942,
2726.020,258.46933,
2723.109,276.64141,
2720.199,275.60314,
2717.288,263.46167,
2714.377,261.34574,
2711.467,267.87307,
2708.556,260.68621,
2705.646,274.46131,
2702.735,267.94074,
2699.825,285.38089,
2696.914,282.48819,
2694.003,280.84674,
2691.093,297.21391,
2688.182,279.61296,
2685.272,289.25,
2682.361,277.03275,
2679.450,274.52977,
2676.540,288.94514,
2673.629,272.92265,
2670.719,275.38864,
2667.808,283.95819,
2664.898,284.50973,
2661.987,276.74983,
2659.076,298.18102,
2656.166,291.54006,
2653.255,292.58163,
2650.345,305.09029,
2647.434,272.73643,
2644.524,299.25,
2641.613,312.96465,
2638.702,289.72343,
2635.792,300.84422,
2632.881,299.55948,
2629.971,298.63253,
2627.060,289.41407,
2624.149,314.38437,
2621.239,310.23221,
2618.328,310.936,
2615.418,289.54546,
2612.507,309.35276,
2609.597,300.3518,
2606.686,322.66566,
2603.775,324.57143,
2600.865,325.42746,
2597.954,322.01663,
2595.044,337.25,
2592.133,323.79763,
2589.223,325.94896,
2586.312,340.73744,
2583.401,329.27187,
2580.491,318.97596,
2577.580,333.25165,
2574.670,332.0361,
2571.759,343.86643,
2568.848,345.90187,
2565.938,355.29783,
2563.027,329.07953,
2560.117,323.35278,
2557.206,343.56365,
2554.296,337.9365,
2551.385,346.06805,
2548.474,366.32435,
2545.564,355.78814,
2542.653,377.01846,
2539.743,365.38555,
2536.832,355.00514,
2533.922,371.99769,
2531.011,360.9246,
2528.100,364.72036,
2525.190,374.64262,
2522.279,379.62518,
2519.369,381.5145,
2516.458,361.57861,
2513.548,367.57711,
2510.637,383.25,
2507.726,381.06412,
2504.816,375.68743,
2501.905,368.75732,
2498.995,357.08607,
2496.084,371.78311,
2493.173,366.40761,
2490.263,383.97998,
2487.352,376.41693,
2484.442,379.9652,
2481.531,373.9841,
2478.621,384.60551,
2475.710,399.31134,
2472.799,395.90483,
2469.889,376.7625,
2466.978,388.1985,
2464.068,403.48816,
2461.157,396.48002,
2458.247,393.25,
2455.336,402.48289,
2452.425,412.59906,
2449.515,413.70323,
2446.604,415.73859,
2443.694,400.62257,
2440.783,420.7759,
2437.872,403.65111,
2434.962,411.62328,
2432.051,415.46626,
2429.141,422.97947,
2426.230,424.98924,
2423.320,427.03561,
2420.409,427.84622,
2417.498,431.82305,
2414.588,420.26529,
2411.677,433.1106,
2408.767,453.97343,
2405.856,450.53332,
2402.946,435.76743,
2400.035,432.64437,
2397.124,446.03609,
2394.214,454.5208,
2391.303,451.74729,
2388.393,425.09414,
2385.482,425.89751,
2382.571,416.55345,
2379.661,416.34324,
2376.750,425.76952,
2373.840,448.81874,
2370.929,456.17419,
2368.019,472.85348,
2365.108,462.50393,
2362.197,480.65274,
2359.287,479.45167,
2356.376,491.22887,
2353.466,487.94873,
2350.555,459.87991,
2347.645,452.69769,
2344.734,468.37447,
2341.823,471.28317,
2338.913,479.60523,
2336.002,480.13757,
2333.092,499.08871,
2330.181,494.12474,
2327.270,483.47002,
2324.360,492.57784,
2321.449,489.54252,
2318.539,498.37845,
2315.628,507.73721,
2312.718,491.58479,
2309.807,509.00145,
2306.896,516.22652,
2303.986,509.86041,
2301.075,520.03721,
2298.165,530.63473,
2295.254,498.00401,
2292.344,505.66065,
2289.433,537.52409,
2286.522,533.54455,
2283.612,528.3788,
2280.701,552.40689,
2277.791,526.4103,
2274.880,533.03195,
2271.969,545.95782,
2269.059,535.16824,
2266.148,529.08639,
2263.238,520.45464,
2260.327,555.38795,
2257.417,551.55667,
2254.506,546.19593,
2251.595,558.39913,
2248.685,565.77111,
2245.774,563.04133,
2242.864,568.18516,
2239.953,567.25,
2237.043,566.08107,
2234.132,563.14871,
2231.221,562.25,
2228.311,581.38657,
2225.400,584.30629,
2222.490,585.32164,
2219.579,591.16522,
2216.669,608.75715,
2213.758,594.85652,
2210.847,579.38351,
2207.937,613.70272,
2205.026,599.80481,
2202.116,620.77442,
2199.205,625.96224,
2196.294,620.57203,
2193.384,635.69654,
2190.473,626.37441,
2187.563,670.37084,
2184.652,689.37613,
2181.742,650.63567,
2178.831,650.00103,
2175.920,676.15893,
2173.010,709.35204,
2170.099,695.85267,
2167.189,716.34328,
2164.278,729.98367,
2161.368,739.10656,
2158.457,749.13186,
2155.546,756.90098,
2152.636,756.88832,
2149.725,788.20299,
2146.815,788.48358,
2143.904,812.45816,
2140.993,825.26596,
2138.083,809.90954,
2135.172,830.68702,
2132.262,833.24296,
2129.351,867.25367,
2126.441,852.74506,
2123.530,836.09286,
2120.619,816.60804,
2117.709,781.77738,
2114.798,757.22278,
2111.888,719.32486,
2108.977,733.69372,
2106.067,717.49867,
2103.156,711.12984,
2100.245,691.24624,
2097.335,685.12958,
2094.424,683.2926,
2091.514,676.31717,
2088.603,683.96422,
2085.692,691.38388,
2082.782,706.45469,
2079.871,705.39236,
2076.961,699.50831,
2074.050,700.18333,
2071.140,680.85907,
2068.229,692.24348,
2065.318,696.80525,
2062.408,690.26513,
2059.497,688.04762,
2056.587,682.28496,
2053.676,699.03219,
2050.766,713.40321,
2047.855,679.96521,
2044.944,671.71314,
2042.034,680.53901,
2039.123,685.73148,
2036.213,685.6566,
2033.302,691.16268,
2030.391,690.64039,
2027.481,695.6157,
2024.570,692.82165,
2021.660,679.95955,
2018.749,693.26225,
2015.839,670.40223,
2012.928,687.46812,
2010.017,694.35423,
2007.107,691.27431,
2004.196,700.80953,
2001.286,706.2712,
1998.375,685.98227,
1995.465,666.02411,
1992.554,699.18498,
1989.643,661.7708,
1986.733,662.41053,
1983.822,665.67319,
1980.912,662.55647,
1978.001,655.47821,
1975.090,672.28816,
1972.180,642.28593,
1969.269,633.04313,
1966.359,625.92552,
1963.448,651.39268,
1960.538,655.1349,
1957.627,651.46672,
1954.716,642.50854,
1951.806,681.70998,
1948.895,652.50506,
1945.985,654.45425,
1943.074,646.83685,
1940.164,623.82689,
1937.253,606.61553,
1934.342,591.28422,
1931.432,625.84622,
1928.521,634.61269,
1925.611,618.60074,
1922.700,608.91851,
1919.790,597.77612,
1916.879,610.20376,
1913.968,570.30041,
1911.058,657.55028,
1908.147,605.91424,
1905.237,610.05147,
1902.326,609.25,
1899.415,598.09632,
1896.505,560.76187,
1893.594,555.51226,
1890.684,584.51138,
1887.773,602.06872,
1884.863,650.07004,
1881.952,659.30014,
1879.041,644.17212,
1876.131,615.18988,
1873.220,596.17473,
1870.310,606.31724,
1867.399,589.53788,
1864.489,598.49619,
1861.578,629.1566,
1858.667,623.26201,
1855.757,600.02923,
1852.846,618.97822,
1849.936,607.15691,
1847.025,606.42762,
1844.114,616.94182,
1841.204,653.33042,
1838.293,655.27328,
1835.383,631.41301,
1832.472,632.14565,
1829.562,654.22006,
1826.651,638.63401,
1823.740,660.73665,
1820.830,663.21842,
1817.919,683.86692,
1815.009,659.28181,
1812.098,661.4311,
1809.188,710.0871,
1806.277,661.42299,
1803.366,680.03373,
1800.456,668.18427,
1797.545,684.80316,
1794.635,689.86299,
1791.724,695.33727,
1788.813,730.6428,
1785.903,700.74618,
1782.992,673.29917,
1780.082,645.36668,
1777.171,584.57547,
1774.261,571.31032,
1771.350,613.10126,
1768.439,664.0414,
1765.529,726.98155,
1762.618,750.38499,
1759.708,742.67388,
1756.797,739.78788,
1753.887,749.27624,
1750.976,752.71204,
1748.065,752.09332,
1745.155,752.61129,
1742.244,734.37231,
1739.334,732.09706,
1736.423,759.97894,
1733.512,765.15649,
1730.602,787.93456,
1727.691,768.61422,
1724.781,798.00568,
1721.870,780.08317,
1718.960,794.62804,
1716.049,791.69923,
1713.138,815.04488,
1710.228,827.95297,
1707.317,785.906,
1704.407,806.30352,
1701.496,838.41953,
1698.586,811.6825,
1695.675,860.71397,
1692.764,797.97947,
1689.854,834.43113,
1686.943,828.51981,
1684.033,854.57942,
1681.122,856.23301,
1678.211,845.35469,
1675.301,919.02183,
1672.390,882.20215,
1669.480,866.5067,
1666.569,898.96097,
1663.659,954.91963,
1660.748,995.34641,
1657.837,1000.8624,
1654.927,1027.9689,
1652.016,1016.5173,
1649.106,1027.201,
1646.195,1026.2091,
1643.285,1066.64,
1640.374,1125.8946,
1637.463,1109.6283,
1634.553,1131.9938,
1631.642,1248.782,
1628.732,1297.5285,
1625.821,1344.2775,
1622.911,1386.0133,
1620.000,1505.7256,
1617.089,1564.0958,
1614.179,1662.4299,
1611.268,1765.3835,
1608.358,1882.6781,
1605.447,1987.2508,
1602.536,2020.2747,
1599.626,2061.8071,
1596.715,2067.9728,
1593.805,2007.4354,
1590.894,1974.7106,
1587.984,1977.3126,
1585.073,1870.1963,
1582.162,1858.764,
1579.252,1835.701,
1576.341,1757.3532,
1573.431,1739.25,
1570.520,1724.7268,
1567.610,1722.4853,
1564.699,1668.1477,
1561.788,1649.3627,
1558.878,1591.5324,
1555.967,1556.322,
1553.057,1540.1294,
1550.146,1508.0537,
1547.235,1454.4691,
1544.325,1442.9538,
1541.414,1446.6892,
1538.504,1464.9125,
1535.593,1475.1033,
1532.683,1448.8464,
1529.772,1420.8815,
1526.861,1417.3315,
1523.951,1427.4411,
1521.040,1421.9251,
1518.130,1456.2208,
1515.219,1478.53,
1512.309,1472.5608,
1509.398,1444.3015,
1506.487,1423.9425,
1503.577,1462.3683,
1500.666,1456.9142,
1497.756,1455.4705,
1494.845,1467.8487,
1491.934,1410.1051,
1489.024,1365.8304,
1486.113,1425.4462,
1483.203,1343.2096,
1480.292,1339.8866,
1477.382,1350.1407,
1474.471,1322.3222,
1471.560,1256.648,
1468.650,1259.1646,
1465.739,1297.7911,
1462.829,1297.1359,
1459.918,1308.9021,
1457.008,1344.0041,
1454.097,1357.4771,
1451.186,1343.4376,
1448.276,1312.3843,
1445.365,1273.0336,
1442.455,1238.7771,
1439.544,1208.1737,
1436.633,1183.396,
1433.723,1198.7485,
1430.812,1197.7432,
1427.902,1142.0843,
1424.991,1177.1516,
1422.081,1162.6529,
1419.170,1152.6094,
1416.259,1157.7305,
1413.349,1158.4948,
1410.438,1140.0557,
1407.528,1102.6379,
1404.617,1108.5609,
1401.707,1053.238,
1398.796,976.56122,
1395.885,983.98641,
1392.975,1000.3118,
1390.064,973.89878,
1387.154,978.61437,
1384.243,965.31749,
1381.332,931.34462,
1378.422,963.76695,
1375.511,954.39914,
1372.601,1019.6815,
1369.690,1071.54,
1366.780,1075.2898,
1363.869,1110.5739,
1360.958,1134.1532,
1358.048,1158.8293,
1355.137,1203.2654,
1352.227,1229.8774,
1349.316,1265.5776,
1346.406,1337.9804,
1343.495,1367.25,
1340.584,1375.4637,
1337.674,1416.466,
1334.763,1444.0968,
1331.853,1466.3504,
1328.942,1501.0496,
1326.032,1526.4561,
1323.121,1531.991,
1320.210,1578.8645,
1317.300,1621.1374,
1314.389,1660.9727,
1311.479,1708.0945,
1308.568,1740.5603,
1305.657,1753.3072,
1302.747,1799.207,
1299.836,1925.5645,
1296.926,1899.4209,
1294.015,1903.0982,
1291.105,1945.516,
1288.194,2023.1369,
1285.283,2091.3702,
1282.373,2122.6406,
1279.462,2128.152,
1276.552,2137.4705,
1273.641,2147.352,
1270.731,2152.7769,
1267.820,2167.8488,
1264.909,2153.7781,
1261.999,2199.8519,
1259.088,2161.5428,
1256.178,2172.9533,
1253.267,2075.5146,
1250.356,2057.4406,
1247.446,2045.0615,
1244.535,2022.8348,
1241.625,2016.8833,
1238.714,1997.0297,
1235.804,1953.4829,
1232.893,1996.3763,
1229.982,1989.0234,
1227.072,1952.811,
1224.161,1959.4955,
1221.251,1899.4557,
1218.340,1850.3941,
1215.430,1849.5639,
1212.519,1863.5138,
1209.608,1851.7206,
1206.698,1814.271,
1203.787,1786.7676,
1200.877,1811.9744,
1197.966,1823.6634,
1195.055,1919.8138,
1192.145,1976.8225,
1189.234,2030.4751,
1186.324,2129.712,
1183.413,2177.0266,
1180.503,2179.8697,
1177.592,2209.4314,
1174.681,2140.661,
1171.771,2095.7857,
1168.860,2119.0061,
1165.950,2084.1607,
1163.039,2023.5682,
1160.129,2004.1993,
1157.218,2053.8429,
1154.307,2124.1723,
1151.397,2158.5961,
1148.486,2163.3019,
1145.576,2152.3271,
1142.665,2154.1029,
1139.754,2135.5365,
1136.844,2127.0482,
1133.933,2124.077,
1131.023,2113.336,
1128.112,2103.3213,
1125.202,2101.8684,
1122.291,2089.6206,
1119.380,2078.2413,
1116.470,2077.3588,
1113.559,2080.343,
1110.649,2062.9143,
1107.738,2058.0724,
1104.828,2052.2636,
1101.917,2051.2683,
1099.006,2071.3843,
1096.096,2020.1425,
1093.185,2018.3865,
1090.275,2043.3374,
1087.364,2043.761,
1084.453,2078.9351,
1081.543,2102.1149,
1078.632,2078.2669,
1075.722,2054.1575,
1072.811,2098.1474,
1069.901,2054.4843,
1066.990,2064.9916,
1064.079,2128.1352,
1061.169,2124.2165,
1058.258,2104.1788,
1055.348,2116.3654,
1052.437,2122.6423,
1049.527,2106.1969,
1046.616,2156.589,
1043.705,2129.8779,
1040.795,2133.0201,
1037.884,2153.3992,
1034.974,2151.7255,
1032.063,2117.9503,
1029.153,2096.6628,
1026.242,2166.7243,
1023.331,2167.5834,
1020.421,2203.4993,
1017.510,2215.3281,
1014.600,2230.0131,
1011.689,2249.6889,
1008.778,2244.4077,
1005.868,2280.5126,
1002.957,2309.7646,
1000.047,2372.49,
997.136,2401.2979,
994.226,2426.3266,
991.315,2424.7624,
988.404,2357.6027,
985.494,2323.0007,
982.583,2311.8654,
979.673,2286.1057,
976.762,2280.1855,
973.852,2293.7423,
970.941,2297.5803,
968.030,2266.2383,
965.120,2232.5829,
962.209,2311.8694,
959.299,2318.8758,
956.388,2311.7703,
953.477,2321.4029,
950.567,2353.844,
947.656,2391.9158,
944.746,2389.3671,
941.835,2389.25,
938.925,2375.4309,
936.014,2390.0005,
933.103,2393.5953,
930.193,2354.4583,
927.282,2325.7835,
924.372,2298.7241,
921.461,2298.932,
918.551,2271.2033,
915.640,2250.25,
912.729,2252.9336,
909.819,2261.4733,
906.908,2270.7399,
903.998,2294.3156,
901.087,2297.704,
898.176,2280.9798,
895.266,2289.6419,
892.355,2340.9517,
889.445,2323.3271,
886.534,2336.6079,
883.624,2360.1078,
880.713,2371.7811,
877.802,2345.8061,
874.892,2277.7038,
871.981,2200.8962,
869.071,2058.876,
866.160,2056.3287,
863.250,2151.6951,
860.339,2256.814,
857.428,2314.0937,
854.518,2345.0113,
851.607,2267.6289,
848.697,2201.2881,
845.786,2182.4397,
842.875,2226.0499,
839.965,2316.7505,
837.054,2401.6221,
834.144,2434.7722,
831.233,2449.2494,
828.323,2466.1089,
825.412,2466.0495,
822.501,2443.165,
819.591,2470.4362,
816.680,2406.346,
813.770,2395.8885,
810.859,2370.3706,
807.949,2338.0061,
805.038,2339.7743,
802.127,2294.5023,
799.217,2329.7557,
796.306,2305.2227,
793.396,2297.2731,
790.485,2324.7749,
787.574,2305.6512,
784.664,2342.5562,
781.753,2361.9987,
778.843,2365.7996,
775.932,2364.4845,
773.022,2368.2644,
770.111,2374.805,
767.200,2377.5339,
764.290,2385.1845,
761.379,2374.4953,
758.469,2358.6207,
755.558,2390.5418,
752.648,2400.317,
749.737,2382.0135,
746.826,2375.446,
743.916,2372.4317,
741.005,2351.2412,
738.095,2342.3106,
735.184,2238.9965,
732.274,2189.8356,
729.363,2208.1397,
726.452,2264.0739,
723.542,2290.7838,
720.631,2347.2968,
717.721,2359.6672,
714.810,2383.2782,
711.899,2418.5965,
708.989,2381.478,
706.078,2389.263,
703.168,2373.0334,
700.257,2379.4032,
697.347,2406.7716,
694.436,2411.7917,
691.525,2394.9118,
688.615,2398.168,
685.704,2394.0478,
682.794,2394.4839,
679.883,2431.9709,
676.973,2447.9983,
674.062,2420.6221,
671.151,2436.1248,
668.241,2466.0993,
665.330,2424.6785,
662.420,2370.3647,
659.509,2385.2822,
656.598,2387.7003,
653.688,2394.0242,
650.777,2468.4138,
647.867,2414.2635,
644.956,2371.2925,
642.046,2329.0325,
639.135,2298.7653,
636.224,2308.6439,
633.314,2387.2438,
630.403,2448.0435,
627.493,2474.7137,
624.582,2468.3654,
621.672,2450.9416,
618.761,2444.1705,
615.850,2468.1464,
612.940,2516.5728,
610.029,2566.488,
607.119,2549.9058,
604.208,2590.8508,
601.297,2610.7426,
598.387,2590.0328,
595.476,2535.8154,
592.566,2573.5947,
589.655,2619.1234,
586.745,2657.1748,
583.834,2660.8049,
580.923,2595.4632,
578.013,2630.7763,
575.102,2636.8085,
572.192,2631.3917,
569.281,2625.2658,
566.371,2619.7874,
563.460,2626.3047,
560.549,2640.4574,
557.639,2655.2042,
554.728,2663.6934,
551.818,2670.7163,
548.907,2661.89,
545.996,2652.9173,
543.086,2638.1777,
540.175,2586.787,
537.265,2662.1964,
534.354,2682.2162,
531.444,2653.3013,
528.533,2607.6161,
525.622,2654.9489,
522.712,2640.9799,
519.801,2603.4828,
516.891,2568.876,
513.980,2571.9732,
511.070,2614.5108,
508.159,2630.3397,
505.248,2626.4975,
502.338,2621.9729,
499.427,2646.6716,
496.517,2660.0379,
493.606,2670.9704,
490.695,2680.6452,
487.785,2669.0984,
484.874,2675.6509,
481.964,2680.6653,
479.053,2680.3307,
476.143,2676.4909,
473.232,2659.7037,
470.321,2634.7601,
467.411,2621.5815,
464.500,2640.2694,
461.590,2641.0351,
458.679,2655.5577,
455.769,2671.0308,
452.858,2681.0793,
449.947,2698.6497,
447.037,2679.7999,
444.126,2664.8803,
441.216,2663.4563,
438.305,2658.8847,
435.395,2690.3762,
432.484,2700.1652,
429.573,2680.4874,
426.663,2638.6797,
423.752,2514.5965,
420.842,2373.1962,
417.931,2235.5761,
415.020,2124.0974,
412.110,2405.5791,
409.199,2637.3892,
406.289,2760.9028,
403.378,2732.0861,
400.468,2683.7024,
397.557,2663.6227,
394.646,2680.259,
391.736,2737.9502,
388.825,2759.8229,
385.915,2784.3446,
383.004,2791.9692,
380.094,2771.0964,
377.183,2768.0865,
374.272,2771.0495,
371.362,2790.7323,
368.451,2830.5235,
365.541,2835.0268,
362.630,2850.9985,
359.719,2849.3395,
356.809,2815.9328,
353.898,2810.6912,
350.988,2837.4593,
348.077,2864.7349,
345.167,2872.6824,
342.256,2861.4764,
339.345,2822.644,
336.435,2798.1898,
333.524,2817.2835,
330.614,2850.0703,
327.703,2887.4605,
324.793,2920.2104,
321.882,2940.2951,
318.971,2958.8811,
316.061,2950.1123,
313.150,2953.65,
310.240,3015.9877,
307.329,3053.2672,
304.418,3103.2703,
301.508,3151.5669,
298.597,3171.5582,
295.687,3174.6045,
292.776,3214.8335,
289.866,3305.9031,
286.955,3475.0713,
284.044,3533.405,
281.134,3603.6091,
278.223,3696.2558,
275.313,3744.1513,
272.402,3798.3986,
269.492,3873.342,
266.581,3960.049,
263.670,3873.2978,
260.760,3923.4732,
257.849,4009.9573,
254.939,4060.5952,
252.028,4080.07,
249.117,4089.991,
246.207,4098.3641,
243.296,4118.1291,
240.386,4094.1303,
237.475,4094.4649,
234.565,4105.6316,
231.654,4031.8628,
228.743,4006.4687,
225.833,3959.6135,
222.922,3868.4007,
220.012,3850.1868,
217.101,3831.0007,
214.191,3789.7114,
211.280,3698.0511,
208.369,3669.0472,
205.459,3631.5002,
202.548,3595.2612,
199.638,3618.4819,
196.727,3565.6284,
193.816,3528.9694,
190.906,3537.8567,
187.995,3412.6004,
185.085,3400.9313,
182.174,3430.3735,
179.264,3408.6905,
176.353,3378.6965,
173.442,3375.2144,
170.532,3387.0092,
167.621,3307.7019,
164.711,3240,
161.800,3131.1563,
158.890,2934.6706,
155.979,2712.9893,
153.068,2459.8614,
150.158,2182.2461,
147.247,1900.0908,
144.337,1580.7359,
141.426,1247.7922,
138.516,910.13639,
135.605,657.76221,
132.694,465.82499,
129.784,321.53273,
126.873,204.96657,
123.963,140.84602,
121.052,94.385803,
118.141,54.407292,
115.231,47.854867,
112.320,41.437277,
109.410,36.113645,
106.499,35.40149,
103.589,26.285928,
100.678,20.064865,
97.767,22.197678,
94.857,20.171033,
91.946,20.056222,
89.036,21.024204,
86.125,19.605794,
83.215,19.25,
80.304,16.376808,
77.393,7.8787685,
74.483,16.421889,
71.572,16.17707,
68.662,7.7348725,
65.751,12.68003,
62.840,14.731702,
59.930,13.002566,
57.019,4.5415818,
54.109,6.2358042,
51.198,7.3451722,
48.288,5.2216878,
45.377,1.7047975,
42.466,1.486658,
39.556,3.7104743,
36.645,6.5192352,
33.735,4.1345092,
30.824,0.14556513,
27.914,-3.3603111,
25.003,-5.6179124,
22.092,-3.843859,
19.182,2.25,
16.271,2.25,
13.361,-10.393739,
10.450,-68.494328,
7.539,-305.22324,
4.629,-688.42046,
1.718,-1080.4084,
-1.192,-1375.9977,
-4.103,-1036.9949,
-7.013,-552.96428,
-9.924,-1.75,
