,PL63A4~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.25,
3011.256,4.75,
3008.346,82.06682,
3005.435,83.636929,
3002.525,97.127517,
2999.614,100.88897,
2996.704,105.70567,
2993.793,102.85542,
2990.882,119.44465,
2987.972,130.67433,
2985.061,117.08005,
2982.151,132.84077,
2979.240,109.96577,
2976.329,123.76638,
2973.419,132.67298,
2970.508,146.61661,
2967.598,137.89337,
2964.687,148.3913,
2961.777,144.9721,
2958.866,163.42013,
2955.955,156.47345,
2953.045,168.21757,
2950.134,175.96283,
2947.224,170.97775,
2944.313,185.94088,
2941.403,188.66652,
2938.492,196.0698,
2935.581,204.00278,
2932.671,207.67277,
2929.760,217.47307,
2926.850,202.37707,
2923.939,205.82944,
2921.028,230.86788,
2918.118,209.2903,
2915.207,202.92078,
2912.297,201.72884,
2909.386,212.37043,
2906.476,202.20789,
2903.565,200.12111,
2900.654,201.42037,
2897.744,212.39798,
2894.833,183.51291,
2891.923,190.6699,
2889.012,160.24711,
2886.102,169.75,
2883.191,148.76982,
2880.280,77.501175,
2877.370,-122.44137,
2874.459,-181.84736,
2871.549,-74.68314,
2868.638,105.35197,
2865.727,138.77692,
2862.817,166.97992,
2859.906,178.86396,
2856.996,194.18433,
2854.085,222.83406,
2851.175,206.67476,
2848.264,200.23549,
2845.353,196.26761,
2842.443,218.15279,
2839.532,191.69044,
2836.622,225.6543,
2833.711,208.00903,
2830.801,219.94412,
2827.890,219.18882,
2824.979,233.45395,
2822.069,237.72726,
2819.158,229.28908,
2816.248,220.99132,
2813.337,233.1622,
2810.427,228.87534,
2807.516,221.75735,
2804.605,227.5024,
2801.695,214.22367,
2798.784,220.01077,
2795.874,216.02439,
2792.963,224.82138,
2790.052,232.74807,
2787.142,238.43431,
2784.231,231.71897,
2781.321,232.19002,
2778.410,236.26016,
2775.500,222.02794,
2772.589,236.86544,
2769.678,240.99913,
2766.768,249.61991,
2763.857,231.27408,
2760.947,223.31619,
2758.036,229.51431,
2755.126,242.79914,
2752.215,252.04562,
2749.304,249.79318,
2746.394,254.26816,
2743.483,253.14998,
2740.573,256.75,
2737.662,239.2929,
2734.751,230.75,
2731.841,253.94048,
2728.930,249.30086,
2726.020,257.20428,
2723.109,261.20367,
2720.199,266.94695,
2717.288,274.15147,
2714.377,275.6877,
2711.467,268.38956,
2708.556,260.83505,
2705.646,265.28522,
2702.735,281.09021,
2699.825,282.85907,
2696.914,278.55955,
