,PL681F~1,
Wavenumbers [1/cm],Intensity,
3014.167,0,
3011.256,2.3499678,
3008.346,104.69167,
3005.435,101.27209,
3002.525,117.37752,
2999.614,126.51561,
2996.704,131.4598,
2993.793,125.87615,
2990.882,124.43512,
2987.972,137.96469,
2985.061,130.1133,
2982.151,148.37481,
2979.240,149.10077,
2976.329,153.26502,
2973.419,163.78485,
2970.508,170.64991,
2967.598,149.38233,
2964.687,160.34307,
2961.777,157.65806,
2958.866,181.34026,
2955.955,169.72345,
2953.045,178.28412,
2950.134,188.24491,
2947.224,189.51244,
2944.313,208.34829,
2941.403,210.86907,
2938.492,208.30895,
2935.581,220.40859,
2932.671,216.32191,
2929.760,228.13846,
2926.850,225.26128,
2923.939,223.40188,
2921.028,225.47656,
2918.118,224.55919,
2915.207,220.94307,
2912.297,226.98307,
2909.386,228.21168,
2906.476,212.84553,
2903.565,253.19557,
2900.654,217.55309,
2897.744,218.01257,
2894.833,219.41236,
2891.923,194.05119,
2889.012,193.66474,
2886.102,184.89866,
2883.191,155.01888,
2880.280,84.74159,
2877.370,-117.93565,
2874.459,-230.6664,
2871.549,-68.748538,
2868.638,106.96282,
2865.727,160.10767,
2862.817,190.58688,
2859.906,194.73503,
2856.996,222.47056,
2854.085,234.28152,
2851.175,234,
2848.264,222.441,
2845.353,231.04313,
2842.443,233.79861,
2839.532,230.34331,
2836.622,231.39323,
2833.711,233.78494,
2830.801,236.30221,
2827.890,245.14863,
2824.979,244.2341,
2822.069,236.18195,
2819.158,245.91913,
2816.248,232.26447,
2813.337,260.23661,
2810.427,229.21349,
2807.516,244.41719,
2804.605,241.06491,
2801.695,255.82895,
2798.784,247.81315,
2795.874,250.15041,
2792.963,232.07117,
2790.052,247.99528,
2787.142,250.06581,
2784.231,259.80589,
2781.321,250.74279,
2778.410,233.6599,
2775.500,245.19034,
2772.589,260.11544,
2769.678,260.53584,
2766.768,250.26018,
2763.857,263.73796,
2760.947,265.45272,
2758.036,277.48419,
2755.126,273.14103,
2752.215,269.4908,
2749.304,255.02159,
2746.394,269.8689,
2743.483,278.65004,
2740.573,271,
2737.662,260.23372,
2734.751,266.32527,
2731.841,271.24359,
2728.930,267.26685,
2726.020,277.55093,
2723.109,266.90733,
2720.199,288.90323,
2717.288,271.28102,
2714.377,285.54558,
2711.467,296.63956,
2708.556,290.64884,
2705.646,299.07044,
2702.735,299.32474,
2699.825,291.97819,
2696.914,304.33365,
2694.003,303.48618,
2691.093,298.66065,
2688.182,305.40074,
2685.272,302.60171,
2682.361,296.02948,
2679.450,303.61724,
2676.540,289.34551,
2673.629,300.69061,
2670.719,302.20426,
2667.808,310.90273,
2664.898,315.06518,
2661.987,300.43332,
2659.076,305.23707,
2656.166,306.95234,
2653.255,328.03232,
2650.345,318.26316,
2647.434,309.14347,
2644.524,338.94967,
2641.613,351.37146,
2638.702,329.36296,
2635.792,327.9362,
2632.881,329.9168,
2629.971,331.8524,
2627.060,328.83032,
2624.149,344.27189,
2621.239,331.74555,
2618.328,338.40658,
2615.418,327.98637,
2612.507,337.72331,
2609.597,337.27545,
2606.686,340.06428,
2603.775,354.27777,
2600.865,346.23549,
2597.954,346.76663,
2595.044,354.73162,
2592.133,351.61795,
2589.223,363.4579,
2586.312,362.48744,
2583.401,355.51093,
2580.491,352.17788,
2577.580,341.02641,
2574.670,355.89305,
2571.759,360.15667,
2568.848,358.59112,
2565.938,382.14278,
2563.027,383.85233,
2560.117,362.28036,
2557.206,365.32841,
2554.296,371.91075,
2551.385,364.44607,
2548.474,383.85205,
2545.564,383.15828,
2542.653,395.30537,
2539.743,389.04929,
2536.832,376.69345,
2533.922,393.29962,
2531.011,411.17507,
2528.100,401.53656,
2525.190,407.64918,
2522.279,378.50074,
2519.369,405.98131,
2516.458,386.76912,
2513.548,398.84515,
2510.637,401.16817,
2507.726,414.0037,
2504.816,399.06201,
2501.905,404.11585,
2498.995,399.47775,
2496.084,404.85365,
2493.173,394.47351,
2490.263,414.72998,
2487.352,438.2488,
2484.442,421,
2481.531,423.10636,
2478.621,421.16112,
2475.710,445.99233,
2472.799,439.57405,
2469.889,429.30195,
2466.978,425.897,
2464.068,426.78838,
2461.157,434.8075,
2458.247,432.72057,
2455.336,435.61644,
2452.425,436.21698,
2449.515,465.89604,
2446.604,452.00695,
2443.694,443.90708,
2440.783,440.33221,
2437.872,447.52596,
2434.962,439.20276,
2432.051,455.38897,
2429.141,469.25282,
2426.230,471.13038,
2423.320,468.11453,
2420.409,456.86541,
2417.498,474.14609,
2414.588,477.19016,
2411.677,468.60959,
2408.767,486.01181,
2405.856,496.50472,
2402.946,475.56479,
2400.035,479.98123,
2397.124,479.89839,
2394.214,489.5952,
2391.303,488.56911,
2388.393,471.05579,
2385.482,447.88124,
2382.571,411.59408,
2379.661,445.95338,
2376.750,469.31273,
2373.840,494.68743,
2370.929,508.8917,
2368.019,512.72354,
2365.108,511.25393,
2362.197,510.88759,
2359.287,503.5883,
2356.376,516.97887,
2353.466,524.69873,
2350.555,495.44487,
2347.645,503.02515,
2344.734,514.36406,
2341.823,501.23217,
2338.913,519.53284,
2336.002,531.64106,
2333.092,532.79337,
2330.181,536.84395,
2327.270,540.11001,
2324.360,549.61319,
2321.449,556.12244,
2318.539,561.78902,
2315.628,548.4972,
2312.718,550.24891,
2309.807,572.11193,
2306.896,557.98435,
2303.986,559.39617,
2301.075,564.68087,
2298.165,570.77901,
2295.254,537.77555,
2292.344,575.26139,
2289.433,577.63318,
2286.522,579.78116,
2283.612,592.76021,
2280.701,583.61437,
2277.791,591.43895,
2274.880,576.07404,
2271.969,584.47326,
2269.059,594.47682,
2266.148,572.78631,
2263.238,582.4942,
2260.327,623.1723,
2257.417,616.27,
2254.506,630,
2251.595,607.16377,
2248.685,608.4134,
2245.774,613.19783,
2242.864,610.90772,
2239.953,619.90352,
2237.043,602.88286,
2234.132,610.11423,
2231.221,629.23777,
2228.311,646.91751,
2225.400,650.97185,
2222.490,652.04239,
2219.579,662.36762,
2216.669,661.51669,
2213.758,648.86796,
2210.847,660.12089,
2207.937,667.83713,
2205.026,676.66618,
2202.116,688.68896,
2199.205,687.8873,
2196.294,681.88403,
2193.384,688.92052,
2190.473,685.5622,
2187.563,724.96617,
2184.652,719.65673,
2181.742,718.06683,
2178.831,704.31134,
2175.920,726.99454,
2173.010,772.60317,
2170.099,769.80208,
2167.189,770.09328,
2164.278,784.17387,
2161.368,792.99976,
2158.457,793.3401,
2155.546,812.22601,
2152.636,847.32974,
2149.725,841.51679,
2146.815,852.53284,
2143.904,860.71373,
2140.993,890.74078,
2138.083,889.11849,
2135.172,908.47061,
2132.262,904.48944,
2129.351,892.44823,
2126.441,886.46601,
2123.530,843.20203,
2120.619,856.18369,
2117.709,824.15419,
2114.798,818.61153,
2111.888,799.03833,
2108.977,787.99338,
2106.067,773.79893,
2103.156,786.47654,
2100.245,754.99561,
2097.335,747.87958,
2094.424,750.11154,
2091.514,760,
2088.603,764.74652,
2085.692,772.3643,
2082.782,771.87953,
2079.871,766.89265,
2076.961,751.96867,
2074.050,759.46667,
2071.140,750.28725,
2068.229,758.63281,
2065.318,764.531,
2062.408,776.84871,
2059.497,790.60715,
2056.587,765.33766,
2053.676,765.43263,
2050.766,768,
2047.855,751.68673,
2044.944,740.46795,
2042.034,740.55496,
2039.123,755.40067,
2036.213,768.19114,
2033.302,781.4347,
2030.391,780.20355,
2027.481,780.71948,
2024.570,793.79969,
2021.660,784.70955,
2018.749,779.05024,
2015.839,758.36286,
2012.928,776.55201,
2010.017,771.8176,
2007.107,789.76823,
2004.196,786.29759,
2001.286,789.48054,
1998.375,756.63975,
1995.465,760.23839,
1992.554,783.52926,
1989.643,739.65906,
1986.733,778.98333,
