,PL6A7C~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.625,
3011.256,1.4750215,
3008.346,49.821804,
3005.435,41.10645,
3002.525,50.715045,
2999.614,65.137336,
2996.704,58.923456,
2993.793,54.23272,
2990.882,52.123173,
2987.972,72.319505,
2985.061,59.158248,
2982.151,74.869133,
2979.240,55.086947,
2976.329,63.093603,
2973.419,78.928787,
2970.508,79.52501,
2967.598,75.466968,
2964.687,70.2697,
2961.777,78.939047,
2958.866,86.05107,
2955.955,80.963486,
2953.045,81.925338,
2950.134,85.587831,
2947.224,86.460406,
2944.313,92.071581,
2941.403,99.720346,
2938.492,95.800473,
2935.581,104.9394,
2932.671,104.85569,
2929.760,109.97885,
2926.850,102.8453,
2923.939,102.81425,
2921.028,110.76917,
2918.118,108.03369,
2915.207,99.140845,
2912.297,107.34538,
2909.386,120.98813,
2906.476,107.02671,
2903.565,110.23056,
2900.654,89.199079,
2897.744,117.08584,
2894.833,92.313183,
2891.923,85.320498,
2889.012,82.953036,
2886.102,76.816916,
2883.191,45.390104,
2880.280,-10.605893,
2877.370,-189.43278,
2874.459,-288.41087,
2871.549,-141.04482,
2868.638,21.292454,
2865.727,42.671101,
2862.817,81.133007,
2859.906,80.970437,
2856.996,91.881793,
2854.085,120.30363,
2851.175,99.23045,
2848.264,106.42916,
2845.353,93.849475,
2842.443,110.98266,
2839.532,98.166083,
2836.622,104.22331,
2833.711,102.32319,
2830.801,114.86397,
2827.890,125.0848,
2824.979,120.17708,
2822.069,131.38637,
2819.158,130.85478,
2816.248,117.16842,
2813.337,134.44696,
2810.427,121.76481,
2807.516,118.48297,
2804.605,113.66588,
2801.695,125.28288,
2798.784,116.74462,
2795.874,106.21931,
2792.963,117.08926,
2790.052,134.37114,
2787.142,127.03308,
2784.231,127.92471,
2781.321,112.81502,
2778.410,119.375,
2775.500,120.90672,
2772.589,126.49044,
2769.678,135.72991,
2766.768,141.31674,
2763.857,135.95303,
2760.947,131.89706,
2758.036,136.22214,
2755.126,143.85363,
2752.215,143.7569,
2749.304,122.33366,
2746.394,132.22176,
2743.483,140.32498,
2740.573,132.84176,
2737.662,138.70488,
2734.751,134.14202,
2731.841,147.53801,
2728.930,138.84528,
2726.020,146.26273,
2723.109,144.48842,
2720.199,159.41575,
2717.288,141.9188,
2714.377,154.56648,
2711.467,140.19478,
2708.556,139.5451,
2705.646,141.68485,
2702.735,154.03479,
2699.825,155.68958,
2696.914,157.89863,
2694.003,156.86118,
2691.093,152.4821,
2688.182,141.44685,
2685.272,156.97671,
2682.361,151.19269,
2679.450,163.53132,
2676.540,143.4563,
2673.629,147.04316,
2670.719,156.65227,
2667.808,153.81272,
2664.898,155.45282,
2661.987,155.70822,
2659.076,159.2306,
2656.166,166.4054,
2653.255,147.70663,
2650.345,166.48752,
2647.434,163.46074,
2644.524,166.69156,
2641.613,179.28952,
2638.702,168.61172,
2635.792,160.62426,
2632.881,168.10711,
2629.971,166.75753,
2627.060,165.3725,
2624.149,178.94376,
2621.239,180.39279,
2618.328,160.20545,
2615.418,160.35682,
2612.507,168.99555,
2609.597,169.375,
2606.686,175.23242,
2603.775,172.61707,
2600.865,185.49106,
2597.954,180.85414,
2595.044,184.42814,
2592.133,171.15206,
2589.223,188.2066,
2586.312,184.76693,
2583.401,190.09031,
2580.491,186.73076,
2577.580,183.34529,
2574.670,166.75869,
2571.759,181.93578,
2568.848,170.79478,
2565.938,210.42283,
2563.027,183.10681,
2560.117,176.1133,
2557.206,187.64806,
2554.296,204.48713,
2551.385,195.375,
2548.474,205.22705,
2545.564,191.9448,
2542.653,213.7005,
2539.743,217.05368,
2536.832,185.00677,
2533.922,213.20154,
2531.011,205.9497,
2528.100,214.30879,
2525.190,202.30697,
2522.279,208.62463,
2519.369,191.86566,
2516.458,185.59526,
2513.548,201.17475,
2510.637,226.12907,
2507.726,220.81366,
2504.816,205.56102,
2501.905,205.30244,
2498.995,203.68882,
2496.084,222.84189,
2493.173,203.90083,
2490.263,220.09369,
2487.352,224.95767,
