,PL6C9F~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.875,
3011.256,-0.62505368,
3008.346,22.802754,
3005.435,14.782248,
3002.525,34.295022,
2999.614,28.214627,
2996.704,34.717785,
2993.793,25.248848,
2990.882,30.64406,
2987.972,44.019056,
2985.061,23.56835,
2982.151,31.170384,
2979.240,33.822704,
2976.329,38.611349,
2973.419,46.171471,
2970.508,31.27501,
2967.598,35.790462,
2964.687,30.080163,
2961.777,23.877063,
2958.866,46.799585,
2955.955,36.883849,
2953.045,49.160814,
2950.134,58.635186,
2947.224,40.523563,
2944.313,51.877849,
2941.403,50.863138,
2938.492,58.848582,
2935.581,67.350758,
2932.671,58.086386,
2929.760,62.451919,
2926.850,67.706954,
2923.939,62.082928,
2921.028,71.436788,
2918.118,66.944899,
2915.207,51.409628,
2912.297,63.031911,
2909.386,66.322081,
2906.476,53.032319,
2903.565,74.753888,
2900.654,72.231175,
2897.744,57.087283,
2894.833,55.36209,
2891.923,49.826897,
2889.012,47.494943,
2886.102,62.31284,
2883.191,45.140104,
2880.280,61.177622,
2877.370,-42.072414,
2874.459,-96.006881,
2871.549,-42.940531,
2868.638,16.083727,
2865.727,23.971122,
2862.817,33.481955,
2859.906,44.606477,
2856.996,62.595563,
2854.085,73.526268,
2851.175,63.600908,
2848.264,59.556334,
2845.353,46.750444,
2842.443,73.927089,
2839.532,57.378821,
2836.622,67.428385,
2833.711,67.54729,
2830.801,64.32647,
2827.890,63.647744,
2824.979,76.334978,
2822.069,78.181861,
2819.158,79.704511,
2816.248,72.63079,
2813.337,83.310373,
2810.427,69.602961,
2807.516,62.549532,
2804.605,71.103363,
2801.695,69.388163,
2798.784,60.012077,
2795.874,67.673782,
2792.963,81.41053,
2790.052,84.123499,
2787.142,71.875116,
2784.231,74.899856,
2781.321,75.873559,
2778.410,74.614843,
2775.500,70.466382,
2772.589,71.586772,
2769.678,73.732515,
2766.768,81.864819,
2763.857,86.071049,
2760.947,83.175434,
2758.036,82.653611,
2755.126,79.364315,
2752.215,83.038722,
2749.304,79.529687,
2746.394,79.818529,
2743.483,92.174975,
2740.573,76.720044,
2737.662,74.688607,
2734.751,69.518363,
2731.841,72.720242,
2728.930,74.472425,
2726.020,83.01794,
2723.109,90.557916,
2720.199,95.596989,
2717.288,80.756388,
2714.377,97.799763,
2711.467,97.79752,
2708.556,81.167526,
2705.646,92.265872,
2702.735,103.94716,
2699.825,94.592279,
2696.914,103.41092,
2694.003,99.308734,
2691.093,111.89275,
2688.182,108.3613,
2685.272,97.691148,
2682.361,81.125,
2679.450,96.696956,
2676.540,78.206296,
2673.629,81.461327,
2670.719,90.402271,
2667.808,100.88182,
2664.898,101.82636,
2661.987,92.458223,
2659.076,102.96335,
2656.166,98.415057,
2653.255,95.606293,
2650.345,95.340971,
2647.434,92.411083,
2644.524,99.561421,
2641.613,104.89684,
2638.702,99.330154,
2635.792,93.78004,
2632.881,103.70237,
2629.971,110.23242,
2627.060,96.95719,
2624.149,107.50312,
2621.239,102.36166,
2618.328,98.209774,
2615.418,108.08865,
2612.507,112.95508,
2609.597,97.043163,
2606.686,103.70934,
2603.775,105.64484,
2600.865,102.83148,
2597.954,103.37077,
2595.044,125.81233,
2592.133,105.22675,
2589.223,125.43871,
2586.312,112.80841,
2583.401,108.04468,
2580.491,114.09611,
2577.580,117.09529,
2574.670,103.27606,
2571.759,116.32705,
2568.848,114.83217,
2565.938,125.79176,
2563.027,114.22272,
2560.117,109.76985,
2557.206,108.83718,
2554.296,114.15475,
2551.385,120.43901,
2548.474,140.42166,
2545.564,133.59983,
2542.653,136.05117,
2539.743,137.64348,
2536.832,118.00163,
2533.922,127.03038,
2531.011,128.27439,
2528.100,126.8671,
2525.190,141.53852,
2522.279,125.125,
2519.369,119.99324,
2516.458,97.561971,
2513.548,132.00622,
2510.637,137.30945,
2507.726,133.56736,
2504.816,118.56243,
2501.905,120.55976,
2498.995,122.91657,
2496.084,148.3654,
2493.173,134.38791,
2490.263,132.11371,
2487.352,145.41553,
2484.442,130.54898,
2481.531,136.23136,
2478.621,131.21502,
2475.710,157.97931,
2472.799,134.43895,
2469.889,130.78984,
2466.978,144.28993,
2464.068,143.20965,
2461.157,144.125,
2458.247,144.125,
2455.336,148.74144,
2452.425,137.75234,
2449.515,143.37032,
2446.604,144.41994,
2443.694,146.6135,
2440.783,153.98311,
2437.872,143.63551,
2434.962,152.65957,
2432.051,135.73603,
2429.141,148.91889,
2426.230,151.45096,
2423.320,161.18226,
2420.409,156.8814,
2417.498,169.49299,
2414.588,153.41788,
2411.677,146.98157,
2408.767,149.70177,
2405.856,173.34641,
2402.946,166.48783,
2400.035,154.83157,
2397.124,149.47259,
2394.214,159.1518,
2391.303,154.44546,
2388.393,148.39243,
2385.482,152.86063,
2382.571,130.28953,
2379.661,134.10169,
2376.750,147.80721,
