,PL77B2~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.625,
3011.256,1.375,
3008.346,109.25894,
3005.435,114.60822,
3002.525,137.47008,
2999.614,122.84126,
2996.704,137.64923,
2993.793,149.375,
2990.882,153.32918,
2987.972,156.30437,
2985.061,146.8085,
2982.151,157.65904,
2979.240,154.00808,
2976.329,167.39684,
2973.419,176.6207,
2970.508,191.67502,
2967.598,181.08825,
2964.687,174.41984,
2961.777,196.0248,
2958.866,195.37203,
2955.955,207.72233,
2953.045,218.84257,
2950.134,227.80066,
2947.224,212.22906,
2944.313,238.22899,
2941.403,240.45848,
2938.492,248.51321,
2935.581,257.64369,
2932.671,266.13465,
2929.760,270.79039,
2926.850,276.375,
2923.939,267.73481,
2921.028,283.01632,
2918.118,278.39389,
2915.207,259.36855,
2912.297,269.30307,
2909.386,262.01003,
2906.476,269.11939,
2903.565,260.95574,
2900.654,247.14044,
2897.744,269.26185,
2894.833,262.43682,
2891.923,241.04799,
2889.012,238.95304,
2886.102,240.66961,
2883.191,212.39199,
2880.280,196.75776,
2877.370,45.503286,
2874.459,-29.348036,
2871.549,70.481019,
2868.638,175.60794,
2865.727,217.74422,
2862.817,240.77605,
2859.906,251.69124,
2856.996,258.32066,
2854.085,288.86033,
2851.175,270.85091,
2848.264,270.65933,
2845.353,260.76321,
2842.443,277.9757,
2839.532,261.07659,
2836.622,260.89193,
2833.711,269.9009,
2830.801,265.87868,
2827.890,271.6652,
2824.979,272.72094,
2822.069,267.4546,
2819.158,274.375,
2816.248,264.66263,
2813.337,278.01403,
2810.427,268.33092,
2807.516,278.63391,
2804.605,271.80529,
2801.695,264.36182,
2798.784,271.04438,
2795.874,266.93963,
2792.963,269.51777,
2790.052,280.37221,
2787.142,269.83565,
2784.231,267.76322,
2781.321,263.0036,
2778.410,274.0349,
2775.500,274.07741,
2772.589,277.1831,
2769.678,286.15997,
2766.768,293.43326,
2763.857,291.16498,
2760.947,299.90337,
2758.036,307.76356,
2755.126,293.74894,
2752.215,299.07938,
2749.304,288.2473,
2746.394,297.375,
2743.483,301.77498,
2740.573,313.35955,
2737.662,291.71523,
2734.751,296.93324,
2731.841,292.02335,
2728.930,280.21384,
2726.020,302.59954,
2723.109,299.94208,
2720.199,311.06261,
2717.288,304.07574,
2714.377,320.95402,
2711.467,322.03104,
2708.556,300.55605,
2705.646,317.88211,
2702.735,315.21263,
2699.825,314.48407,
2696.914,332.85185,
2694.003,338.47582,
2691.093,334.1608,
2688.182,333.32018,
2685.272,349.02935,
2682.361,311.16321,
2679.450,322.28443,
2676.540,327.17176,
2673.629,315.71582,
2670.719,313.65966,
2667.808,320.08319,
2664.898,325.72519,
2661.987,335.94135,
2659.076,340.83188,
2656.166,348.163,
2653.255,333.33249,
2650.345,355.43126,
2647.434,344.26039,
2644.524,335.07765,
2641.613,346.23232,
2638.702,351.34344,
2635.792,356.28227,
2632.881,345.48814,
2629.971,343.375,
2627.060,367.87469,
2624.149,366.70001,
2621.239,348.09684,
2618.328,337.41739,
2615.418,345.67501,
2612.507,357.8928,
2609.597,351.83408,
2606.686,366.20632,
2603.775,355.61309,
2600.865,363.90064,
2597.954,383.08752,
2595.044,369.11547,
2592.133,364.60442,
2589.223,391.09817,
2586.312,386.61625,
2583.401,371.51735,
2580.491,385.53843,
2577.580,386.35189,
2574.670,372.92847,
2571.759,392.54194,
2568.848,383.50195,
2565.938,403.13699,
2563.027,391.00909,
2560.117,375.12263,
2557.206,384.45618,
2554.296,383.34525,
2551.385,389.76311,
2548.474,410.00474,
2545.564,403.6599,
2542.653,420.30117,
2539.743,410.53519,
2536.832,403.41612,
2533.922,414.48538,
2531.011,420.82505,
2528.100,413.51087,
2525.190,418.65246,
2522.279,421.99982,
2519.369,409.24324,
2516.458,397.375,
2513.548,414.36567,
2510.637,405.28096,
2507.726,427.81736,
2504.816,412.24986,
2501.905,424.36037,
2498.995,418.91247,
2496.084,427.68162,
2493.173,424.50646,
2490.263,440.52079,
2487.352,431.375,
2484.442,434.50775,
