,PL7E9D~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3.25,
3011.256,0.40003221,
3008.346,48.196804,
3005.435,35.368378,
3002.525,48.164989,
2999.614,51.027945,
2996.704,59.298456,
2993.793,44.997696,
2990.882,58.04765,
2987.972,64.669281,
2985.061,57.173656,
2982.151,49.255867,
2979.240,64.383078,
2976.329,70.25819,
2973.419,78.981067,
2970.508,69.833317,
2967.598,68.224297,
2964.687,70.167119,
2961.777,73.784087,
2958.866,84.758908,
2955.955,74.267697,
2953.045,93.465877,
2950.134,87.75,
2947.224,81.433252,
2944.313,102.50285,
2941.403,96.273723,
2938.492,106.60095,
2935.581,113.6101,
2932.671,98.114851,
2929.760,108.84998,
2926.850,120.44361,
2923.939,108.23132,
2921.028,104.5206,
2918.118,111.86838,
2915.207,94.629696,
2912.297,102.70346,
2909.386,111.15876,
2906.476,86.533745,
2903.565,96.540371,
2900.654,88.409263,
2897.744,96.561417,
2894.833,74.327457,
2891.923,68.615402,
2889.012,58.125722,
2886.102,43.064878,
2883.191,11.771712,
2880.280,-102.37924,
2877.370,-396.33079,
2874.459,-558.55099,
2871.549,-274.45885,
2868.638,-47.101649,
2865.727,5.7769183,
2862.817,23.050789,
2859.906,65.63604,
2856.996,74.704713,
2854.085,109.3971,
2851.175,96.888624,
2848.264,81.813831,
2845.353,82.224475,
2842.443,106.14582,
2839.532,112.07834,
2836.622,109.14323,
2833.711,104.69819,
2830.801,113.64191,
2827.890,103.08568,
2824.979,107.04605,
2822.069,114.71588,
2819.158,114.03033,
2816.248,115.50868,
2813.337,130.3683,
2810.427,112.70592,
2807.516,104.49109,
2804.605,117.18029,
2801.695,116.5263,
2798.784,108.04569,
2795.874,102.30935,
2792.963,107.96415,
2790.052,121.74635,
2787.142,108.05281,
2784.231,119.65374,
2781.321,112.19002,
2778.410,116.26016,
2775.500,114.28172,
2772.589,114.17278,
2769.678,121.35404,
2766.768,126.63348,
2763.857,126.32803,
2760.947,114.22163,
2758.036,127.53992,
2755.126,122.4124,
2752.215,124.17715,
2749.304,122.72841,
2746.394,135.63309,
2743.483,134.89997,
2740.573,131.87828,
2737.662,114.2929,
2734.751,118.58961,
2731.841,128.75,
2728.930,119.322,
2726.020,124.75,
2723.109,115.88417,
2720.199,132.08447,
2717.288,125.27555,
2714.377,141.19984,
2711.467,140.58626,
2708.556,122.36726,
2705.646,139.10218,
2702.735,154.57216,
2699.825,137.88089,
2696.914,149.56002,
2694.003,136.26382,
2691.093,138.8571,
2688.182,140.80482,
2685.272,144.55512,
2682.361,127.20306,
2679.450,142.98449,
2676.540,120.99389,
2673.629,133.41367,
2670.719,137.31932,
2667.808,130.18772,
2664.898,144.38618,
2661.987,141.14973,
2659.076,143.84266,
2656.166,143.62017,
2653.255,137.11905,
2650.345,137.61388,
2647.434,135.52165,
2644.524,144.90828,
2641.613,151.55013,
2638.702,155.71844,
2635.792,142.46884,
2632.881,144.63686,
2629.971,145.87751,
2627.060,148.58281,
2624.149,151.37188,
2621.239,144.48962,
2618.328,128.02162,
2615.418,155.75454,
2612.507,147.54449,
2609.597,143.75,
2606.686,151.75,
2603.775,150.78968,
2600.865,150.51451,
2597.954,163.22914,
2595.044,160.85628,
2592.133,139.80736,
2589.223,155.1237,
2586.312,161.45852,
2583.401,165.70984,
2580.491,159.29808,
2577.580,162.71204,
2574.670,141.9639,
2571.759,164.2654,
2568.848,157.99299,
2565.938,169.13107,
2563.027,156.31135,
2560.117,152.4883,
2557.206,164.92712,
2554.296,165.29462,
2551.385,171.87399,
2548.474,182.00948,
2545.564,173.19318,
2542.653,185.97148,
2539.743,174.77465,
2536.832,150.85093,
2533.922,174.93923,
2531.011,185.65009,
2528.100,173.68725,
2525.190,186.30492,
2522.279,157.40657,
2519.369,168.93879,
2516.458,154.18697,
2513.548,161.93159,
2510.637,188.81148,
2507.726,183.50463,
2504.816,177.06342,
2501.905,188.4311,
2498.995,157.94438,
2496.084,177.05662,
2493.173,179.40795,
2490.263,190.3229,
2487.352,189.91693,
2484.442,189.19327,
2481.531,172.4841,
2478.621,176.19553,
2475.710,203.67332,
