,PL986C~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.75,
3011.256,1.3000107,
3008.346,47.499705,
3005.435,39.407248,
3002.525,70.807606,
2999.614,52.453927,
2996.704,61.209797,
2993.793,69.51152,
2990.882,56.795823,
2987.972,75.714685,
2985.061,72.296803,
2982.151,67.94327,
2979.240,71.066539,
2976.329,83.020476,
2973.419,71.303787,
2970.508,87.933257,
2967.598,87.841968,
2964.687,76.913722,
2961.777,82.032024,
2958.866,95.091747,
2955.955,94.37388,
2953.045,105.38311,
2950.134,100.11151,
2947.224,103.40478,
2944.313,121.2557,
2941.403,100.97582,
2938.492,116.03726,
2935.581,123.08864,
2932.671,120.79294,
2929.760,130.40384,
2926.850,132.38421,
2923.939,127.43226,
2921.028,132.85013,
2918.118,133.48929,
2915.207,123.04108,
2912.297,144.64422,
2909.386,150.75,
2906.476,128.177,
2903.565,140.86334,
2900.654,134.97346,
2897.744,124.2026,
2894.833,149.44091,
2891.923,139.6154,
2889.012,162.57659,
2886.102,184.14595,
2883.191,244.69241,
2880.280,502.67827,
2877.370,403.3029,
2874.459,-99.187162,
2871.549,-36.393849,
2868.638,101.80354,
2865.727,105.51537,
2862.817,130.23662,
2859.906,124.4594,
2856.996,137.25226,
2854.085,157.87609,
2851.175,146.43977,
2848.264,136.32834,
2845.353,123.05194,
2842.443,136.3507,
2839.532,126.43662,
2836.622,130.44661,
2833.711,128.2241,
2830.801,124.15294,
2827.890,130.41432,
2824.979,128.37993,
2822.069,133.77274,
2819.158,138.79043,
2816.248,131.79632,
2813.337,151.14147,
2810.427,133.61777,
2807.516,130.85797,
2804.605,148.31971,
2801.695,131.99998,
2798.784,125.60215,
2795.874,138.89512,
2792.963,130.96415,
2790.052,147.74571,
2787.142,130.34227,
2784.231,134.97672,
2781.321,120.56718,
2778.410,133.16497,
2775.500,138.34517,
2772.589,134.98089,
2769.678,146.03323,
2766.768,146.19853,
2763.857,135.17197,
2760.947,147.27837,
2758.036,145.82003,
2755.126,146.32051,
2752.215,141.83628,
2749.304,154.06832,
2746.394,145.80846,
2743.483,151.39999,
2740.573,147.42697,
2737.662,130.09023,
2734.751,142.00717,
2731.841,146.85806,
2728.930,143.99571,
2726.020,153.4184,
2723.109,152.97683,
2720.199,162.57513,
2717.288,150.81935,
2714.377,161.97492,
2711.467,158.83241,
2708.556,148.13274,
2705.646,160.97536,
2702.735,167.25258,
2699.825,159.47905,
2696.914,171.4173,
2694.003,169.62155,
2691.093,168.30355,
2688.182,163.16778,
2685.272,169.47546,
2682.361,158.69105,
2679.450,168.9969,
2676.540,164.60773,
2673.629,155.09531,
2670.719,166.45057,
2667.808,180.50682,
2664.898,173.607,
2661.987,167.58306,
2659.076,164.6056,
2656.166,168.63743,
2653.255,175.63776,
2650.345,170.12568,
2647.434,156.2933,
2644.524,176.22484,
2641.613,187.92159,
2638.702,190.75,
2635.792,168.30934,
2632.881,188.7084,
2629.971,180.51507,
2627.060,173.74875,
2624.149,178.69688,
2621.239,185.5252,
2618.328,167.30103,
2615.418,181.74091,
2612.507,186.9911,
2609.597,185.93363,
2606.686,185.6456,
2603.775,189.74602,
2600.865,192.04015,
2597.954,190.80411,
2595.044,205.80314,
2592.133,192.52706,
2589.223,202.44896,
2586.312,208.8204,
2583.401,196.93251,
2580.491,210.10576,
2577.580,191.73845,
2574.670,188.34758,
2571.759,197.75,
2568.848,209.27492,
2565.938,195.65463,
2563.027,209.35912,
2560.117,192.21727,
2557.206,193.98247,
2554.296,195.123,
2551.385,198.24596,
2548.474,221.8987,
2545.564,224.06656,
2542.653,227.36074,
2539.743,220.28081,
2536.832,201.13691,
2533.922,213.60808,
2531.011,208.59967,
2528.100,219.81621,
2525.190,229.44631,
2522.279,231.03139,
2519.369,227.09021,
2516.458,207.52974,
2513.548,211.36816,
2510.637,228.42631,
2507.726,233.7537,
2504.816,225.00028,
2501.905,221.0689,
2498.995,219.34719,
2496.084,228.75,
2493.173,225.98675,
2490.263,242.09805,
2487.352,239.8736,
2484.442,223.73714,
2481.531,229.53728,
2478.621,227.28555,
2475.710,257.58131,
2472.799,233.28366,
2469.889,228.17383,
2466.978,235.07986,
2464.068,227.17325,
2461.157,226.90497,
2458.247,236.44123,
2455.336,244.06898,
2452.425,233.16036,
2449.515,235.85396,
2446.604,235.28923,
2443.694,224.98274,
2440.783,248.18243,
2437.872,231.51576,
2434.962,244.1325,
2432.051,233.47859,
2429.141,255.42633,
2426.230,252.27153,
2423.320,266.96439,
2420.409,258.58982,
2417.498,249.35674,
2414.588,248.56749,
2411.677,240.28787,
2408.767,258.03838,
2405.856,275.25472,
2402.946,273.4819,
2400.035,252.56689,
2397.124,275.4131,
2394.214,276.9672,
2391.303,284.67818,
2388.393,294.9477,
2385.482,290.14656,
2382.571,222.10468,
2379.661,217.47086,
2376.750,240.53561,
2373.840,259.02497,
2370.929,256.79332,
2368.019,277.3282,
2365.108,277.37827,
2362.197,268.37463,
2359.287,270.3383,
2356.376,288.72006,
2353.466,297.84256,
2350.555,270.19487,
2347.645,268.30231,
2344.734,283.35832,
2341.823,273.96558,
2338.913,281.50671,
2336.002,279.4581,
2333.092,293.63492,
2330.181,284.66053,
2327.270,285.41997,
2324.360,309.86795,
2321.449,293.22618,
2318.539,290.89986,
2315.628,298.44744,
2312.718,287.26762,
2309.807,306.54506,
2306.896,304.25391,
2303.986,303.13959,
2301.075,300.36702,
2298.165,299.95191,
2295.254,289.96543,
2292.344,301.53837,
2289.433,301.38318,
2286.522,306.09811,
2283.612,310.46938,
2280.701,330.98314,
2277.791,331.66798,
2274.880,302.54006,
2271.969,296.55247,
2269.059,309.66009,
2266.148,312.75,
2263.238,316.34845,
2260.327,319.54308,
2257.417,317.46167,
2254.506,325.8184,
2251.595,315.33921,
2248.685,338.31333,
2245.774,330.124,
2242.864,323.33353,
2239.953,331.97758,
2237.043,330.41215,
2234.132,312.43318,
2231.221,338.41169,
2228.311,336.35311,
2225.400,373.52484,
2222.490,365.19298,
2219.579,358.30525,
2216.669,350.74523,
2213.758,345.22712,
2210.847,335.30165,
2207.937,353.89492,
2205.026,353.74941,
2202.116,369.75,
2199.205,370.98741,
2196.294,382.30397,
2193.384,371.98747,
2190.473,359.60211,
2187.563,401.837,
2184.652,413.72552,
2181.742,383.59139,
2178.831,393.18969,
2175.920,396.66439,
2173.010,419.77664,
2170.099,427.75,
2167.189,430.72847,
2164.278,427.01633,
2161.368,425.89248,
2158.457,434.17363,
2155.546,449.32503,
2152.636,434.27135,
2149.725,428.5755,
2146.815,448.11599,
2143.904,458.86522,
2140.993,491.79238,
2138.083,485.68006,
2135.172,496.2626,
2132.262,491.6206,
2129.351,480.68788,
2126.441,473.33251,
2123.530,449.01938,
2120.619,469.44739,
2117.709,441.10306,
2114.798,424.41159,
2111.888,429.70009,
2108.977,416.94205,
2106.067,409.23324,
2103.156,411.38951,
2100.245,393.74122,
2097.335,382.27879,
2094.424,398.59585,
2091.514,387.45964,
2088.603,384.02187,
2085.692,402.93579,
2082.782,409.92271,
2079.871,407.10706,
2076.961,417.03964,
2074.050,409.73182,
2071.140,390.07181,
2068.229,393.65494,
2065.318,408.31876,
2062.408,399.62067,
2059.497,403.60719,
2056.587,399.3434,
2053.676,417.51497,
2050.766,400.67452,
2047.855,384.23414,
2044.944,398.75481,
2042.034,387.64598,
2039.123,394.43013,
2036.213,385.13662,
2033.302,394.57574,
2030.391,398.29279,
2027.481,418.76193,
2024.570,427.06433,
2021.660,384.41082,
2018.749,422.02818,
2015.839,399.1765,
2012.928,373.88759,
2010.017,393.9183,
2007.107,400.88831,
2004.196,390.19047,
2001.286,390.16696,
1998.375,411.93013,
1995.465,389.28572,
1992.554,384.25585,
1989.643,395.3698,
1986.733,394.77017,
1983.822,362.99446,
1980.912,382.97774,
1978.001,385.94481,
1975.090,378.39732,
1972.180,366.02526,
1969.269,383.50578,
1966.359,376.18223,
1963.448,368.48052,
1960.538,369.56151,
1957.627,378.66642,
1954.716,376.83618,
1951.806,372.75644,
1948.895,354.38764,
1945.985,361.81373,
1943.074,365.61729,
1940.164,340.83645,
1937.253,341.06724,
1934.342,340.16017,
1931.432,341.87303,
1928.521,359.19214,
1925.611,360.14614,
1922.700,354.79282,
1919.790,351.16621,
1916.879,342.37775,
1913.968,321.77459,
1911.058,371.17341,
1908.147,338.33689,
1905.237,362.34559,
1902.326,372.13369,
1899.415,356.33653,
1896.505,276.26801,
1893.594,287.73788,
1890.684,311.23366,
1887.773,318.836,
1884.863,343.8844,
1881.952,354.75,
1879.041,340.37668,
1876.131,350.40882,
1873.220,330.21451,
1870.310,359.23873,
1867.399,386.35016,
1864.489,328.87936,
1861.578,356.0962,
1858.667,345.64224,
1855.757,329.32279,
1852.846,353.71925,
1849.936,332.72698,
1847.025,323.28042,
1844.114,336.45359,
1841.204,374.02622,
1838.293,381.75998,
1835.383,367.00601,
1832.472,372.20391,
1829.562,366.05755,
1826.651,362.53644,
1823.740,353.10247,
1820.830,355.69494,
1817.919,358.56438,
1815.009,359.60623,
1812.098,368.72637,
1809.188,386.63368,
1806.277,377.97132,
1803.366,364.55037,
1800.456,353.5194,
1797.545,367.30316,
1794.635,379.0711,
1791.724,413.66273,
1788.813,389.77186,
1785.903,461.50191,
1782.992,508.62343,
1780.082,560.06694,
1777.171,357.36235,
1774.261,178.47548,
1771.350,252.20151,
1768.439,342.60678,
1765.529,410.47967,
1762.618,423.8175,
1759.708,399.27151,
1756.797,408.94697,
1753.887,438.5707,
1750.976,435.44306,
1748.065,425.60561,
1745.155,428.13705,
1742.244,435.06068,
1739.334,410.04648,
1736.423,420.35931,
1733.512,427.56707,
1730.602,443.20637,
1727.691,444.9117,
1724.781,443.75,
1721.870,456.62627,
1718.960,481.95027,
1716.049,444.80126,
1713.138,455.55991,
1710.228,483.11832,
1707.317,448.71343,
1704.407,498.55223,
1701.496,473.75738,
1698.586,477.21789,
1695.675,482.42854,
1692.764,490.32377,
1689.854,445.78541,
1686.943,466.94058,
1684.033,484.32778,
1681.122,520.13827,
1678.211,491.03552,
1675.301,519.66058,
1672.390,523.53766,
1669.480,453.08692,
1666.569,495.65141,
1663.659,565.65201,
1660.748,560.86834,
1657.837,616.65651,
1654.927,568.00772,
1652.016,578.92009,
1649.106,585.92137,
1646.195,593.85291,
1643.285,639.00065,
1640.374,649.47822,
1637.463,638.24521,
1634.553,719.86822,
1631.642,728.37976,
1628.732,785.91591,
1625.821,813.78075,
1622.911,860.48515,
1620.000,946.65391,
1617.089,946.7699,
1614.179,1044.9017,
1611.268,1093.9655,
1608.358,1172.9573,
1605.447,1227.6647,
1602.536,1198.134,
1599.626,1248.1862,
1596.715,1240.9512,
1593.805,1201.2937,
1590.894,1204.676,
1587.984,1195.3569,
1585.073,1182.6894,
1582.162,1141.5104,
1579.252,1127.2036,
1576.341,1090.5032,
1573.431,1061.3875,
1570.520,1022.8818,
1567.610,1037.3386,
1564.699,993.54785,
1561.788,991.35547,
1558.878,998.75,
1555.967,922.77356,
1553.057,894.59472,
1550.146,876.78278,
1547.235,845.22086,
1544.325,859.19893,
1541.414,885.77074,
1538.504,889.69479,
1535.593,876.55097,
1532.683,870.26273,
1529.772,878.90622,
1526.861,861.63357,
1523.951,848.89515,
1521.040,869.87087,
1518.130,867.21348,
1515.219,894.75,
1512.309,886.5743,
1509.398,863.4686,
1506.487,867.03361,
1503.577,857.83602,
1500.666,873.5115,
1497.756,856.1314,
1494.845,859.94956,
1491.934,840.67756,
1489.024,818.54022,
1486.113,815.89557,
1483.203,817.52634,
1480.292,811.81042,
1477.382,823.68197,
1474.471,772.26609,
1471.560,740.51101,
1468.650,747.7322,
1465.739,723.64696,
1462.829,747.33358,
1459.918,800.71707,
1457.008,794.33427,
1454.097,777.91748,
1451.186,795.57205,
1448.276,784.5636,
1445.365,743.39139,
1442.455,709.35082,
1439.544,676.74278,
1436.633,708.45805,
1433.723,677.87764,
1430.812,672.11941,
1427.902,676.41175,
1424.991,662.19532,
1422.081,625.96839,
1419.170,640.03121,
1416.259,686.4934,
1413.349,662.00891,
1410.438,632.55573,
1407.528,651.78715,
1404.617,662.6401,
1401.707,594.56732,
1398.796,543.35837,
1395.885,557.36423,
1392.975,553.64529,
1390.064,548.58579,
1387.154,569.68294,
1384.243,497.64783,
1381.332,528.31536,
1378.422,507.8322,
1375.511,490.03337,
1372.601,581.90703,
1369.690,622.32445,
1366.780,594.48452,
1363.869,630.0651,
1360.958,666.55649,
1358.048,679.71656,
1355.137,706.98283,
1352.227,729.75,
1349.316,752.30208,
1346.406,799.24523,
1343.495,810.79526,
1340.584,785.49903,
1337.674,850.14361,
1334.763,860.97372,
1331.853,840.57464,
1328.942,818.40286,
1326.032,894.8652,
1323.121,899.41264,
1320.210,934.70524,
1317.300,961.24255,
1314.389,986.81986,
1311.479,1003.6918,
1308.568,1011.9625,
1305.657,1021.9498,
1302.747,1008.3296,
1299.836,1075.8385,
1296.926,1092.6301,
1294.015,1133.0803,
1291.105,1188.463,
1288.194,1202.9387,
1285.283,1204.034,
1282.373,1225.8984,
1279.462,1249.7302,
1276.552,1288.947,
1273.641,1308.1861,
1270.731,1290.9828,
1267.820,1308.0494,
1264.909,1286.628,
1261.999,1206.6488,
1259.088,1231.276,
1256.178,1261.0131,
1253.267,1210.5119,
1250.356,1181.5594,
1247.446,1183.9642,
1244.535,1180.3348,
1241.625,1159.4463,
1238.714,1144.9295,
1235.804,1157.1771,
1232.893,1180.8794,
1229.982,1159.9221,
1227.072,1135.4786,
1224.161,1154.7626,
1221.251,1100.6783,
1218.340,1064.5547,
1215.430,1059.6037,
1212.519,1076.3328,
1209.608,1082.8275,
1206.698,1057.3456,
1203.787,1046.8103,
1200.877,1105.4684,
1197.966,1084.7878,
1195.055,1114.467,
1192.145,1174.5981,
1189.234,1229.7312,
1186.324,1253.5685,
1183.413,1257.6332,
1180.503,1268.5304,
1177.592,1286.356,
1174.681,1277.4418,
1171.771,1248.1621,
1168.860,1266.0239,
1165.950,1256.4619,
1163.039,1222.3219,
1160.129,1205.2109,
1157.218,1247.9392,
1154.307,1294.8949,
1151.397,1288.8825,
1148.486,1280.4503,
1145.576,1278.6729,
1142.665,1276.8971,
1139.754,1288.1408,
1136.844,1269.7409,
1133.933,1254.2984,
1131.023,1237.9476,
1128.112,1223.6787,
1125.202,1229.2379,
1122.291,1250.3686,
1119.380,1234.0878,
1116.470,1268.5064,
1113.559,1247.2328,
1110.649,1194.5657,
1107.738,1192.7185,
1104.828,1204.2602,
1101.917,1195.2294,
1099.006,1200.152,
1096.096,1205.8362,
1093.185,1190.9101,
1090.275,1250.4453,
1087.364,1239.3635,
1084.453,1226.0626,
1081.543,1234.8291,
1078.632,1249.9438,
1075.722,1256.6306,
1072.811,1262.1438,
1069.901,1225.4669,
1066.990,1232.45,
1064.079,1250.4018,
1061.169,1245.0471,
1058.258,1235.1735,
1055.348,1252.5056,
1052.437,1283.7306,
1049.527,1238.4549,
1046.616,1256.7003,
1043.705,1259.5208,
1040.795,1275.0741,
1037.884,1265.5434,
1034.974,1251.4742,
1032.063,1262.0422,
1029.153,1275.3346,
1026.242,1271.8747,
1023.331,1249.2514,
1020.421,1306.792,
1017.510,1324.7856,
