,PL9DD1~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.5,
3011.256,1.9499893,
3008.346,60.937132,
3005.435,57.157248,
3002.525,75.085011,
2999.614,69.827291,
2996.704,75.048456,
2993.793,64.5,
2990.882,76.927415,
2987.972,91.414236,
2985.061,77.160102,
2982.151,77.857981,
2979.240,75.665391,
2976.329,84.00273,
2973.419,103.13081,
2970.508,99.033347,
2967.598,91.308835,
2964.687,91.798233,
2961.777,88.346071,
2958.866,107.84769,
2955.955,104.43582,
2953.045,109.05034,
2950.134,112.71283,
2947.224,101.09785,
2944.313,121.94943,
2941.403,124.23814,
2938.492,124.23443,
2935.581,131.38712,
2932.671,121.98502,
2929.760,141.08461,
2926.850,135.5,
2923.939,128.42056,
2921.028,144.22371,
2918.118,143.8602,
2915.207,135.49355,
2912.297,147.41961,
2909.386,144.92335,
2906.476,128.70228,
2903.565,138.61334,
2900.654,137.00555,
2897.744,109.80173,
2894.833,135.14945,
2891.923,120.47109,
2889.012,118.19942,
2886.102,133.60677,
2883.191,96.526432,
2880.280,77.66745,
2877.370,-58.243852,
2874.459,-186.76997,
2871.549,-68.894247,
2868.638,65.555583,
2865.727,88.184612,
2862.817,111.35827,
2859.906,98.209396,
2856.996,123.94339,
2854.085,148.82355,
2851.175,133.25908,
2848.264,136.48066,
2845.353,141.80194,
2842.443,149.90975,
2839.532,130.63439,
2836.622,139.58984,
2833.711,135.55181,
2830.801,138.29853,
2827.890,144.64863,
2824.979,143.09211,
2822.069,161.40902,
2819.158,148.55929,
2816.248,146.47684,
2813.337,147.95366,
2810.427,150.06612,
2807.516,148.5,
2804.605,152.97357,
2801.695,154.05261,
2798.784,150.98254,
2795.874,153.79024,
2792.963,145.64277,
2790.052,165.49528,
2787.142,150.93442,
2784.231,160.72672,
2781.321,149.61996,
2778.410,142.72461,
2775.500,153.03172,
2772.589,164.19266,
2769.678,160.21677,
2766.768,157.61652,
2763.857,150.28998,
2760.947,148.96533,
2758.036,157.90136,
2755.126,165.78846,
2752.215,164.8819,
2749.304,170.5,
2746.394,159.98184,
2743.483,165.5,
2740.573,173.48455,
2737.662,157.18047,
2734.751,164.26702,
2731.841,167.85165,
2728.930,159.58455,
2726.020,184.16319,
2723.109,169.08783,
2720.199,176.12818,
2717.288,171.85037,
2714.377,179.8541,
2711.467,172.66374,
2708.556,180.97874,
2705.646,185.57044,
2702.735,192.16495,
2699.825,187.56544,
2696.914,189.35728,
2694.003,200.01382,
2691.093,200.37485,
2688.182,189.62667,
2685.272,189.81863,
2682.361,185.2238,
2679.450,184.53288,
2676.540,181.84551,
2673.629,194.8498,
2670.719,188.14233,
2667.808,193.25682,
2664.898,182.13618,
2661.987,186.83322,
2659.076,190.3556,
2656.166,190.54766,
2653.255,185.83163,
2650.345,191.28403,
2647.434,184.64347,
2644.524,201.70861,
2641.613,204.15745,
2638.702,205.56312,
2635.792,215.00149,
2632.881,205.23211,
2629.971,201.26507,
2627.060,198.16563,
2624.149,201.44688,
2621.239,209.02668,
2618.328,184.66955,
2615.418,188.83182,
2612.507,201.29047,
2609.597,199.41816,
2606.686,204.69478,
2603.775,205.98016,
2600.865,215.67409,
2597.954,205.5062,
2595.044,222.19619,
2592.133,214.27706,
2589.223,213.5,
2586.312,223.96233,
2583.401,210.21531,
2580.491,217.01919,
2577.580,216.5033,
2574.670,215.73263,
2571.759,215.65667,
2568.848,224.79283,
2565.938,239.26199,
2563.027,228.23181,
2560.117,220.60278,
2557.206,226.34871,
2554.296,234.21625,
2551.385,238.11996,
2548.474,242.35205,
2545.564,234.87987,
2542.653,245.58389,
2539.743,245.58626,
2536.832,227.17289,
2533.922,240.27923,
2531.011,234.47433,
2528.100,244.30484,
2525.190,245.56803,
2522.279,249.98412,
2519.369,232.85889,
2516.458,228.61898,
2513.548,254.49067,
2510.637,250.37703,
2507.726,249.74907,
2504.816,246.31172,
2501.905,251.23902,
2498.995,251.97775,
2496.084,253.9808,
2493.173,247.57914,
2490.263,273.24128,
2487.352,257.5,
2484.442,256.93041,
2481.531,254.44682,
2478.621,258.87443,
2475.710,272.5,
2472.799,267.07405,
2469.889,248.07617,
2466.978,252.71643,
2464.068,266.03443,
2461.157,261.80994,
2458.247,274.48533,
2455.336,283.11644,
2452.425,267.66979,
2449.515,264.0946,
2446.604,279.02532,
2443.694,283.75575,
2440.783,284.92905,
2437.872,256.37516,
2434.962,276.87328,
2432.051,273.88897,
2429.141,270.67069,
2426.230,279.65251,
2423.320,286.85684,
