,PL9F3F~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.5,
3011.256,-0.15003221,
3008.346,135.45589,
3005.435,138.73322,
3002.525,155.25503,
2999.614,134.39225,
2996.704,159.22577,
2993.793,164.36694,
2990.882,172.75953,
2987.972,194.39406,
2985.061,177.49015,
2982.151,172.8126,
2979.240,198.18346,
2976.329,198.25137,
2973.419,226.10026,
2970.508,213.65001,
2967.598,208.35663,
2964.687,209.32065,
2961.777,209.87603,
2958.866,247.17013,
2955.955,242.5,
2953.045,241.81994,
2950.134,269.74491,
2947.224,270.5,
2944.313,282.63462,
2941.403,277.51141,
2938.492,297.77642,
2935.581,288.56995,
2932.671,311.06225,
2929.760,323.03462,
2926.850,322.55226,
2923.939,311.10282,
2921.028,326.15907,
2918.118,319.0403,
2915.207,307.37324,
2912.297,308.45346,
2909.386,315.31751,
2906.476,312.01968,
2903.565,301.19408,
2900.654,305.95802,
2897.744,305.31142,
2894.833,289.67527,
2891.923,288.5,
2889.012,270.15896,
2886.102,286.4392,
2883.191,249.52926,
2880.280,213.05021,
2877.370,29.488761,
2874.459,-51.927459,
2871.549,79.685399,
2868.638,230.82571,
2865.727,254.9769,
2862.817,288.08688,
2859.906,269.26067,
2856.996,296.50906,
2854.085,338.51268,
2851.175,320.6175,
2848.264,324.70116,
2845.353,297.90977,
2842.443,313.30557,
2839.532,311.60446,
2836.622,315.13477,
2833.711,311.70723,
2830.801,303.80956,
2827.890,325.2098,
2824.979,323.51206,
2822.069,311.71607,
2819.158,334.6806,
2816.248,319.83395,
2813.337,329.02562,
2810.427,322.27961,
2807.516,321.60797,
2804.605,332.06971,
2801.695,326.5,
2798.784,318.16531,
2795.874,322.78496,
2792.963,326.71436,
2790.052,333.49893,
2787.142,333.63162,
2784.231,331.82299,
2781.321,336.24856,
2778.410,326.69037,
2775.500,332.28551,
2772.589,314.84785,
2769.678,341.89248,
2766.768,326.45532,
2763.857,342.23796,
2760.947,348.98424,
2758.036,350.73569,
2755.126,352.92949,
2752.215,349.96818,
2749.304,358.22301,
2746.394,343.6975,
2743.483,366.65002,
2740.573,357.2898,
2737.662,356.85059,
2734.751,359.56809,
2731.841,355.17583,
2728.930,341.78798,
2726.020,367.39294,
2723.109,360.74758,
2720.199,374.93124,
2717.288,367.79926,
2714.377,380.52886,
2711.467,385.15604,
2708.556,364.72358,
2705.646,386.3874,
2702.735,379.85053,
2699.825,387.69633,
2696.914,390.6432,
2694.003,392.44472,
2691.093,382.51805,
2688.182,392.08222,
2685.272,394.94239,
2682.361,392.04694,
2679.450,398.91563,
2676.540,381.66259,
2673.629,392.15469,
2670.719,404.56562,
2667.808,404.69454,
2664.898,398.75973,
2661.987,405.73346,
2659.076,410.5,
2656.166,403.79006,
2653.255,400.98129,
2650.345,419.53267,
2647.434,417.61461,
2644.524,427.56954,
2641.613,425.18573,
2638.702,414.67359,
2635.792,418.37537,
2632.881,423.5832,
2629.971,426.01005,
2627.060,421.00031,
2624.149,416.20313,
2621.239,416.50593,
2618.328,415.71194,
2615.418,423.15455,
2612.507,439.04937,
2609.597,433.69361,
2606.686,432.22692,
2603.775,447.34127,
2600.865,452.26451,
2597.954,449.11669,
2595.044,446.45572,
2592.133,458.94588,
2589.223,444.45156,
2586.312,448.35426,
2583.401,444.86859,
2580.491,455.10091,
2577.580,433.57922,
2574.670,475.68852,
2571.759,480.31848,
2568.848,461.10203,
2565.938,462.92861,
2563.027,456.03637,
2560.117,461.7617,
2557.206,444.80259,
2554.296,470.64188,
2551.385,474.38408,
2548.474,502.09294,
2545.564,488.19642,
2542.653,501.19463,
2539.743,482.26494,
2536.832,474.09253,
2533.922,488.51577,
2531.011,491.42484,
2528.100,497.0331,
2525.190,502.24344,
2522.279,515.13996,
2519.369,484.78318,
2516.458,475.72026,
2513.548,492.10883,
2510.637,500.68445,
2507.726,505.37361,
2504.816,492.62288,
2501.905,502.22439,
2498.995,499.27635,
2496.084,516.71257,
2493.173,513.57847,
2490.263,525.43224,
2487.352,506.58507,
2484.442,530.07602,
2481.531,522.28728,
2478.621,514.66112,
2475.710,529.523,
2472.799,529.29376,
2469.889,529.19531,
2466.978,530.11865,
2464.068,543.73816,
2461.157,555.61257,
2458.247,555.44131,
2455.336,562.9266,
2452.425,545.12734,
2449.515,566.19856,
2446.604,574.21897,
2443.694,556.9885,
2440.783,570.83559,
2437.872,575.20828,
2434.962,561.45853,
2432.051,553.27794,
2429.141,583.85267,
2426.230,566.32535,
2423.320,600.5,
