,PL9F45~1,
Wavenumbers [1/cm],Intensity,
3014.167,0,
3011.256,1.1000215,
3008.346,40.456476,
3005.435,27.424029,
3002.525,40.717562,
2999.614,44.802618,
2996.704,52.229899,
2993.793,50.495392,
2990.882,53.435118,
2987.972,58.878921,
2985.061,37.660102,
2982.151,53.329422,
2979.240,37.294642,
2976.329,64.49727,
2973.419,60.892427,
2970.508,55.383337,
2967.598,57.996385,
2964.687,49.939537,
2961.777,58.470039,
2958.866,72.671616,
2955.955,66,
2953.045,69.816554,
2950.134,69.606415,
2947.224,64.512439,
2944.313,80.651709,
2941.403,72.916515,
2938.492,86.701891,
2935.581,92.268689,
2932.671,78.442079,
2929.760,89.534616,
2926.850,88.104511,
2923.939,81.037363,
2921.028,103.10013,
2918.118,86.620908,
2915.207,88.113851,
2912.297,99.932299,
2909.386,81.627729,
2906.476,80.907319,
2903.565,83.257776,
2900.654,79.435807,
2897.744,79.823989,
2894.833,70.535998,
2891.923,68.080096,
2889.012,53.369943,
2886.102,71.81216,
2883.191,24.046257,
2880.280,12.497588,
2877.370,-98.424195,
2874.459,-194.30178,
2871.549,-113.065,
2868.638,-0.03922867,
2865.727,32,
2862.817,48.029398,
2859.906,67.22792,
2856.996,72.981885,
2854.085,91.084059,
2851.175,71.427725,
2848.264,77.916829,
2845.353,87.323505,
2842.443,102.79861,
2839.532,83.821018,
2836.622,81.876304,
2833.711,78.940357,
2830.801,98.690445,
2827.890,95.438823,
2824.979,104.56798,
2822.069,98.079605,
2819.158,102.71967,
2816.248,106.47105,
2813.337,123.95855,
2810.427,105.61019,
2807.516,97.10797,
2804.605,98.795673,
2801.695,100.82895,
2798.784,88.182769,
2795.874,100.13984,
2792.963,93.999785,
2790.052,125.99206,
2787.142,102.46065,
2784.231,99.678592,
2781.321,97.371397,
2778.410,89.659895,
2775.500,104.25379,
2772.589,104.42278,
2769.678,102.78497,
2766.768,100.31844,
2763.857,112.842,
2760.947,114.01261,
2758.036,123.62425,
2755.126,109.85897,
2752.215,115.63649,
2749.304,109.29858,
2746.394,109.90522,
2743.483,120.29999,
2740.573,121.22566,
2737.662,103.31953,
2734.751,105.72313,
2731.841,112.32417,
2728.930,114.32629,
2726.020,114.22454,
2723.109,94.722003,
2720.199,119.25637,
2717.288,107.98176,
2714.377,117.3541,
2711.467,109.21319,
2708.556,113.29768,
2705.646,125.07044,
2702.735,139.66495,
2699.825,131.1527,
2696.914,136.95274,
2694.003,133.48618,
2691.093,131.7858,
2688.182,135.52741,
2685.272,131,
2682.361,126.27074,
2679.450,133.86414,
2676.540,117.06097,
2673.629,113.03143,
2670.719,118.91221,
2667.808,130.95136,
2664.898,125.51945,
2661.987,127,
2659.076,117.39871,
2656.166,130.74034,
2653.255,125.43878,
2650.345,135.5118,
2647.434,124.02887,
2644.524,128.82251,
2641.613,143.68636,
2638.702,144.17359,
2635.792,143.84347,
2632.881,151.19634,
2629.971,135.80525,
2627.060,132.99813,
2624.149,143.86563,
2621.239,133.73962,
2618.328,133.63581,
2615.418,143.35454,
2612.507,143.30827,
2609.597,141.73453,
2606.686,135.23296,
2603.775,153.79761,
2600.865,139.88394,
2597.954,141.47914,
2595.044,151.33038,
2592.133,139.77058,
2589.223,137.34948,
2586.312,156.80403,
2583.401,147.85765,
2580.491,159.24515,
2577.580,154.96864,
2574.670,137.10695,
2571.759,149.35873,
2568.848,150.41433,
2565.938,152.95231,
2563.027,157.24321,
2560.117,145.82242,
2557.206,158.46494,
2554.296,157.3135,
2551.385,156.19002,
2548.474,175.18551,
2545.564,163.60146,
2542.653,178.15772,
2539.743,175.08626,
2536.832,162.71402,
2533.922,166.06308,
2531.011,173.5747,
2528.100,163.2752,
2525.190,168.13606,
2522.279,170.78065,
2519.369,149.32055,
2516.458,154.22026,
2513.548,172.22699,
2510.637,160.30741,
2507.726,173.11898,
2504.816,185.37429,
2501.905,168.82622,
2498.995,165.09016,
2496.084,189.7212,
2493.173,164.36821,
2490.263,170.16838,
2487.352,160.45907,
2484.442,176.12632,
2481.531,187.42023,
2478.621,161.43119,
2475.710,192.92332,
2472.799,180.04039,
2469.889,167.60664,
2466.978,168.32986,
2464.068,189.15351,
2461.157,180.96248,
2458.247,179.88229,
2455.336,183.55187,
2452.425,172.95281,
2449.515,200.26403,
2446.604,191.82721,
2443.694,191.81416,
2440.783,201.66779,
2437.872,180.47404,
2434.962,189.05991,
2432.051,183.3643,
2429.141,206.79389,
2426.230,188.76016,
2423.320,202.52863,
2420.409,203.02558,
2417.498,205.60674,
2414.588,195.00764,
2411.677,207.07172,
2408.767,211.27657,
2405.856,211.43337,
2402.946,192.36283,
2400.035,200.48593,
2397.124,199.87701,
2394.214,196.51479,
2391.303,211.75135,
2388.393,203.05579,
2385.482,185.61687,
2382.571,176.05124,
2379.661,161.58129,
2376.750,190.10087,
2373.840,209.4906,
2370.929,210.01083,
2368.019,208.50553,
2365.108,219.79058,
2362.197,215.02737,
2359.287,229.36156,
2356.376,231.00528,
2353.466,247.33575,
2350.555,212.39501,
2347.645,214.77616,
2344.734,224.66822,
2341.823,232.9005,
2338.913,222.44774,
2336.002,213.04539,
2333.092,221.05754,
2330.181,226.29921,
2327.270,222.38504,
2324.360,236.5967,
2321.449,233.03061,
2318.539,237.63916,
2315.628,246.09233,
2312.718,239.93392,
2309.807,231.68313,
2306.896,242.25978,
2303.986,246,
2301.075,247.85106,
2298.165,263.36565,
2295.254,243.51703,
2292.344,247.46882,
2289.433,253.57136,
2286.522,247.99538,
2283.612,257.02932,
2280.701,274.63673,
2277.791,261.95993,
2274.880,254.36613,
2271.969,242.76544,
2269.059,268.02725,
2266.148,245.00668,
2263.238,255.6911,
2260.327,271.03435,
2257.417,258.23722,
2254.506,258.59544,
2251.595,267.13449,
2248.685,262.95196,
2245.774,249.98917,
2242.864,270.5187,
2239.953,272.9932,
2237.043,253.2725,
2234.132,263.31682,
2231.221,268.60462,
2228.311,284.26673,
2225.400,291.08444,
2222.490,288.80119,
2219.579,271.47046,
2216.669,282.49762,
2213.758,286.26144,
2210.847,276.71538,
2207.937,297.02277,
2205.026,302.5551,
2202.116,310.28026,
2199.205,297.41247,
2196.294,295.19001,
2193.384,289.44749,
2190.473,288.85798,
2187.563,329.95166,
2184.652,319.69878,
2181.742,312.38567,
2178.831,301.19845,
2175.920,319.15484,
2173.010,346.6763,
2170.099,351.26686,
2167.189,348.95695,
2164.278,344.46734,
2161.368,353.57136,
2158.457,356.69451,
2155.546,370.21156,
2152.636,354.61177,
2149.725,365.63757,
2146.815,370.96663,
2143.904,386.7026,
2140.993,391.60319,
2138.083,392.83584,
2135.172,400.02519,
2132.262,383.23063,
2129.351,394.6346,
2126.441,419.55345,
2123.530,390.31427,
2120.619,412.08282,
2117.709,370.781,
2114.798,356.6692,
2111.888,338.13815,
2108.977,343.07286,
2106.067,334.28218,
2103.156,347.35637,
2100.245,316.01443,
2097.335,339.36126,
2094.424,336.97366,
2091.514,318.85482,
2088.603,323.06909,
2085.692,330.81785,
2082.782,335.65458,
2079.871,344.57176,
2076.961,353.48338,
2074.050,340.24242,
2071.140,342.42549,
2068.229,329.27213,
2065.318,339.18601,
2062.408,340.21181,
2059.497,333.81549,
2056.587,335.45355,
2053.676,324.2006,
2050.766,348.76756,
2047.855,329.80065,
2044.944,323.39904,
2042.034,328.84397,
2039.123,336.63973,
2036.213,334.88445,
2033.302,339.26082,
2030.391,331.05115,
2027.481,345.82907,
2024.570,347.10016,
2021.660,319.65562,
2018.749,363.21445,
2015.839,320.69029,
2012.928,337.77013,
2010.017,329.53311,
2007.107,318.60562,
2004.196,320.39284,
2001.286,321.43815,
1998.375,324.30413,
1995.465,319.28036,
1992.554,318.87646,
1989.643,320.93087,
1986.733,315.98333,
