,PL9FF4~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.25,
3011.256,0.049957053,
3008.346,52.595836,
3005.435,41.136929,
3002.525,45.11745,
2999.614,64.101963,
2996.704,60.984025,
2993.793,51.860024,
2990.882,59.860705,
2987.972,71.118831,
2985.061,51.900255,
2982.151,59.369327,
2979.240,62.782313,
2976.329,70.504095,
2973.419,71.58864,
2970.508,77.199931,
2967.598,78.915462,
2964.687,69.384511,
2961.777,65.344008,
2958.866,83.587293,
2955.955,80.526546,
2953.045,82.25,
2950.134,88.314153,
2947.224,80.648563,
2944.313,94.69943,
2941.403,101.33348,
2938.492,94.951891,
2935.581,99.110103,
2932.671,107.45173,
2929.760,105.55768,
2926.850,106.67519,
2923.939,106.61452,
2921.028,108.97371,
2918.118,97.548486,
2915.207,89.370304,
2912.297,116.14845,
2909.386,116.65146,
2906.476,99.514068,
2903.565,99.346293,
2900.654,102.35618,
2897.744,111.08656,
2894.833,93.301638,
2891.923,83.817299,
2889.012,67.498555,
2886.102,65.605412,
2883.191,56.25472,
2880.280,29.025105,
2877.370,-126.331,
2874.459,-235.13323,
2871.549,-102.2492,
2868.638,39.849923,
2865.727,51.83457,
2862.817,74.621654,
2859.906,82.415235,
2856.996,104.72509,
2854.085,115.53152,
2851.175,107.62954,
2848.264,107.31383,
2845.353,92.746042,
2842.443,121.63886,
2839.532,120.38439,
2836.622,108.79492,
2833.711,112.03494,
2830.801,127.14191,
2827.890,118.25,
2824.979,127.87993,
2822.069,127.19314,
2819.158,119.58962,
2816.248,128.69789,
2813.337,148.71343,
2810.427,122.80922,
2807.516,118.94078,
2804.605,120.02404,
2801.695,119.77633,
2798.784,123.25,
2795.874,122.39512,
2792.963,114.46415,
2790.052,128.24635,
2787.142,120.487,
2784.231,137.25,
2781.321,112.31862,
2778.410,123.68529,
2775.500,128.73793,
2772.589,126.48089,
2769.678,137.53323,
2766.768,140.13348,
2763.857,136.61994,
2760.947,143.21217,
2758.036,139.79142,
2755.126,142.15812,
2752.215,140.69555,
2749.304,140.27159,
2746.394,144.52015,
2743.483,148.7,
2740.573,145.58848,
2737.662,127.94082,
2734.751,138.10932,
2731.841,144.84524,
2728.930,127.51685,
2726.020,145.58681,
2723.109,138.49758,
2720.199,154.85951,
2717.288,138.51278,
2714.377,151.69984,
2711.467,152.28296,
2708.556,142.68621,
2705.646,152.23594,
2702.735,148.75774,
2699.825,155.76091,
2696.914,159.29773,
2694.003,158.14918,
2691.093,162.4642,
2688.182,155.66778,
2685.272,176.57717,
2682.361,153.30895,
2679.450,150.78908,
2676.540,151.35162,
2673.629,151.93612,
2670.719,159.95057,
2667.808,174.95819,
2664.898,161.04182,
2661.987,173.0498,
2659.076,167.86853,
2656.166,166.25,
2653.255,165.76871,
2650.345,161.32985,
2647.434,168.13625,
2644.524,178.98377,
2641.613,183.45051,
2638.702,169.61296,
2635.792,177.40653,
2632.881,181.60108,
2629.971,172.29018,
2627.060,181.91563,
2624.149,185.65626,
2621.239,177.99555,
2618.328,164.37716,
2615.418,173.22273,
2612.507,170.35677,
2609.597,178.50549,
2606.686,175.31428,
2603.775,186.64682,
2600.865,178.54352,
2597.954,180.10626,
2595.044,177.91076,
2592.133,177.41559,
2589.223,190.51528,
2586.312,191.73744,
2583.401,182.06749,
2580.491,188.49515,
2577.580,182.2566,
2574.670,182.92915,
2571.759,193.51797,
2568.848,198.54829,
2565.938,205.44046,
2563.027,197.73642,
2560.117,181.88552,
2557.206,196.71494,
2554.296,197.27975,
2551.385,195.24193,
2548.474,210.1764,
2545.564,211.5349,
2542.653,226.00839,
2539.743,201.42252,
2536.832,178.18831,
2533.922,211.28154,
2531.011,217.64963,
2528.100,212.72382,
2525.190,219.59549,
2522.279,221.82792,
2519.369,210.83505,
2516.458,198.57861,
2513.548,213.47699,
2510.637,212.15596,
2507.726,239.68866,
2504.816,219.93545,
2501.905,207.25,
2498.995,231.48888,
2496.084,232.79702,
2493.173,216.74967,
2490.263,225.00257,
2487.352,248.58227,
2484.442,231.82602,
2481.531,229.30318,
2478.621,229.48222,
2475.710,252.31901,
2472.799,253.11108,
2469.889,238.91484,
2466.978,240.147,
2464.068,232.4193,
2461.157,227.90741,
2458.247,241.97057,
2455.336,244.86644,
2452.425,230.3113,
2449.515,257.39137,
2446.604,243.14176,
2443.694,237.55266,
2440.783,255.58559,
2437.872,250.39586,
2434.962,250.04724,
2432.051,239.22533,
2429.141,258.04389,
2426.230,240.94497,
2423.320,259.8359,
2420.409,254.14099,
2417.498,256.05337,
2414.588,258.51995,
2411.677,256.21817,
2408.767,275.92618,
2405.856,263.34759,
2402.946,270.25,
2400.035,280.13968,
2397.124,261.48529,
2394.214,271.5744,
2391.303,254.02914,
2388.393,238.99651,
2385.482,241.16188,
2382.571,219.02142,
2379.661,241.01748,
2376.750,256.35087,
2373.840,274.17186,
2370.929,286.13087,
2368.019,295.55174,
2365.108,278.32068,
2362.197,284.77884,
2359.287,284.0734,
2356.376,288.23767,
2353.466,303.69011,
2350.555,291.66994,
2347.645,292.80231,
2344.734,292.88594,
2341.823,277.49875,
2338.913,307.38877,
2336.002,285.81215,
2333.092,296.37642,
2330.181,288.19632,
2327.270,300.36992,
2324.360,309.92216,
2321.449,313.92687,
2318.539,312.22859,
2315.628,307.76279,
2312.718,318.61565,
2309.807,309.34301,
2306.896,321.98239,
2303.986,315.68507,
2301.075,317.48404,
2298.165,342.19276,
2295.254,314.98246,
2292.344,328.25,
2289.433,320.86,
2286.522,313.43744,
2283.612,336.1212,
2280.701,345.84641,
2277.791,332.72903,
2274.880,315.75608,
2271.969,312.40227,
2269.059,339.39442,
2266.148,324.55217,
2263.238,334.34265,
2260.327,353.04281,
2257.417,331.55277,
2254.506,359.05912,
2251.595,346.54826,
2248.685,353.92686,
2245.774,338.624,
2242.864,350.83353,
2239.953,358.79484,
2237.043,353.35358,
2234.132,350.55388,
2231.221,351.11821,
2228.311,360.68813,
2225.400,358.36258,
2222.490,366.14911,
2219.579,375.72811,
2216.669,371.69992,
2213.758,369.20423,
2210.847,375.14671,
2207.937,397.43564,
2205.026,412.47216,
2202.116,404.28611,
2199.205,386.1493,
2196.294,398.564,
2193.384,405.77601,
2190.473,390.37441,
2187.563,391.41434,
2184.652,423.44266,
2181.742,406.15821,
2178.831,402.88041,
2175.920,427.24454,
2173.010,433.70011,
2170.099,398.72072,
2167.189,446.17824,
2164.278,438.74447,
2161.368,458.67792,
2158.457,459.11756,
2155.546,460.30965,
2152.636,475.25,
2149.725,471.08893,
2146.815,482.8162,
2143.904,479.55111,
2140.993,484.34521,
2138.083,498.18006,
2135.172,511.2416,
2132.262,495.35123,
2129.351,512.43637,
2126.441,500.04605,
2123.530,491.66529,
2120.619,519.99347,
2117.709,466.93156,
2114.798,459.36534,
2111.888,454.27495,
2108.977,443.17052,
2106.067,436.25,
2103.156,451.2072,
2100.245,411.28388,
2097.335,461.87828,
2094.424,431.98431,
2091.514,423.47319,
2088.603,437.3007,
2085.692,441.56967,
2082.782,451.61141,
2079.871,460.82176,
2076.961,465.05627,
2074.050,450.10455,
2071.140,449.34179,
2068.229,456.44011,
2065.318,452.75676,
2062.408,453.89373,
2059.497,467.09527,
2056.587,451.0412,
2053.676,450.49925,
2050.766,443.09679,
2047.855,455.22475,
2044.944,422.24519,
2042.034,432.40603,
2039.123,431.75168,
2036.213,432.32993,
2033.302,444.8582,
2030.391,460.65709,
2027.481,452.76221,
2024.570,463.20685,
2021.660,453.01868,
2018.749,467.55392,
2015.839,471.21456,
2012.928,447.54866,
2010.017,455.25,
2007.107,453.99392,
2004.196,451.22619,
2001.286,471.39837,
1998.375,462.98227,
1995.465,441.45089,
1992.554,457.53219,
1989.643,456.38825,
1986.733,427.05263,
1983.822,442.8017,
1980.912,448.60614,
1978.001,439.0719,
1975.090,438.07747,
1972.180,434.97339,
1969.269,433.06031,
1966.359,434.97986,
1963.448,445.36361,
1960.538,439.1349,
1957.627,445.27477,
1954.716,405.45653,
1951.806,435.59775,
1948.895,442.50506,
1945.985,443.63725,
1943.074,435.08036,
1940.164,413.55756,
1937.253,395.50234,
1934.342,389.28422,
1931.432,416.34149,
1928.521,424.80786,
1925.611,413.04228,
1922.700,407.08425,
1919.790,411.41757,
1916.879,401.08699,
1913.968,390.2623,
1911.058,432.13588,
1908.147,401.45291,
1905.237,395.05882,
1902.326,393.67814,
1899.415,384.55119,
1896.505,334.89444,
1893.594,342.23485,
1890.684,367.08664,
1887.773,382.46501,
1884.863,403.62813,
1881.952,424.68733,
1879.041,427.71106,
1876.131,462.89704,
1873.220,418.9489,
1870.310,428.88674,
1867.399,428.28199,
1864.489,447.92592,
1861.578,418.33218,
1858.667,440.3279,
1855.757,395.04714,
1852.846,404.78331,
1849.936,420.92468,
1847.025,416.42518,
1844.114,439.55124,
1841.204,462.99476,
1838.293,443.77744,
1835.383,443.09848,
1832.472,456.25,
1829.562,454.33359,
1826.651,468.97688,
1823.740,435.48364,
1820.830,437.99819,
1817.919,456.28002,
1815.009,455.82506,
1812.098,457.94291,
1809.188,495.76929,
1806.277,460.11314,
1803.366,430.58272,
1800.456,452.06359,
1797.545,484.7251,
1794.635,498.992,
1791.724,493.12384,
1788.813,476.4554,
1785.903,479.88381,
1782.992,433.83569,
1780.082,403.149,
1777.171,310.23017,
1774.261,268.73566,
1771.350,361.65902,
1768.439,442.78549,
1765.529,497.7084,
1762.618,523.21625,
1759.708,497.17364,
1756.797,488.46212,
1753.887,520.1742,
1750.976,523.22579,
1748.065,504.57566,
1745.155,508.10799,
1742.244,514.25,
1739.334,513.56529,
1736.423,542.92473,
1733.512,560.34351,
1730.602,559.25793,
1727.691,547.50275,
1724.781,578.85937,
1721.870,567.32607,
1718.960,563.89446,
1716.049,543.27563,
1713.138,541.81499,
1710.228,538.76881,
1707.317,547.09571,
1704.407,557.23397,
1701.496,550.04607,
1698.586,568.65367,
1695.675,569.31429,
1692.764,541.79507,
1689.854,506.76573,
1686.943,540.03588,
1684.033,574.40557,
1681.122,571.31797,
1678.211,587.09772,
1675.301,630.11741,
1672.390,597.20813,
1669.480,583.26604,
1666.569,585.99906,
1663.659,644.15201,
1660.748,638.13431,
1657.837,633.08105,
1654.927,670.414,
1652.016,677.1771,
1649.106,673.68694,
1646.195,652.92835,
1643.285,721.40951,
1640.374,727.93641,
1637.463,713.59228,
1634.553,732.45689,
1631.642,746.87976,
1628.732,803.99521,
1625.821,761.32197,
1622.911,870.63014,
1620.000,892.97283,
1617.089,935.39428,
1614.179,993.58614,
1611.268,1056.8706,
1608.358,1076.4072,
1605.447,1173.4222,
1602.536,1118.6773,
1599.626,1171.2858,
1596.715,1155.3752,
1593.805,1103.1674,
1590.894,1089.324,
1587.984,1114.2328,
1585.073,1045.9306,
1582.162,1031.5802,
1579.252,1023.8853,
1576.341,1025.4543,
1573.431,992.57351,
1570.520,958.02556,
1567.610,964.40708,
1564.699,961.9997,
1561.788,963.47531,
1558.878,963.20171,
1555.967,923.93145,
1553.057,909.3534,
1550.146,887.0537,
1547.235,856.49184,
1544.325,853.60191,
1541.414,868.43097,
1538.504,889.60887,
1535.593,893.97245,
1532.683,874.68393,
1529.772,870.01238,
1526.861,863.3522,
1523.951,843.46809,
1521.040,845.05601,
1518.130,851.19156,
1515.219,891.89025,
1512.309,867.14634,
1509.398,826.19854,
1506.487,846.01427,
1503.577,815.27149,
1500.666,879.92155,
1497.756,884.02951,
1494.845,868.80976,
1491.934,858.13976,
1489.024,824.45251,
1486.113,852.9209,
1483.203,859.69084,
1480.292,821.21847,
1477.382,828.79847,
1474.471,797.71795,
1471.560,782.896,
1468.650,768.95107,
1465.739,765.81196,
1462.829,782.76725,
1459.918,810.37722,
1457.008,837.95787,
1454.097,829.06641,
1451.186,823.21131,
1448.276,813.61513,
1445.365,740.89139,
1442.455,730.62963,
1439.544,746.43618,
1436.633,727.83193,
1433.723,709.3535,
1430.812,756.14693,
1427.902,717.58825,
1424.991,731.80468,
1422.081,706.56064,
1419.170,684.37661,
1416.259,724.9934,
1413.349,702.01939,
1410.438,699.64736,
1407.528,683.93775,
1404.617,712.00046,
1401.707,693.67512,
1398.796,629.17664,
1395.885,622.91946,
1392.975,629.93657,
1390.064,608.67441,
1387.154,653.61437,
1384.243,649.97446,
1381.332,650.72476,
1378.422,589.42881,
1375.511,573.50354,
1372.601,642.36778,
1369.690,689.39668,
1366.780,701.79425,
1363.869,710.51477,
1360.958,722.49303,
1358.048,739.11624,
1355.137,784.57357,
1352.227,816.41992,
1349.316,836.41325,
1346.406,869.65344,
1343.495,855.78655,
1340.584,835.67777,
1337.674,887.17799,
1334.763,880.54354,
1331.853,940.81356,
1328.942,913.89769,
1326.032,949.39979,
1323.121,961.21386,
1320.210,1000.8734,
1317.300,1010.2161,
1314.389,1034.0839,
1311.479,1071.114,
1308.568,1085.2011,
1305.657,1095.3405,
1302.747,1122.2559,
1299.836,1195.0387,
1296.926,1179.5064,
1294.015,1185.0223,
1291.105,1247.7685,
1288.194,1297.7846,
1285.283,1277.4619,
1282.373,1277.2734,
1279.462,1296.8772,
1276.552,1341.6281,
1273.641,1353.1591,
1270.731,1318.4231,
1267.820,1332.1624,
1264.909,1283.5798,
1261.999,1292.9504,
1259.088,1284.7413,
1256.178,1337.3503,
1253.267,1294.0807,
1250.356,1284.3453,
1247.446,1305.4385,
1244.535,1295.951,
1241.625,1277.6907,
1238.714,1290.4772,
1235.804,1298.7889,
1232.893,1281.871,
1229.982,1300.618,
1227.072,1311.4817,
1224.161,1307.207,
1221.251,1271.2581,
1218.340,1235.281,
1215.430,1243.7209,
1212.519,1253.1003,
1209.608,1243.25,
1206.698,1234.3136,
1203.787,1208.7173,
1200.877,1212.4759,
1197.966,1232.2574,
1195.055,1256.2877,
1192.145,1303.8279,
1189.234,1357.1775,
1186.324,1397.3427,
1183.413,1396.9099,
1180.503,1398.5089,
1177.592,1430.1689,
1174.681,1389.1096,
1171.771,1381.0233,
1168.860,1371.1994,
1165.950,1366.2186,
1163.039,1353.3772,
1160.129,1333.5036,
1157.218,1349.2097,
1154.307,1390.2359,
1151.397,1413.5534,
1148.486,1422.495,
1145.576,1449.86,
1142.665,1394.8095,
1139.754,1404.8953,
1136.844,1398.4458,
1133.933,1386.0389,
1131.023,1381.1942,
1128.112,1377.2507,
1125.202,1379.6026,
1122.291,1412.1166,
1119.380,1390.7957,
1116.470,1446.3949,
1113.559,1420.0003,
1110.649,1380.1271,
1107.738,1393.72,
1104.828,1410.0958,
1101.917,1399.3211,
1099.006,1408.1056,
1096.096,1424.0461,
1093.185,1388.048,
1090.275,1424.9042,
1087.364,1419.1553,
1084.453,1419.562,
1081.543,1417.362,
1078.632,1406.3098,
1075.722,1413.8411,
1072.811,1453.3264,
1069.901,1426.2553,
1066.990,1434.7583,
1064.079,1458.3459,
1061.169,1467.1454,
1058.258,1462.0151,
1055.348,1461.5413,
1052.437,1470.3143,
1049.527,1451.9955,
1046.616,1497.1746,
1043.705,1515.353,
1040.795,1498.1793,
1037.884,1502.9393,
1034.974,1502.8634,
1032.063,1484.5497,
1029.153,1511.6534,
1026.242,1490.0295,
1023.331,1465.0849,
1020.421,1516.7152,
1017.510,1526.6828,
1014.600,1523.2857,
1011.689,1522.8472,
1008.778,1497.3288,
1005.868,1515.0106,
1002.957,1488.3396,
1000.047,1550.498,
997.136,1607.5529,
994.226,1644.0806,
991.315,1647.2451,
988.404,1614.9257,
985.494,1613.0966,
982.583,1606.2441,
979.673,1548.1816,
976.762,1554.8438,
973.852,1566.2938,
970.941,1558.3247,
968.030,1561.2962,
965.120,1550.3932,
962.209,1584.4949,
959.299,1589.5418,
956.388,1597.6495,
953.477,1604.25,
950.567,1625.1639,
947.656,1680.5734,
944.746,1652.5381,
941.835,1626.9556,
938.925,1642.9657,
936.014,1653.7442,
933.103,1652.8969,
930.193,1646.8566,
927.282,1623.6918,
924.372,1594.9412,
921.461,1608.9236,
918.551,1597.2411,
915.640,1586.7997,
912.729,1594.5437,
909.819,1609.3637,
906.908,1632.9516,
903.998,1607.2076,
901.087,1619.9817,
898.176,1632.6816,
895.266,1631.3934,
892.355,1626.5065,
889.445,1633.2206,
886.534,1687.5167,
883.624,1672.0095,
880.713,1656.6982,
877.802,1627.8482,
874.892,1557.2915,
871.981,1459.4166,
869.071,1254.7405,
866.160,1286.1761,
863.250,1442.0587,
860.339,1570.569,
857.428,1605.4328,
854.518,1641.6743,
851.607,1552.6429,
848.697,1493.9175,
845.786,1450.3776,
842.875,1477.8859,
839.965,1584.799,
837.054,1651.2128,
834.144,1647.8978,
831.233,1725.911,
828.323,1736.0703,
825.412,1717.8407,
822.501,1739.1223,
819.591,1721.7679,
816.680,1701.2179,
813.770,1696.8765,
810.859,1680.1029,
807.949,1664.211,
805.038,1680.4359,
802.127,1706.7759,
799.217,1685.3975,
796.306,1678.3851,
793.396,1690.9295,
790.485,1704.4067,
787.574,1686.9039,
784.664,1704.1262,
781.753,1714.6308,
778.843,1723.6409,
775.932,1739.1264,
773.022,1755.4173,
770.111,1717.8087,
767.200,1745.7025,
764.290,1743.1146,
761.379,1731.8868,
758.469,1730.7612,
755.558,1740.5904,
752.648,1751.9948,
749.737,1749.6805,
746.826,1753.3109,
743.916,1744.3342,
741.005,1704.0753,
738.095,1711.3822,
735.184,1666.4862,
732.274,1606.1782,
729.363,1602.5455,
726.452,1670.3962,
723.542,1671.2056,
720.631,1757.6429,
717.721,1761.3362,
714.810,1766.7101,
711.899,1794.7846,
708.989,1758.473,
706.078,1756.6474,
703.168,1765.3583,
700.257,1775.7883,
697.347,1770.9468,
694.436,1729.9445,
691.525,1718.6912,
688.615,1742.0354,
685.704,1749.4795,
682.794,1746.9733,
679.883,1773.5476,
676.973,1802.3969,
674.062,1794.2122,
671.151,1787.1267,
668.241,1791.8237,
665.330,1800.4138,
662.420,1740.5089,
659.509,1765.7109,
656.598,1781.1915,
653.688,1788.4328,
650.777,1837.7379,
647.867,1793.1435,
644.956,1741.7669,
642.046,1681.4238,
639.135,1645.665,
636.224,1696.4211,
633.314,1730.5604,
630.403,1778.2699,
627.493,1814.0837,
624.582,1829.486,
621.672,1835.03,
618.761,1823.8509,
615.850,1835.1267,
612.940,1866.0344,
610.029,1896.9891,
607.119,1865.4039,
604.208,1891.3605,
601.297,1919.7011,
598.387,1926.7911,
595.476,1899.6846,
592.566,1861.9053,
589.655,1877.9262,
586.745,1888.0802,
583.834,1885.0304,
580.923,1884.269,
578.013,1887.4079,
575.102,1867.6008,
572.192,1872.9725,
569.281,1905.329,
566.371,1877.9372,
563.460,1906.2906,
560.549,1932.4065,
557.639,1947.0557,
554.728,1950.0876,
551.818,1963.353,
548.907,1939.4358,
545.996,1917.9733,
543.086,1909.7401,
540.175,1902.7323,
537.265,1903.6986,
534.354,1914.2838,
531.444,1917.5622,
528.533,1903.9472,
525.622,1955.9357,
522.712,1929.6313,
519.801,1890.7386,
516.891,1872.5712,
513.980,1898.8972,
511.070,1895.6152,
508.159,1922.8591,
505.248,1948.4902,
502.338,1927.7756,
499.427,1911.5671,
496.517,1933.2702,
493.606,1961.9988,
490.695,1979.25,
487.785,1979.25,
484.874,1943.7077,
481.964,1939.6153,
479.053,1956.8374,
476.143,1938.4063,
473.232,1932.9336,
470.321,1947.7936,
467.411,1961.7044,
464.500,1951.0949,
461.590,1944.9689,
458.679,1960.8594,
455.769,1963.9077,
452.858,1942.2723,
449.947,1971.3017,
447.037,1943.2714,
444.126,1943.4318,
441.216,1980.324,
438.305,1974.9905,
435.395,1975.5613,
432.484,1985.0018,
429.573,1987.1324,
426.663,1943.8044,
423.752,1755.434,
420.842,1523.1736,
417.931,1305.1894,
415.020,1174.7518,
412.110,1474.6011,
409.199,1730.5041,
406.289,1864.2774,
403.378,1812.1988,
400.468,1797.0789,
397.557,1810.2452,
394.646,1864.4197,
391.736,1964.4049,
388.825,1938.0068,
385.915,1952.6021,
383.004,1961.6849,
380.094,1937.0159,
377.183,1971.6298,
374.272,1987.2206,
371.362,2005.4947,
368.451,2034.2866,
365.541,1985.5017,
362.630,1995.7383,
359.719,2023.8331,
356.809,2042.1205,
353.898,2006.927,
350.988,2010.8122,
348.077,2026.6061,
345.167,2034.1092,
342.256,1972.1025,
339.345,1991.9817,
336.435,2016.9222,
333.524,1995.5319,
330.614,2004.4737,
327.703,2033.9471,
324.793,2058.7344,
321.882,2057.1184,
318.971,2002.8471,
316.061,2019.4086,
313.150,2062.9476,
310.240,2084.469,
307.329,2098.1135,
304.418,2131.0631,
301.508,2168.9762,
298.597,2186.7462,
295.687,2159.1287,
292.776,2171.5001,
289.866,2218.0585,
286.955,2264.5982,
284.044,2312.3625,
281.134,2361.7999,
278.223,2409.8846,
275.313,2441.5694,
272.402,2449.9927,
269.492,2459.1713,
266.581,2468.3148,
263.670,2357.3026,
260.760,2410.9209,
257.849,2504.9043,
254.939,2549.6711,
252.028,2518.4008,
249.117,2508.0773,
246.207,2525.5923,
243.296,2584.8873,
240.386,2532.4807,
237.475,2532.7533,
234.565,2574.8525,
231.654,2521.5345,
228.743,2529.8125,
225.833,2509.4918,
222.922,2429.6385,
220.012,2416.5245,
217.101,2415.685,
214.191,2401.328,
211.280,2341.6761,
208.369,2330.5219,
205.459,2317.2687,
202.548,2306.5119,
199.638,2331.1839,
196.727,2303.4057,
193.816,2294.6022,
190.906,2326.8979,
187.995,2231.3266,
185.085,2210.5442,
182.174,2218.9611,
179.264,2199.4465,
176.353,2188.2791,
173.442,2204.2784,
170.532,2232.3452,
167.621,2155.9218,
164.711,2075.3353,
161.800,1957.3512,
158.890,1770.222,
155.979,1646.9031,
153.068,1509.8962,
150.158,1350.0715,
147.247,1143.3013,
144.337,946.68739,
141.426,761.00936,
138.516,588.23858,
135.605,393.68966,
132.694,261.2731,
129.784,178.51853,
126.873,123.45353,
123.963,83.227423,
121.052,53.317902,
118.141,33.328646,
115.231,33.25,
112.320,29.860913,
109.410,24.840934,
106.499,22.704469,
103.589,18.328219,
100.678,15.521622,
97.767,16.232559,
94.857,13.478044,
91.946,12.25,
89.036,12.137102,
86.125,11.427897,
83.215,10.188159,
80.304,6.6162405,
77.393,-1.1736288,
74.483,6.7667545,
71.572,11.974704,
68.662,12.557325,
65.751,5.4928142,
62.840,7.1036159,
59.930,9.377138,
57.019,2.3263182,
54.109,1.8471608,
51.198,1.0435629,
48.288,-1.7216878,
45.377,1.7952025,
42.466,3.6622193,
39.556,4.25,
36.645,4.25,
33.735,4.7692485,
30.824,4.5873391,
27.914,2.4838133,
25.003,-1.4858249,
22.092,-6.9790456,
19.182,-12.994866,
16.271,10.088309,
13.361,54.65247,
10.450,95.798235,
7.539,52.502682,
4.629,-208.13496,
1.718,-539.4644,
-1.192,-858.05945,
-4.103,-703.08043,
-7.013,-401.93714,
-9.924,-1.75,
