,PLA5FF~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2.125,
3011.256,2.2249678,
3008.346,24.552754,
3005.435,20.22129,
3002.525,23.252517,
2999.614,22.251636,
2996.704,30.556443,
2993.793,22.980416,
2990.882,33.920823,
2987.972,33.794281,
2985.061,25.855306,
2982.151,33.232981,
2979.240,38.723852,
2976.329,44.875,
2973.419,48.505809,
2970.508,45.641673,
2967.598,35.636044,
2964.687,39.471467,
2961.777,31.66115,
2958.866,52.880939,
2955.955,44.875,
2953.045,48.425338,
2950.134,59.364814,
2947.224,46.330501,
2944.313,65.021012,
2941.403,56.708031,
2938.492,61.736791,
2935.581,56.127777,
2932.671,53.956559,
2929.760,67.755778,
2926.850,72.875,
2923.939,56.912363,
2921.028,59.710232,
2918.118,58.415303,
2915.207,57.931926,
2912.297,77.781911,
2909.386,69.072081,
2906.476,56.588498,
2903.565,60.246112,
2900.654,57.875,
2897.744,52.799567,
2894.833,52.235725,
2891.923,56.631399,
2889.012,33.828758,
2886.102,59.143908,
2883.191,39.899544,
2880.280,52.688381,
2877.370,-27.217876,
2874.459,-66.94269,
2871.549,-54.664159,
2868.638,25.017218,
2865.727,29.71349,
2862.817,44.833533,
2859.906,41.356477,
2856.996,59.345563,
2854.085,81.719566,
2851.175,66.564771,
2848.264,70.580997,
2845.353,55.284774,
2842.443,71.079874,
2839.532,60.666083,
2836.622,75.509767,
2833.711,68.400903,
2830.801,70.67353,
2827.890,64.668724,
2824.979,78.726974,
2822.069,75.965977,
2819.158,81.594674,
2816.248,68.162633,
2813.337,85.400616,
2810.427,79.132571,
2807.516,76.457814,
2804.605,81.69231,
2801.695,80.348675,
2798.784,71.318538,
2795.874,74.880284,
2792.963,75.01798,
2790.052,92.871783,
2787.142,83.914578,
2784.231,79.972845,
2781.321,73.315022,
2778.410,73.650392,
2775.500,77.89465,
2772.589,73.452215,
2769.678,81.124131,
2766.768,72.700226,
2763.857,91.822978,
2760.947,88.321414,
2758.036,85.804972,
2755.126,96.114315,
2752.215,92.343175,
2749.304,95.364205,
2746.394,90.721765,
2743.483,86.72503,
2740.573,91.521064,
2737.662,75.225586,
2734.751,90.224464,
2731.841,83.955583,
2728.930,79.79442,
2726.020,97.104745,
2723.109,80.71042,
2720.199,106.56261,
2717.288,96.856757,
2714.377,97.520899,
2711.467,101.84204,
2708.556,98.407212,
2705.646,95.480654,
2702.735,97.215211,
2699.825,100.45135,
2696.914,104.16092,
2694.003,101.80182,
2691.093,112.64275,
2688.182,109.875,
2685.272,111.72422,
2682.361,90.027839,
2679.450,97.706265,
2676.540,103.99694,
2673.629,104.89745,
2670.719,97.444318,
2667.808,107.43728,
2664.898,99.290366,
2661.987,104.50819,
2659.076,115.45904,
2656.166,105.40746,
2653.255,105.46854,
2650.345,91.898592,
2647.434,102.73239,
2644.524,111.48891,
2641.613,105.38914,
2638.702,116.65407,
2635.792,111.40541,
2632.881,115.56552,
2629.971,115.61998,
2627.060,112.875,
2624.149,113.33437,
2621.239,113.12352,
2618.328,108.17171,
2615.418,116.86591,
2612.507,127.08051,
2609.597,119.9768,
2606.686,110.51154,
2603.775,116.87898,
2600.865,122.22992,
2597.954,117.8812,
2595.044,133.24966,
2592.133,116.53735,
2589.223,127.03186,
2586.312,130.84989,
2583.401,126.77281,
2580.491,121.34136,
2577.580,121.88325,
2574.670,126.32153,
2571.759,133.68321,
2568.848,131.8197,
2565.938,143.30361,
2563.027,134.58184,
2560.117,123.79088,
2557.206,126.29935,
2554.296,131.41962,
2551.385,131.86693,
2548.474,151.0237,
2545.564,127.04625,
2542.653,143.48574,
2539.743,139.86268,
2536.832,126.52733,
2533.922,132.78038,
2531.011,139.24895,
2528.100,156.94812,
2525.190,151.78074,
2522.279,137.9219,
2519.369,138.27126,
2516.458,127.42387,
2513.548,139.29291,
2510.637,145.875,
2507.726,148.99768,
2504.816,153.06215,
2501.905,141.94756,
2498.995,150.53191,
2496.084,158.42202,
2493.173,144.58526,
2490.263,153.82983,
2487.352,164.29073,
2484.442,151.72939,
2481.531,154.92818,
2478.621,148.19725,
2475.710,160.98235,
2472.799,164.763,
2469.889,140.66172,
2466.978,144.98843,
2464.068,142.91732,
2461.157,158.37256,
2458.247,151.71328,
2455.336,158.19398,
2452.425,158.875,
2449.515,169.50701,
2446.604,166.52247,
2443.694,157.73518,
2440.783,168.87838,
2437.872,174.69268,
2434.962,158.84276,
2432.051,149.33219,
2429.141,169.02798,
2426.230,159.46172,
2423.320,179.66061,
2420.409,180.47122,
2417.498,173.08005,
2414.588,164.51762,
2411.677,161.98257,
2408.767,167.40453,
2405.856,183.31781,
2402.946,183.97598,
2400.035,174.48063,
2397.124,171.08891,
2394.214,172.66059,
2391.303,176.01321,
2388.393,164.875,
2385.482,153.40374,
2382.571,147.4947,
2379.661,161.78205,
2376.750,164.71484,
2373.840,181.28746,
2370.929,179.91832,
2368.019,190.2968,
2365.108,190.64202,
2362.197,190.0969,
2359.287,199.64826,
2356.376,190.89613,
2353.466,196.36139,
2350.555,174.66503,
2347.645,185.34783,
2344.734,180.84272,
2341.823,188.69258,
2338.913,205.67796,
2336.002,199.40363,
2333.092,199.23158,
2330.181,196.17421,
2327.270,189.42505,
2324.360,212.79954,
2321.449,204.25935,
2318.539,200.875,
2315.628,192.50569,
2312.718,180.92566,
2309.807,208.14825,
2306.896,211.11913,
2303.986,212.79062,
2301.075,213.55587,
2298.165,216.46164,
2295.254,203.19815,
2292.344,216.45594,
