,PLA6AA~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3,
3011.256,1.1000215,
3008.346,61.13423,
3005.435,63.501769,
3002.525,67.244966,
2999.614,69.892245,
2996.704,84.504126,
2993.793,66.981568,
2990.882,83.824412,
2987.972,85.96973,
2985.061,89.310357,
2982.151,91.312597,
2979.240,84.633078,
2976.329,99.524571,
2973.419,106.36919,
2970.508,109.23333,
2967.598,95.716868,
2964.687,109.52242,
2961.777,96.31611,
2958.866,123,
2955.955,123.75885,
2953.045,132.89932,
2950.134,131.03208,
2947.224,123.51244,
2944.313,139.65171,
2941.403,142.34535,
2938.492,146.14905,
2935.581,146.88712,
2932.671,155.96139,
2929.760,158.72307,
2926.850,149.31353,
2923.939,150.51868,
2921.028,156.54119,
2918.118,168.49748,
2915.207,140.34801,
2912.297,171.84344,
2909.386,166.62773,
2906.476,157.84553,
2903.565,159.32297,
2900.654,155.44691,
2897.744,183.66055,
2894.833,142.97964,
2891.923,144.08341,
2889.012,142.6185,
2886.102,154.9392,
2883.191,137.01133,
2880.280,137.01435,
2877.370,54.069974,
2874.459,6.8114853,
2871.549,67.381992,
2868.638,138.82264,
2865.727,135.1808,
2862.817,154.60158,
2859.906,155.54416,
2856.996,161.45698,
2854.085,184.20381,
2851.175,176.44885,
2848.264,167.6325,
2845.353,156.69014,
2842.443,182.01044,
2839.532,158.25382,
2836.622,159.15169,
2833.711,169.99216,
2830.801,183.49632,
2827.890,175.52274,
2824.979,173.44408,
2822.069,165.13647,
2819.158,177,
2816.248,177,
2813.337,192.09269,
2810.427,180.69835,
2807.516,182.73375,
2804.605,180.65626,
2801.695,180.81577,
2798.784,170.22177,
2795.874,165.12927,
2792.963,176.07138,
2790.052,186.99743,
2787.142,185.46065,
2784.231,191.19411,
2781.321,180.74856,
2778.410,177.82995,
2775.500,182.82931,
2772.589,184.96101,
2769.678,186.28323,
2766.768,188.88348,
2763.857,184.36801,
2760.947,183.51576,
2758.036,201.2485,
2755.126,200.85897,
2752.215,199.19095,
2749.304,208.97841,
2746.394,187.81044,
2743.483,208.59997,
2740.573,206.90262,
2737.662,194.34023,
2734.751,190.62634,
2731.841,198.27107,
2728.930,197.22457,
2726.020,210.23495,
2723.109,196.06225,
2720.199,218.04075,
2717.288,216.85768,
2714.377,219.67934,
2711.467,219.42637,
2708.556,218.21263,
2705.646,220.46478,
2702.735,218.83247,
2699.825,225.33639,
2696.914,220.8568,
2694.003,224.54146,
2691.093,231.87485,
2688.182,217.30815,
2685.272,236.12376,
2682.361,218.1179,
2679.450,230.77357,
2676.540,236.83741,
2673.629,229.66367,
2670.719,230.35767,
2667.808,226.19454,
2664.898,235.03891,
2661.987,236.29997,
2659.076,232.38147,
2656.166,236.98274,
2653.255,221.07483,
2650.345,233.89655,
2647.434,227.97199,
2644.524,241.27814,
2641.613,241.34318,
2638.702,256.84219,
2635.792,239.37388,
2632.881,252.61897,
2629.971,250.76507,
2627.060,252.6675,
2624.149,247.37812,
2621.239,248.24852,
2618.328,230.6782,
2615.418,246.99546,
2612.507,245.89724,
2609.597,247.63273,
2606.686,248.8695,
2603.775,259.39682,
2600.865,251.29352,
2597.954,270.19166,
2595.044,271.68733,
2592.133,262.10823,
2589.223,268.80738,
2586.312,275.24125,
2583.401,266.87595,
2580.491,268.11061,
2577.580,261.0066,
2574.670,263.33958,
2571.759,269.45975,
2568.848,267.29829,
2565.938,284.52398,
2563.027,265.75679,
2560.117,256.84108,
2557.206,265.98524,
2554.296,265.746,
2551.385,278.562,
2548.474,294.18551,
2545.564,304.87338,
2542.653,301.06376,
2539.743,284.54313,
2536.832,286.28598,
2533.922,288.28385,
2531.011,307.37488,
2528.100,305.13587,
2525.190,291.30369,
2522.279,307.85931,
2519.369,300.47197,
2516.458,278.88102,
2513.548,300.74502,
2510.637,311.24593,
2507.726,312.81412,
2504.816,307.43743,
2501.905,296.44939,
2498.995,297.55269,
2496.084,317.09405,
2493.173,301.02616,
2490.263,313.75257,
2487.352,319.1252,
2484.442,321.43041,
2481.531,316.84046,
2478.621,316.30333,
2475.710,316.023,
2472.799,319.49327,
2469.889,309.85039,
2466.978,317.48435,
2464.068,330.74605,
2461.157,326.69006,
2458.247,320.83828,
2455.336,320.72406,
2452.425,326.9151,
2449.515,334.49065,
2446.604,330.59683,
2443.694,323.97699,
2440.783,335.47748,
2437.872,333.40111,
2434.962,337.95853,
2432.051,324.90131,
2429.141,340.38809,
2426.230,348.73924,
2423.320,348.09986,
2420.409,354.3782,
2417.498,347.2219,
2414.588,338.73005,
2411.677,342.18332,
2408.767,369.44685,
2405.856,356,
2402.946,349.83914,
2400.035,353.29343,
2397.124,360,
2394.214,367.46119,
2391.303,360.49187,
2388.393,346.22559,
2385.482,329.83717,
2382.571,325.92315,
2379.661,344.83741,
2376.750,341.04917,
2373.840,360.62809,
2370.929,380.80507,
2368.019,368.69826,
2365.108,381.18586,
2362.197,376.43011,
2359.287,380.78162,
2356.376,387.99119,
2353.466,397.07713,
2350.555,381.34516,
2347.645,376.15896,
2344.734,371.15208,
2341.823,388.71809,
2338.913,414.13877,
2336.002,388.11243,
2333.092,398.44813,
2330.181,405.75447,
2327.270,397.49505,
2324.360,402.67216,
2321.449,410.55443,
2318.539,413.40366,
2315.628,400.63069,
2312.718,409.36565,
2309.807,415.54651,
2306.896,423.25196,
2303.986,416.60383,
2301.075,415.02125,
2298.165,433.56756,
2295.254,406.66783,
2292.344,415.62649,
2289.433,430.29727,
2286.522,428.70083,
2283.612,440.14031,
2280.701,445.46188,
2277.791,429.91985,
2274.880,429.92596,
2271.969,429.6502,
2269.059,433.64035,
2266.148,439.43406,
2263.238,432.50193,
2260.327,433.93103,
2257.417,434.42333,
2254.506,447.90032,
2251.595,453.00732,
2248.685,456.57497,
2245.774,444.68158,
2242.864,450.12967,
2239.953,455.64131,
2237.043,465.66215,
2234.132,456.49353,
2231.221,466.92255,
2228.311,471.26031,
2225.400,489.52153,
2222.490,473.92836,
2219.579,478.68381,
2216.669,477.01431,
2213.758,475.30458,
2210.847,470.35769,
2207.937,494.90062,
2205.026,503.22186,
2202.116,513.78662,
2199.205,509.81294,
2196.294,507.18198,
2193.384,534.73604,
2190.473,503.67488,
2187.563,568.90816,
2184.652,550.75306,
2181.742,552.34058,
2178.831,543.80155,
2175.920,558.48635,
2173.010,571.72506,
2170.099,570.26686,
2167.189,591.12916,
2164.278,608.26633,
2161.368,604,
2158.457,599.76373,
2155.546,614.1808,
2152.636,609.0958,
2149.725,641.6107,
2146.815,658.69968,
2143.904,674.79926,
2140.993,668.57677,
2138.083,660.20058,
2135.172,685.37825,
2132.262,678.09419,
2129.351,684.6346,
2126.441,683.04852,
2123.530,679.14591,
2120.619,684.56912,
2117.709,634.57206,
2114.798,615.28835,
2111.888,607.68716,
2108.977,600.37747,
2106.067,581.38271,
2103.156,578,
2100.245,554.01192,
2097.335,572.27749,
2094.424,564.36716,
2091.514,550.99458,
2088.603,560.51144,
2085.692,569.76958,
2082.782,564.82729,
2079.871,578.32205,
2076.961,591.28964,
2074.050,562.14545,
2071.140,565.16091,
2068.229,567.90494,
2065.318,568.78974,
2062.408,567.90922,
2059.497,577.60715,
2056.587,560.13986,
2053.676,577.31512,
2050.766,548.84828,
2047.855,573.08867,
2044.944,542.66506,
2042.034,551.02896,
2039.123,569.44108,
2036.213,573.36664,
2033.302,589.45615,
2030.391,589.39039,
2027.481,584.69506,
2024.570,577.72882,
2021.660,558.12346,
2018.749,605.05024,
2015.839,578.84777,
2012.928,557.87416,
2010.017,543.41477,
2007.107,561.74392,
2004.196,570.75004,
2001.286,605.16957,
1998.375,572.98521,
1995.465,565.37232,
1992.554,569,
1989.643,587.34329,
1986.733,546.60877,
1983.822,529.47637,
1980.912,571.35614,
1978.001,559.62709,
1975.090,549.84274,
1972.180,530.10373,
1969.269,526.43391,
1966.359,535.72986,
1963.448,538.07794,
1960.538,562.96831,
1957.627,556.51702,
1954.716,563.74146,
1951.806,532.80129,
1948.895,528.23483,
1945.985,524.02124,
1943.074,524.63474,
1940.164,517.77889,
1937.253,509.80893,
1934.342,512.64972,
1931.432,547.8959,
1928.521,542.81692,
1925.611,537.32463,
1922.700,534.25138,
1919.790,520.08107,
1916.879,513.34875,
1913.968,530.97787,
1911.058,554.34834,
1908.147,532.59417,
1905.237,537.44114,
1902.326,523.4385,
1899.415,524.3646,
1896.505,465.8613,
1893.594,472.89339,
1890.684,510.19604,
1887.773,525.81872,
1884.863,541.29157,
1881.952,534.14262,
1879.041,525.21755,
1876.131,554.94639,
1873.220,535.84945,
1870.310,523.64575,
1867.399,535.79208,
1864.489,534.57162,
1861.578,525.12079,
1858.667,532.18565,
1855.757,514.9821,
1852.846,543.54356,
1849.936,555.39641,
1847.025,512.71048,
1844.114,528.61424,
1841.204,574.43007,
1838.293,570.98836,
1835.383,563.24451,
1832.472,567.01217,
1829.562,560.75234,
1826.651,566.72688,
1823.740,590.01536,
1820.830,562.8186,
1817.919,557.88626,
1815.009,540.16285,
1812.098,582.7795,
1809.188,604.88368,
1806.277,572.75248,
1803.366,543.21627,
1800.456,556.98923,
1797.545,574.64536,
1794.635,581.51601,
1791.724,586.65046,
1788.813,593.79846,
1785.903,582.66865,
1782.992,565.21909,
1780.082,538.75229,
1777.171,437.98982,
1774.261,442.34085,
1771.350,531.83001,
1768.439,577.27957,
1765.529,612.81947,
1762.618,635.01065,
1759.708,621.39102,
1756.797,610.67424,
