,PLA763~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.125,
3011.256,-0.07509663,
3008.346,17.461459,
3005.435,6.3378992,
3002.525,18.422539,
2999.614,17.538645,
2996.704,23.556443,
2993.793,7.246544,
2990.882,15.523825,
2987.972,31.779146,
2985.061,17.751854,
2982.151,15.06827,
2979.240,18.608844,
2976.329,27.896841,
2973.419,37.029044,
2970.508,30.108327,
2967.598,18.875,
2964.687,21.262907,
2961.777,30.216945,
2958.866,38.542162,
2955.955,43.18694,
2953.045,29.342569,
2950.134,36.481415,
2947.224,34.444376,
2944.313,49.830128,
2941.403,45.744069,
2938.492,42.438682,
2935.581,46.622223,
2932.671,46.677599,
2929.760,57.736535,
2926.850,54.927256,
2923.939,53.234812,
2921.028,55.416192,
2918.118,52.614293,
2915.207,50.995304,
2912.297,57.858075,
2909.386,60.896891,
2906.476,45.689638,
2903.565,49.875,
2900.654,51.710184,
2897.744,55.038439,
2894.833,64.163729,
2891.923,67.794904,
2889.012,62.661129,
2886.102,79.666893,
2883.191,77.875944,
2880.280,172.65493,
2877.370,191.26463,
2874.459,171.59183,
2871.549,101.04549,
2868.638,73.512107,
2865.727,74.371184,
2862.817,60.417782,
2859.906,55.875,
2856.996,63.83877,
2854.085,78.036776,
2851.175,62.350908,
2848.264,49.316005,
2845.353,44.543578,
2842.443,68.086837,
2839.532,52.442197,
2836.622,56.633463,
2833.711,61.926807,
2830.801,76.363975,
2827.890,63.352256,
2824.979,57.084978,
2822.069,61.000093,
2819.158,68.834566,
2816.248,50.427107,
2813.337,71.720131,
2810.427,56.786844,
2807.516,58.033281,
2804.605,66.918274,
2801.695,65.256559,
2798.784,50.466385,
2795.874,52.869716,
2792.963,47.58904,
2790.052,64.870067,
2787.142,55.690924,
2784.231,59.230604,
2781.321,64.869236,
2778.410,51.119922,
2775.500,57.470171,
2772.589,56.798544,
2769.678,66.195808,
2766.768,59.135181,
2763.857,76.031067,
2760.947,61.378152,
2758.036,68.652111,
2755.126,71.451919,
2752.215,58.470474,
2749.304,52.896591,
2746.394,67.356838,
2743.483,71.225007,
2740.573,72.536516,
2737.662,63.428255,
2734.751,56.850803,
2731.841,76.065485,
2728.930,65.040128,
2726.020,78.425926,
2723.109,66.895751,
2720.199,71.228141,
2717.288,78.663329,
2714.377,88.61664,
2711.467,68.891482,
2708.556,69.566368,
2705.646,66.269346,
2702.735,78.215211,
2699.825,81.940443,
2696.914,82.922733,
2694.003,83.64573,
2691.093,80.838909,
2688.182,83.094261,
2685.272,89.122514,
2682.361,66.510371,
2679.450,74.907875,
2676.540,72.915648,
2673.629,76.86602,
2670.719,80.232671,
2667.808,86.534551,
2664.898,89.797181,
2661.987,75.374834,
2659.076,74.98491,
2656.166,86.212714,
2653.255,79.650513,
2650.345,89.011117,
2647.434,73.161083,
2644.524,87.647186,
2641.613,91.617929,
2638.702,99.764533,
2635.792,87.405412,
2632.881,89.25603,
2629.971,85.002511,
2627.060,76.708437,
2624.149,86.44061,
2621.239,88.354249,
2618.328,81.298872,
2615.418,89.215907,
2612.507,86.495551,
2609.597,69.61951,
2606.686,92.48544,
2603.775,82.232138,
2600.865,85.871628,
2597.954,101.875,
2595.044,100.55348,
2592.133,88.702933,
2589.223,99.815015,
2586.312,106.19159,
2583.401,96.141401,
2580.491,100.94227,
2577.580,96.865098,
2574.670,87.000679,
2571.759,94.491427,
2568.848,105.58217,
2565.938,111.63699,
2563.027,101.70453,
2560.117,83.267477,
2557.206,100.70894,
2554.296,99.218249,
2551.385,103.94103,
2548.474,110.68987,
2545.564,101.22321,
2542.653,115.03272,
2539.743,112.4551,
2536.832,104.36472,
2533.922,112.59115,
2531.011,100.37453,
2528.100,105.27915,
2525.190,107.94303,
2522.279,117.93704,
2519.369,98.271263,
2516.458,103.54639,
2513.548,112.9204,
2510.637,125.2439,
2507.726,124.62963,
2504.816,107.49958,
2501.905,113.80244,
2498.995,115.23331,
2496.084,118.42202,
2493.173,104.58526,
2490.263,117.81853,
2487.352,107.29233,
2484.442,120.86214,
2481.531,124.02932,
2478.621,110.96502,
2475.710,119.93634,
2472.799,124.42212,
2469.889,107.57305,
2466.978,110.978,
2464.068,134.98618,
2461.157,115.53241,
2458.247,131.30148,
2455.336,123.9611,
2452.425,109.17688,
2449.515,108.10162,
2446.604,119.34272,
2443.694,116.31659,
2440.783,121.4009,
2437.872,120.38551,
2434.962,127.57086,
2432.051,117.18995,
2429.141,122.73973,
2426.230,123.74462,
2423.320,122.54609,
2420.409,129.68924,
2417.498,127.44805,
2414.588,113.43783,
2411.677,115.12601,
2408.767,123.13976,
2405.856,139.53922,
2402.946,137.44605,
2400.035,126.27875,
2397.124,120.00868,
2394.214,141.41659,
2391.303,147.12365,
2388.393,126.70519,
2385.482,118.00719,
2382.571,142.24249,
2379.661,123.29371,
2376.750,122.55721,
2373.840,135.14997,
2370.929,135.88583,
2368.019,139.52587,
2365.108,132.68914,
2362.197,137.44489,
2359.287,140.27834,
2356.376,152.85211,
2353.466,138.46574,
2350.555,140.875,
2347.645,137.32269,
2344.734,131.72292,
2341.823,138.74233,
2338.913,141.98693,
2336.002,141.95391,
2333.092,140.42687,
2330.181,140.66526,
2327.270,132.48006,
2324.360,159.06841,
2321.449,150.6437,
2318.539,144.89641,
2315.628,152.84942,
2312.718,145.27588,
2309.807,147.73837,
2306.896,144.36326,
2303.986,141.18021,
2301.075,142.875,
2298.165,155.64447,
2295.254,146.15506,
2292.344,157.13639,
2289.433,150.77454,
2286.522,147.4641,
2283.612,166.80484,
2280.701,169.33688,
2277.791,168.79298,
2274.880,143.30299,
2271.969,145.26183,
2269.059,154.81234,
2266.148,146.55447,
2263.238,148.07191,
2260.327,160.21961,
2257.417,145.70333,
2254.506,168.04308,
2251.595,157.59504,
2248.685,157.29421,
2245.774,158.875,
2242.864,169.48598,
2239.953,163.64742,
2237.043,159.36822,
2234.132,154.97629,
2231.221,166.53397,
2228.311,170.00516,
2225.400,162.10016,
2222.490,169.68933,
2219.579,173.66166,
2216.669,168.44416,
2213.758,161.70246,
2210.847,160.23269,
2207.937,184.77562,
2205.026,177.98608,
2202.116,178.875,
2199.205,180.93735,
2196.294,186.12299,
2193.384,172.95448,
2190.473,180.6027,
2187.563,210.83633,
2184.652,200.76643,
2181.742,182.96518,
2178.831,180.30695,
2175.920,194.29212,
2173.010,204.02579,
2170.099,199.20932,
2167.189,215.77454,
2164.278,201.72827,
2161.368,203.16044,
2158.457,214.38215,
2155.546,228.04136,
2152.636,209.88038,
2149.725,222.34478,
2146.815,212.37553,
2143.904,220.37314,
2140.993,219.36702,
2138.083,231.23974,
2135.172,243.27844,
2132.262,231.71743,
2129.351,257.1442,
2126.441,231.00109,
2123.530,220.16682,
2120.619,242.15956,
2117.709,218.61131,
2114.798,220.98273,
2111.888,218.18784,
2108.977,210.875,
2106.067,195.70744,
2103.156,193.51451,
2100.245,194.87625,
2097.335,200.00588,
2094.424,215.69452,
2091.514,186.79699,
2088.603,173.02709,
2085.692,176.9679,
2082.782,189.65005,
2079.871,188.76765,
2076.961,213.1314,
2074.050,202.29318,
2071.140,190.07047,
2068.229,184.78646,
2065.318,194.50577,
2062.408,198.62464,
2059.497,195.7024,
2056.587,187.14273,
2053.676,183.14147,
2050.766,191.25915,
2047.855,188.59021,
2044.944,180.20512,
2042.034,187.69001,
2039.123,190.67635,
2036.213,193.26162,
2033.302,197.26604,
2030.391,190.62134,
2027.481,193.75291,
2024.570,193.81799,
2021.660,182.52542,
2018.749,204.64706,
2015.839,196.58825,
2012.928,181.1854,
2010.017,174.32994,
2007.107,177.85446,
2004.196,190.24403,
2001.286,206.62761,
1998.375,193.73621,
1995.465,177.94196,
1992.554,154.96342,
1989.643,160.56393,
1986.733,176.69781,
1983.822,159.96584,
1980.912,177.35954,
1978.001,153.75626,
1975.090,155.88263,
1972.180,144.18618,
1969.269,151.85782,
1966.359,142.82066,
1963.448,152.79046,
1960.538,163.30953,
1957.627,148.71709,
1954.716,135.21972,
1951.806,155.88144,
1948.895,135.9823,
1945.985,133.55147,
1943.074,139.74229,
1940.164,123.14433,
1937.253,114.51883,
1934.342,106.99478,
1931.432,130.11159,
1928.521,131.67984,
1925.611,138.24503,
1922.700,145.04075,
1919.790,146.73626,
1916.879,115.24648,
1913.968,97.893444,
1911.058,121.01614,
1908.147,108.47646,
1905.237,103.88969,
1902.326,105.89572,
1899.415,125.34572,
1896.505,100.82672,
1893.594,85.78657,
1890.684,77.776981,
1887.773,79.495573,
1884.863,115.40347,
1881.952,127.59756,
1879.041,127.14447,
1876.131,109.95867,
1873.220,115.46353,
1870.310,127.08574,
1867.399,109.17888,
1864.489,109.95289,
1861.578,113.08919,
1858.667,122.52771,
1855.757,106.08502,
1852.846,95.126281,
1849.936,87.410546,
1847.025,70.69738,
1844.114,95.992715,
1841.204,127.6792,
1838.293,124.88332,
1835.383,112.77051,
1832.472,135.93413,
1829.562,125.21249,
1826.651,133.85854,
1823.740,150.97079,
1820.830,124.32357,
1817.919,120.76126,
