,PLAC5E~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.125,
3011.256,1.5749356,
3008.346,23.754689,
3005.435,4.4933783,
3002.525,25.215045,
2999.614,23.013973,
2996.704,20.334797,
2993.793,25.246544,
2990.882,26.745235,
2987.972,40.743831,
2985.061,16.205051,
2982.151,16.113654,
2979.240,27.457695,
2976.329,34.631825,
2973.419,33.844449,
2970.508,34.741614,
2967.598,18.827209,
2964.687,28.859374,
2961.777,31.815079,
2958.866,45.213777,
2955.955,39.392697,
2953.045,31.828044,
2950.134,46.598016,
2947.224,31.216626,
2944.313,41.077279,
2941.403,38.875,
2938.492,45.736791,
2935.581,49.987879,
2932.671,41.759158,
2929.760,62.340384,
2926.850,52.397557,
2923.939,52.393682,
2921.028,62.269172,
2918.118,43.875,
2915.207,30.925472,
2912.297,47.764986,
2909.386,47.079378,
2906.476,37.588498,
2903.565,29.342405,
2900.654,32.428088,
2897.744,31.950433,
2894.833,37.462637,
2891.923,13.35889,
2889.012,-3.2117044,
2886.102,6.6668931,
2883.191,-29.091959,
2880.280,-120.39776,
2877.370,-335.10125,
2874.459,-441.73477,
2871.549,-267.51818,
2868.638,-85.207546,
2865.727,-43.332715,
2862.817,-7.1664666,
2859.906,4.5587585,
2856.996,22.318391,
2854.085,50.719566,
2851.175,29.233413,
2848.264,34.590667,
2845.353,32.155371,
2842.443,44.475696,
2839.532,50.860032,
2836.622,43.964845,
2833.711,55.703908,
2830.801,58.28529,
2827.890,48.023626,
2824.979,55.455044,
2822.069,56.102442,
2819.158,70.174186,
2816.248,54.898159,
2813.337,70.400616,
2810.427,60.786844,
2807.516,61.191563,
2804.605,63.466345,
2801.695,58.480256,
2798.784,64.209692,
2795.874,51.294513,
2792.963,49.58904,
2790.052,71.868995,
2787.142,68.782962,
2784.231,60.972845,
2781.321,49.497838,
2778.410,48.439713,
2775.500,57.938447,
2772.589,66.605127,
2769.678,61.516616,
2766.768,64.440045,
2763.857,65.979045,
2760.947,59.900217,
2758.036,68.110694,
2755.126,70.537396,
2752.215,71.77033,
2749.304,63.747301,
2746.394,63.78022,
2743.483,70.325002,
2740.573,71.649344,
2737.662,75.311393,
2734.751,71.549732,
2731.841,63.063641,
2728.930,57.815558,
2726.020,71.538194,
2723.109,60.895751,
2720.199,85.268891,
2717.288,65.418796,
2714.377,92.870425,
2711.467,74.03874,
2708.556,72.971001,
2705.646,65.565145,
2702.735,80.885317,
2699.825,82.071328,
2696.914,66.398628,
2694.003,70.031094,
2691.093,77.428551,
2688.182,75.347592,
2685.272,89.680123,
2682.361,73.510371,
2679.450,75.53753,
2676.540,63.301806,
2673.629,77.238265,
2670.719,70.298294,
2667.808,73.875,
2664.898,70.069548,
2661.987,83.174967,
2659.076,75.76509,
2656.166,83.745171,
2653.255,75.800171,
2650.345,80.227087,
2647.434,81.075344,
2644.524,88.855792,
2641.613,97.332576,
2638.702,91.095935,
2635.792,78.092354,
2632.881,86.565515,
2629.971,84.875,
2627.060,82.540627,
2624.149,88.118754,
2621.239,90.135376,
2618.328,85.663064,
2615.418,80.875,
2612.507,83.357204,
2609.597,83.966816,
2606.686,78.017579,
2603.775,90.236113,
2600.865,89.287955,
2597.954,82.210399,
2595.044,86.892713,
2592.133,81.040587,
2589.223,87.899218,
2586.312,101.36244,
2583.401,90.794681,
2580.491,96.12015,
2577.580,92.837042,
2574.670,76.516693,
2571.759,99.930647,
2568.848,88.410827,
2565.938,106.68468,
2563.027,82.581839,
2560.117,74.332938,
2557.206,93.668355,
2554.296,97.591247,
2551.385,104.56099,
2548.474,110.61589,
2545.564,101.28652,
2542.653,115.33809,
2539.743,111.93661,
2536.832,85.731066,
2533.922,96.827692,
2531.011,101.02439,
2528.100,101.74951,
2525.190,101.68647,
2522.279,111.54671,
2519.369,100.95071,
2516.458,96.322591,
2513.548,98.256841,
2510.637,106.05945,
2507.726,106.68912,
2504.816,100.74986,
2501.905,99.875,
2498.995,107.875,
2496.084,106.64851,
2493.173,100.55911,
2490.263,117.02079,
2487.352,108.95847,
2484.442,107.17266,
2481.531,108.40681,
2478.621,108.6617,
2475.710,124.82899,
2472.799,114.43559,
2469.889,100.875,
2466.978,107.36978,
2464.068,103.17127,
2461.157,112.10502,
2458.247,111.00738,
2455.336,111.89652,
2452.425,109.98349,
2449.515,120.34694,
2446.604,124.17689,
2443.694,115.3635,
2440.783,139.73649,
2437.872,113.16672,
2434.962,115.88422,
2432.051,109.18995,
2429.141,123.2808,
2426.230,106.24401,
2423.320,131.08939,
2420.409,121.20203,
2417.498,125.03794,
2414.588,122.43018,
2411.677,123.26944,
2408.767,130.08071,
2405.856,132.94635,
2402.946,120.80887,
2400.035,114.16843,
2397.124,124.44718,
2394.214,136.2262,
2391.303,117.72595,
2388.393,99.888946,
2385.482,89.315618,
2382.571,60.507509,
2379.661,83.549244,
2376.750,111.45128,
2373.840,126.14997,
2370.929,129.85334,
2368.019,121.99506,
2365.108,136.01374,
2362.197,137.90237,
2359.287,146.64826,
2356.376,156.86267,
2353.466,145.9367,
2350.555,126.71489,
2347.645,128.97963,
2344.734,137.8151,
2341.823,136.90817,
2338.913,150.98693,
2336.002,151.32472,
2333.092,149.86366,
2330.181,152.68316,
2327.270,138.8651,
2324.360,149.21932,
2321.449,156.25935,
2318.539,149.30007,
2315.628,145.875,
2312.718,160.00717,
2309.807,152.73837,
2306.896,149.36326,
2303.986,151.8361,
2301.075,146.68356,
2298.165,156.23111,
