,PLC418~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.875,
3011.256,0.77503221,
3008.346,84.533115,
3005.435,80.934189,
3002.525,82.577461,
2999.614,92.165282,
2996.704,110.57654,
2993.793,97.735024,
2990.882,106.86547,
2987.972,115.99383,
2985.061,92.341752,
2982.151,110.09644,
2979.240,109.35502,
2976.329,124.8709,
2973.419,134.04798,
2970.508,139.35833,
2967.598,126.88966,
2964.687,144.99049,
2961.777,131.81714,
2958.866,148.79662,
2955.955,142.125,
2953.045,156.49189,
2950.134,159.94425,
2947.224,169.26734,
2944.313,171.42842,
2941.403,175.94662,
2938.492,190.68868,
2935.581,184.30783,
2932.671,185.7302,
2929.760,203.03652,
2926.850,217.87086,
2923.939,194.84462,
2921.028,206.91334,
2918.118,182.18672,
2915.207,196.71361,
2912.297,203.09961,
2909.386,198.51916,
2906.476,191.28793,
2903.565,195.5613,
2900.654,187.01882,
2897.744,187.99928,
2894.833,177.30027,
2891.923,171.2596,
2889.012,140.28685,
2886.102,141.62772,
2883.191,92.162761,
2880.280,2.6752101,
2877.370,-228.764,
2874.459,-332.25823,
2871.549,-153.54469,
2868.638,68.592926,
2865.727,99.205755,
2862.817,134.26936,
2859.906,168.2646,
2856.996,180.60915,
2854.085,189.40652,
2851.175,185.50454,
2848.264,180.69367,
2845.353,174.81514,
2842.443,201.33336,
2839.532,183.25939,
2836.622,184.66992,
2833.711,191.06536,
2830.801,195.52794,
2827.890,186.85402,
2824.979,187.40899,
2822.069,203.02265,
2819.158,199.06571,
2816.248,203.38947,
2813.337,212.83599,
2810.427,191.42665,
2807.516,202.85875,
2804.605,212.28605,
2801.695,209.65133,
2798.784,205.71638,
2795.874,195.82947,
2792.963,204.48213,
2790.052,201.12564,
2787.142,209.67769,
2784.231,206.89986,
2781.321,205.50216,
2778.410,209.88008,
2775.500,213.48603,
2772.589,207.85513,
2769.678,212.51401,
2766.768,217.76188,
2763.857,205.17702,
2760.947,204.65337,
2758.036,209.125,
2755.126,226.36432,
2752.215,231.10237,
2749.304,232.01889,
2746.394,218.24191,
2743.483,231.62498,
2740.573,222.81742,
2737.662,211.67826,
2734.751,213.47446,
2731.841,225.93636,
2728.930,216.57414,
2726.020,216.4566,
2723.109,221.33108,
2720.199,250.81261,
2717.288,234.03741,
2714.377,243.57484,
2711.467,243.56785,
2708.556,224.26353,
2705.646,229.64616,
2702.735,257.61726,
2699.825,241.81042,
2696.914,254.98276,
2694.003,252.51036,
2691.093,252.4463,
2688.182,243.77907,
2685.272,256.13354,
2682.361,235.88373,
2679.450,245.07971,
2676.540,255.96241,
2673.629,246.13398,
2670.719,241.48267,
2667.808,241.125,
2664.898,256.44991,
2661.987,251.62517,
2659.076,250.2694,
2656.166,250.06009,
2653.255,249.45663,
2650.345,246.28471,
2647.434,261.81091,
2644.524,266.42235,
2641.613,260.75354,
2638.702,249.29859,
2635.792,254.65541,
2632.881,268.63083,
2629.971,248.82283,
2627.060,262.1225,
2624.149,280.74688,
2621.239,277.62204,
2618.328,253.88797,
2615.418,271.125,
2612.507,277.33051,
2609.597,255.69586,
2606.686,267.26758,
2603.775,274.20436,
2600.865,285.12163,
2597.954,288.40629,
2595.044,275.77691,
2592.133,269.95293,
2589.223,270.36606,
2586.312,293.09989,
2583.401,282.73812,
2580.491,287.01439,
2577.580,285.07549,
2574.670,261.48996,
2571.759,300.14553,
2568.848,292.60553,
2565.938,294.69653,
2563.027,277.46593,
2560.117,269.85397,
2557.206,307.99953,
2554.296,294.98312,
2551.385,298.687,
2548.474,315.01422,
2545.564,318.25162,
2542.653,315.26259,
2539.743,302.08803,
2536.832,303.61472,
2533.922,314.99885,
2531.011,307.94993,
2528.100,302.12846,
2525.190,310.93647,
2522.279,320.95255,
2519.369,296.21939,
2516.458,290.78931,
2513.548,304.30659,
2510.637,307.80131,
2507.726,314.37778,
2504.816,298.24901,
2501.905,310.79146,
2498.995,322.42359,
2496.084,330.19122,
2493.173,324.41407,
2490.263,323.6979,
2487.352,336.41713,
2484.442,339.99225,
2481.531,328.96546,
2478.621,325.35722,
2475.710,329.17867,
2472.799,334.15193,
2469.889,329.5793,
2466.978,336.89814,
2464.068,345.82873,
2461.157,325.05483,
2458.247,351.56615,
2455.336,344.16805,
2452.425,337.66745,
2449.515,356.51169,
2446.604,347.18955,
2443.694,339.28783,
2440.783,340.125,
2437.872,359.30732,
2434.962,355.45681,
2432.051,344.29191,
2429.141,358.125,
2426.230,341.29844,
2423.320,364.09566,
2420.409,380.61889,
2417.498,365.89468,
2414.588,355.95777,
2411.677,339.09317,
2408.767,365.37795,
2405.856,369.40832,
2402.946,371.75592,
2400.035,370.22594,
2397.124,358.48328,
2394.214,383.61299,
2391.303,376.76051,
2388.393,359.125,
2385.482,332.35873,
2382.571,287.02253,
2379.661,326.38083,
2376.750,343.06824,
2373.840,371.02806,
2370.929,384.02753,
2368.019,392.58314,
2365.108,394.42605,
2362.197,391.59616,
2359.287,386.7133,
2356.376,402.10034,
2353.466,398.53426,
2350.555,394.93996,
2347.645,404.96604,
2344.734,396.57657,
2341.823,403.926,
2338.913,409.125,
2336.002,410.60824,
2333.092,418.19388,
2330.181,413.82579,
2327.270,421.51994,
2324.360,417.91511,
2321.449,416.5876,
2318.539,429.10359,
2315.628,430.91477,
2312.718,421.52588,
2309.807,430.85175,
2306.896,429.64457,
2303.986,437.56007,
2301.075,437.50798,
2298.165,443.50973,
2295.254,415.77129,
2292.344,435.54827,
2289.433,429.47636,
2286.522,443.87938,
2283.612,457.95536,
2280.701,454.93219,
2277.791,449.56582,
2274.880,457.77104,
2271.969,447.96451,
2269.059,455.06234,
2266.148,432.21348,
2263.238,447.21378,
2260.327,461.9527,
2257.417,468.14334,
2254.506,459.40708,
2251.595,463.84504,
2248.685,466.49036,
2245.774,479.938,
2242.864,476.18984,
2239.953,482.58697,
2237.043,490.21501,
2234.132,471.47306,
2231.221,491.44294,
2228.311,483.59796,
2225.400,508.56209,
2222.490,492.09575,
2219.579,495.89359,
2216.669,496.03915,
2213.758,510.86356,
2210.847,477.68927,
2207.937,508.49629,
2205.026,533.90255,
2202.116,540.91162,
2199.205,543.125,
2196.294,540.31501,
2193.384,543.09851,
2190.473,524.53345,
2187.563,589.01866,
2184.652,566.82378,
2181.742,571.9213,
2178.831,592.08222,
2175.920,580.80441,
2173.010,595.9521,
2170.099,600.05903,
2167.189,594.35462,
2164.278,626.41847,
2161.368,627.55364,
2158.457,636.71568,
2155.546,656.1702,
2152.636,650.36971,
2149.725,656.11157,
2146.815,689.05719,
2143.904,673.53762,
2140.993,700.16738,
2138.083,692.23136,
2135.172,706.08302,
2132.262,691.09683,
2129.351,700.26995,
2126.441,685.92105,
2123.530,681.03521,
2120.619,671.06087,
2117.709,656.80656,
2114.798,636.42097,
2111.888,618.83712,
2108.977,613.774,
2106.067,581.85691,
2103.156,567.96615,
2100.245,559.13817,
2097.335,577.47579,
2094.424,566.26288,
2091.514,573.89097,
2088.603,552.99131,
2085.692,570.8536,
2082.782,584.02052,
2079.871,570.87413,
2076.961,568.06042,
2074.050,579.54318,
2071.140,569.25135,
2068.229,579.20702,
2065.318,589.3595,
2062.408,579.7536,
2059.497,583.75002,
2056.587,579.35776,
2053.676,561.05913,
2050.766,602.42993,
2047.855,563.01108,
2044.944,555.79969,
2042.034,534.59899,
2039.123,559.58964,
2036.213,582.57157,
2033.302,574.23339,
2030.391,582.1083,
2027.481,571.91773,
2024.570,601.30989,
2021.660,563.84495,
2018.749,619.33945,
2015.839,572.77985,
2012.928,569.87165,
2010.017,584.90458,
2007.107,577.79977,
2004.196,576.54165,
2001.286,576.75044,
1998.375,598.60926,
1995.465,557.56875,
1992.554,568.66596,
1989.643,564.40151,
1986.733,576.14517,
1983.822,544.51052,
1980.912,566.94693,
1978.001,570.61665,
1975.090,553.96774,
1972.180,534.22873,
1969.269,547.54172,
1966.359,542.61126,
1963.448,532.39448,
1960.538,539.42859,
1957.627,551.8247,
1954.716,528.84317,
1951.806,578.44238,
1948.895,524.82949,
1945.985,511.37173,
1943.074,515.63799,
1940.164,510.52899,
1937.253,529.44224,
1934.342,526.01378,
1931.432,524.67074,
1928.521,527.28044,
1925.611,510.43034,
1922.700,519.37085,
1919.790,516.2349,
1916.879,511.404,
1913.968,526.10656,
1911.058,553.08595,
1908.147,510.65639,
1905.237,507.57349,
1902.326,480.33389,
1899.415,457.78594,
1896.505,412.99243,
1893.594,433.10985,
1890.684,478.09876,
1887.773,501.36615,
1884.863,533.63753,
1881.952,541.84756,
1879.041,536.85553,
1876.131,524.7237,
1873.220,550.01892,
1870.310,536.48826,
1867.399,555.78913,
1864.489,536.42402,
1861.578,519.96559,
1858.667,526.65794,
1855.757,523.1071,
1852.846,544.88397,
1849.936,541.35824,
1847.025,535.9425,
1844.114,573.18386,
1841.204,569.632,
1838.293,544.12999,
1835.383,543.311,
1832.472,568.84674,
1829.562,581.29219,
1826.651,562.03056,
1823.740,549.02921,
1820.830,545.58168,
1817.919,538.60999,
1815.009,537.125,
1812.098,542.51082,
1809.188,575.0164,
1806.277,538.98814,
1803.366,568.55937,
1800.456,536.99354,
1797.545,568.11087,
1794.635,560.83404,
1791.724,578.29977,
1788.813,579.33169,
1785.903,581.59993,
1782.992,513.88206,
1780.082,442.00659,
1777.171,283.77166,
1774.261,254.38591,
1771.350,404.75578,
1768.439,535.83016,
1765.529,585.12876,
1762.618,610.09125,
1759.708,599.37488,
1756.797,611.79167,
1753.887,642.84366,
1750.976,636.38351,
1748.065,627.35388,
1745.155,637.70558,
1742.244,627.89586,
1739.334,630.39559,
1736.423,636.53808,
1733.512,667.68606,
1730.602,659.67656,
1727.691,681.52844,
1724.781,660.23509,
1721.870,681.90136,
1718.960,711.32527,
1716.049,688.43883,
1713.138,703.6449,
1710.228,692.32995,
1707.317,670.66443,
1704.407,717.53685,
1701.496,698.51321,
1698.586,714.60469,
1695.675,730.16063,
1692.764,740.59222,
1689.854,703.81395,
1686.943,713.72029,
1684.033,745.33024,
1681.122,773.64921,
1678.211,785.02031,
1675.301,799.08183,
1672.390,804.0592,
1669.480,782.25335,
1666.569,799.07719,
1663.659,872.83102,
1660.748,855.58776,
1657.837,879.51866,
1654.927,897.19529,
1652.016,900.80537,
1649.106,928.36981,
1646.195,938.9402,
1643.285,973.21876,
1640.374,1020.2295,
1637.463,1025.9897,
1634.553,1074.0117,
1631.642,1134.0262,
1628.732,1216.2554,
1625.821,1238.1767,
1622.911,1316.6798,
1620.000,1413.8903,
1617.089,1498.4335,
1614.179,1595.3613,
1611.268,1681.8905,
1608.358,1780.4427,
1605.447,1878.4686,
1602.536,1923.2643,
1599.626,1911.4061,
1596.715,1913.7554,
1593.805,1861.3594,
1590.894,1885.9485,
1587.984,1881.4641,
1585.073,1789.9384,
1582.162,1754.0877,
1579.252,1664.2034,
1576.341,1680.3718,
1573.431,1654.6653,
1570.520,1603.0843,
1567.610,1579.6935,
1564.699,1560.8994,
1561.788,1507.2381,
1558.878,1508.2907,
1555.967,1455.3619,
1553.057,1416.1078,
1550.146,1413.3541,
1547.235,1360.9956,
1544.325,1341.091,
1541.414,1347.1043,
1538.504,1357.0529,
1535.593,1363.8475,
1532.683,1348.2341,
1529.772,1352.1998,
1526.861,1361.2854,
1523.951,1349.6341,
1521.040,1332.3945,
1518.130,1334.0373,
1515.219,1384.4462,
1512.309,1344.3727,
1509.398,1348.9919,
1506.487,1356.4246,
1503.577,1331.2684,
1500.666,1357.4315,
1497.756,1331.0237,
1494.845,1362.9633,
1491.934,1287.04,
1489.024,1261.0527,
1486.113,1299.0681,
1483.203,1280.809,
1480.292,1201.759,
1477.382,1235.0034,
1474.471,1187.0368,
1471.560,1193.7976,
1468.650,1178.5271,
1465.739,1163.2821,
1462.829,1185.5945,
1459.918,1218.6997,
1457.008,1233.1404,
1454.097,1232.7385,
1451.186,1236.5312,
1448.276,1218.6661,
1445.365,1175.768,
1442.455,1168.6521,
1439.544,1140.2921,
1436.633,1118.0277,
1433.723,1106.131,
1430.812,1094.1937,
1427.902,1120.4858,
1424.991,1135.65,
1422.081,1093.0036,
1419.170,1069.2516,
1416.259,1071.7954,
1413.349,1104.8451,
1410.438,1068.9395,
1407.528,1040.1126,
1404.617,1045.6933,
1401.707,1026.628,
1398.796,954.03422,
1395.885,924.75514,
1392.975,941.9992,
1390.064,899.76727,
1387.154,891.70509,
1384.243,908.812,
1381.332,839.35034,
1378.422,835.10551,
1375.511,873.51353,
1372.601,934.94864,
1369.690,972.69945,
1366.780,1001.8861,
1363.869,1020.4751,
1360.958,1051.5337,
1358.048,1064.5317,
1355.137,1116.1677,
1352.227,1148.9419,
1349.316,1146.5117,
1346.406,1191.1575,
1343.495,1231.8968,
1340.584,1224.5528,
1337.674,1274.3378,
1334.763,1253.3833,
1331.853,1312.726,
1328.942,1252.8625,
1326.032,1300.5872,
1323.121,1350.9142,
1320.210,1411.4054,
1317.300,1423.9106,
1314.389,1440.2782,
1311.479,1483.6588,
1308.568,1498.2717,
1305.657,1478.5298,
1302.747,1501.5353,
1299.836,1582.7934,
1296.926,1620.0561,
1294.015,1704.6338,
1291.105,1750.391,
1288.194,1812.8358,
1285.283,1811.3729,
1282.373,1834.8671,
1279.462,1855.4191,
1276.552,1883.2117,
1273.641,1883.6545,
1270.731,1827.422,
1267.820,1805.7869,
1264.909,1810.1907,
1261.999,1795.5258,
1259.088,1779.1076,
1256.178,1847.498,
1253.267,1789.3102,
1250.356,1755.9344,
1247.446,1725.4825,
1244.535,1694.25,
1241.625,1668.4176,
1238.714,1658.5977,
1235.804,1673.5959,
1232.893,1662.2591,
1229.982,1621.7076,
1227.072,1638.9085,
1224.161,1612.3884,
1221.251,1577.3446,
1218.340,1540.5647,
1215.430,1510.71,
1212.519,1483.6367,
1209.608,1450.8868,
1206.698,1435.1253,
1203.787,1469.3461,
1200.877,1466.1837,
1197.966,1483.2677,
1195.055,1540.4394,
1192.145,1623.7567,
1189.234,1694.838,
1186.324,1739.7632,
1183.413,1766.2824,
1180.503,1782.1603,
1177.592,1782.7815,
1174.681,1762.464,
1171.771,1743.2596,
1168.860,1705.7498,
1165.950,1702.125,
1163.039,1669.9985,
1160.129,1678.5395,
1157.218,1690.2791,
1154.307,1703.1922,
1151.397,1749.3298,
1148.486,1798.4247,
1145.576,1797.5423,
1142.665,1738.0521,
1139.754,1729.8705,
1136.844,1710.2168,
1133.933,1690.3949,
1131.023,1657.576,
1128.112,1655.1214,
1125.202,1695.0526,
1122.291,1681.8824,
1119.380,1701.2982,
1116.470,1718.9488,
1113.559,1643.0268,
1110.649,1626.0186,
1107.738,1623.7668,
1104.828,1629.9436,
1101.917,1640.3911,
1099.006,1623.8674,
1096.096,1601.1676,
1093.185,1634.5317,
1090.275,1644.4084,
1087.364,1637.2054,
1084.453,1657.311,
1081.543,1652.8993,
1078.632,1638.7947,
1075.722,1669.3638,
1072.811,1652.8147,
1069.901,1648.4484,
1066.990,1634.3834,
1064.079,1675.3584,
1061.169,1681.7652,
1058.258,1671.8189,
1055.348,1684.4135,
1052.437,1698.7937,
1049.527,1647.1656,
1046.616,1674.0993,
1043.705,1666.3343,
1040.795,1676.5336,
1037.884,1676.0332,
1034.974,1666.6353,
1032.063,1672.7093,
1029.153,1697.2169,
1026.242,1672.9981,
1023.331,1695.4568,
1020.421,1758.6815,
1017.510,1752.7496,
1014.600,1763.6511,
1011.689,1795.5909,
1008.778,1752.2191,
1005.868,1740.9165,
1002.957,1717.6869,
1000.047,1815.317,
997.136,1883.6659,
994.226,1911.3711,
991.315,1897.8131,
988.404,1845.0717,
985.494,1823.7606,
982.583,1807.486,
979.673,1793.4187,
976.762,1790.2992,
973.852,1776.5387,
970.941,1761.0888,
968.030,1760.0093,
965.120,1714.4579,
962.209,1793.7444,
959.299,1780.2115,
956.388,1806.6426,
953.477,1815.9847,
950.567,1806.4703,
947.656,1862.1277,
944.746,1869.7737,
941.835,1855.5484,
938.925,1848.1767,
936.014,1837.0201,
933.103,1812.9419,
930.193,1785.7243,
927.282,1786.4752,
924.372,1756.0333,
921.461,1784.5266,
918.551,1763.5927,
915.640,1735.8756,
912.729,1733.6136,
909.819,1748.9077,
906.908,1792.7138,
903.998,1755.3568,
901.087,1772.4948,
898.176,1780.9671,
895.266,1774.712,
892.355,1775.1409,
889.445,1759.1948,
886.534,1797.5291,
883.624,1807.1435,
880.713,1804.0422,
877.802,1757.3958,
874.892,1639.988,
871.981,1470.0944,
869.071,1257.0641,
866.160,1251.8631,
863.250,1465.3221,
860.339,1678.3427,
857.428,1739.1859,
854.518,1748.8272,
851.607,1634.8337,
848.697,1544.2798,
845.786,1463.3422,
842.875,1495.7248,
839.965,1670.3006,
837.054,1808.3855,
834.144,1831.5906,
831.233,1842.1246,
828.323,1844.1359,
825.412,1850.2082,
822.501,1868.9974,
819.591,1890.4838,
816.680,1851.0608,
813.770,1819.1974,
810.859,1799.8076,
807.949,1788.8177,
805.038,1777.1383,
802.127,1752.4444,
799.217,1718.0732,
796.306,1707.6926,
793.396,1730.3161,
790.485,1757.9653,
787.574,1732.713,
784.664,1774.5387,
781.753,1776.7571,
778.843,1777.0655,
775.932,1781.6682,
773.022,1777.8975,
770.111,1731.2956,
767.200,1775.3264,
764.290,1776.8338,
761.379,1771.0637,
758.469,1775.6601,
755.558,1770.3438,
752.648,1777.6752,
749.737,1747.1383,
746.826,1720.3344,
743.916,1704.099,
741.005,1684.7974,
738.095,1628.7779,
735.184,1521.3016,
732.274,1463.2445,
729.363,1486.464,
726.452,1579.6198,
723.542,1665.4155,
720.631,1720.5846,
717.721,1715.5026,
714.810,1741.9997,
711.899,1808.0557,
708.989,1799.1795,
706.078,1811.9458,
703.168,1781.1206,
700.257,1757.4747,
697.347,1760.3418,
694.436,1779.1686,
691.525,1780.7763,
688.615,1805.6525,
685.704,1799.4037,
682.794,1777.742,
679.883,1798.4678,
676.973,1850.5569,
674.062,1849.0014,
671.151,1825.0301,
668.241,1799.5513,
665.330,1786.7636,
662.420,1758.0093,
659.509,1769.2681,
656.598,1782.587,
653.688,1794.0263,
650.777,1816.1529,
647.867,1787.4851,
644.956,1733.4504,
642.046,1668.4696,
639.135,1617.7058,
636.224,1616.7019,
633.314,1731.823,
630.403,1779.4525,
627.493,1790.5887,
624.582,1782.6513,
621.672,1758.0995,
618.761,1771.5638,
615.850,1816.3471,
612.940,1846.7343,
610.029,1847.3859,
607.119,1878.9711,
604.208,1914.0756,
601.297,1923.6354,
598.387,1909.233,
595.476,1882.7192,
592.566,1889.0158,
589.655,1917.3364,
586.745,1927.3513,
583.834,1919.1487,
580.923,1912.1819,
578.013,1921.5987,
575.102,1903.4758,
572.192,1891.6978,
569.281,1897.8438,
566.371,1896.2786,
563.460,1917.9945,
560.549,1931.9978,
557.639,1954.8502,
554.728,2004.0612,
551.818,2018.8872,
548.907,2009.9367,
545.996,1989.6837,
543.086,1964.5888,
540.175,1938.8935,
537.265,1926.2608,
534.354,1947.7112,
531.444,1967.5518,
528.533,1954.0631,
525.622,1967.2542,
522.712,1976.1925,
519.801,1936.9725,
516.891,1870.7246,
513.980,1888.5334,
511.070,1899.2815,
508.159,1920.3174,
505.248,1934.6185,
502.338,1921.622,
499.427,1938.6023,
496.517,1949.9129,
493.606,1958.8264,
490.695,1968.4787,
487.785,1985.4141,
484.874,1962.276,
481.964,1941.4805,
479.053,1926.4254,
476.143,1902.6186,
473.232,1929.9011,
470.321,1968.8599,
467.411,1989.0076,
464.500,1961.6596,
461.590,1943.2818,
458.679,1967.2906,
455.769,1980.0978,
452.858,1962.0901,
449.947,2019.385,
447.037,1992.8991,
444.126,1975.5189,
441.216,1987.0667,
438.305,1980.9712,
435.395,1987.9926,
432.484,1973.3712,
429.573,1934.6999,
426.663,1881.49,
423.752,1623.9619,
420.842,1277.105,
417.931,969.48421,
415.020,879.2396,
412.110,1360.4529,
409.199,1739.1028,
406.289,1926.4949,
403.378,1856.9175,
400.468,1795.682,
397.557,1793.0919,
394.646,1854.6444,
391.736,1977.8111,
388.825,1968.0061,
385.915,1953.4167,
383.004,1960.5431,
380.094,2004.5473,
377.183,2012.8245,
374.272,2028.6945,
371.362,2065.4372,
368.451,2124.1646,
365.541,2091.8915,
362.630,2083.6712,
359.719,2087.0847,
356.809,2093.7172,
353.898,2086.978,
350.988,2120.9291,
348.077,2134.5717,
345.167,2094.125,
342.256,2094.125,
339.345,2121.7595,
336.435,2135.5765,
333.524,2107.7257,
330.614,2095.0581,
327.703,2134.7644,
324.793,2172.7737,
321.882,2163.2368,
318.971,2209.3302,
316.061,2241.2394,
313.150,2271.0583,
310.240,2312.6168,
307.329,2342.7105,
304.418,2381.9381,
301.508,2410.3988,
298.597,2392.6288,
295.687,2410.765,
292.776,2460.5419,
289.866,2546.3948,
286.955,2685.2752,
284.044,2770.2724,
281.134,2887.3666,
278.223,3029.1308,
275.313,3077.0263,
272.402,3115.5893,
269.492,3147.5317,
266.581,3165.5036,
263.670,3072.8709,
260.760,3160.0046,
257.849,3287.9913,
254.939,3356.2424,
252.028,3354.2296,
249.117,3341.2475,
246.207,3339.0579,
243.296,3385.1762,
240.386,3416.8977,
237.475,3388.0961,
234.565,3317.6296,
231.654,3308.1346,
228.743,3261.2463,
225.833,3195.806,
222.922,3119.8827,
220.012,3071.7981,
217.101,3040.4221,
214.191,3009.7,
211.280,2961.6875,
208.369,2933.9037,
205.459,2863.0359,
202.548,2780.8938,
199.638,2820.0789,
196.727,2816.6007,
193.816,2802.7066,
190.906,2784.9952,
187.995,2638.7423,
185.085,2631.1549,
182.174,2670.5061,
179.264,2638.7044,
176.353,2709.4554,
173.442,2743.1487,
170.532,2718.9601,
167.621,2631.7221,
164.711,2580.2699,
161.800,2490.7347,
158.890,2302.166,
155.979,2156.8673,
153.068,2005.7351,
150.158,1837.87,
147.247,1618.8946,
144.337,1362.1255,
141.426,1079.486,
138.516,772.65658,
135.605,567.36141,
132.694,396.39525,
129.784,261.09748,
126.873,178.85755,
123.963,118.3066,
121.052,76.626323,
118.141,55.209263,
115.231,48.729867,
112.320,38.923189,
109.410,28.852289,
106.499,27.427979,
103.589,25.444237,
