,PLCD35~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.5,
3011.256,2.6000215,
3008.346,110.28297,
3005.435,111.34806,
3002.525,128.42506,
2999.614,133.31168,
2996.704,126.09278,
2993.793,126.11924,
2990.882,140.66788,
2987.972,146.41424,
2985.061,138.36701,
2982.151,148.61933,
2979.240,165.23384,
2976.329,163.25137,
2973.419,171.34596,
2970.508,186.2833,
2967.598,186.26104,
2964.687,181.5,
2961.777,163.38016,
2958.866,179.83432,
2955.955,190.64158,
2953.045,196.71926,
2950.134,213.07434,
2947.224,211.38612,
2944.313,215.58974,
2941.403,228.97628,
2938.492,228.67075,
2935.581,247.13434,
2932.671,223.70606,
2929.760,253.43077,
2926.850,242.07481,
2923.939,244.97661,
2921.028,247.25285,
2918.118,250.30101,
2915.207,243.19601,
2912.297,256.39845,
2909.386,251.72627,
2906.476,243.15171,
2903.565,239.91926,
2900.654,245.17037,
2897.744,247.21084,
2894.833,223.26291,
2891.923,227.9872,
2889.012,209.66185,
2886.102,220.66757,
2883.191,190.52549,
2880.280,111.55738,
2877.370,-93.854221,
2874.459,-204.76376,
2871.549,-37.525043,
2868.638,154.14733,
2865.727,175.50763,
2862.817,208.5147,
2859.906,219.00711,
2856.996,240.98868,
2854.085,242.61975,
2851.175,250.42476,
2848.264,243.98549,
2845.353,252.67254,
2842.443,254.90975,
2839.532,237.18662,
2836.622,245.10677,
2833.711,249.55181,
2830.801,253.19779,
2827.890,267.51922,
2824.979,256.29002,
2822.069,261.52274,
2819.158,262.35984,
2816.248,264.23553,
2813.337,263.02562,
2810.427,258.66942,
2807.516,275.75891,
2804.605,269.09135,
2801.695,266.36842,
2798.784,261.79569,
2795.874,262.34959,
2792.963,252.14244,
2790.052,265.49507,
2787.142,263.31592,
2784.231,257.63046,
2781.321,256.31718,
2778.410,275.13958,
2775.500,280.67069,
2772.589,279.42354,
2769.678,284.64335,
2766.768,274.38348,
2763.857,268.92197,
2760.947,281.02837,
2758.036,297.35994,
2755.126,289.69017,
2752.215,294.7546,
2749.304,291.52159,
2746.394,282.25198,
2743.483,298.54997,
2740.573,306.16152,
2737.662,298.48965,
2734.751,293.17473,
2731.841,278.44505,
2728.930,283.15654,
2726.020,309.27025,
2723.109,310.59267,
2720.199,318.75637,
2717.288,300.41241,
2714.377,312.5623,
2711.467,324.38571,
2708.556,312.88274,
2705.646,326.57044,
2702.735,316.85053,
2699.825,322.73996,
2696.914,319.59547,
2694.003,349.9309,
2691.093,330.7142,
2688.182,313.98963,
2685.272,313.73898,
2682.361,318.47052,
2679.450,329.99379,
2676.540,328.45935,
2673.629,318.20408,
2670.719,309.20795,
2667.808,334.43002,
2664.898,326.75973,
2661.987,327.5,
2659.076,324.00862,
2656.166,335.67749,
2653.255,335.05612,
2650.345,332.71597,
2647.434,328.30052,
2644.524,344.79735,
2641.613,343.92866,
2638.702,350.42109,
2635.792,349.5,
2632.881,350.07737,
2629.971,348.75502,
2627.060,350.66469,
2624.149,366.95937,
2621.239,364.49407,
2618.328,343.34774,
2615.418,358.51818,
2612.507,353.60276,
2609.597,344.6018,
2606.686,363.78516,
2603.775,374.29761,
2600.865,371.85155,
2597.954,369.07497,
2595.044,372.57085,
2592.133,365.0606,
2589.223,392.78949,
2586.312,392.64574,
2583.401,381.7664,
2580.491,387.29323,
2577.580,364.52806,
2574.670,380.94653,
2571.759,380.05051,
2568.848,388.73209,
2565.938,399.40491,
2563.027,379.13409,
2560.117,380.40655,
2557.206,400.48524,
2554.296,401.5,
2551.385,402.81401,
2548.474,418.57435,
2545.564,387.70291,
2542.653,415.74161,
2539.743,403.28958,
2536.832,388.56169,
2533.922,411.75231,
2531.011,428.04995,
2528.100,423.10277,
2525.190,412.75656,
2522.279,447.202,
2519.369,401.70747,
2516.458,399.49646,
2513.548,401.97264,
2510.637,436.76221,
2507.726,424.25093,
2504.816,406.87316,
2501.905,412.54329,
2498.995,431.69438,
2496.084,440.07485,
2493.173,412.07881,
2490.263,443.60062,
2487.352,428.8756,
2484.442,441.48714,
2481.531,449.92023,
2478.621,453.87443,
2475.710,461.49233,
2472.799,458.28029,
2469.889,448.59141,
2466.978,446.94329,
2464.068,463.78048,
2461.157,448.92251,
2458.247,461.85312,
2455.336,477.22406,
2452.425,445.97167,
2449.515,469.99065,
2446.604,472.79494,
2443.694,465.68584,
2440.783,472.83559,
2437.872,475.28121,
2434.962,468.71198,
2432.051,476.74093,
2429.141,473.97664,
2426.230,485.32656,
2423.320,476.58519,
2420.409,494.71802,
2417.498,494.48315,
2414.588,482.96775,
2411.677,481.67929,
2408.767,490.54724,
2405.856,510.00472,
2402.946,504.12467,
2400.035,497.5,
2397.124,495.28609,
2394.214,504.4196,
2391.303,501.38957,
2388.393,492.00697,
2385.482,483.85249,
2382.571,465.34828,
2379.661,460.98835,
2376.750,480.28561,
2373.840,518.38426,
2370.929,531.43502,
2368.019,516.96919,
2365.108,525.17539,
2362.197,528.63978,
2359.287,523.13008,
2356.376,539.46478,
