,PLCF92~1,
Wavenumbers [1/cm],Intensity,
3014.167,1.375,
3011.256,1.2749785,
3008.346,51.821804,
3005.435,36.876769,
3002.525,54.885067,
2999.614,55.038645,
2996.704,57.649228,
2993.793,52.870392,
2990.882,58.069647,
2987.972,71.319505,
2985.061,66.138554,
2982.151,64.56827,
2979.240,74.907313,
2976.329,72.109984,
2973.419,71.882316,
2970.508,87.375,
2967.598,56.852912,
2964.687,69.240489,
2961.777,71.469008,
2958.866,80.043646,
2955.955,80.410394,
2953.045,96.375,
2950.134,96.375,
2947.224,87.431938,
2944.313,91.622151,
2941.403,93.505931,
2938.492,97.662264,
2935.581,99.783586,
2932.671,96.898638,
2929.760,110.56345,
2926.850,112.06147,
2923.939,115.85632,
2921.028,116.76917,
2918.118,104.81581,
2915.207,93.716553,
2912.297,105.27345,
2909.386,103.98813,
2906.476,89.220532,
2903.565,100.69797,
2900.654,100.49228,
2897.744,98.312139,
2894.833,86.777184,
2891.923,78.1859,
2889.012,54.872111,
2886.102,67.999321,
2883.191,33.409929,
2880.280,-53.314031,
2877.370,-275.53732,
2874.459,-375.01444,
2871.549,-191.34743,
2868.638,-15.297247,
2865.727,31.059612,
2862.817,60.790751,
2859.906,69.565873,
2856.996,93.877264,
2854.085,106.57881,
2851.175,98.968404,
2848.264,93.870165,
2845.353,110.375,
2842.443,109.17709,
2839.532,102.71831,
2836.622,110.85807,
2833.711,110.26355,
2830.801,122.77059,
2827.890,118.29108,
2824.979,112.80702,
2822.069,104.59107,
2819.158,129.45587,
2816.248,124.4329,
2813.337,140.53965,
2810.427,119.80888,
2807.516,126.42531,
2804.605,123.00962,
2801.695,126.54605,
2798.784,115.11423,
2795.874,118.93963,
2792.963,117.66053,
2790.052,140.36921,
2787.142,120.2305,
2784.231,129.76322,
2781.321,117.99784,
2778.410,116.10976,
2775.500,122.90672,
2772.589,128.95222,
2769.678,138.94494,
2766.768,138.88179,
2763.857,143.32105,
2760.947,132.87815,
2758.036,132.52786,
2755.126,136.61432,
2752.215,142.94785,
2749.304,134.80128,
2746.394,132.58669,
2743.483,146.02495,
2740.573,135.97004,
2737.662,133.81139,
2734.751,131.72446,
2731.841,152.21383,
2728.930,124.11212,
2726.020,142.36979,
2723.109,139.26158,
2720.199,159.69079,
2717.288,143.53194,
2714.377,164.30812,
2711.467,148.83433,
2708.556,137.50258,
2705.646,159.81167,
2702.735,162.19716,
2699.825,149.41863,
2696.914,156.28001,
2694.003,157.60427,
2691.093,160.85754,
2688.182,159.91944,
2685.272,147.65807,
2682.361,142.13373,
2679.450,153.45316,
2676.540,153.41565,
2673.629,148.73827,
2670.719,146.93693,
2667.808,152.42364,
2664.898,157.79037,
2661.987,163.00819,
2659.076,159.99353,
2656.166,158.31009,
2653.255,157.22534,
2650.345,168.43126,
2647.434,152.08978,
2644.524,169.21672,
2641.613,167.375,
2638.702,186.07516,
2635.792,164.15467,
2632.881,175.22026,
2629.971,178.73744,
2627.060,177.37375,
2624.149,180.02501,
2621.239,175.88389,
2618.328,162.79887,
2615.418,178.01592,
2612.507,178.82563,
2609.597,156.93588,
2606.686,165.2445,
2603.775,179.13293,
2600.865,176.19754,
2597.954,178.57285,
2595.044,187.83823,
2592.133,160.82088,
2589.223,173.96554,
2586.312,184.375,
2583.401,179.88593,
2580.491,183.08651,
2577.580,179.3783,
2574.670,175.84026,
2571.759,176.78937,
2568.848,191.02142,
2565.938,193.8513,
2563.027,175.71593,
2560.117,162.38433,
2557.206,199.05765,
2554.296,185.88987,
2551.385,189.68901,
2548.474,216.00512,
2545.564,213.78652,
2542.653,210.54278,
2539.743,210.54752,
2536.832,172.96564,
2533.922,203.28038,
2531.011,205.34933,
2528.100,209.31571,
2525.190,207.81475,
2522.279,202.85912,
2519.369,193.58247,
2516.458,185.81197,
2513.548,200.83831,
2510.637,217.12907,
2507.726,213.06273,
2504.816,204.49901,
2501.905,195.94024,
2498.995,196.44994,
2496.084,212.14851,
2493.173,196.11142,
2490.263,210.10498,
2487.352,216.749,
2484.442,207.50132,
2481.531,223.00795,
2478.621,217.69725,
2475.710,228.33666,
2472.799,221.64856,
2469.889,219.76836,
2466.978,232.75635,
2464.068,222.00987,
2461.157,216.6099,
2458.247,227.97787,
2455.336,217.39652,
2452.425,234.20521,
2449.515,220.21493,
2446.604,230.55474,
2443.694,228.28208,
2440.783,228.75563,
2437.872,233.81258,
2434.962,243.01095,
2432.051,232.96136,
2429.141,235.7808,
2426.230,226.22249,
2423.320,244.57472,
2420.409,248.43284,
2417.498,243.1531,
2414.588,244.28757,
2411.677,222.55832,
2408.767,253.61614,
2405.856,257.47259,
2402.946,241.10065,
2400.035,249.2553,
2397.124,271.67983,
2394.214,254.91659,
2391.303,257.4082,
2388.393,251.375,
2385.482,235.12405,
2382.571,222.52672,
2379.661,226.51457,
2376.750,229.74196,
2373.840,246.92494,
2370.929,248.39666,
2368.019,252.9532,
2365.108,262.0949,
2362.197,262.81879,
2359.287,263.55996,
2356.376,295.32217,
2353.466,279.4367,
2350.555,264.16503,
2347.645,259.45448,
2344.734,271.13541,
2341.823,276.35842,
2338.913,288.48693,
2336.002,288.45391,
2333.092,284.67404,
2330.181,284.67421,
2327.270,275.09007,
2324.360,285.29954,
2321.449,279.66752,
2318.539,286.46064,
2315.628,277.1236,
2312.718,289.04021,
2309.807,303.96512,
2306.896,292.07609,
2303.986,283.38158,
2301.075,302.54519,
2298.165,299.99027,
2295.254,275.87049,
2292.344,311.90198,
2289.433,304.33636,
2286.522,296.94194,
2283.612,306.27552,
2280.701,306.77859,
2277.791,322.61358,
2274.880,303.09102,
2271.969,301.46965,
2269.059,302.46491,
2266.148,294.26816,
2263.238,298.67229,
2260.327,323.16808,
2257.417,320.375,
2254.506,317.94764,
2251.595,313.23319,
2248.685,325.63264,
2245.774,325.86958,
2242.864,305.51462,
2239.953,335.23709,
2237.043,319.68573,
2234.132,321.19828,
2231.221,345.19158,
2228.311,338.80671,
2225.400,334.34685,
2222.490,334.86037,
2219.579,340.34929,
2216.669,339.37023,
2213.758,357.3345,
2210.847,349.44807,
2207.937,359.76423,
2205.026,378.375,
2202.116,375.22851,
2199.205,368.43735,
2196.294,362.94502,
2193.384,358.5065,
2190.473,358.51702,
2187.563,378.42334,
2184.652,388.52561,
2181.742,395.28482,
2178.831,401.90026,
2175.920,398.78666,
2173.010,404.10006,
2170.099,413.04068,
2167.189,418.3176,
2164.278,412.42927,
2161.368,424.08932,
2158.457,428.88215,
2155.546,443.10193,
2152.636,445.58777,
2149.725,450.2005,
2146.815,466.8411,
2143.904,428.58316,
2140.993,444.41738,
2138.083,448.88251,
2135.172,480.8624,
2132.262,464.22447,
2129.351,480.56137,
2126.441,468.17105,
2123.530,460.59948,
2120.619,473.76977,
