,PLD32A~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.125,
3011.256,-0.57498926,
3008.346,55.514066,
3005.435,48.263698,
3002.525,69.460011,
2999.614,61.628272,
2996.704,67.334797,
2993.793,57.865784,
2990.882,69.39406,
2987.972,85.753921,
2985.061,66.308503,
2982.151,65.710289,
2979.240,72.241922,
2976.329,84.399571,
2973.419,86.136618,
2970.508,92.741614,
2967.598,78.683835,
2964.687,83.471467,
2961.777,78.379126,
2958.866,99.213777,
2955.955,95.669243,
2953.045,96.543922,
2950.134,105.59802,
2947.224,87.846531,
2944.313,99.908477,
2941.403,107.18431,
2938.492,111.02405,
2935.581,115.28359,
2932.671,105.03812,
2929.760,120.875,
2926.850,123.71823,
2923.939,115.95444,
2921.028,133.28692,
2918.118,126.7755,
2915.207,120.86855,
2912.297,126.81999,
2909.386,133.10127,
2906.476,124.52671,
2903.565,131.13278,
2900.654,132.20463,
2897.744,145.875,
2894.833,142.98846,
2891.923,131.5769,
2889.012,166.95015,
2886.102,180.58582,
2883.191,214.83441,
2880.280,310.31044,
2877.370,437.89228,
2874.459,441.85559,
2871.549,296.29535,
2868.638,176.50393,
2865.727,152.82116,
2862.817,164.17579,
2859.906,140.1542,
2856.996,151.40444,
2854.085,177.44439,
2851.175,156.06181,
2848.264,134.30633,
2845.353,147.83187,
2842.443,145.4757,
2839.532,138.66608,
2836.622,130.39193,
2833.711,143.60813,
2830.801,137.08382,
2827.890,148.41696,
2824.979,153.08498,
2822.069,147.01147,
2819.158,155.83457,
2816.248,150.875,
2813.337,160.94696,
2810.427,149.22073,
2807.516,162.97562,
2804.605,164.64904,
2801.695,151.38814,
2798.784,148.57931,
2795.874,150.88028,
2792.963,154.23234,
2790.052,155.87564,
2787.142,149.36188,
2784.231,152.45575,
2781.321,152.62356,
2778.410,154.26966,
2775.500,160.34328,
2772.589,159.95146,
2769.678,164.01488,
2766.768,164.70023,
2763.857,166.82298,
2760.947,167.84978,
2758.036,165.56928,
2755.126,175.06517,
2752.215,178.53412,
2749.304,166.91818,
2746.394,184.60485,
2743.483,191.42495,
2740.573,198.21348,
2737.662,169.88535,
2734.751,173.52554,
2731.841,184.25413,
2728.930,176.20129,
2726.020,174.98727,
2723.109,176.76158,
2720.199,194.22814,
2717.288,193.50639,
2714.377,195.74582,
2711.467,185.84204,
2708.556,192.31121,
2705.646,186.64964,
2702.735,197.3879,
2699.825,204.49498,
2696.914,211.0182,
2694.003,200.21483,
2691.093,215.73181,
2688.182,202.29278,
2685.272,212.47671,
2682.361,208.66321,
2679.450,207.75155,
2676.540,198.9563,
2673.629,199.2248,
2670.719,194.44432,
2667.808,218.70775,
2664.898,208.27773,
2661.987,208.80849,
2659.076,207.0194,
2656.166,216.00483,
2653.255,218.65561,
2650.345,219.49932,
2647.434,204.64665,
2644.524,211.33063,
2641.613,221.90391,
2638.702,227.875,
2635.792,237.9069,
2632.881,232.875,
2629.971,226.76758,
2627.060,215.37344,
2624.149,223.28126,
2621.239,226.89279,
2618.328,218.62068,
2615.418,219.17955,
2612.507,231.25445,
2609.597,231.78318,
2606.686,231.21236,
2603.775,235.59325,
2600.865,242.10712,
2597.954,239.83328,
2595.044,252.59776,
2592.133,235.5947,
2589.223,258.73081,
2586.312,265.48307,
2583.401,250.73265,
2580.491,251.95672,
2577.580,252.82879,
2574.670,230.68648,
2571.759,262.3904,
2568.848,248.70911,
2565.938,276.63685,
2563.027,271.43417,
2560.117,250.51052,
2557.206,276.18865,
2554.296,282.44251,
2551.385,269.81704,
2548.474,285.43076,
2545.564,279.22321,
2542.653,286.80117,
2539.743,288.88732,
2536.832,284.85444,
2533.922,279.60692,
2531.011,274.14905,
2528.100,288.41502,
2525.190,290.68647,
2522.279,293.12463,
2519.369,281.49742,
2516.458,285.42741,
2513.548,299.67475,
2510.637,285.658,
2507.726,309.12778,
2504.816,299.18729,
2501.905,307.61402,
2498.995,302.71107,
2496.084,318.94122,
2493.173,307.63758,
2490.263,307.23434,
2487.352,322.41593,
2484.442,313.29898,
2481.531,312.13569,
2478.621,297.89392,
2475.710,335.73698,
2472.799,315.65529,
2469.889,309.35977,
2466.978,313.48321,
2464.068,312.00197,
2461.157,319.18494,
2458.247,332.2868,
2455.336,333.57754,
2452.425,330.09198,
2449.515,334.61097,
2446.604,341.28513,
2443.694,338.06084,
2440.783,355.73649,
2437.872,349.98439,
2434.962,350.51095,
2432.051,347.28864,
2429.141,350.875,
2426.230,328.43959,
2423.320,358.56075,
2420.409,352.33663,
2417.498,360.4312,
2414.588,351.25531,
2411.677,341.41287,
2408.767,360.93405,
2405.856,385.72495,
2402.946,366.07071,
2400.035,370.7553,
2397.124,371.2119,
2394.214,373.2262,
2391.303,372.94682,
2388.393,394.77738,
2385.482,385.62405,
2382.571,407.73609,
2379.661,386.45658,
2376.750,378.71484,
2373.840,381.95314,
2370.929,373.95081,
2368.019,389.875,
2365.108,393.43259,
2362.197,391.11058,
2359.287,385.07667,
2356.376,409.83097,
2353.466,413.16447,
2350.555,395.4052,
2347.645,396.17832,
2344.734,397.96718,
2341.823,407.74233,
2338.913,409.27648,
2336.002,410.40363,
2333.092,423.18537,
2330.181,423.38395,
2327.270,408.75508,
2324.360,435.14386,
2321.449,435.90561,
2318.539,433.875,
2315.628,428.9929,
2312.718,429.52478,
2309.807,437.46512,
2306.896,429.10348,
2303.986,429.14131,
2301.075,444.19413,
2298.165,452.46164,
2295.254,436.26277,
2292.344,465.875,
2289.433,458.82091,
2286.522,450.52228,
2283.612,460.70536,
2280.701,456.81672,
2277.791,476.35403,
2274.880,462.16303,
2271.969,462.0643,
2269.059,485.8396,
2266.148,468.42258,
2263.238,481.26494,
2260.327,473.94397,
2257.417,478.90778,
2254.506,498.75252,
2251.595,485.46787,
2248.685,481.86918,
2245.774,491.38042,
2242.864,495.78272,
2239.953,508.64742,
2237.043,506.31643,
2234.132,503.875,
2231.221,510.98098,
2228.311,533.01157,
2225.400,527.73427,
2222.490,522.31798,
2219.579,525.00356,
2216.669,544.32969,
2213.758,538.22008,
2210.847,540.35358,
2207.937,548.63069,
2205.026,551.76334,
2202.116,566.35058,
2199.205,574.7743,
2196.294,572.57705,
2193.384,557.7435,
2190.473,551.72711,
2187.563,611.79283,
2184.652,595.02561,
2181.742,588.48772,
2178.831,594.61829,
2175.920,615.54895,
2173.010,617.57568,
2170.099,610.47619,
2167.189,618.91805,
2164.278,621.94033,
2161.368,613.15971,
2158.457,639.80578,
2155.546,664.69234,
2152.636,660.45484,
2149.725,656.20386,
2146.815,683.94067,
2143.904,680.77834,
2140.993,696.32464,
2138.083,723.79292,
2135.172,714.49675,
2132.262,697.99736,
2129.351,703.67159,
2126.441,701.45751,
2123.530,700.06581,
2120.619,714.26043,
2117.709,695.7655,
2114.798,677.83256,
2111.888,661.94986,
2108.977,680.76905,
2106.067,661.81502,
2103.156,655.51451,
2100.245,651.88441,
2097.335,670.1263,
2094.424,693.15695,
2091.514,680.86416,
2088.603,678.06388,
2085.692,688.96425,
2082.782,694.0637,
2079.871,676.51678,
2076.961,686.84175,
2074.050,656.49318,
2071.140,704.49596,
2068.229,689.05208,
2065.318,707.50577,
2062.408,705.71541,
2059.497,706.32146,
2056.587,711.23564,
2053.676,701.9753,
2050.766,707.33614,
2047.855,722.07435,
2044.944,726.87981,
2042.034,713.638,
2039.123,723.41709,
2036.213,735.91497,
2033.302,742.1791,
2030.391,754.5869,
2027.481,759.82616,
2024.570,751.76098,
2021.660,743.2889,
2018.749,793.89949,
2015.839,742.52985,
2012.928,734.10487,
2010.017,748.18554,
2007.107,781.73669,
2004.196,782.1964,
2001.286,789.37674,
1998.375,795.39567,
1995.465,767.13036,
1992.554,758.12207,
1989.643,809.04312,
1986.733,792.2864,
1983.822,788.92817,
1980.912,825.04276,
1978.001,799.36665,
1975.090,797.85974,
1972.180,796.63432,
1969.269,793.96984,
1966.359,784.90186,
1963.448,796.13789,
1960.538,778.52971,
1957.627,795.16604,
1954.716,809.53028,
1951.806,804.71309,
1948.895,837.83455,
1945.985,826.73448,
1943.074,830.30316,
1940.164,815.85588,
1937.253,830.47053,
1934.342,821.23383,
1931.432,831.43021,
1928.521,826.19797,
1925.611,851.79667,
1922.700,861.33495,
1919.790,835.75967,
1916.879,821.64224,
1913.968,858.82828,
1911.058,851.99813,
1908.147,866.01513,
1905.237,858.83827,
1902.326,885.20388,
1899.415,888.76888,
1896.505,864.96542,
1893.594,866.96949,
1890.684,864.00569,
1887.773,868.45257,
1884.863,872.70188,
1881.952,894.40481,
1879.041,908.92692,
1876.131,886.44364,
1873.220,855.59614,
1870.310,897.35922,
1867.399,895.95497,
1864.489,890.57598,
1861.578,910.30338,
1858.667,926.24631,
1855.757,890.64349,
1852.846,921.60322,
1849.936,899.50364,
1847.025,876.11101,
1844.114,888.96917,
1841.204,924.15122,
1838.293,923.89828,
1835.383,921.35149,
1832.472,951.03848,
1829.562,957.84818,
1826.651,944.98589,
1823.740,948.88268,
1820.830,956.50496,
1817.919,947.28811,
