,PLD6F7~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.375,
3011.256,-0.37505368,
3008.346,61.711164,
3005.435,50.261929,
3002.525,64.545022,
2999.614,65.702291,
2996.704,64.790468,
2993.793,70.604264,
2990.882,77.901763,
2987.972,83.30437,
2985.061,72.921803,
2982.151,69.448943,
2979.240,86.540391,
2976.329,89.618175,
2973.419,80.066911,
2970.508,98.22499,
2967.598,92.849297,
2964.687,95.2697,
2961.777,101.22107,
2958.866,117.38094,
2955.955,105.58076,
2953.045,108.82466,
2950.134,110.01349,
2947.224,112.80203,
2944.313,123.77956,
2941.403,119.375,
2938.492,131.08774,
2935.581,128.26212,
2932.671,134.25483,
2929.760,135.51346,
2926.850,135.47951,
2923.939,132.29086,
2921.028,147.91619,
2918.118,140.7352,
2915.207,128.24824,
2912.297,150.2396,
2909.386,142.96624,
2906.476,128.0885,
2903.565,132.8424,
2900.654,134.0929,
2897.744,141.26185,
2894.833,136.49863,
2891.923,145.6186,
2889.012,140.58309,
2886.102,140.77095,
2883.191,117.39671,
2880.280,128.35107,
2877.370,36.671755,
2874.459,-24.801106,
2871.549,30.954647,
2868.638,106.8327,
2865.727,130.87882,
2862.817,136.08891,
2859.906,124.36359,
2856.996,153.38406,
2854.085,165.45906,
2851.175,142.63705,
2848.264,148.51233,
2845.353,133.87104,
2842.443,163.16316,
2839.532,156.30048,
2836.622,155.64453,
2833.711,152.47078,
2830.801,154.38235,
2827.890,155.27186,
2824.979,155.88103,
2822.069,167.39774,
2819.158,169.375,
2816.248,151.44448,
2813.337,185.9933,
2810.427,170.24277,
2807.516,160.74922,
2804.605,163.375,
2801.695,168.46712,
2798.784,177.93146,
2795.874,163.65996,
2792.963,164.375,
2790.052,180.37157,
2787.142,169.28296,
2784.231,165.7306,
2781.321,159.43786,
2778.410,159.96003,
2775.500,175.4581,
2772.589,163.87576,
2769.678,176.30332,
2766.768,177.375,
2763.857,177.00699,
2760.947,177.85924,
2758.036,185.54067,
2755.126,180.375,
2752.215,186.22507,
2749.304,176.54588,
2746.394,180.18544,
2743.483,192.72501,
