,PLDE83~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.625,
3011.256,0.17495705,
3008.346,74.297623,
3005.435,71.608219,
3002.525,80.204978,
2999.614,87.791918,
2996.704,103.6049,
2993.793,99.870392,
2990.882,99.985705,
2987.972,117.2741,
2985.061,103.13855,
2982.151,111.25567,
2979.240,119.42538,
2976.329,130.89957,
2973.419,130.77474,
2970.508,133.35838,
2967.598,120.42279,
2964.687,125.19565,
2961.777,123.03306,
2958.866,151.71378,
2955.955,136.78651,
2953.045,147.64122,
2950.134,144.98142,
2947.224,158.48888,
2944.313,164.17272,
2941.403,175.93476,
2938.492,186.09858,
2935.581,197.41793,
2932.671,194.09604,
2929.760,205.25578,
2926.850,211.32274,
2923.939,197.375,
2921.028,209.70454,
2918.118,197.49338,
2915.207,176.13439,
2912.297,205.2269,
2909.386,192.78376,
2906.476,181.0576,
2903.565,184.64982,
2900.654,184.77438,
2897.744,170.42529,
2894.833,173.13791,
2891.923,165.6987,
2889.012,148.70448,
2886.102,156.54257,
2883.191,106.41937,
2880.280,87.619002,
2877.370,-108.52566,
2874.459,-202.18434,
2871.549,-56.545087,
2868.638,116.02233,
2865.727,124.11345,
2862.817,157.79075,
2859.906,175.00748,
2856.996,170.84556,
2854.085,216.98642,
2851.175,181.7816,
2848.264,192.01717,
2845.353,180.87104,
2842.443,202.9757,
2839.532,193.83774,
2836.622,202.55469,
2833.711,194.47861,
2830.801,190.08015,
2827.890,200.54284,
2824.979,206.375,
2822.069,197.62519,
2819.158,207.59332,
2816.248,198.83447,
2813.337,216.69452,
2810.427,208.98519,
2807.516,197.11609,
2804.605,205.57933,
2801.695,201.84867,
2798.784,197.44892,
2795.874,195.96077,
2792.963,193.30383,
2790.052,200.37479,
2787.142,199.90146,
2784.231,196.21509,
2781.321,196.94074,
2778.410,198.32044,
2775.500,196.03362,
2772.589,214.45146,
2769.678,209.23165,
2766.768,217.05656,
2763.857,217.11103,
2760.947,211.88446,
2758.036,220.15211,
2755.126,222.47329,
2752.215,217.56595,
2749.304,221.2473,
2746.394,219.49191,
2743.483,230.67499,
2740.573,222.72894,
2737.662,216.375,
2734.751,219.16622,
2731.841,219.59112,
2728.930,219.98927,
2726.020,232.70139,
2723.109,222.94208,
2720.199,229.14071,
2717.288,226.07574,
2714.377,233.375,
2711.467,236.58819,
2708.556,227.11984,
2705.646,216.30456,
2702.735,242.53737,
2699.825,236.41863,
2696.914,241.66092,
2694.003,256.27418,
2691.093,255.23181,
2688.182,243.32018,
2685.272,258.38354,
2682.361,238.13373,
2679.450,252.28443,
2676.540,239.25306,
2673.629,241.00725,
2670.719,258.30199,
2667.808,249.86136,
2664.898,248.89445,
2661.987,250.375,
2659.076,249.50216,
2656.166,238.97237,
2653.255,255.51956,
2650.345,252.83053,
2647.434,248.94717,
2644.524,270.58361,
2641.613,272.34672,
2638.702,263.59593,
2635.792,258.84459,
2632.881,256.99397,
2629.971,259.50251,
2627.060,265.54094,
2624.149,272.75312,
2621.239,263.10277,
2618.328,259.29023,
2615.418,256.71136,
2612.507,262.82161,
2609.597,263.74227,
2606.686,263.07582,
2603.775,278.85516,
2600.865,267.90739,
2597.954,289.80623,
2595.044,292.42814,
2592.133,276.70617,
2589.223,282.39922,
2586.312,296.29966,
2583.401,284.51735,
2580.491,286.92308,
2577.580,280.38325,
2574.670,283.71458,
2571.759,282.67808,
2568.848,290.31425,
2565.938,294.56546,
2563.027,286.49552,
2560.117,276.36567,
2557.206,289.41559,
2554.296,285.09125,
2551.385,296.00303,
2548.474,317.67166,
2545.564,287.60957,
2542.653,322.375,
2539.743,311.51055,
2536.832,299.61986,
2533.922,315.35923,
2531.011,314.92495,
2528.100,307.31225,
2525.190,318.34877,
2522.279,316.20255,
2519.369,291.77126,
2516.458,290.375,
2513.548,300.89303,
2510.637,316.66614,
2507.726,330.4419,
2504.816,317.375,
2501.905,318.18659,
2498.995,320.49444,
2496.084,324.82798,
2493.173,313.79553,
2490.263,319.52079,
2487.352,333.58207,
2484.442,321.35571,
