,PLDF33~1,
Wavenumbers [1/cm],Intensity,
3014.167,-5,
3011.256,2.2000429,
3008.346,63.831328,
3005.435,49.233219,
3002.525,70.510067,
2999.614,70.712991,
2996.704,77.088658,
2993.793,74,
2990.882,74,
2987.972,83.919281,
2985.061,75.980306,
2982.151,91.284038,
2979.240,82.417305,
2976.329,85.010921,
2973.419,102.29217,
2970.508,98.75005,
2967.598,99.566265,
2964.687,85.805026,
2961.777,91.128095,
2958.866,103.99852,
2955.955,112.07079,
2953.045,115.01791,
2950.134,116.72302,
2947.224,111.76866,
2944.313,138.44943,
2941.403,132.91652,
2938.492,135.12736,
2935.581,138.5644,
2932.671,130.24468,
2929.760,145.98076,
2926.850,154.16391,
2923.939,151.24301,
2921.028,158.72371,
2918.118,160.93828,
2915.207,145.23416,
2912.297,154.95346,
2909.386,156.22627,
2906.476,153.29496,
2903.565,169.92075,
2900.654,156.78765,
2897.744,163.78627,
2894.833,151.536,
2891.923,153.1346,
2889.012,158.53757,
2886.102,186.49728,
2883.191,175.01982,
2880.280,237.07179,
2877.370,246.81987,
2874.459,238.77347,
2871.549,187.88119,
2868.638,159.22681,
2865.727,148.83849,
2862.817,143.55748,
2859.906,156.5698,
2856.996,164.48415,
2854.085,190.00634,
2851.175,156.33136,
2848.264,155.6325,
2845.353,156,
2842.443,151.20836,
2839.532,153.31338,
2836.622,150.60677,
2833.711,156.62952,
2830.801,159.89926,
2827.890,151.27098,
2824.979,154.56798,
2822.069,162.9204,
2819.158,157.52022,
2816.248,151.78184,
2813.337,175.48416,
2810.427,153.25757,
2807.516,164.05031,
2804.605,156.20433,
2801.695,160.39474,
2798.784,144.47846,
2795.874,144.4248,
2792.963,142.21415,
2790.052,166.99399,
2787.142,148.56604,
2784.231,168.61336,
2781.321,154.50865,
2778.410,171.19037,
2775.500,157.63897,
2772.589,153.6162,
2769.678,168.78497,
2766.768,155.76697,
2763.857,165.47399,
2760.947,171.01891,
2758.036,191.78992,
2755.126,166,
2752.215,178.23197,
2749.304,173.29858,
2746.394,175.36493,
2743.483,172.45,
2740.573,183.53324,
2737.662,167.34023,
2734.751,164.74283,
