,PLE5C1~1,
Wavenumbers [1/cm],Intensity,
3014.167,-0.625,
3011.256,1.9250107,
3008.346,40.03341,
3005.435,18.339668,
3002.525,29.412472,
2999.614,37.137336,
2996.704,46.596646,
2993.793,50.393432,
2990.882,40.329177,
2987.972,47.30437,
2985.061,33.375,
2982.151,43.062403,
2979.240,45.439626,
2976.329,52.618175,
2973.419,73.421471,
2970.508,60.375,
2967.598,46.422791,
2964.687,51.673233,
2961.777,48.221071,
2958.866,65.709323,
2955.955,59.06306,
2953.045,67.126691,
2950.134,75.130093,
2947.224,58.944376,
2944.313,79.27386,
2941.403,83.851277,
2938.492,76.247636,
2935.581,84.783586,
2932.671,83.057425,
2929.760,88.959605,
2926.850,76.74079,
2923.939,81.655377,
2921.028,85.769172,
2918.118,95.294394,
2915.207,87.431926,
2912.297,85.375,
2909.386,82.579378,
2906.476,78.731749,
2903.565,87.794259,
2900.654,89.986728,
2897.744,86.551011,
2894.833,93.777184,
2891.923,94.105804,
2889.012,74.15535,
2886.102,90.837183,
2883.191,73.378776,
2880.280,116.32238,
2877.370,35.910199,
2874.459,4.6581685,
2871.549,16.927478,
2868.638,72.29041,
2865.727,63.871184,
2862.817,81.976578,
2859.906,79.007483,
2856.996,83.307069,
2854.085,105.41703,
2851.175,90.444312,
2848.264,87.723163,
2845.353,84.612237,
2842.443,91.781267,
2839.532,79.389968,
2836.622,92.796226,
2833.711,90.996681,
2830.801,78.99411,
2827.890,84.981665,
2824.979,96.733004,
2822.069,96.386372,
2819.158,98.895217,
2816.248,88.674212,
2813.337,107.33355,
2810.427,95.676649,
2807.516,94.48297,
2804.605,92.257221,
2801.695,100.01972,
2798.784,95.301077,
2795.874,93.079472,
2792.963,92.731913,
2790.052,88.374786,
2787.142,87.033078,
2784.231,96.44023,
2781.321,80.689301,
2778.410,87.449869,
2775.500,91.140862,
2772.589,90.259557,
2769.678,97.265747,
2766.768,98.258484,
2763.857,102.74301,
2760.947,92.834022,
2758.036,106.70633,
2755.126,97.853631,
2752.215,100.94785,
2749.304,107.6304,
2746.394,107.52824,
2743.483,111.52497,
2740.573,102.29308,
2737.662,85.715235,
2734.751,95.957441,
2731.841,104.83471,
2728.930,93.090987,
2726.020,104.92593,
2723.109,110.24083,
2720.199,118.14071,
2717.288,111.26916,
2714.377,108.40844,
2711.467,108.55522,
2708.556,108.68363,
2705.646,100.99471,
2702.735,112.87242,
2699.825,111.35319,
2696.914,111.56545,
2694.003,118.65955,
2691.093,119.78536,
2688.182,116.48463,
2685.272,122.18012,
2682.361,113.49836,
2679.450,124.20626,
2676.540,122.07014,
2673.629,106.37949,
2670.719,108.87131,
2667.808,119.93728,
2664.898,120.75146,
2661.987,119.04145,
2659.076,116.48491,
2656.166,119.60014,
2653.255,119.07568,
2650.345,123.45485,
2647.434,102.9183,
2644.524,120.14719,
2641.613,128.91806,
2638.702,131.39078,
2635.792,114.12277,
2632.881,130.79763,
2629.971,130.375,
2627.060,117.53969,
2624.149,128.78126,
2621.239,121.12055,
2618.328,120.79887,
2615.418,126.725,
2612.507,127.44216,
2609.597,125.10953,
2606.686,121.3489,
2603.775,122.49405,
2600.865,130.07811,
2597.954,140.42291,
2595.044,135.42814,
