,PLF465~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3.875,
3011.256,2.3250429,
3008.346,86.432148,
3005.435,85.782248,
3002.525,101.33249,
2999.614,101.45229,
2996.704,113.48789,
2993.793,110.51498,
2990.882,108.16312,
2987.972,132.99888,
2985.061,116.10531,
2982.151,120.84096,
2979.240,121.60693,
2976.329,141.89821,
2973.419,155.3096,
2970.508,154.27501,
2967.598,143.02942,
2964.687,146.85598,
2961.777,146.78306,
2958.866,159.11461,
2955.955,164.01882,
2953.045,167.125,
2950.134,168.94425,
2947.224,178.49509,
2944.313,197.86645,
2941.403,206.125,
2938.492,206.98679,
2935.581,218.9851,
2932.671,203.56708,
2929.760,215.19423,
2926.850,219.91598,
2923.939,216.45216,
2921.028,231.4254,
2918.118,219.2245,
2915.207,209.82747,
2912.297,227.03614,
2909.386,219.11041,
2906.476,201.03232,
2903.565,220.19019,
2900.654,210.96018,
2897.744,211.27587,
2894.833,219.82609,
2891.923,206.2051,
2889.012,187.58165,
2886.102,197.95743,
2883.191,158.16559,
2880.280,150.20631,
2877.370,25.485686,
2874.459,-43.478564,
2871.549,51.099426,
2868.638,162.04041,
2865.727,180.52114,
2862.817,197.51135,
2859.906,175.88567,
2856.996,203.63179,
2854.085,232.05363,
2851.175,219.95932,
2848.264,227.0515,
2845.353,198.87985,
2842.443,225.93753,
2839.532,201.93105,
2836.622,206.42839,
2833.711,212.85813,
2830.801,202.73676,
2827.890,214.4799,
2824.979,223.90296,
2822.069,216.15912,
2819.158,218.74495,
2816.248,223.35474,
2813.337,235.31037,
2810.427,224.47073,
2807.516,223.07469,
2804.605,217.3726,
2801.695,220.46709,
2798.784,221.68146,
2795.874,216.25955,
2792.963,210.62468,
2790.052,232.11878,
2787.142,216.03296,
2784.231,211.77098,
2781.321,216.24496,
2778.410,203.125,
2775.500,224.56913,
2772.589,222.27943,
2769.678,232.51748,
2766.768,233.31335,
2763.857,244.01903,
2760.947,232.08717,
2758.036,233.74925,
2755.126,240.41346,
2752.215,235.78412,
2749.304,233.76349,
2746.394,242.81853,
2743.483,243.62502,
2740.573,240.01217,
2737.662,240.68861,
2734.751,240.54256,
2731.841,255.74772,
2728.930,236.59528,
2726.020,250.68634,
2723.109,245.37258,
2720.199,247.83128,
2717.288,255.08851,
2714.377,252.93352,
2711.467,253.74807,
2708.556,248.64626,
2705.646,251.66022,
2702.735,261.78479,
2699.825,263.92867,
2696.914,281.22047,
2694.003,274.09736,
2691.093,267.57145,
2688.182,276.52574,
2685.272,266.85046,
2682.361,257.24836,
2679.450,261.58592,
2676.540,254.42986,
2673.629,264.14745,
2670.719,263.11761,
2667.808,274.78455,
2664.898,275.74854,
2661.987,270.65842,
2659.076,273.25216,
2656.166,274.72237,
2653.255,274.42432,
2650.345,263.77291,
2647.434,277.125,
2644.524,280.98593,
2641.613,287.81073,
2638.702,282.21969,
2635.792,285.93657,
2632.881,292.54763,
2629.971,279.91016,
2627.060,292.29343,
2624.149,279.9625,
2621.239,293.39723,
2618.328,293.20977,
2615.418,295.78864,
2612.507,304.57161,
2609.597,300.95135,
2606.686,290.79972,
2603.775,303.88293,
2600.865,292.53795,
2597.954,294.03537,
2595.044,310.14271,
2592.133,301.23323,
2589.223,306.14922,
2586.312,306.7129,
2583.401,320.98265,
2580.491,304.05773,
2577.580,316.08869,
2574.670,294.95521,
2571.759,312.53937,
2568.848,298.78232,
2565.938,316.26792,
2563.027,304.83184,
2560.117,301.03155,
2557.206,339.19142,
2554.296,317.58038,
2551.385,315.81906,
2548.474,354.08858,
2545.564,320.64447,
2542.653,343.96728,
2539.743,331.72974,
2536.832,331.43155,
2533.922,321.14077,
2531.011,331.19923,
2528.100,338.59882,
2525.190,345.47049,
2522.279,352.42153,
2519.369,343.25676,
2516.458,335.66679,
2513.548,341.16107,
2510.637,332.30945,
2507.726,339.49676,
2504.816,337.31102,
2501.905,334.61768,
2498.995,340.48331,
2496.084,349.19122,
2493.173,343.41407,
2490.263,353.06853,
2487.352,353.6242,
2484.442,348.9601,
2481.531,354.54001,
2478.621,347.1961,
2475.710,378.09433,
2472.799,371.41203,
2469.889,371.85078,
2466.978,378.23843,
2464.068,370.42127,
2461.157,363.74489,
2458.247,378.86024,
2455.336,371.80602,
2452.425,372.01651,
2449.515,375.22896,
2446.604,382.0674,
2443.694,366.75243,
2440.783,392.75113,
2437.872,383.16146,
2434.962,380.97293,
2432.051,384.80425,
2429.141,391.7192,
2426.230,363.88516,
2423.320,382.63896,
2420.409,393.09942,
2417.498,395.9031,
2414.588,391.31516,
2411.677,364.05732,
2408.767,395.44882,
2405.856,413.65595,
2402.946,396.01151,
2400.035,399.8128,
2397.124,391.71856,
2394.214,421.0982,
2391.303,412.94275,
2388.393,398.89941,
2385.482,378.96217,
2382.571,380.82155,
2379.661,368.00874,
2376.750,393.32926,
2373.840,415.47811,
2370.929,422.06002,
2368.019,422.31773,
2365.108,421.93914,
2362.197,430.27847,
2359.287,441.11664,
2356.376,429.14789,
2353.466,431.92809,
2350.555,425.98982,
2347.645,424.63757,
