,PLFB70~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.75,
3011.256,1.1499785,
3008.346,18.43259,
3005.435,24.098059,
3002.525,34.042506,
2999.614,32.626636,
2996.704,38.887114,
2993.793,38.259216,
2990.882,31.814882,
2987.972,34.22982,
2985.061,34.683503,
2982.151,41.130673,
2979.240,37.73193,
2976.329,46.75273,
2973.419,46.649742,
2970.508,56.016673,
2967.598,35.488956,
2964.687,43.115489,
2961.777,34.472102,
2958.866,48.921616,
2955.955,57.426972,
2953.045,48.25,
2950.134,45.217924,
2947.224,48.21794,
2944.313,76.755698,
2941.403,68.642792,
2938.492,60.388209,
2935.581,68.814396,
2932.671,69.331559,
2929.760,80.457697,
2926.850,73.772557,
2923.939,69.689247,
2921.028,85.350132,
2918.118,77.889798,
2915.207,67.420777,
2912.297,77.182299,
2909.386,78.439784,
2906.476,54.095532,
2903.565,65.009268,
2900.654,51.367281,
2897.744,54.011128,
2894.833,36.899454,
2891.923,36.006399,
2889.012,23.793352,
2886.102,12.813519,
2883.191,-34.708463,
2880.280,-94.070616,
2877.370,-368.90638,
2874.459,-552.5731,
2871.549,-299.10376,
2868.638,-102.64906,
2865.727,-27.796205,
2862.817,10.008007,
2859.906,34.25,
2856.996,48.684334,
2854.085,72.052537,
2851.175,55.180688,
2848.264,64.323501,
2845.353,53.659774,
2842.443,71.451393,
2839.532,62.488853,
2836.622,74.912763,
2833.711,68.871681,
2830.801,70.358085,
2827.890,68.959803,
2824.979,78.817982,
2822.069,73.500186,
2819.158,88.789077,
2816.248,79.74421,
2813.337,95.52806,
2810.427,83.331259,
2807.516,75.573909,
2804.605,72.045673,
2801.695,78.039488,
2798.784,71.211,
2795.874,78.260568,
2792.963,72.750107,
2790.052,78.249357,
2787.142,76.460771,
2784.231,90.186351,
2781.321,79.124279,
2778.410,78.909895,
2775.500,86.611032,
2772.589,78.827215,
2769.678,85.570808,
2766.768,87.438348,
2763.857,84.72206,
2760.947,78.29413,
2758.036,92.87425,
2755.126,88.299144,
2752.215,90.100072,
2749.304,76.059375,
2746.394,89.943529,
2743.483,99.549986,
2740.573,87.168076,
2737.662,92.229296,
2734.751,86.065417,
2731.841,85.114466,
2728.930,82.660836,
2726.020,98.795717,
2723.109,93.90975,
2720.199,95.85951,
2717.288,83.863145,
2714.377,102.44148,
2711.467,90.709335,
2708.556,73.122421,
2705.646,87.996525,
2702.735,101.23968,
2699.825,91.25,
2696.914,98.535919,
2694.003,100.45163,
2691.093,93.607394,
2688.182,105.59593,
2685.272,104.65683,
2682.361,87.432315,
2679.450,99.867243,
2676.540,70.575185,
2673.629,84.922653,
2670.719,88.030965,
2667.808,96.958186,
2664.898,103.92509,
2661.987,115.54997,
2659.076,102.03018,
2656.166,111.2804,
2653.255,96.431976,
2650.345,95.057621,
2647.434,90.536083,
2644.524,101.16126,
2641.613,103.10732,
2638.702,104.28156,
2635.792,97.499255,
2632.881,107.2916,
2629.971,106.76005,
2627.060,101.9175,
2624.149,109.03123,
2621.239,119.98962,
2618.328,99.377162,
2615.418,103.57727,
2612.507,102.52669,
2609.597,104.79092,
2606.686,109.61346,
2603.775,111.40873,
2600.865,111.07254,
2597.954,108.9208,
2595.044,119.27657,
2592.133,112.02706,
2589.223,114.81632,
2586.312,117.88318,
2583.401,111.69891,
2580.491,116.60576,
2577.580,111.24505,
2574.670,101.33157,
2571.759,103.06848,
2568.848,119.25,
2565.938,126.7263,
2563.027,114.81135,
2560.117,112.89485,
2557.206,120.09871,
2554.296,99.824371,
2551.385,110.49798,
2548.474,135.69499,
2545.564,119.16801,
2542.653,142.25,
2539.743,131.87939,
2536.832,122.00514,
2533.922,129.34462,
2531.011,136.07493,
2528.100,125.98864,
2525.190,123.15574,
2522.279,140.26514,
2519.369,118.74066,
2516.458,116.3619,
2513.548,131.81343,
2510.637,137.80334,
2507.726,148.12361,
2504.816,131.99746,
2501.905,133.29329,
2498.995,115.2055,
2496.084,128.71689,
2493.173,123.0394,
2490.263,133.21612,
2487.352,140.79093,
2484.442,127.68684,
2481.531,131.25522,
2478.621,134.1078,
2475.710,137.28834,
2472.799,138.79712,
2469.889,124.85664,
2466.978,134.96121,
2464.068,144.0807,
2461.157,129.2924,
2458.247,140.27934,
2455.336,140.1639,
2452.425,128.20281,
2449.515,140.21259,
2446.604,146.14176,
2443.694,134.15708,
2440.783,146.7759,
2437.872,146.68758,
2434.962,152.73388,
2432.051,146.5156,
2429.141,154.11473,
2426.230,144.83672,
2423.320,151.60684,
2420.409,155.17325,
2417.498,157.60114,
2414.588,139.00298,
2411.677,148.57272,
2408.767,155.73228,
2405.856,161.56899,
2402.946,158.19013,
2400.035,143.15844,
2397.124,145.59759,
2394.214,160.79159,
2391.303,157.92412,
2388.393,139.03835,
2385.482,124.77874,
2382.571,91.085468,
2379.661,94.715036,
2376.750,122.5085,
2373.840,155.29054,
2370.929,174.09838,
2368.019,159.86453,
2365.108,168.52749,
2362.197,166.33211,
2359.287,171.01491,
2356.376,172.25528,
2353.466,183.50862,
2350.555,168.64501,
2347.645,166.88179,
2344.734,162.09792,
2341.823,176.00125,
2338.913,177.5858,
2336.002,171.55377,
2333.092,177.18112,
2330.181,182.30368,
2327.270,166.35011,
2324.360,178.19103,
2321.449,182.95748,
2318.539,184.84634,
2315.628,185.06535,
2312.718,180.60022,
2309.807,177.65988,
2306.896,183.75391,
2303.986,189.60069,
2301.075,198.95211,
2298.165,190.87481,
2295.254,177.48697,
2292.344,196.19604,
2289.433,190.83681,
2286.522,185.65166,
2283.612,203.01021,
2280.701,203.38453,
2277.791,187.16985,
2274.880,185.67799,
2271.969,188.79733,
2269.059,201.86309,
2266.148,186.17488,
2263.238,185.34652,
2260.327,202.35333,
2257.417,190.96167,
2254.506,192.44088,
2251.595,194.10453,
2248.685,202.14229,
2245.774,196.14025,
2242.864,215.79614,
2239.953,205.60869,
2237.043,192.47072,
2234.132,190.14871,
2231.221,188.5394,
2228.311,209.12626,
