,PLFDDD~1,
Wavenumbers [1/cm],Intensity,
3014.167,-4.125,
3011.256,-0.32504295,
3008.346,92.677312,
3005.435,95.224828,
3002.525,108.11997,
2999.614,116.91528,
2996.704,116.92758,
2993.793,113.11348,
2990.882,127.52382,
2987.972,145.82455,
2985.061,128.33804,
2982.151,147.93721,
2979.240,138.52232,
2976.329,157.38319,
2973.419,151.09015,
2970.508,156.55836,
2967.598,155.91918,
2964.687,148.33696,
2961.777,158.15702,
2958.866,170.54365,
2955.955,180.77543,
2953.045,188.875,
2950.134,179.77877,
2947.224,174.75753,
2944.313,204.875,
2941.403,202.26779,
2938.492,221.0349,
2935.581,217.60631,
2932.671,209.20124,
2929.760,229.64806,
2926.850,226.50921,
2923.939,229.63669,
2921.028,245.45169,
2918.118,242.1546,
2915.207,231.22301,
2912.297,227.86654,
2909.386,229.10857,
2906.476,228.36378,
2903.565,232.08463,
2900.654,220.64044,
2897.744,230.86243,
2894.833,228.22555,
2891.923,224.2532,
2889.012,211.29119,
2886.102,209.25068,
2883.191,193.88727,
2880.280,214.77452,
2877.370,126.03223,
2874.459,40.466155,
2871.549,80.836107,
2868.638,217.11203,
2865.727,204.58653,
2862.817,215.16109,
2859.906,213.74963,
2856.996,234.41802,
2854.085,259.20489,
2851.175,229.35091,
2848.264,236.22316,
2845.353,216.22007,
2842.443,235.46873,
2839.532,219.9199,
2836.622,235.35807,
2833.711,234.76355,
2830.801,229.28529,
2827.890,227.50088,
2824.979,233.80099,
2822.069,234.13656,
2819.158,246.99359,
2816.248,242.82868,
2813.337,242.26647,
2810.427,226.65461,
2807.516,231.03328,
2804.605,244.48798,
2801.695,229.90128,
2798.784,231.69223,
2795.874,231.43963,
2792.963,228.23191,
2790.052,230.87328,
2787.142,240.20404,
2784.231,237.81135,
2781.321,233.30926,
2778.410,229.43971,
2775.500,232.81155,
2772.589,245.14335,
2769.678,243.9432,
2766.768,255.44005,
2763.857,252.03107,
2760.947,238.38446,
2758.036,261.05347,
2755.126,242.58654,
2752.215,252.0023,
2749.304,262.59801,
2746.394,254.33471,
2743.483,255.87495,
2740.573,250.68025,
2737.662,250.875,
2734.751,248.64202,
2731.841,256.68636,
2728.930,259.75215,
2726.020,255.31887,
2723.109,267.28717,
2720.199,267.34699,
2717.288,260.11953,
2714.377,278.32484,
2711.467,269.10467,
2708.556,260.83247,
2705.646,275.08631,
2702.735,279.70232,
2699.825,280.23321,
2696.914,286.06545,
2694.003,299.56281,
2691.093,285.21435,
2688.182,281.52907,
2685.272,298.24627,
2682.361,274.57478,
2679.450,286.29063,
2676.540,271.83435,
2673.629,272.86153,
2670.719,278.23267,
2667.808,282.63182,
2664.898,288.61527,
2661.987,284.47493,
2659.076,287.98491,
2656.166,296.81009,
2653.255,293.80017,
2650.345,304.49932,
2647.434,290.07534,
2644.524,297.08361,
2641.613,310.50417,
2638.702,310.04859,
2635.792,307.68657,
2632.881,302.7502,
2629.971,297.36495,
2627.060,303.54,
2624.149,307.68751,
2621.239,299.88093,
2618.328,307.95977,
2615.418,312.52955,
2612.507,322.21886,
2609.597,316.70135,
2606.686,320.60192,
2603.775,320.35118,
2600.865,324.69417,
2597.954,319.02494,
2595.044,331.3028,
2592.133,319.65854,
2589.223,334.7908,
2586.312,333.72926,
2583.401,332.93703,
2580.491,323.2452,
2577.580,323.8882,
2574.670,330.49131,
2571.759,334.58219,
2568.848,329.35008,
2565.938,343.39898,
2563.027,327.92495,
2560.117,344.41706,
2557.206,345.875,
2554.296,341.70338,
2551.385,342.18901,
2548.474,361.46794,
2545.564,359.19156,
2542.653,368.875,
2539.743,357.02287,
2536.832,351.67126,
2533.922,350.96962,
2531.011,359.89974,
2528.100,354.01433,
2525.190,364.01106,
2522.279,359.875,
2519.369,359.27126,
2516.458,351.20361,
2513.548,362.86567,
2510.637,363.18241,
2507.726,367.25046,
2504.816,363.62472,
2501.905,376.48354,
