,PLIQUI~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2.625,
3011.256,1.2749785,
3008.346,49.124705,
3005.435,38.184189,
3002.525,51.715045,
2999.614,64.612664,
2996.704,61.286342,
2993.793,38.347352,
2990.882,57.680353,
2987.972,75.284191,
2985.061,58.705051,
2982.151,55.971635,
2979.240,54.85693,
2976.329,68.385921,
2973.419,63.69772,
2970.508,82.07498,
2967.598,72.088253,
2964.687,75.449048,
2961.777,68.16115,
2958.866,86.385393,
2955.955,79.963486,
2953.045,96.842569,
2950.134,93.06594,
2947.224,93.029783,
2944.313,115.82443,
2941.403,108.55338,
2938.492,114.78963,
2935.581,111.19217,
2932.671,110.81708,
2929.760,116.02884,
2926.850,115.16598,
2923.939,123.77688,
2921.028,123.53977,
2918.118,112.75409,
2915.207,102.43193,
2912.297,106.34961,
2909.386,127.34581,
2906.476,112.15029,
2903.565,111.375,
2900.654,110.76327,
2897.744,115.22413,
2894.833,95.540094,
2891.923,84.375,
2889.012,89.282517,
2886.102,97.025023,
2883.191,58.397656,
2880.280,29.365415,
2877.370,-101.30492,
2874.459,-219.01444,
2871.549,-89.098097,
2868.638,39.974923,
2865.727,50.986489,
2862.817,85.218571,
2859.906,90.375,
2856.996,99.831977,
2854.085,117.29728,
2851.175,104.54068,
2848.264,96.164168,
2845.353,104.5044,
2842.443,118.36107,
2839.532,99.330413,
2836.622,109.46484,
2833.711,105.95271,
2830.801,102.87868,
2827.890,127.95539,
2824.979,114.65899,
2822.069,110.43186,
2819.158,119.93565,
2816.248,119.15684,
2813.337,141.85916,
2810.427,119.15461,
2807.516,117.64125,
2804.605,117.60096,
2801.695,120.67763,
2798.784,113.81854,
2795.874,116.08476,
2792.963,112.01766,
2790.052,132.36964,
2787.142,121.96727,
2784.231,140.08463,
2781.321,121.56358,
2778.410,120.64024,
2775.500,118.43845,
2772.589,126.72133,
2769.678,130.30332,
2766.768,125.69344,
2763.857,131.26903,
2760.947,125.87815,
2758.036,124.68072,
2755.126,141.52243,
2752.215,136.82055,
2749.304,133.77969,
2746.394,119.7036,
2743.483,133.87498,
2740.573,133.93914,
2737.662,130.14128,
2734.751,120.14202,
2731.841,122.83471,
2728.930,129.21384,
2726.020,144.92593,
2723.109,125.4165,
2720.199,142.65004,
2717.288,140.18157,
2714.377,144.24582,
2711.467,143.78489,
2708.556,138.24742,
2705.646,132.83978,
2702.735,143.86726,
2699.825,139.30956,
2696.914,153.70865,
2694.003,156.63191,
2691.093,156.5892,
2688.182,158.19352,
2685.272,145.21568,
2682.361,138.25164,
2679.450,140.99224,
2676.540,137.51727,
2673.629,140.7248,
2670.719,147.50625,
2667.808,159.18046,
2664.898,155.93336,
2661.987,158.10829,
2659.076,148.5194,
2656.166,149.97237,
2653.255,157.85629,
2650.345,160.72709,
2647.434,141.00404,
2644.524,159.14719,
2641.613,165.86086,
2638.702,160.50125,
2635.792,154.43582,
2632.881,162.75603,
