,PL22B4~1,
Raman shift [1/cm],Intensity,
3014.167,-5.875,
3011.256,3.125,
3008.346,340.2623,
3005.435,399.96952,
3002.525,428.58026,
2999.614,428.78865,
2996.704,427.31057,
2993.793,459.48733,
2990.882,474.20894,
2987.972,492.09978,
2985.061,489.7851,
2982.151,513.38048,
2979.240,524.125,
2976.329,529.38456,
2973.419,569.00151,
2970.508,575.64172,
2967.598,595.0258,
2964.687,585.06454,
2961.777,601.74897,
2958.866,612.43854,
2955.955,645.95464,
2953.045,656.125,
2950.134,677.34954,
2947.224,691.17835,
2944.313,729.37215,
2941.403,716.48175,
2938.492,740.14669,
2935.581,745.19495,
2932.671,726.69158,
2929.760,775.62887,
2926.850,771.11786,
2923.939,789.28858,
2921.028,791.76632,
2918.118,790.10611,
2915.207,797.35916,
2912.297,789.15462,
2909.386,794.75273,
2906.476,803.70646,
2903.565,805.44797,
2900.654,786.27871,
2897.744,805.86098,
2894.833,785.125,
2891.923,759.17619,
2889.012,778.74928,
2886.102,770.85609,
2883.191,784.10612,
2880.280,765.07714,
2877.370,714.36344,
2874.459,710.87985,
2871.549,752.92788,
2868.638,812.993,
2865.727,792.36726,
2862.817,803.56752,
2859.906,815.5552,
2856.996,816.10236,
2854.085,807.92119,
2851.175,800.35999,
2848.264,807.24299,
2845.353,803.80149,
2842.443,786.72918,
2839.532,791.66226,
2836.622,801.84961,
2833.711,789.125,
2830.801,766.64338,
2827.890,809.4152,
2824.979,793.13706,
2822.069,795.38656,
2819.158,813.56435,
2816.248,818.82579,
2813.337,811.18718,
2810.427,833.21316,
2807.516,821.02438,
2804.605,833.15623,
2801.695,821.36188,
2798.784,824.086,
2795.874,811.8189,
2792.963,830.48213,
2790.052,837.1235,
2787.142,811.34865,
2784.231,806.70575,
2781.321,815.87932,
2778.410,825.05013,
2775.500,824.42259,
2772.589,848.93158,
2769.678,840.47991,
2766.768,860.67647,
2763.857,865.49109,
2760.947,852.66598,
2758.036,860.81928,
2755.126,869.4626,
2752.215,852.80675,
2749.304,869.93253,
2746.394,878.66529,
2743.483,879.32504,
2740.573,872.125,
2737.662,876.96673,
2734.751,868.57125,
2731.841,891.58471,
2728.930,883.92157,
2726.020,893.46181,
2723.109,873.07384,
2720.199,894.0469,
2717.288,894.47537,
2714.377,924.2496,
2711.467,914.8294,
2708.556,911.01932,
2705.646,920.77298,
2702.735,932.76931,
2699.825,922.86323,
2696.914,955.36366,
2694.003,929.73964,
2691.093,927.57145,
2688.182,924.30648,
2685.272,945.04534,
2682.361,941.76037,
2679.450,947.32661,
2676.540,914.26727,
2673.629,923.11602,
2670.719,932.90596,
2667.808,939.93046,
2664.898,948.86527,
2661.987,954.92513,
2659.076,958.37931,
2656.166,981.78729,
2653.255,992.68112,
2650.345,996.6132,
2647.434,983.12586,
2644.524,1001.6117,
2641.613,998.63977,
2638.702,1006.1408,
2635.792,986.1888,
2632.881,989.40454,
2629.971,1015.7023,
2627.060,1005.2878,
2624.149,1021.8844,
2621.239,1008.8824,
2618.328,1034.2773,
2615.418,1019.1068,
2612.507,1030.8483,
2609.597,1050.3805,
2606.686,1057.1772,
2603.775,1046.7242,
2600.865,1048.712,
2597.954,1050.4187,
2595.044,1067.5351,
2592.133,1072.7494,
2589.223,1092.4745,
2586.312,1067.0797,
2583.401,1092.4717,
2580.491,1087.5914,
2577.580,1073.1481,
2574.670,1093.49,
2571.759,1111.7765,
2568.848,1079.3734,
2565.938,1076.8392,
2563.027,1087.2705,
2560.117,1082.2091,
2557.206,1134.8482,
2554.296,1097.498,
2551.385,1118.1411,
2548.474,1130.4953,
2545.564,1136.8401,
2542.653,1147.9136,
2539.743,1154.779,
2536.832,1158.7381,
2533.922,1140.74,
2531.011,1172.2506,
2528.100,1162.6546,
2525.190,1161.4287,
2522.279,1159.1568,
2519.369,1173.182,
2516.458,1168.7999,
2513.548,1147.38,
2510.637,1202.2028,
2507.726,1184.0655,
2504.816,1187.5016,
2501.905,1165.4732,
2498.995,1189.2737,
2496.084,1168.0972,
2493.173,1197.178,
2490.263,1190.9679,
2487.352,1201.9179,
2484.442,1227.2449,
2481.531,1248.8111,
2478.621,1226.0206,
2475.710,1248.0713,
2472.799,1244.0846,
2469.889,1253.125,
2466.978,1238.6921,
2464.068,1214.9292,
2461.157,1256.3925,
2458.247,1256.8016,
2455.336,1244.7023,
2452.425,1244.7146,
2449.515,1288.2185,
2446.604,1270.0465,
2443.694,1284.8454,
2440.783,1282.0315,
2437.872,1300.599,
2434.962,1314.701,
2432.051,1319.6127,
2429.141,1305.8899,
2426.230,1322.5604,
2423.320,1349.4965,
2420.409,1339.6956,
2417.498,1341.0913,
2414.588,1313.1556,
2411.677,1347.2326,
2408.767,1350.6309,
2405.856,1352.125,
2402.946,1350.7559,
2400.035,1382.4912,
2397.124,1373.1571,
2394.214,1391.2858,
2391.303,1392.5227,
2388.393,1404.8715,
2385.482,1368.7993,
2382.571,1388.6186,
2379.661,1390.7529,
2376.750,1430.0632,
2373.840,1420.6908,
2370.929,1435.8434,
2368.019,1439.7395,
2365.108,1446.426,
2362.197,1424.4838,
2359.287,1432.2598,
2356.376,1446.1144,
2353.466,1453.3528,
2350.555,1456.0004,
2347.645,1474.6773,
2344.734,1456.6365,
2341.823,1449.1582,
2338.913,1497.6116,
2336.002,1499.8547,
2333.092,1511.159,
2330.181,1529.1071,
2327.270,1507.3351,
2324.360,1517.3019,
2321.449,1502.3563,
2318.539,1523.9354,
2315.628,1543.0071,
2312.718,1552.1911,
2309.807,1554.218,
2306.896,1568.6211,
2303.986,1549.7222,
2301.075,1527.742,
2298.165,1557.6544,
2295.254,1570.9957,
2292.344,1553.2827,
2289.433,1565.8818,
2286.522,1577.3171,
2283.612,1568.8852,
2280.701,1581.3761,
2277.791,1598.5295,
2274.880,1651.4171,
2271.969,1644.5694,
2269.059,1652.7462,
2266.148,1673.1183,
2263.238,1659.7351,
2260.327,1704.0904,
2257.417,1696.2928,
2254.506,1699.1335,
2251.595,1694.6776,
