,PL3C2D~1,
Raman shift [1/cm],Intensity,
3014.167,2.75,
3011.256,2.5499571,
3008.346,74.874558,
3005.435,96.863071,
3002.525,88.920022,
2999.614,72.552618,
2996.704,101.78608,
2993.793,114.87385,
2990.882,118.00953,
2987.972,109.80549,
2985.061,116.75985,
2982.151,118.79538,
2979.240,119.64923,
2976.329,135.02048,
2973.419,139.19621,
2970.508,130.58337,
2967.598,128.03675,
2964.687,138.52581,
2961.777,149.18595,
2958.866,158.08284,
2955.955,154.19691,
2953.045,162.50169,
2950.134,168.68585,
2947.224,152.40478,
2944.313,178.79487,
2941.403,182.01186,
2938.492,172.61179,
2935.581,180.38434,
2932.671,169.31225,
2929.760,188.23463,
2926.850,166.31767,
2923.939,195.39019,
2921.028,191.66762,
2918.118,187.83061,
2915.207,192.75,
2912.297,177.81347,
2909.386,195.98357,
2906.476,187.98317,
2903.565,197.55741,
2900.654,189.70246,
2897.744,177.68714,
2894.833,172.33764,
2891.923,182.2917,
2889.012,178.33381,
2886.102,171.31352,
2883.191,168.74906,
2880.280,163.19497,
2877.370,135.90119,
2874.459,117.03937,
2871.549,144.1581,
2868.638,172.97885,
2865.727,181.11922,
2862.817,190.30748,
2859.906,187.54772,
2856.996,190.76359,
2854.085,178.94746,
2851.175,185.17772,
2848.264,190.3825,
2845.353,204.27553,
2842.443,183.54861,
2839.532,187.07834,
2836.622,184.41276,
2833.711,179.94939,
2830.801,172.06691,
2827.890,182.54372,
2824.979,185.68805,
2822.069,197.78412,
2819.158,194.66913,
2816.248,183.25579,
2813.337,188.88414,
2810.427,196.31612,
2807.516,198.11687,
2804.605,199.70673,
2801.695,187.22367,
2798.784,186.52823,
2795.874,193.01911,
2792.963,199.10691,
2790.052,171.75472,
2787.142,195.1315,
2784.231,181.78261,
2781.321,196.81286,
2778.410,193.18529,
2775.500,181.38897,
2772.589,190.09633,
2769.678,200.17659,
2766.768,216.86652,
2763.857,194.69798,
2760.947,198.24054,
2758.036,198.44428,
2755.126,204.55983,
2752.215,213.85467,
2749.304,205.30398,
2746.394,224.84478,
2743.483,215.55001,
2740.573,207.5398,
2737.662,213.06953,
2734.751,208.21595,
2731.841,202.83058,
2728.930,209.72886,
2726.020,211.09201,
2723.109,214.20367,
2720.199,215.75,
2717.288,210.31204,
2714.377,211.84574,
2711.467,213.91374,
2708.556,215.97358,
2705.646,211.44015,
2702.735,225.2371,
2699.825,212.75,
2696.914,229.75048,
2694.003,221.20854,
