,PL7DC6~1,
Raman shift [1/cm],Intensity,
3014.167,-2.375,
3011.256,0.02487116,
3008.346,105.51861,
3005.435,121.89355,
3002.525,138.43764,
2999.614,134.2393,
2996.704,138.53634,
2993.793,150.51958,
2990.882,133.36547,
2987.972,147.66031,
2985.061,155.06835,
2982.151,164.43173,
2979.240,163.625,
2976.329,165.12773,
2973.419,174.36338,
2970.508,187.49161,
2967.598,190.33825,
2964.687,185.58016,
2961.777,189.34298,
2958.866,200.28771,
2955.955,199.55421,
2953.045,210.72568,
2950.134,218.05066,
2947.224,217.05203,
2944.313,237.46759,
2941.403,252.44662,
2938.492,238.60331,
2935.581,248.34521,
2932.671,249.34171,
2929.760,238.50578,
2926.850,256.89342,
2923.939,259.58293,
2921.028,248.90129,
2918.118,257.9852,
2915.207,259.625,
2912.297,270.57846,
2909.386,255.625,
2906.476,266.10532,
2903.565,266.83463,
2900.654,264.56636,
2897.744,255.38613,
2894.833,243.63518,
2891.923,252.8141,
2889.012,247.79263,
2886.102,249.45743,
2883.191,248.62878,
2880.280,221.56279,
2877.370,194.92737,
2874.459,187.37985,
2871.549,215.84876,
2868.638,246.40024,
2865.727,268.85963,
2862.817,251.42447,
2859.906,256.10648,
2856.996,265.63406,
2854.085,271.54728,
2851.175,250.10091,
2848.264,254.4045,
2845.353,251.94851,
2842.443,255.4445,
2839.532,261.13233,
2836.622,256.19792,
2833.711,254.72078,
2830.801,233.25146,
2827.890,253.89598,
2824.979,257.83498,
2822.069,276.72735,
2819.158,279.54413,
2816.248,277.09605,
2813.337,262.98597,
2810.427,270.27927,
2807.516,264.94156,
2804.605,280.39904,
2801.695,266.00656,
2798.784,268.81185,
2795.874,285.49573,
2792.963,265.5534,
2790.052,276.62178,
2787.142,281.51961,
2784.231,270.04425,
2781.321,284.30493,
2778.410,260.47526,
2775.500,269.94224,
2772.589,253.78095,
2769.678,282.84003,
2766.768,271.50848,
2763.857,278.41691,
2760.947,300.63761,
2758.036,262.80947,
2755.126,296.15278,
2752.215,286.68865,
2749.304,279.77429,
2746.394,283.68346,
2743.483,288.175,
2740.573,278.86611,
2737.662,304.06139,
2734.751,294.15905,
2731.841,292.40888,
2728.930,301.97242,
2726.020,302.17593,
2723.109,291.53233,
2720.199,299.625,
2717.288,306.15055,
2714.377,309.88336,
2711.467,296.78874,
2708.556,308.23132,
2705.646,303.01935,
2702.735,297.79768,
2699.825,313.40686,
2696.914,317.14863,
2694.003,307.09328,
2691.093,321.69601,
2688.182,318.26204,
2685.272,322.74876,
2682.361,309.07806,
2679.450,322.02822,
2676.540,326.74694,
2673.629,329.63847,
2670.719,325.55199,
2667.808,322.81954,
2664.898,314.88473,
2661.987,322.42513,
2659.076,338.97197,
2656.166,339.09254,
2653.255,331.81207,
2650.345,337.60141,
2647.434,328.02569,
2644.524,352.08063,
2641.613,335.91035,
2638.702,343.40407,
2635.792,333.93806,
2632.881,339.44031,
2629.971,334.41016,
2627.060,349.45781,
2624.149,353.625,
2621.239,346.11018,
2618.328,348.77726,
2615.418,334.27046,
2612.507,342.3839,
2609.597,337.99227,
2606.686,359.6511,
2603.775,355.14484,
2600.865,363.79909,
2597.954,365.66672,
2595.044,351.9111,
2592.133,358.3447,
2589.223,363.64922,
2586.312,384.42903,
2583.401,378.17609,
2580.491,372.54328,
2577.580,390.59034,
2574.670,371.28542,
2571.759,376.72603,
2568.848,367.7465,
2565.938,387.29176,
2563.027,374.99091,
2560.117,367.99882,
2557.206,373.56965,
2554.296,385.82637,
2551.385,392.93901,
2548.474,386.18039,
2545.564,389.40341,
2542.653,376.85654,
2539.743,381.57571,
2536.832,390.91098,
2533.922,376.24,
2531.011,416.54984,
2528.100,412.56225,
2525.190,408.57787,
2522.279,401.7188,
2519.369,402.71939,
2516.458,407.29639,
2513.548,402.91605,
2510.637,404.56352,
2507.726,407.68449,
2504.816,414.37472,
2501.905,417.49451,
2498.995,399.10275,
2496.084,413.67731,
2493.173,422.99321,
2490.263,421.61371,
2487.352,426.79193,
2484.442,428.91623,
2481.531,423.57182,
2478.621,434.90941,
2475.710,441.44864,
2472.799,423.06441,
2469.889,439.04883,
2466.978,434.40857,
2464.068,408.64079,
2461.157,433.39498,
2458.247,436.19852,
2455.336,438.92246,
2452.425,442.40802,
2449.515,444.52104,
2446.604,440.15032,
2443.694,450.1135,
2440.783,451.00563,
2437.872,456.11449,
2434.962,443.15034,
2432.051,454.37827,
2429.141,453.23691,
2426.230,453.29904,
2423.320,472.68226,
2420.409,477.07995,
2417.498,476.47049,
2414.588,477.06982,
2411.677,491.47753,
2408.767,464.16634,
2405.856,465.71314,
2402.946,467.26217,
2400.035,483.41374,
2397.124,471.94052,
2394.214,462.5178,
2391.303,477.5918,
2388.393,488.85059,
2385.482,474.37405,
2382.571,484.80234,
2379.661,485.46212,
2376.750,489.5733,
2373.840,487.40937,
2370.929,483.66832,
2368.019,496.28693,
2365.108,511.22971,
2362.197,498.67974,
2359.287,491.42333,
2356.376,510.59154,
2353.466,506.44351,
2350.555,508.34024,
2347.645,503.8237,
2344.734,507.80937,
2341.823,520.47575,
2338.913,519.42055,
2336.002,534.2088,
2333.092,529.50992,
2330.181,522.79895,
2327.270,533.74492,
2324.360,539.07078,
2321.449,523.59439,
2318.539,528.17852,
2315.628,544.57384,
2312.718,545.32544,
2309.807,543.76163,
2306.896,546.63283,
2303.986,543.9691,
2301.075,545.26327,
2298.165,549.82691,
2295.254,527.12049,
2292.344,554.73292,
2289.433,541.60182,
2286.522,553.5936,
2283.612,576.83547,
2280.701,561.45015,
2277.791,555.7853,
2274.880,564.7609,
2271.969,578.59619,
2269.059,573.9765,
2266.148,572.2477,
2263.238,573.32384,
2260.327,585.31475,
2257.417,594.86222,
2254.506,602.50252,
2251.595,601.20689,
2248.685,580.84043,
2245.774,595.54775,
2242.864,602.36565,
2239.953,603.40422,
2237.043,613.39072,
2234.132,596.46659,
2231.221,596.30978,
2228.311,618.63142,
2225.400,619.87831,
2222.490,626.58261,
2219.579,615.91548,
2216.669,627.05584,
2213.758,650.75704,
2210.847,659.65522,
2207.937,663.50285,
2205.026,648.84686,
2202.116,660.98487,
2199.205,680.82406,
2196.294,691.75702,
2193.384,690.59851,
2190.473,712.35857,
2187.563,699.63467,
2184.652,708.55315,
2181.742,749.69344,
2178.831,755.06469,
2175.920,759.70515,
2173.010,787.27693,
2170.099,814.82292,
2167.189,851.64653,
2164.278,863.86923,
2161.368,912.76844,
2158.457,919.26459,
2155.546,945.18558,
2152.636,964.43878,
2149.725,990.1015,
2146.815,1011.991,
2143.904,1018.4317,
2140.993,1036.2546,
2138.083,1043.8134,
2135.172,1047.625,
2132.262,1075.7896,
2129.351,1050.3351,
2126.441,1053.4115,
2123.530,998.49031,
2120.619,977.54281,
2117.709,908.75906,
2114.798,865.52489,
2111.888,835.78811,
2108.977,832.16143,
2106.067,799.70611,
2103.156,781.46615,
2100.245,756.61747,
2097.335,743.42081,
2094.424,735.82175,
2091.514,728.8991,
2088.603,722.44062,
2085.692,723.03028,
2082.782,722.10688,
2079.871,719.05324,
2076.961,733.52718,
2074.050,728.94621,
2071.140,718.68223,
2068.229,728.91017,
2065.318,712.47675,
2062.408,725.39806,
2059.497,727.99998,
2056.587,715.36925,
2053.676,711.99177,
2050.766,704.24085,
2047.855,694.65348,
2044.944,698.01922,
2042.034,708.64805,
2039.123,690.24453,
2036.213,698.89172,
2033.302,704.7556,
2030.391,711.08221,
2027.481,724.08837,
2024.570,703.71129,
2021.660,706.2111,
2018.749,722.01715,
2015.839,708.77723,
2012.928,721.70554,
2010.017,715.05388,
2007.107,709.71846,
2004.196,716.20835,
2001.286,714.79109,
1998.375,715.10433,
1995.465,702.46607,
1992.554,699.50146,
1989.643,671.62735,
1986.733,682.69518,
1983.822,701.06075,
1980.912,693.52566,
1978.001,690.91258,
1975.090,696.09979,
1972.180,682.5545,
1969.269,705.28594,
1966.359,712.21963,
1963.448,697.55366,
1960.538,709.47821,
1957.627,705.60023,
1954.716,678.40062,
1951.806,703.73723,
1948.895,672.59861,
1945.985,706.01225,
1943.074,696.89448,
1940.164,679.625,
1937.253,683.06841,
1934.342,683.0865,
1931.432,679.20229,
1928.521,662.74071,
1925.611,663.7158,
1922.700,666.04213,
1919.790,664.76374,
1916.879,650.67124,
1913.968,691.57336,
1911.058,657.66405,
1908.147,693.71691,
1905.237,651.80149,
1902.326,664.3613,
1899.415,668.87379,
1896.505,660.04645,
1893.594,650.97569,
1890.684,675.07599,
1887.773,667.84928,
1884.863,669.36532,
1881.952,685.17988,
1879.041,681.54712,
1876.131,695.72695,
1873.220,652.55401,
1870.310,676.25723,
1867.399,672.72096,
1864.489,692.65141,
1861.578,671.70718,
1858.667,701.18488,
1855.757,695.03789,
1852.846,685.90191,
1849.936,694.36975,
1847.025,685.03375,
1844.114,689.77321,
1841.204,692.41171,
1838.293,707.63165,
