,PL87E1~1,
Raman shift [1/cm],Intensity,
3014.167,0.125,
3011.256,2.125,
3008.346,197.21512,
3005.435,227.43242,
3002.525,251.48518,
2999.614,239.3536,
2996.704,257.48789,
2993.793,268.74424,
2990.882,271.43035,
2987.972,259.31166,
2985.061,290.36145,
2982.151,283.125,
2979.240,300.65731,
2976.329,303.8709,
2973.419,336.61768,
2970.508,325.44164,
2967.598,336.02942,
2964.687,343.19905,
2961.777,359.46694,
2958.866,354.45635,
2955.955,356.36615,
2953.045,383.30845,
2950.134,385.33783,
2947.224,400.83672,
2944.313,424.67557,
2941.403,398.92199,
2938.492,429.39057,
2935.581,429.9851,
2932.671,419.85037,
2929.760,439.64037,
2926.850,452.07989,
2923.939,456.125,
2921.028,457.66619,
2918.118,460.18672,
2915.207,467.65024,
2912.297,473.08269,
2909.386,457.94251,
2906.476,465.125,
2903.565,463.23834,
2900.654,463.46574,
2897.744,460.98671,
2894.833,439.40355,
2891.923,449.26291,
2889.012,465.16546,
2886.102,440.13044,
2883.191,449.09857,
2880.280,452.54604,
2877.370,417.55524,
2874.459,380.93649,
2871.549,434.15164,
2868.638,466.5353,
2865.727,466.09808,
2862.817,479.42579,
2859.906,473.36433,
2856.996,451.0933,
2854.085,466.92754,
2851.175,466.50454,
2848.264,464.9045,
2845.353,474.47799,
2842.443,449.11804,
2839.532,453.57277,
2836.622,447.69792,
2833.711,448.85029,
2830.801,449.53529,
2827.890,460.20892,
2824.979,453.49507,
2822.069,476.125,
2819.158,473.84467,
2816.248,466.38947,
2813.337,483.46524,
2810.427,478.95558,
2807.516,471.96672,
2804.605,488.58652,
2801.695,469.91449,
2798.784,479.75538,
2795.874,480.25427,
2792.963,493.76787,
2790.052,478.12843,
2787.142,475.48027,
2784.231,470.44799,
2781.321,470.99928,
2778.410,477.42448,
2775.500,489.89086,
2772.589,492.81614,
2769.678,487.65736,
2766.768,504.55995,
2763.857,490.12693,
2760.947,499.08087,
2758.036,495.51356,
2755.126,492.07586,
2752.215,504.10237,
2749.304,510.2527,
2746.394,513.30037,
2743.483,517.97503,
2740.573,505.02762,
2737.662,502.6028,
2734.751,530.70744,
2731.841,507.47481,
2728.930,524.43015,
2726.020,520.13021,
2723.109,509.93967,
2720.199,508.9688,
2717.288,510.36953,
2714.377,530.31648,
2711.467,522.50193,
2708.556,538.029,
2705.646,535.29398,
2702.735,556.11984,
2699.825,540.36496,
2696.914,545.31593,
2694.003,551.25345,
2691.093,543.19601,
2688.182,542.05315,
2685.272,563.1691,
2682.361,549.36627,
2679.450,545.125,
2676.540,550.96241,
2673.629,548.10255,
2670.719,554.27102,
2667.808,549.27091,
2664.898,561.42364,
2661.987,556.62483,
2659.076,565.8362,
2656.166,568.83494,
2653.255,566.34949,
2650.345,567.18126,
2647.434,566.81177,
2644.524,592.22566,
2641.613,572.1822,
2638.702,586.90407,
2635.792,581.87574,
2632.881,586.51768,
2629.971,598.48744,
2627.060,603.62469,
2624.149,596.47814,
2621.239,588.88241,
2618.328,593.63365,
2615.418,601.80681,
2612.507,606.29492,
2609.597,612.21682,
2606.686,611.21538,
2603.775,627.64484,
2600.865,633.24106,
2597.954,610.98745,
2595.044,634.07186,
2592.133,633.28411,
2589.223,629.5829,
2586.312,645.34608,
2583.401,651.18703,
2580.491,627.70197,
2577.580,639.1184,
2574.670,636.78542,
2571.759,631.76627,
2568.848,638.11955,
2565.938,645.07745,
2563.027,639.14997,
2560.117,649.93809,
2557.206,654.83718,
2554.296,629.93049,
2551.385,665.82713,
2548.474,672.97667,
2545.564,635.23294,
2542.653,670.66191,
2539.743,672.08803,
2536.832,673.61472,
2533.922,682.51923,
2531.011,701.62547,
2528.100,699.91946,
2525.190,707.17213,
2522.279,711.89051,
2519.369,705.61566,
2516.458,693.78577,
2513.548,680.65236,
2510.637,703.06352,
2507.726,695.87963,
2504.816,682.125,
2501.905,689.42927,
2498.995,722.24444,
2496.084,718.29918,
2493.173,704.0197,
2490.263,688.76566,
2487.352,706.58407,
2484.442,723.9601,
2481.531,729.54001,
2478.621,714.51835,
2475.710,757.04065,
2472.799,748.34471,
2469.889,741.0668,
2466.978,731.1765,
2464.068,749.40548,
2461.157,728.3175,
2458.247,734.66918,
2455.336,742.78449,
2452.425,746.69104,
2449.515,757.5304,
2446.604,743.30474,
2443.694,755.56748,
2440.783,764.88626,
2437.872,769.30732,
2434.962,776.48905,
2432.051,782.14967,
2429.141,774.7192,
2426.230,781.47309,
2423.320,788.43925,
2420.409,790.8814,
2417.498,785.54353,
2414.588,795.02228,
2411.677,802.2644,
2408.767,780.13681,
2405.856,785.93927,
2402.946,802.81579,
2400.035,820.8128,
2397.124,803.92178,
2394.214,812.93461,
2391.303,801.58909,
2388.393,825.75994,
2385.482,821.6978,
2382.571,834.97328,
2379.661,827.26457,
2376.750,832.80721,
2373.840,840.69374,
2370.929,851.0167,
2368.019,825.58314,
2365.108,822.2873,
2362.197,855.19636,
2359.287,871.73001,
2356.376,866.13381,
2353.466,859.76202,
2350.555,850.91503,
2347.645,862.18989,
2344.734,874.64114,
2341.823,839.73858,
2338.913,884.14442,
2336.002,895.52933,
2333.092,879.29762,
2330.181,888.98684,
2327.270,890.40003,
2324.360,887.83013,
2321.449,914.24744,
2318.539,906.6357,
2315.628,914.79686,
2312.718,911.94218,
2309.807,915.49127,
2306.896,928.33,
2303.986,911.56007,
2301.075,921.99731,
2298.165,916.95171,
2295.254,898.46969,
2292.344,912.91757,
2289.433,914.56137,
2286.522,936.5045,
2283.612,950.06635,
2280.701,938.21921,
2277.791,958.24522,
2274.880,962.83697,
2271.969,967.57767,
2269.059,965.68358,
2266.148,971.23184,
2263.238,980.32191,
2260.327,985.15935,
2257.417,976.86944,
2254.506,992.93412,
2251.595,988.98685,
2248.685,995.4365,
2245.774,1001.8283,
2242.864,1038.0876,
2239.953,1022.2147,
2237.043,1014.8389,
2234.132,1019.6886,
2231.221,1029.125,
2228.311,1036.9536,
2225.400,1022.1101,
2222.490,1058.1674,
2219.579,1070.2021,
2216.669,1076.6226,
2213.758,1077.125,
2210.847,1104.5305,
2207.937,1108.2472,
2205.026,1100.5684,
2202.116,1123.4053,
2199.205,1110.125,
2196.294,1134.8529,
2193.384,1175.44,
2190.473,1134.3621,
2187.563,1192.1395,
2184.652,1199.3421,
2181.742,1222.8295,
2178.831,1229.5997,
2175.920,1260.1086,
2173.010,1291.8013,
2170.099,1327.5883,
2167.189,1354.369,
2164.278,1387.0979,
2161.368,1407.1219,
2158.457,1494.5772,
2155.546,1553.7145,
2152.636,1587.9707,
2149.725,1637.2323,
2146.815,1691.5567,
2143.904,1703.3406,
2140.993,1749.7386,
2138.083,1785.4198,
2135.172,1791.6796,
2132.262,1785.125,
2129.351,1763.98,
2126.441,1761.5425,
2123.530,1688.5189,
2120.619,1630.5839,
2117.709,1587.6222,
2114.798,1514.8823,
2111.888,1436.9637,
2108.977,1388.8733,
2106.067,1351.0985,
2103.156,1285.9357,
2100.245,1276.1212,
2097.335,1268.9208,
2094.424,1254.3806,
2091.514,1228.6169,
2088.603,1208.4799,
2085.692,1198.1696,
2082.782,1208.8478,
2079.871,1177.9803,
2076.961,1209.4127,
2074.050,1189.2402,
2071.140,1208.3896,
2068.229,1185.4167,
2065.318,1157.532,
2062.408,1167.8527,
2059.497,1191.5357,
2056.587,1184.4856,
2053.676,1194.0075,
2050.766,1172.2035,
2047.855,1135.0331,
2044.944,1196.4007,
2042.034,1171.651,
2039.123,1170.8051,
2036.213,1179.2006,
2033.302,1184.3207,
2030.391,1181.125,
2027.481,1184.1006,
2024.570,1204.5102,
2021.660,1197.7754,
2018.749,1174.5809,
2015.839,1187.8737,
2012.928,1200.0445,
2010.017,1192.087,
2007.107,1174.9867,
2004.196,1189.7798,
2001.286,1182.2275,
1998.375,1157.8159,
1995.465,1152.6982,
1992.554,1182.0483,
1989.643,1175.5052,
1986.733,1163.125,
1983.822,1163.8303,
1980.912,1166.3031,
1978.001,1155.4218,
1975.090,1137.1555,
1972.180,1152.6396,
1969.269,1147.0272,
1966.359,1136.3414,
1963.448,1164.1184,
1960.538,1156.5178,
1957.627,1146.8835,
1954.716,1117.9581,
1951.806,1142.274,
1948.895,1144.8699,
1945.985,1137.406,
1943.074,1119.0511,
1940.164,1116.317,
1937.253,1109.0507,
1934.342,1141.2191,
1931.432,1115.7559,
1928.521,1098.2165,
1925.611,1094.4757,
1922.700,1102.2051,
1919.790,1090.4835,
1916.879,1134.6375,
1913.968,1113.1557,
1911.058,1121.6145,
1908.147,1087.7192,
1905.237,1099.1177,
1902.326,1100.7517,
1899.415,1089.2043,
1896.505,1077.5587,
1893.594,1088.7531,
1890.684,1117.5171,
1887.773,1119.8839,
1884.863,1120.7788,
1881.952,1116.7551,
1879.041,1114.638,
1876.131,1104.5381,
1873.220,1089.9214,
1870.310,1097.4075,
1867.399,1078.4449,
1864.489,1084.0346,
1861.578,1062.0752,
1858.667,1109.0981,
1855.757,1110.6978,
1852.846,1139.1147,
1849.936,1127.9859,
1847.025,1117.1834,
1844.114,1117.1132,
1841.204,1118.1844,
1838.293,1142.5926,
1835.383,1157.2065,
1832.472,1135.3337,
1829.562,1141.0115,
1826.651,1160.6979,
1823.740,1163.6691,
1820.830,1161.5817,
1817.919,1175.7838,
1815.009,1183.4062,
1812.098,1178.7392,
1809.188,1210.0164,
1806.277,1196.4791,
1803.366,1210.576,
1800.456,1179.2241,
1797.545,1196.8343,
1794.635,1185.931,
1791.724,1204.3968,
1788.813,1235.5242,
1785.903,1223.7452,
1782.992,1207.0744,
1780.082,1236.0871,
1777.171,1219.7942,
1774.261,1234.9651,
1771.350,1247.8953,
1768.439,1244.8899,
1765.529,1247.4,
1762.618,1256.8106,
1759.708,1272.0709,
1756.797,1274.375,
1753.887,1285.6396,
1750.976,1289.6145,
1748.065,1261.5351,
1745.155,1286.2538,
1742.244,1295.5308,
1739.334,1289.4403,
1736.423,1303.9624,
1733.512,1325.4055,
1730.602,1342.3453,
1727.691,1346.125,
1724.781,1383.8807,
1721.870,1348.2533,
1718.960,1375.7699,
1716.049,1411.8112,
1713.138,1406.8651,
1710.228,1337.2418,
1707.317,1386.3913,
1704.407,1413.8897,
1701.496,1431.6213,
1698.586,1435.897,
1695.675,1432.3822,
1692.764,1516.3832,
1689.854,1480.9439,
1686.943,1508.1132,
1684.033,1511.0753,
1681.122,1482.6178,
1678.211,1608.9068,
1675.301,1580.2175,
1672.390,1620.2476,
1669.480,1661.6384,
1666.569,1725.252,
1663.659,1736.1376,
1660.748,1797.607,
1657.837,1822.5624,
1654.927,1842.7576,
1652.016,1871.8465,
1649.106,1980.513,
1646.195,1956.7004,
1643.285,1981.7884,
1640.374,2054.5466,
1637.463,2121.7915,
1634.553,2159.6323,
1631.642,2261.0588,
1628.732,2347.0612,
1625.821,2504.2284,
1622.911,2661.2346,
1620.000,2812.21,
1617.089,2974.8613,
1614.179,3071.4177,
1611.268,3348.5293,
1608.358,3501.1484,
1605.447,3563.754,
1602.536,3666.8369,
1599.626,3625.3686,
1596.715,3647.4454,
1593.805,3599.1481,
1590.894,3516.5067,
1587.984,3439.4359,
1585.073,3366.1646,
1582.162,3320.0598,
1579.252,3216.5655,
1576.341,3207.942,
1573.431,3194.6783,
1570.520,3181.7169,
1567.610,3150.0657,
1564.699,3084.2977,
1561.788,3060.3081,
1558.878,3037.9593,
1555.967,2969.3258,
1553.057,2940.4008,
1550.146,2887.0451,
1547.235,2820.0667,
1544.325,2758.6688,
1541.414,2730.7452,
1538.504,2690.507,
1535.593,2673.0361,
1532.683,2676.371,
1529.772,2636.3065,
1526.861,2588.376,
1523.951,2541.9251,
1521.040,2537.717,
1518.130,2518.7346,
1515.219,2455.4436,
1512.309,2492.7376,
1509.398,2459.6363,
1506.487,2468.5191,
1503.577,2438.6805,
1500.666,2460.7599,
1497.756,2426.3538,
1494.845,2424.1623,
1491.934,2305.314,
1489.024,2363.0636,
1486.113,2358.6345,
1483.203,2343.9143,
1480.292,2339.5795,
1477.382,2292.2466,
1474.471,2248.8951,
1471.560,2214.4524,
1468.650,2203.0752,
1465.739,2223.2612,
1462.829,2176.0401,
1459.918,2142.2024,
1457.008,2157.279,
1454.097,2152.3359,
1451.186,2125.5602,
1448.276,2144.2253,
1445.365,2173.0847,
1442.455,2120.5849,
1439.544,2126.9007,
1436.633,2126.2998,
1433.723,2120.2707,
1430.812,2070.1302,
1427.902,2044.8319,
1424.991,2032.5109,
1422.081,1982.5812,
1419.170,1990.2218,
1416.259,2011.5665,
1413.349,1940.6009,
1410.438,1930.1206,
1407.528,1931.6188,
1404.617,1933.822,
1401.707,1894.7298,
1398.796,1855.2369,
1395.885,1858.4991,
1392.975,1851.2494,
1390.064,1817.3559,
1387.154,1752.9909,
1384.243,1568.051,
1381.332,1444.4329,
1378.422,1505.897,
1375.511,1714.7992,
1372.601,1890.4587,
1369.690,2007.1345,
1366.780,2043.1338,
1363.869,2110.602,
1360.958,2239.7596,
1358.048,2285.2253,
1355.137,2296.9983,
1352.227,2354.7592,
1349.316,2424.7329,
1346.406,2472.7713,
1343.495,2526.0554,
1340.584,2593.9816,
1337.674,2634.5202,
1334.763,2671.0897,
1331.853,2670.1625,
1328.942,2735.0559,
1326.032,2749.65,
1323.121,2758.5346,
1320.210,2799.7484,
1317.300,2816.7641,
1314.389,2851.0979,
1311.479,2903.0375,
1308.568,2918.2228,
1305.657,2928.2873,
1302.747,2996.1907,
1299.836,3036.4642,
1296.926,3158.9361,
1294.015,3283.9642,
1291.105,3421.2063,
1288.194,3494.2383,
1285.283,3581.8733,
1282.373,3654.1561,
1279.462,3713.7126,
1276.552,3749.5581,
1273.641,3760.7822,
1270.731,3771.5937,
1267.820,3771.5446,
1264.909,3715.8726,
1261.999,3741.0944,
1259.088,3685.4551,
1256.178,3645.2974,
1253.267,3580.8181,
1250.356,3514.3627,
1247.446,3457.0948,
1244.535,3405.8706,
1241.625,3331.2955,
1238.714,3242.5092,
1235.804,3183.6154,
1232.893,3125.2544,
1229.982,3101.568,
1227.072,2996.5518,
1224.161,2970.6339,
1221.251,2898.6302,
