,PLA41D~1,
Raman shift [1/cm],Intensity,
3014.167,-3.125,
3011.256,-0.07509663,
3008.346,77.696656,
3005.435,77.030479,
3002.525,92.00755,
2999.614,79.776309,
2996.704,87.919329,
2993.793,86.989632,
2990.882,93.745235,
2987.972,85.996079,
2985.061,104.11145,
2982.151,105.68173,
2979.240,109.99001,
2976.329,124.13456,
2973.419,114.79798,
2970.508,131.82493,
2967.598,144.63243,
2964.687,118.91984,
2961.777,116.96901,
2958.866,130.87055,
2955.955,136.11615,
2953.045,140.32466,
2950.134,139.08783,
2947.224,140.38744,
2944.313,156.52671,
2941.403,167.04197,
2938.492,144.73679,
2935.581,149.69217,
2932.671,164.51448,
2929.760,156.52884,
2926.850,149.97951,
2923.939,167.55255,
2921.028,165.08666,
2918.118,172.85611,
2915.207,181.28639,
2912.297,168.92578,
2909.386,170.69251,
2906.476,177.06882,
2903.565,171.82685,
2900.654,167.26327,
2897.744,186.33439,
2894.833,153.77172,
2891.923,176.7949,
2889.012,168.66691,
2886.102,170.29121,
2883.191,159.88633,
2880.280,128.59748,
2877.370,97.683206,
2874.459,84.101535,
2871.549,128.77004,
2868.638,160.2853,
2865.727,170.72112,
2862.817,172.21726,
2859.906,182.62144,
2856.996,168.89311,
2854.085,182.48007,
2851.175,172.44728,
2848.264,173.66417,
2845.353,178.96127,
2842.443,176.08684,
2839.532,171.3078,
2836.622,158.02669,
2833.711,168.34126,
2830.801,166.08382,
2827.890,183.35226,
2824.979,173.875,
2822.069,162.13656,
2819.158,183.73484,
2816.248,184.86342,
2813.337,180.10183,
2810.427,181.875,
2807.516,185.24187,
2804.605,190.875,
2801.695,184.6513,
2798.784,183.57931,
2795.874,179.58476,
2792.963,175.51766,
2790.052,184.872,
2787.142,185.83542,
2784.231,177.71351,
2781.321,196.18354,
2778.410,185.875,
2775.500,190.47017,
2772.589,190.53019,
2769.678,200.66345,
2766.768,174.26527,
2763.857,209.50506,
2760.947,201.40337,
2758.036,188.08508,
2755.126,205.83226,
2752.215,200.32055,
2749.304,192.04588,
2746.394,193.35684,
2743.483,195.57501,
2740.573,190.21348,
2737.662,196.54512,
2734.751,198.875,
2731.841,190.84752,
2728.930,214.38358,
2726.020,201.09954,
2723.109,196.66892,
2720.199,199.7969,
2717.288,197.50639,
2714.377,197.13336,
2711.467,207.08819,
2708.556,214.30026,
2705.646,211.19891,
2702.735,209.22037,
2699.825,218.42954,
2696.914,219.92273,
2694.003,197.70101,
2691.093,214.64275,
2688.182,226.38537,
2685.272,212.43261,
2682.361,218.4809,
2679.450,216.45937,
2676.540,226.13921,
2673.629,231.90643,
2670.719,222.37131,
2667.808,211.5559,
2664.898,228.09582,
2661.987,229.27507,
2659.076,236.23922,
2656.166,242.03523,
2653.255,228.39371,
2650.345,227.09097,
2647.434,231.04648,
2644.524,240.98295,
2641.613,242.90328,
2638.702,228.03281,
2635.792,225.59384,
2632.881,232.38083,
2629.971,250.08984,
2627.060,240.04219,
2624.149,235.875,
2621.239,229.86314,
2618.328,239.70545,
2615.418,238.19773,
2612.507,237.91059,
2609.597,252.13049,
2606.686,239.01758,
2603.775,247.875,
2600.865,252.46205,
2597.954,240.16248,
2595.044,246.53576,
2592.133,253.98971,
2589.223,246.28446,
2586.312,262.84989,
2583.401,254.28375,
2580.491,249.14904,
2577.580,276.85189,
2574.670,263.15174,
2571.759,255.6173,
2568.848,262.86955,
2565.938,267.16083,
2563.027,255.26588,
2560.117,257.15536,
2557.206,271.95618,
2554.296,270.67363,
2551.385,260.93296,
2548.474,255.875,
2545.564,273.3052,
2542.653,262.55957,
2539.743,261.78874,
2536.832,281.71239,
2533.922,278.96962,
2531.011,282.95016,
2528.100,265.08054,
2525.190,265.73361,
2522.279,283.49982,
2519.369,280.40303,
2516.458,286.98336,
2513.548,285.49316,
2510.637,268.79724,
2507.726,284.12407,
2504.816,275.62359,
2501.905,276.61402,
2498.995,286.11388,
2496.084,290.18162,
2493.173,283.69056,
2490.263,293.03209,
2487.352,285.1254,
2484.442,290.02061,
2481.531,292.08772,
2478.621,289.7328,
2475.710,294.95935,
2472.799,302.91539,
2469.889,301.14648,
2466.978,295.16379,
2464.068,287.00197,
2461.157,296.60746,
2458.247,296.62492,
2455.336,289.51297,
2452.425,302.46464,
