,PLD6C1~1,
Raman shift [1/cm],Intensity,
3014.167,-4.5,
3011.256,0.35007516,
3008.346,56.735197,
3005.435,63.111302,
3002.525,49.047539,
2999.614,63.1143,
2996.704,74.225772,
2993.793,61.509216,
2990.882,59.583942,
2987.972,69.46973,
2985.061,72.810357,
2982.151,72.170578,
2979.240,79.262329,
2976.329,86.721333,
2973.419,74.268933,
2970.508,85.883337,
2967.598,89.216868,
2964.687,99.201767,
2961.777,93.594008,
2958.866,89.838777,
2955.955,98.43582,
2953.045,109.31655,
2950.134,110.92566,
2947.224,100.84163,
2944.313,115.19658,
2941.403,108.07117,
2938.492,106.93632,
2935.581,112.61288,
2932.671,123.21671,
2929.760,113.98463,
2926.850,125.23872,
2923.939,105.37849,
2921.028,118.20596,
2918.118,108.02141,
2915.207,117.14554,
2912.297,119.48307,
2909.386,119.66789,
2906.476,124.23593,
2903.565,132.14593,
2900.654,121.33518,
2897.744,122.73887,
2894.833,137.37637,
2891.923,115.28199,
2889.012,133.75433,
2886.102,122.52027,
2883.191,128.49622,
2880.280,119.24641,
2877.370,118.79071,
2874.459,122.14779,
2871.549,120.5,
2868.638,132.9103,
2865.727,130.15769,
2862.817,117.11365,
2859.906,118.6396,
2856.996,125.01132,
2854.085,128.66178,
2851.175,130.87954,
2848.264,124.78433,
2845.353,122.6294,
2842.443,129.29861,
2839.532,125.84331,
2836.622,132.528,
2833.711,125.18132,
2830.801,130.29853,
2827.890,123.39686,
2824.979,128.5,
2822.069,144.51137,
2819.158,134.09837,
2816.248,122.97105,
2813.337,116.76828,
2810.427,135.93388,
2807.516,145.07547,
2804.605,134.29567,
2801.695,131.80263,
2798.784,122.16531,
2795.874,144.37073,
2792.963,128.28564,
2790.052,149.49507,
2787.142,141.27635,
2784.231,141.66149,
2781.321,131.63148,
2778.410,143.93529,
2775.500,145.92448,
2772.589,145.42354,
2769.678,148.32255,
2766.768,154.05147,
2763.857,131.71195,
2760.947,144.00315,
2758.036,147.88856,
2755.126,149.54914,
2752.215,142.84088,
2749.304,145.73381,
2746.394,155.01816,
2743.483,154.44998,
2740.573,146.07959,
2737.662,142.84023,
2734.751,145.26702,
2731.841,155.98718,
2728.930,123.76685,
2726.020,148.51042,
2723.109,150.29392,
2720.199,156.55942,
2717.288,147.86861,
2714.377,161.30394,
2711.467,156.89341,
2708.556,160.06379,
2705.646,166.57044,
2702.735,156.16495,
2699.825,153.52181,
2696.914,157.35728,
2694.003,166.41708,
2691.093,150.85739,
2688.182,155.97259,
2685.272,156.29658,
2682.361,160.77074,
2679.450,162.70161,
2676.540,161.39838,
2673.629,162.8049,
2670.719,160.72642,
2667.808,145.84045,
2664.898,178.16245,
2661.987,166.3999,
2659.076,170.3556,
2656.166,159.45234,
2653.255,165.61224,
2650.345,168.77223,
2647.434,185.87096,
2644.524,174.29139,
2641.613,182.12854,
2638.702,195.27907,
2635.792,174.81306,
2632.881,171.07737,
2629.971,184.58733,
2627.060,175.83437,
2624.149,171.63437,
2621.239,180.25741,
2618.328,179.92387,
2615.418,189.5,
2612.507,179.57118,
2609.597,182.58184,
2606.686,180.5,
2603.775,183.38095,
2600.865,194.90958,
2597.954,188.26043,
2595.044,189.77724,
2592.133,203.11147,
2589.223,186.55998,
2586.312,197.93721,
2583.401,182.80656,
2580.491,180.22596,
2577.580,192.4967,
2574.670,191.88369,
2571.759,196.60103,
2568.848,209.84813,
2565.938,202.30968,
2563.027,188.08632,
2560.117,203.31309,
2557.206,194.65129,
2554.296,203.93249,
2551.385,212.61592,
2548.474,198.98141,
2545.564,195.56331,
2542.653,202.65772,
2539.743,201.56161,
2536.832,205.56169,
2533.922,199.79962,
2531.011,213.55042,
2528.100,204.23172,
2525.190,206.70943,
2522.279,207.96898,
2519.369,213.27384,
2516.458,206.27974,
2513.548,199.60012,
2510.637,201.29928,
2507.726,211.93866,
2504.816,218.62627,
2501.905,211.07988,
2498.995,211.08197,
2496.084,206.33973,
2493.173,225.97417,
2490.263,207.38809,
2487.352,209.3748,
2484.442,212.48071,
2481.531,222.76069,
2478.621,221.5711,
2475.710,220.36965,
2472.799,211.88556,
2469.889,235.56094,
2466.978,221.95372,
2464.068,219.41535,
2461.157,233.61745,
2458.247,229.27926,
2455.336,230.62527,
2452.425,243.17453,
2449.515,245.02806,
2446.604,234.5,
2443.694,224.03451,
2440.783,233.50338,
2437.872,240.02596,
2434.962,231.44009,
2432.051,240.54935,
2429.141,242.05878,
2426.230,229.47787,
2423.320,247.65712,
2420.409,246.98721,
2417.498,237.91853,
2414.588,254.75466,
2411.677,246.42828,
2408.767,246.01772,
2405.856,254.25236,
2402.946,253.70822,
2400.035,250.60094,
2397.124,240.51069,
2394.214,252.7172,
2391.303,262.57182,
2388.393,267.23257,
2385.482,252.24905,
2382.571,268.69015,
2379.661,256.8954,
2376.750,260.02458,
2373.840,267.85311,
2370.929,259.59747,
2368.019,259.6564,
2365.108,264.10471,
2362.197,274.848,
2359.287,262.54178,
2356.376,256.50176,
2353.466,281.07532,
2350.555,275.25456,
2347.645,275.44567,
2344.734,275.89168,
2341.823,264.63267,
2338.913,271.12535,
2336.002,267.73673,
2333.092,269.91412,
2330.181,272.85289,
2327.270,269.99505,
2324.360,292.88681,
2321.449,282.5,
2318.539,286.07493,
2315.628,285.31535,
2312.718,272.90088,
2309.807,297.15843,
2306.896,295.01957,
2303.986,299.45452,
2301.075,285.01068,
2298.165,295.25993,
2295.254,311.24148,
2292.344,286.39208,
