,PLE826~1,
Raman shift [1/cm],Intensity,
3014.167,-2.75,
3011.256,-1.0500644,
3008.346,98.446509,
3005.435,98.638698,
3002.525,126.96756,
2999.614,108.38897,
2996.704,108.43557,
2993.793,127.37385,
2990.882,130.50953,
2987.972,124.31054,
2985.061,130.0431,
2982.151,138.10211,
2979.240,145.41539,
2976.329,158.26092,
2973.419,140.04948,
2970.508,164.94998,
2967.598,175.34197,
2964.687,162.5034,
2961.777,166.43802,
2958.866,176.91271,
2955.955,177.69691,
2953.045,182.88311,
2950.134,188.52698,
2947.224,200.10766,
2944.313,195.25,
2941.403,209.15511,
2938.492,200.28254,
2935.581,203.27702,
2932.671,212.64913,
2929.760,215.73463,
2926.850,208.03384,
2923.939,238.64718,
2921.028,223.59093,
2918.118,220.69081,
2915.207,234.31338,
2912.297,238.25423,
2909.386,225.25,
2906.476,226.05618,
2903.565,224.50778,
2900.654,229.25,
2897.744,217.16199,
2894.833,214.37363,
2891.923,222.6827,
2889.012,213.41763,
2886.102,215.08243,
2883.191,218.25,
2880.280,201.30262,
2877.370,172.61631,
2874.459,165.25,
2871.549,187.88186,
2868.638,220.52421,
2865.727,220.80002,
2862.817,218.80748,
2859.906,226.27564,
2856.996,237.73415,
2854.085,247.41178,
2851.175,231.29818,
2848.264,222.691,
2845.353,215.63821,
2842.443,228.05905,
2839.532,218.69777,
2836.622,197.28385,
2833.711,223.19036,
2830.801,203.37279,
2827.890,236.14686,
2824.979,229.69408,
2822.069,221.3296,
2819.158,230.15027,
2816.248,242.21526,
2813.337,226.29145,
2810.427,235.55855,
2807.516,246.76781,
2804.605,251.0024,
2801.695,237.72367,
2798.784,255.54977,
2795.874,238.54553,
2792.963,229.25,
2790.052,258.24378,
2787.142,241.27623,
2784.231,237.92701,
2781.321,229.82151,
2778.410,244.95052,
2775.500,242.44034,
2772.589,237.78975,
2769.678,253.07255,
2766.768,242.56844,
2763.857,248.98796,
2760.947,254.72794,
2758.036,231.76581,
2755.126,258.39743,
2752.215,258.48197,
2749.304,258.78239,
2746.394,256.46169,
2743.483,261.64998,
2740.573,240.40918,
2737.662,258.57988,
2734.751,256.80824,
2731.841,252.79029,
2728.930,261.80086,
2726.020,254.68866,
2723.109,261.77558,
2720.199,253.34677,
2717.288,267.16241,
2714.377,256.67098,
2711.467,254.84011,
2708.556,268.19653,
2705.646,268.9542,
2702.735,268.25516,
2699.825,270.80454,
2696.914,276.34547,
2694.003,278.30528,
