,PLE8E6~1,
Raman shift [1/cm],Intensity,
3014.167,0.625,
3011.256,1.4750752,
3008.346,42.57664,
3005.435,39.35645,
3002.525,37.869966,
2999.614,38.288645,
2996.704,48.395101,
2993.793,48.625,
2990.882,50.88453,
2987.972,57.55437,
2985.061,45.398401,
2982.151,51.147692,
2979.240,58.639243,
2976.329,62.608619,
2973.419,59.101764,
2970.508,69.941644,
2967.598,56.485241,
2964.687,67.894022,
2961.777,64.342976,
2958.866,73.959323,
2955.955,74.142697,
2953.045,87.340877,
2950.134,84.657076,
2947.224,72.938157,
2944.313,81.377849,
2941.403,82.101277,
2938.492,75.348582,
2935.581,82.442172,
2932.671,98.981189,
2929.760,92.990405,
2926.850,88.513347,
2923.939,84.223117,
2921.028,96.789768,
2918.118,85.065808,
2915.207,91.036385,
2912.297,78.675776,
2909.386,93.019162,
2906.476,94.655894,
2903.565,89.576854,
2900.654,93.577465,
2897.744,107.47413,
2894.833,103.87227,
2891.923,107.516,
2889.012,107.79263,
2886.102,107.04121,
2883.191,123.61084,
2880.280,141.04128,
2877.370,201.14811,
2874.459,247.76309,
2871.549,178.99314,
2868.638,125.34874,
2865.727,130.57116,
2862.817,103.30951,
2859.906,107.67628,
2856.996,117.65217,
2854.085,106.34348,
2851.175,101.52863,
2848.264,98.835832,
2845.353,98.754402,
2842.443,109.01734,
2839.532,96.998248,
2836.622,104.95638,
2833.711,94.04729,
2830.801,97.121325,
2827.890,98.083039,
2824.979,95.983004,
2822.069,117.55677,
2819.158,105.16408,
2816.248,97.613421,
2813.337,107.49086,
2810.427,95.279273,
2807.516,105.0925,
2804.605,105.23798,
2801.695,104.79605,
2798.784,105.40323,
2795.874,103.33476,
2792.963,105.05351,
2790.052,111.62328,
2787.142,107.75662,
2784.231,108.07687,
2781.321,99.316463,
2778.410,103.81537,
2775.500,107.11293,
2772.589,108.31766,
2769.678,107.12674,
2766.768,110.17647,
2763.857,106.30901,
2760.947,103.6187,
2758.036,105.16642,
2755.126,114.91346,
2752.215,111.34777,
2749.304,111.1358,
2746.394,131.23794,
2743.483,119.725,
2740.573,112.64045,
2737.662,117.0821,
