,PLEED5~1,
Raman shift [1/cm],Intensity,
3014.167,-0.5,
3011.256,-1.3500752,
3008.346,126.56653,
3005.435,148.34806,
3002.525,161.46253,
2999.614,159.73766,
2996.704,165.2701,
2993.793,179.64228,
2990.882,169.88929,
2987.972,171.66144,
2985.061,201.28325,
2982.151,203.78404,
2979.240,206.23384,
2976.329,207.25683,
2973.419,209.89974,
2970.508,229.13329,
2967.598,233.30884,
2964.687,224.72419,
2961.777,215.87603,
2958.866,255.16271,
2955.955,246.84073,
2953.045,252.35237,
2950.134,267.68075,
2947.224,263.69928,
2944.313,273.19658,
2941.403,282.58348,
2938.492,281.21274,
2935.581,295.29015,
2932.671,302.45706,
2929.760,289.63846,
2926.850,302.87293,
2923.939,305.53736,
2921.028,299.85868,
2918.118,307.02141,
2915.207,304.96186,
2912.297,319.39845,
2909.386,314.28832,
2906.476,313.53089,
2903.565,308.01555,
2900.654,310.77099,
2897.744,307.26113,
2894.833,294.27309,
2891.923,304.9327,
2889.012,306.78902,
2886.102,305.23109,
2883.191,292.50566,
2880.280,280.76793,
2877.370,217.90129,
2874.459,232.78937,
2871.549,266.13186,
2868.638,305.45668,
2865.727,324.39233,
2862.817,318.68583,
2859.906,316.70228,
2856.996,302.53623,
2854.085,334.99167,
2851.175,324.71386,
2848.264,320.5735,
2845.353,324.47843,
2842.443,316.31253,
2839.532,303.17166,
2836.622,306.34831,
2833.711,314.44036,
2830.801,316.20515,
2827.890,335.53843,
2824.979,323.35197,
2822.069,324.72744,
2819.158,335.75875,
2816.248,327.47684,
2813.337,348.21099,
2810.427,323.93388,
2807.516,320.44969,
2804.605,343.37018,
2801.695,329.11844,
2798.784,347.61292,
2795.874,336.21504,
2792.963,333.57138,
2790.052,333.49979,
2787.142,337.72365,
2784.231,328.82299,
2781.321,326.4429,
2778.410,341.74492,
2775.500,341.96828,
2772.589,339.84633,
2769.678,349.92659,
2766.768,355.25339,
2763.857,339.97592,
2760.947,361.01576,
2758.036,346.55722,
2755.126,347.8312,
2752.215,355.09547,
2749.304,357.3723,
2746.394,365.8286,
2743.483,379.44998,
2740.573,355.99767,
2737.662,373.27663,
2734.751,358.5439,
2731.841,359.98718,
2728.930,388.13144,
2726.020,375.38773,
2723.109,392.23166,
2720.199,375.94991,
2717.288,389.0438,
2714.377,398.2082,
2711.467,378.45055,
2708.556,387.37242,
2705.646,382.80985,
2702.735,396.99742,
2699.825,394.5,
2696.914,400.97637,
2694.003,392.73901,
2691.093,407.21362,
2688.182,400.95556,
2685.272,380.70342,
2682.361,384.11136,
2679.450,397.12965,
2676.540,396.62194,
2673.629,400.17714,
2670.719,395.5,
2667.808,405.01364,
2664.898,410.98055,
2661.987,404.96658,
