,PL0F28~1,
Raman shift [1/cm],Intensity,
3014.167,0.875,
3011.256,-0.57498926,
3008.346,129.23476,
3005.435,144.91387,
3002.525,144.49748,
2999.614,160.43995,
2996.704,169.83067,
2993.793,166.47581,
2990.882,179.79106,
2987.972,168.96076,
2985.061,184.1016,
2982.151,186.27837,
2979.240,197.77423,
2976.329,200.37227,
2973.419,206.73688,
2970.508,197.80831,
2967.598,233.91918,
2964.687,220.1284,
2961.777,235.84091,
2958.866,237.875,
2955.955,250.01658,
2953.045,252.89291,
2950.134,272.18406,
2947.224,280.07428,
2944.313,280.58298,
2941.403,278.95848,
2938.492,290.01321,
2935.581,288.57929,
2932.671,292.91361,
2929.760,295.49809,
2926.850,308.61372,
2923.939,303.95444,
2921.028,315.12215,
2918.118,303.03621,
2915.207,328.7676,
2912.297,326.93001,
2909.386,337.46624,
2906.476,334.68118,
2903.565,329.06759,
2900.654,339.98118,
2897.744,315.21445,
2894.833,335.27718,
2891.923,325.875,
2889.012,317.49928,
2886.102,312.02231,
2883.191,317.86462,
2880.280,313.81279,
2877.370,326.42144,
2874.459,314.22721,
2871.549,327.19093,
2868.638,341.60283,
2865.727,346.90192,
2862.817,340.13169,
2859.906,341.07728,
2856.996,342.83877,
2854.085,346.47373,
2851.175,345.9925,
2848.264,342.37016,
2845.353,342.8103,
2842.443,337.07987,
2839.532,335.20334,
2836.622,320.66146,
2833.711,319.13403,
2830.801,331.06912,
2827.890,326.31382,
2824.979,327.09704,
2822.069,338.7954,
2819.158,326.55424,
2816.248,323.10474,
2813.337,346.37989,
2810.427,326.875,
2807.516,333.60875,
2804.605,333.32693,
2801.695,338.34867,
2798.784,344.13577,
2795.874,323.44492,
2792.963,328.73223,
2790.052,319.87736,
2787.142,327.2565,
2784.231,330.93865,
2781.321,320.5607,
2778.410,329.98411,
2775.500,333.7919,
2772.589,326.45222,
2769.678,335.05245,
2766.768,343.93326,
2763.857,352.033,
2760.947,347.84348,
2758.036,342.875,
2755.126,347.5374,
2752.215,349.30215,
2749.304,350.47031,
2746.394,350.62698,
2743.483,362.52499,
2740.573,344.35722,
2737.662,348.43861,
2734.751,358.34095,
2731.841,339.57646,
2728.930,355.20129,
2726.020,366.22222,
2723.109,361.80309,
2720.199,372.07195,
2717.288,360.78741,
2714.377,369.45402,
2711.467,367.66181,
2708.556,373.48132,
2705.646,375.875,
2702.735,369.39305,
2699.825,379.04951,
2696.914,372.49409,
2694.003,391.02135,
2691.093,370.23239,
2688.182,415.06019,
2685.272,373.27329,
2682.361,379.45142,
2679.450,376.92029,
2676.540,378.875,
2673.629,381.52969,
2670.719,392.65596,
2667.808,386.36136,
2664.898,384.589,
2661.987,392.37483,
2659.076,382.38362,
2656.166,391.93991,
2653.255,399.28146,
2650.345,395.60277,
2647.434,418.27483,
2644.524,416.12202,
2641.613,405.73169,
2638.702,421.49625,
2635.792,410.875,
2632.881,406.8334,
2629.971,417.83482,
2627.060,417.875,
2624.149,414.65938,
2621.239,416.88686,
2618.328,417.74784,
2615.418,419.85228,
2612.507,428.01335,
2609.597,426.875,
2606.686,413.06978,
2603.775,421.07739,
2600.865,428.875,
2597.954,425.2104,
2595.044,427.24966,
2592.133,426.4356,
2589.223,453.27291,
2586.312,453.16648,
2583.401,437.69249,
2580.491,444.12015,
2577.580,442.8684,
2574.670,437.49131,
2571.759,441.03167,
2568.848,450.16783,
2565.938,449.49393,
2563.027,464.875,
2560.117,452.16469,
2557.206,469.28459,
2554.296,460.73312,
2551.385,459.18094,
2548.474,462.43076,
2545.564,466.875,
2542.653,463.55957,
2539.743,470.19632,
2536.832,485.63014,
2533.922,466.95385,
2531.011,474.62477,
2528.100,485.60672,
2525.190,489.66557,
2522.279,477.43778,
2519.369,485.55445,
2516.458,473.42741,
2513.548,486.86567,
2510.637,482.55131,
2507.726,492.25046,
2504.816,484.12415,
2501.905,476.44024,
2498.995,477.05416,
2496.084,484.78095,
2493.173,489.24321,
2490.263,479.08855,
2487.352,499.2506,
2484.442,502.46388,
2481.531,496.24727,
2478.621,505.17833,
2475.710,513.898,
2472.799,517.36827,
2469.889,521.29883,
2466.978,513.05036,
2464.068,511.74803,
2461.157,498.64498,
2458.247,503.5809,
2455.336,513.12941,
2452.425,515.98349,
2449.515,522.12032,
2446.604,513.29904,
2443.694,505.50332,
2440.783,524.4009,
2437.872,531.2551,
2434.962,521.44181,
2432.051,539.875,
2429.141,546.2808,
2426.230,546.07057,
2423.320,545.80307,
2420.409,561.58023,
2417.498,543.30195,
2414.588,562.2171,
2411.677,570.875,
2408.767,565.81595,
2405.856,560.72495,
2402.946,552.02335,
2400.035,558.15905,
2397.124,572.07822,
2394.214,561.119,
2391.303,575.37771,
2388.393,569.93079,
2385.482,585.9497,
2382.571,591.54594,
2379.661,592.85169,
2376.750,590.92923,
2373.840,579.60003,
2370.929,558.09159,
2368.019,590.0314,
2365.108,599.61846,
2362.197,604.48595,
2359.287,600.48001,
2356.376,595.88204,
2353.466,590.05649,
2350.555,597.6401,
2347.645,612.53194,
2344.734,598.59845,
2341.823,606.64283,
2338.913,613.98693,
2336.002,616.92039,
2333.092,618.73725,
2330.181,630.49131,
2327.270,598.13022,
2324.360,608.54716,
2321.449,619.01447,
2318.539,621.66091,
2315.628,634.19315,
2312.718,637.69218,
2309.807,626.3779,
2306.896,649.64652,
2303.986,659.61528,
2301.075,663.72606,
2298.165,647.31698,
2295.254,656.5734,
2292.344,652.61361,
2289.433,647.89046,
2286.522,649.30806,
2283.612,651.70536,
2280.701,678.97361,
2277.791,672.91507,
2274.880,676.65695,
2271.969,685.32767,
2269.059,678.96491,
2266.148,690.46598,
2263.238,670.68583,
2260.327,691.1509,
2257.417,690.605,
2254.506,691.84373,
2251.595,701.31507,
2248.685,674.19814,
2245.774,703.01725,
2242.864,704.84755,
2239.953,717.05434,
2237.043,717.10928,
2234.132,723.02047,
2231.221,709.92663,
2228.311,716.31313,
2225.400,726.12831,
2222.490,736.36037,
2219.579,740.82358,
2216.669,739.86069,
2213.758,738.96127,
2210.847,748.15962,
2207.937,805.55408,
2205.026,813.65314,
2202.116,810.16798,
2199.205,825.40018,
2196.294,811.75903,
2193.384,825.19003,
2190.473,839.88087,
2187.563,849.20368,
2184.652,914.61582,
2181.742,914.58112,
2178.831,959.82448,
2175.920,973.04622,
2173.010,983.37613,
2170.099,1017.4717,
2167.189,1029.9683,
2164.278,1046.6901,
2161.368,1086.3015,
2158.457,1129.4514,
2155.546,1141.7683,
2152.636,1172.7792,
2149.725,1202.6804,
2146.815,1227.1743,
2143.904,1263.1835,
2140.993,1289.9278,
2138.083,1306.2276,
2135.172,1310.2868,
2132.262,1314.6162,
2129.351,1294.2611,
2126.441,1273.8555,
2123.530,1238.8761,
2120.619,1148.1228,
2117.709,1125.6012,
2114.798,1091.4517,
2111.888,1023.4641,
2108.977,989.78229,
2106.067,931.72153,
2103.156,935.75071,
2100.245,896.87437,
2097.335,893.70746,
2094.424,867.82232,
2091.514,838.73524,
2088.603,846.72291,
2085.692,865.83401,
2082.782,869.80677,
2079.871,834.83767,
2076.961,847.51886,
2074.050,871.79015,
2071.140,832.32316,
2068.229,837.69792,
2065.318,837.99901,
2062.408,827.19272,
2059.497,812.48811,
2056.587,833.18869,
2053.676,827.62575,
2050.766,816.56783,
2047.855,814.47629,
2044.944,801.67307,
2042.034,810.66696,
2039.123,819.47433,
2036.213,811.54833,
2033.302,810.41847,
2030.391,800.5702,
2027.481,811.9846,
2024.570,801.86114,
2021.660,820.51503,
2018.749,814.48285,
2015.839,831.48917,
2012.928,835.66862,
2010.017,813.90106,
2007.107,816.06192,
2004.196,812.66068,
2001.286,806.29196,
1998.375,807.875,
1995.465,825.96696,
1992.554,806.33404,
1989.643,820.25285,
1986.733,793.875,
1983.822,795.84989,
1980.912,806.05307,
1978.001,801.75626,
1975.090,797.90553,
1972.180,793.11568,
1969.269,800.875,
1966.359,800.22634,
1963.448,822.52098,
1960.538,791.11103,
1957.627,790.79142,
1954.716,797.70264,
1951.806,794.42146,
1948.895,804.23736,
1945.985,797.21977,
1943.074,780.42492,
1940.164,763.16345,
1937.253,773.92692,
1934.342,765.66966,
1931.432,764.96649,
1928.521,772.13407,
1925.611,755.34265,
1922.700,738.21202,
1919.790,745.21014,
1916.879,758.96826,
1913.968,794.83196,
1911.058,740.18732,
1908.147,771.41367,
1905.237,766.04415,
1902.326,783.1387,
1899.415,776.65792,
1896.505,762.65814,
1893.594,764.32927,
1890.684,754.54827,
1887.773,756.42643,
1884.863,769.33969,
1881.952,762.80759,
1879.041,754.33606,
1876.131,735.77305,
1873.220,744.95027,
1870.310,766.36824,
1867.399,759.01894,
1864.489,777.47303,
1861.578,741.56741,
1858.667,732.98276,
1855.757,762.45495,
1852.846,779.84937,
1849.936,767.29342,
1847.025,771.46381,
1844.114,768.47265,
1841.204,780.95542,
1838.293,788.8883,
1835.383,779.2355,
1832.472,798.03848,
1829.562,822.73464,
1826.651,806.31035,
1823.740,797.33094,
1820.830,810.99323,
1817.919,811.61749,
1815.009,815.15617,
1812.098,817.67027,
1809.188,778.47974,
1806.277,810.10039,
1803.366,830.95818,
1800.456,833.78663,
1797.545,799.3501,
1794.635,818.64808,
1791.724,856.15648,
1788.813,881.07269,
1785.903,873.17152,
1782.992,864.70508,
1780.082,846.36869,
1777.171,844.54256,
1774.261,867.22039,
1771.350,873.96399,
1768.439,843.51479,
1765.529,875.60561,
1762.618,902.18939,
1759.708,892.03788,
1756.797,865.57954,
1753.887,878.4406,
1750.976,863.44373,
1748.065,861.76593,
1745.155,883.81687,
1742.244,855.76817,
1739.334,888.85851,
1736.423,904.80959,
1733.512,912.78966,
1730.602,922.11112,
1727.691,888.56262,
1724.781,915.63068,
1721.870,904.1463,
1718.960,929.29759,
1716.049,914.90063,
1713.138,932.2499,
1710.228,928.91262,
1707.317,954.41214,
1704.407,943.50064,
1701.496,934.58262,
1698.586,970.83438,
1695.675,966.38933,
1692.764,1005.6373,
1689.854,1013.6152,
1686.943,999.38088,
1684.033,1073.9626,
1681.122,1012.9625,
1678.211,1093.0946,
1675.301,1067.9552,
1672.390,1063.9797,
1669.480,1099.0274,
1666.569,1118.2559,
1663.659,1148.6916,
1660.748,1196.8338,
1657.837,1144.7279,
1654.927,1183.859,
1652.016,1224.8507,
1649.106,1226.1517,
1646.195,1318.0019,
1643.285,1363.0775,
1640.374,1328.7914,
1637.463,1326.4243,
1634.553,1411.1114,
1631.642,1428.4711,
1628.732,1573.8454,
1625.821,1568.9169,
1622.911,1632.5144,
1620.000,1765.1868,
1617.089,1877.6262,
1614.179,2004.2653,
1611.268,2079.1238,
1608.358,2162.895,
1605.447,2283.7902,
1602.536,2263.8503,
1599.626,2283.0335,
1596.715,2355.6679,
1593.805,2339.6224,
1590.894,2290.1995,
1587.984,2280.4106,
1585.073,2248.3948,
1582.162,2231.1866,
1579.252,2212.509,
1576.341,2149.5963,
1573.431,2138.0077,
1570.520,2151.105,
1567.610,2116.1293,
1564.699,2070.2487,
1561.788,2083.9311,
1558.878,2012.9434,
1555.967,1976.1963,
1553.057,1951.358,
1550.146,1923.355,
1547.235,1869.4199,
1544.325,1825.4333,
1541.414,1799.1332,
1538.504,1771.5161,
1535.593,1764.2311,
1532.683,1754.715,
1529.772,1723.5065,
1526.861,1697.0238,
1523.951,1678.6569,
1521.040,1657.1999,
1518.130,1626.9548,
1515.219,1613.0351,
1512.309,1596.2578,
1509.398,1558.7494,
1506.487,1585.5048,
1503.577,1596.2549,
1500.666,1606.5852,
1497.756,1534.0192,
1494.845,1547.3147,
1491.934,1533.7931,
1489.024,1508.7683,
1486.113,1486.549,
1483.203,1449.3483,
1480.292,1445.7235,
1477.382,1424.8605,
1474.471,1405.2948,
1471.560,1403.7777,
1468.650,1387.7932,
1465.739,1368.3462,
1462.829,1343.9705,
1459.918,1312.5378,
1457.008,1339.014,
1454.097,1364.1616,
1451.186,1350.0336,
1448.276,1330.4161,
1445.365,1312.9153,
1442.455,1365.6884,
1439.544,1352.696,
1436.633,1338.1868,
1433.723,1377.7775,
1430.812,1310.698,
1427.902,1270.4015,
1424.991,1250.4984,
1422.081,1242.5352,
1419.170,1260.0203,
1416.259,1222.3718,
1413.349,1208.3436,
1410.438,1213.8728,
1407.528,1230.3936,
1404.617,1203.2344,
1401.707,1188.9439,
1398.796,1205.8995,
1395.885,1219.4223,
1392.975,1230.8335,
1390.064,1226.0425,
1387.154,1166.9387,
1384.243,1084.4617,
1381.332,1100.4163,
1378.422,1132.1597,
1375.511,1195.8608,
1372.601,1293.6399,
1369.690,1344.7361,
1366.780,1423.1582,
1363.869,1426.619,
1360.958,1438.0406,
1358.048,1463.4877,
1355.137,1504.839,
1352.227,1532.3325,
1349.316,1596.6429,
1346.406,1689.2115,
1343.495,1683.5876,
1340.584,1725.3386,
1337.674,1773.699,
1334.763,1814.2279,
1331.853,1823.5002,
1328.942,1896.8111,
1326.032,1870.8033,
1323.121,1919.9293,
1320.210,1953.1934,
1317.300,1913.8369,
1314.389,1927.0981,
1311.479,1987.3506,
1308.568,2031.4265,
1305.657,2082.5181,
1302.747,2113.6619,
1299.836,2119.6859,
1296.926,2200.7206,
1294.015,2283.4597,
1291.105,2292.1583,
1288.194,2382.3342,
1285.283,2436.3791,
1282.373,2500.7654,
1279.462,2538.0121,
1276.552,2552.7018,
1273.641,2576.9204,
1270.731,2602.5213,
1267.820,2598.9035,
1264.909,2559.0616,
1261.999,2547.2065,
1259.088,2583.6914,
1256.178,2569.6023,
1253.267,2528.5152,
1250.356,2467.4355,
1247.446,2419.2325,
1244.535,2390.9732,
1241.625,2364.5343,
1238.714,2320.391,
1235.804,2267.6323,
1232.893,2247.0029,
1229.982,2231.2072,
1227.072,2152.4451,
1224.161,2160.3231,
1221.251,2100.3362,
1218.340,2039.3585,
1215.430,2003.5611,
1212.519,1978.745,
1209.608,1980.2394,
1206.698,1998.3428,
1203.787,1963.8599,
1200.877,1994.3854,
1197.966,2051.0324,
1195.055,2132.3739,
1192.145,2183.4422,
1189.234,2219.8803,
1186.324,2253.0588,
1183.413,2300.3471,
1180.503,2327.0711,
1177.592,2310.1479,
1174.681,2324.5394,
1171.771,2279.3502,
1168.860,2213.2616,
1165.950,2193.1681,
1163.039,2155.6533,
1160.129,2143.2344,
1157.218,2118.4345,
1154.307,2078.3732,
1151.397,2054.7041,
1148.486,2040.6272,
1145.576,2028.9158,
1142.665,2052.8894,
1139.754,2050.8069,
1136.844,2011.3583,
1133.933,1986.6639,
1131.023,1972.3773,
1128.112,1981.0866,
1125.202,2001.7977,
1122.291,1970.6432,
1119.380,2017.875,
1116.470,2017.875,
1113.559,2000.0903,
1110.649,2018.4494,
1107.738,2014.8005,
1104.828,2007.5326,
1101.917,2022.4965,
1099.006,2034.6482,
1096.096,2030.1651,
1093.185,2051.2371,
1090.275,2083.6273,
1087.364,2055.8827,
1084.453,2009.5019,
1081.543,2012.6065,
1078.632,2043.4277,
1075.722,2037.9437,
1072.811,2052.8941,
1069.901,2137.6004,
1066.990,2073.5502,
1064.079,2080.693,
1061.169,2085.7997,
1058.258,2107.1311,
1055.348,2139.3475,
1052.437,2133.9908,
1049.527,2150.4456,
1046.616,2165.2157,
1043.705,2160.7089,
1040.795,2178.0301,
1037.884,2195.4496,
1034.974,2213.7925,
1032.063,2230.2982,
1029.153,2223.6527,
1026.242,2263.4407,
1023.331,2229.8772,
1020.421,2217.2982,
1017.510,2226.0805,
1014.600,2265.326,
1011.689,2323.6941,
1008.778,2370.2733,
