,PL1990~1,
Raman shift [1/cm],Intensity,
3014.167,1.25,
3011.256,-0.75,
3008.346,108.03297,
3005.435,123.90371,
3002.525,119.28747,
2999.614,143.67598,
2996.704,133.9397,
2993.793,136.60311,
2990.882,144.77676,
2987.972,133.44171,
2985.061,157.06279,
2982.151,159.50548,
2979.240,157.04847,
2976.329,175.76911,
2973.419,163.28055,
2970.508,171.01667,
2967.598,196.29418,
2964.687,186.80163,
2961.777,183.66012,
2958.866,188.22921,
2955.955,199.55533,
2953.045,202.14932,
2950.134,209.98472,
2947.224,213.73397,
2944.313,228.00285,
2941.403,228.72628,
2938.492,242.83537,
2935.581,234.45985,
2932.671,245.49035,
2929.760,237.09229,
2926.850,241.51842,
2923.939,241.3668,
2921.028,249.93821,
2918.118,244.95151,
2915.207,263.72476,
2912.297,264.26693,
2909.386,266.43978,
2906.476,267.89325,
2903.565,256.08852,
2900.654,262.92037,
2897.744,264.33801,
2894.833,272.89945,
2891.923,265.5192,
2889.012,257.20954,
2886.102,244.1892,
2883.191,263.2264,
2880.280,229.7189,
2877.370,239.16274,
2874.459,211.30043,
2871.549,246.6581,
2868.638,259.25,
2865.727,277.71927,
2862.817,266.89305,
2859.906,269.33832,
2856.996,266.23189,
2854.085,266.72899,
2851.175,281.27113,
2848.264,276.8825,
2845.353,279.20687,
2842.443,273.25696,
2839.532,255.60828,
2836.622,254.55339,
2833.711,257.30181,
2830.801,261.84706,
2827.890,259.16608,
2824.979,266.52193,
2822.069,258.98844,
2819.158,239.67049,
2816.248,250.47974,
2813.337,270.27073,
2810.427,271.08058,
2807.516,266.61687,
2804.605,264.65865,
2801.695,257.76314,
2798.784,271.62369,
2795.874,259.08903,
2792.963,278.17862,
2790.052,263.25343,
2787.142,261.69731,
2784.231,257.37888,
2781.321,272.92993,
2778.410,259.88958,
2775.500,260.05966,
2772.589,257.78823,
2769.678,256.57081,
2766.768,270.61312,
2763.857,278.35404,
2760.947,262.71533,
2758.036,272.4985,
2755.126,278.48291,
2752.215,284.80445,
2749.304,277.3777,
2746.394,270.21368,
2743.483,281.8,
2740.573,272.49111,
2737.662,274.48372,
2734.751,290.62366,
2731.841,278.51922,
2728.930,291.69914,
2726.020,294.36227,
2723.109,269.53909,
2720.199,285.44695,
2717.288,272.53102,
2714.377,290.27886,
2711.467,300.10274,
2708.556,297.154,
2705.646,297.79927,
2702.735,279.9459,
2699.825,304.33726,
2696.914,287.29726,
2694.003,301.09391,
2691.093,296.8216,
2688.182,307.35963,
2685.272,296.80761,
2682.361,306.40284,
2679.450,300.63276,
2676.540,310.82319,
2673.629,295.89122,
2670.719,316.88494,
2667.808,300.36862,
2664.898,302.31518,
2661.987,295.05013,
2659.076,308.97844,
2656.166,302.60497,
2653.255,313.39456,
2650.345,320.89791,
2647.434,314.27887,
2644.524,324.86391,
2641.613,316.70694,
2638.702,316.20266,
2635.792,306.56008,
2632.881,326.98211,
2629.971,321.27009,
2627.060,316.24813,
2624.149,317.46877,
2621.239,323.04299,
2618.328,321.20761,
2615.418,320.58182,
2612.507,336.76378,
2609.597,330.81088,
2606.686,323.3283,
2603.775,322.77382,
2600.865,336.77902,
2597.954,334.48957,
2595.044,338.58924,
2592.133,343.36471,
2589.223,342.7921,
2586.312,349.10426,
2583.401,351.45437,
2580.491,347.07212,
2577.580,343.24835,
2574.670,344.4639,
2571.759,351.90154,
2568.848,354.07321,
2565.938,355.77384,
2563.027,351.98181,
2560.117,357.69861,
2557.206,364.77029,
2554.296,353.85412,
2551.385,366.86996,
2548.474,355.62026,
2545.564,387.14206,
2542.653,354.17617,
2539.743,363.17606,
2536.832,372.27056,
2533.922,365.23423,
2531.011,363.42507,
2528.100,359.11759,
2525.190,366.73688,
2522.279,368.43759,
2519.369,377.9855,
2516.458,379.01912,
2513.548,374.10448,
2510.637,382.63517,
2507.726,373.25,
2504.816,373.81257,
2501.905,363.69939,
2498.995,371.5041,
2496.084,387.57054,
2493.173,375.93411,
2490.263,382.8229,
2487.352,399.70747,
2484.442,391.52193,
2481.531,405.93613,
2478.621,386.21674,
2475.710,390.23466,
2472.799,389.7298,
2469.889,388.43281,
2466.978,397.4045,
2464.068,417.61513,
2461.157,388.71491,
2458.247,401.11762,
2455.336,392.97406,
2452.425,395.59906,
2449.515,404.63669,
2446.604,400.25,
2443.694,396.18009,
2440.783,403.7759,
2437.872,401.19809,
2434.962,420.99655,
2432.051,407.71299,
2429.141,422.77336,
2426.230,430.11962,
2423.320,438.19274,
2420.409,436.06424,
2417.498,414.67695,
2414.588,436.04456,
2411.677,442.42929,
2408.767,445.22638,
2405.856,442.06427,
2402.946,421.29111,
2400.035,425.53405,
2397.124,437.59759,
2394.214,444.3572,
2391.303,445.36043,
2388.393,442.0523,
2385.482,440.16188,
2382.571,441.05985,
2379.661,450.62209,
2376.750,459.93221,
2373.840,462.32814,
2370.929,451.3583,
2368.019,445.79186,
2365.108,449.48298,
2362.197,463.76515,
2359.287,469.86337,
2356.376,462.26057,
2353.466,466.58213,
2350.555,477.13974,
2347.645,469.21026,
2344.734,463.3698,
2341.823,475.01783,
2338.913,464.18432,
2336.002,471.85754,
2333.092,493.81321,
2330.181,501.79474,
2327.270,501.41502,
2324.360,482.224,
2321.449,501.32479,
2318.539,476.80352,
2315.628,497.3835,
2312.718,495.53414,
2309.807,497.41133,
2306.896,511.23435,
2303.986,506.12014,
2301.075,504.1649,
2298.165,506.24046,
2295.254,523.88377,
2292.344,495.14208,
2289.433,509.61682,
2286.522,512.60272,
2283.612,517.60078,
2280.701,530.03922,
2277.791,493.97135,
2274.880,518.31187,
2271.969,540.76852,
2269.059,524.07832,
2266.148,517.43865,
2263.238,529.04536,
2260.327,546.87077,
2257.417,552.87778,
2254.506,555.364,
2251.595,551.41011,
2248.685,529.14811,
2245.774,516.33808,
2242.864,558.96321,
2239.953,567.20176,
2237.043,560.63964,
2234.132,556.84483,
2231.221,558.93478,
2228.311,556.03093,
2225.400,569.33444,
2222.490,573.73537,
2219.579,576.48906,
2216.669,580.19754,
2213.758,587.98856,
2210.847,604.78902,
2207.937,625.5578,
2205.026,633.24941,
2202.116,644.26806,
2199.205,630.25,
2196.294,629.688,
2193.384,657.67004,
2190.473,687.26761,
2187.563,661.63185,
2184.652,741.75612,
2181.742,744.93116,
2178.831,744.12165,
2175.920,776.15347,
2173.010,799.85091,
2170.099,831.1136,
2167.189,847.21412,
2164.278,847.67915,
2161.368,889.53447,
2158.457,941.9385,
2155.546,984.97693,
2152.636,1009.0638,
2149.725,1038.0554,
2146.815,1054.8162,
2143.904,1063.2648,
2140.993,1100.1812,
2138.083,1094.861,
2135.172,1096.1157,
2132.262,1109.1206,
2129.351,1124.6191,
2126.441,1076.3566,
2123.530,1035.5766,
2120.619,972.67217,
2117.709,934.95612,
2114.798,881.76142,
2111.888,841.67604,
2108.977,790.64071,
2106.067,743.91489,
2103.156,750.08703,
2100.245,699.25063,
2097.335,698.44372,
2094.424,681.42041,
2091.514,668.89247,
2088.603,667.77535,
2085.692,670.79645,
2082.782,669.71589,
2079.871,648.53472,
2076.961,658.28133,
2074.050,657.32879,
2071.140,638.92819,
2068.229,644.05337,
2065.318,660.719,
2062.408,645.93912,
2059.497,633.25,
2056.587,649.56369,
2053.676,643.18413,
2050.766,634.71188,
2047.855,622.27848,
2044.944,623.51602,
2042.034,627.61997,
2039.123,642.05135,
2036.213,644.63662,
2033.302,633.96735,
2030.391,614.99634,
2027.481,625.56687,
2024.570,648.42103,
2021.660,667.2448,
2018.749,633.47794,
2015.839,642.74738,
2012.928,662.95134,
2010.017,654.27606,
2007.107,654.34346,
2004.196,634.72611,
2001.286,619.89663,
1998.375,630.5128,
1995.465,639.54286,
1992.554,618.46196,
1989.643,616.21544,
1986.733,642.36052,
1983.822,593.78914,
1980.912,610.38871,
1978.001,618.63962,
1975.090,623.86679,
1972.180,612.42288,
1969.269,643.48001,
1966.359,640.11446,
1963.448,621.78897,
1960.538,622.06151,
1957.627,616.90015,
1954.716,622.07764,
1951.806,603.14421,
1948.895,625.73372,
1945.985,650.99509,
1943.074,608.57833,
1940.164,621.53845,
1937.253,623.69341,
1934.342,612.61739,
1931.432,588.59069,
1928.521,602.38126,
1925.611,606.04228,
1922.700,592.96133,
1919.790,605.75271,
1916.879,596.15674,
1913.968,581.26721,
1911.058,555.48725,
1908.147,600.85146,
1905.237,599.83825,
1902.326,609.94184,
1899.415,602.20729,
1896.505,581.69598,
1893.594,614.06405,
1890.684,610.37426,
1887.773,596.36214,
1884.863,612.10877,
1881.952,597.83774,
1879.041,612.21418,
1876.131,603.96242,
1873.220,580.20125,
1870.310,606.02573,
1867.399,569.87375,
1864.489,605.8731,
1861.578,617.23383,
1858.667,583.5314,
1855.757,611.26074,
1852.846,598.49616,
1849.936,602.90064,
1847.025,608.72447,
1844.114,594.87119,
1841.204,615.13461,
1838.293,619.77245,
1835.383,627.56348,
1832.472,631.61,
1829.562,633.10964,
1826.651,600.95847,
1823.740,618.92056,
1820.830,658.48645,
1817.919,625.53118,
1815.009,623.09987,
1812.098,641.30511,
1809.188,648.87789,
1806.277,616.00248,
1803.366,658.15018,
1800.456,651.42564,
1797.545,639.37046,
1794.635,655.73493,
1791.724,629.37616,
1788.813,651.05103,
1785.903,665.97473,
1782.992,681.17988,
1780.082,632.7106,
1777.171,660.24678,
1774.261,662.12028,
1771.350,689.81175,
1768.439,680.3543,
