,PL1CBE~1,
Raman shift [1/cm],Intensity,
3014.167,-0.5,
3011.256,-1.2999571,
3008.346,129.55685,
3005.435,150.76855,
3002.525,151.46253,
2999.614,163.68832,
2996.704,168.18144,
2993.793,166.72005,
2990.882,187.80535,
2987.972,176.54036,
2985.061,184.05665,
2982.151,191.42606,
2979.240,203.9173,
2976.329,216.27867,
2973.419,201.6846,
2970.508,219.14991,
2967.598,246.4008,
2964.687,230.70856,
2961.777,241.12397,
2958.866,261.50148,
2955.955,255.70576,
2953.045,260.06825,
2950.134,278.17057,
2947.224,287.44306,
2944.313,291.79202,
2941.403,295.15465,
2938.492,301.95801,
2935.581,310.56995,
2932.671,309.90346,
2929.760,317.34229,
2926.850,311.34323,
2923.939,327.81774,
2921.028,320.85868,
2918.118,335.10202,
2915.207,362.68368,
2912.297,350.58463,
2909.386,363.6606,
2906.476,338.63203,
2903.565,335.9674,
2900.654,359.24011,
2897.744,364.34913,
2894.833,347.55164,
2891.923,330.7692,
2889.012,345.04335,
2886.102,341.91621,
2883.191,340.50283,
2880.280,350.39952,
2877.370,362.12203,
2874.459,368.1602,
2871.549,350.38173,
2868.638,377.63813,
2865.727,372.73463,
2862.817,366.22861,
2859.906,370.75356,
2856.996,385.47736,
2854.085,383.45797,
2851.175,370.12046,
2848.264,364.01451,
2845.353,365.41373,
2842.443,356.70836,
2839.532,347.17166,
2836.622,349.16276,
2833.711,335.75903,
2830.801,336.00368,
2827.890,345.39686,
2824.979,347.93202,
2822.069,355.31805,
2819.158,336.45957,
2816.248,366.61394,
2813.337,357.79879,
2810.427,349.27961,
2807.516,343.55766,
2804.605,348.52164,
2801.695,343.44735,
2798.784,356.87369,
2795.874,347.63984,
2792.963,351.14287,
2790.052,348.50064,
2787.142,346.81569,
2784.231,350.69253,
2781.321,336.56286,
2778.410,348.70429,
2775.500,351.48035,
2772.589,355.6919,
2769.678,355.5341,
2766.768,366.55826,
2763.857,352.65993,
2760.947,361.95272,
2758.036,350.26431,
2755.126,377.11966,
2752.215,372.84088,
2749.304,373.9892,
2746.394,374.15721,
2743.483,380.50005,
2740.573,368.83848,
2737.662,367.40384,
2734.751,381.40771,
2731.841,358.63369,
2728.930,392.02972,
2726.020,389.06134,
2723.109,373.99517,
2720.199,379.77504,
2717.288,383.28833,
2714.377,384.53344,
2711.467,393.05715,
2708.556,403.5,
2705.646,403.5,
2702.735,412.50516,
2699.825,414.07635,
2696.914,391.07088,
2694.003,409.47236,
2691.093,398.48195,
2688.182,414.88371,
2685.272,398.85419,
2682.361,414.8941,
2679.450,407.00621,
2676.540,423.07319,
2673.629,406.48204,
2670.719,413.85767,
2667.808,390.66725,
2664.898,414.91537,
2661.987,414.46641,
