,PL367B~1,
Raman shift [1/cm],Intensity,
3014.167,0.125,
3011.256,-1.2249678,
3008.346,81.634083,
3005.435,102.54903,
3002.525,93.652405,
2999.614,116.78865,
2996.704,114.62913,
2993.793,122.62961,
2990.882,129.85777,
2987.972,119.2259,
2985.061,136.02155,
2982.151,125.96029,
2979.240,141.5423,
2976.329,151.64957,
2973.419,141.57121,
2970.508,148.99161,
2967.598,145.17279,
2964.687,151.85598,
2961.777,167.18492,
2958.866,169.7981,
2955.955,153.53651,
2953.045,169.47399,
2950.134,185.16878,
2947.224,191.78337,
2944.313,189.1136,
2941.403,206.20848,
2938.492,201.25236,
2935.581,202.57652,
2932.671,212.44257,
2929.760,198.52115,
2926.850,203.75921,
2923.939,206.64368,
2921.028,211.125,
2918.118,202.90712,
2915.207,228.95422,
2912.297,225.16731,
2909.386,223.89143,
2906.476,212.54354,
2903.565,233.54426,
2900.654,232.06636,
2897.744,217.07471,
2894.833,211.06318,
2891.923,222.72121,
2889.012,217.29263,
2886.102,209.89663,
2883.191,217.11556,
2880.280,198.39293,
2877.370,186.54358,
2874.459,174.37015,
2871.549,177.58584,
2868.638,239.12909,
2865.727,225.80961,
2862.817,227.85361,
2859.906,222.2646,
2856.996,235.10689,
2854.085,235.60399,
2851.175,229.17318,
2848.264,228.91417,
2845.353,236.08187,
2842.443,230.13196,
2839.532,225.67723,
2836.622,215.03516,
2833.711,224.85813,
2830.801,204.84485,
2827.890,212.66696,
2824.979,223.75493,
2822.069,221.19323,
2819.158,224.08457,
2816.248,213.89526,
2813.337,226.21769,
2810.427,216.73519,
2807.516,223.38391,
2804.605,238.6298,
2801.695,226.21712,
2798.784,232.90323,
2795.874,231.40468,
2792.963,225.5533,
2790.052,235.12157,
2787.142,231.24327,
2784.231,217.25388,
2781.321,231.99352,
2778.410,215.53997,
2775.500,224.54948,
2772.589,239.81614,
2769.678,230.47991,
2766.768,234.44344,
2763.857,224.283,
2760.947,222.60924,
2758.036,237.91492,
2755.126,231.02671,
2752.215,238.59318,
2749.304,241.6142,
2746.394,251.35882,
2743.483,253.37506,
2740.573,227.93025,
2737.662,234.81582,
2734.751,241.07661,
2731.841,220.63782,
2728.930,251.75644,
2726.020,245.13021,
2723.109,242.03233,
2720.199,246.125,
2717.288,240.14324,
2714.377,247.31648,
2711.467,245.10852,
2708.556,261.11405,
2705.646,260.29398,
2702.735,244.13016,
2699.825,253.52684,
2696.914,248.41044,
2694.003,268.1429,
2691.093,249.16109,
2688.182,251.48796,
2685.272,271.05388,
2682.361,258.15994,
2679.450,268.04684,
2676.540,250.18597,
2673.629,252.79316,
2670.719,263.68693,
2667.808,276.78455,
2664.898,271.78745,
2661.987,271.35846,
2659.076,263.03234,
2656.166,273.06009,
2653.255,275.82568,
2650.345,284.90903,
2647.434,283.23961,
2644.524,285.47268,
2641.613,281.78245,
2638.702,291.06188,
2635.792,273.68731,
2632.881,279.1666,
2629.971,282.125,
2627.060,269.12438,
2624.149,279.17812,
2621.239,279.11314,
2618.328,266.09991,
2615.418,280.82499,
2612.507,288.46484,
2609.597,287.59406,
2606.686,281.56676,
2603.775,278.96627,
2600.865,291.53458,
2597.954,284.08328,
2595.044,299.49081,
2592.133,298.23971,
2589.223,309.25764,
2586.312,302.125,
2583.401,303.47172,
2580.491,305.85096,
2577.580,300.15966,
2574.670,317.25068,
2571.759,304.37243,
2568.848,286.48404,
2565.938,314.17255,
2563.027,323.02728,
2560.117,312.22778,
2557.206,308.93312,
2554.296,314.84125,
2551.385,323.563,
2548.474,312.1618,
2545.564,328.42858,
2542.653,319.90352,
2539.743,330.11268,
2536.832,329.61472,
2533.922,302.39308,
2531.011,319.39998,
2528.100,327.05533,
2525.190,325.21926,
2522.279,324.78157,
2519.369,334.80445,
2516.458,318.22982,
2513.548,331.35199,
2510.637,328.03096,
2507.726,349.00602,
2504.816,336.18814,
2501.905,333.63232,
2498.995,331.48331,
2496.084,340.19122,
2493.173,332.20347,
2490.263,338.47305,
2487.352,339.3754,
2484.442,348.54255,
2481.531,349.22614,
2478.621,340.58945,
2475.710,351.02532,
2472.799,341.82451,
2469.889,346.33828,
2466.978,334.79514,
2464.068,354.19386,
2461.157,347.62744,
2458.247,353.43377,
2455.336,359.65535,
2452.425,353.64385,
2449.515,342.96493,
2446.604,357.53513,
2443.694,356.6365,
2440.783,364.6509,
2437.872,354.56258,
2434.962,366.91302,
2432.051,364.24837,
2429.141,366.95431,
2426.230,366.38576,
2423.320,385.61104,
2420.409,373.63779,
2417.498,376.72332,
2414.588,387.75233,
2411.677,389.23257,
2408.767,395.66634,
2405.856,402.37264,
2402.946,385.11875,
2400.035,371.93251,
2397.124,379.48328,
2394.214,401.6934,
2391.303,390.90414,
2388.393,389.30875,
2385.482,389.34531,
2382.571,407.6314,
2379.661,412.93881,
2376.750,424.96737,
2373.840,399.80949,
2370.929,408.95172,
2368.019,408.19767,
2365.108,401.70615,
2362.197,404.72226,
2359.287,411.51163,
2356.376,412.12676,
2353.466,407.92809,
2350.555,411.47016,
2347.645,421.67731,
2344.734,415.45678,
2341.823,436.727,
2338.913,408.63101,
2336.002,430.4169,
2333.092,417.3665,
2330.181,441.54947,
2327.270,429.39012,
2324.360,432.06603,
2321.449,439.74065,
2318.539,446.18923,
2315.628,442.84802,
2312.718,440.125,
2309.807,456.85175,
2306.896,450.10152,
2303.986,443.73541,
2301.075,442.80587,
2298.165,450.50019,
2295.254,457.03883,
2292.344,449.91757,
2289.433,445.85091,
2286.522,463.17855,
2283.612,465.81505,
2280.701,451.41202,
2277.791,466.40552,
2274.880,476.54894,
2271.969,482.16203,
2269.059,474.4765,
2266.148,475.6659,
2263.238,486.81997,
2260.327,487.91808,
2257.417,482.27834,
2254.506,479.1934,
2251.595,478.4196,
2248.685,461.55003,
2245.774,452.7185,
2242.864,487.61625,
2239.953,504.34578,
2237.043,489.29393,
2234.132,488.92241,
2231.221,480.01902,
2228.311,511.04893,
2225.400,500.7442,
2222.490,523.05336,
2219.579,523.02215,
2216.669,521.09638,
2213.758,521.2544,
2210.847,530.21566,
2207.937,521.61361,
2205.026,553.34716,
2202.116,565.35109,
2199.205,585.46311,
2196.294,565.81902,
2193.384,591.38705,
2190.473,604.125,
2187.563,589.33768,
2184.652,634.93234,
2181.742,647.78442,
2178.831,661.16005,
2175.920,668.95924,
2173.010,692.05187,
2170.099,724.52233,
2167.189,726.16088,
2164.278,733.61947,
2161.368,754.12428,
2158.457,762.77059,
2155.546,747.39807,
2152.636,785.32701,
2149.725,818.27264,
2146.815,847.22404,
2143.904,861.62314,
2140.993,861.54823,
2138.083,877.9487,
2135.172,881.6208,
2132.262,884.62852,
2129.351,888.39053,
2126.441,858.20258,
2123.530,838.45156,
2120.619,774.58391,
2117.709,738.74175,
2114.798,721.23273,
2111.888,699.47617,
2108.977,677.30381,
2106.067,660.92393,
2103.156,636.64846,
2100.245,620.12124,
2097.335,611.59621,
2094.424,593.36435,
2091.514,596.62771,
2088.603,598.27709,
2085.692,600.44467,
2082.782,579.3862,
2079.871,583.91146,
2076.961,581.51247,
2074.050,586.83409,
2071.140,581.76863,
2068.229,588.93489,
2065.318,604.10076,
2062.408,595.87464,
2059.497,582.13096,
2056.587,589.09004,
2053.676,574.79266,
2050.766,579.43217,
2047.855,558.69781,
2044.944,544.92307,
2042.034,553.67996,
2039.123,574.64688,
2036.213,581.18495,
2033.302,563.40765,
2030.391,566.92145,
2027.481,580.53954,
2024.570,579.06799,
2021.660,591.29719,
2018.749,586.9228,
2015.839,604.56922,
2012.928,589.5042,
2010.017,596.39753,
2007.107,588.98292,
2004.196,568.54165,
2001.286,579.0225,
1998.375,597.86713,
1995.465,584.03304,
1992.554,558.08989,
1989.643,589.88071,
1986.733,576.84079,
1983.822,556.38202,
1980.912,568.98629,
1978.001,566.69272,
1975.090,576.10211,
1972.180,574.02262,
1969.269,584.20266,
1966.359,593.34112,
1963.448,572.32314,
1960.538,568.55953,
1957.627,561.10023,
1954.716,574.6941,
1951.806,561.51599,
1948.895,588.38006,
1945.985,582.9763,
1943.074,552.88149,
1940.164,563.49075,
1937.253,586.66862,
1934.342,563.50094,
1931.432,540.46569,
1928.521,558.15264,
1925.611,568.24191,
1922.700,549.7134,
1919.790,546.84752,
1916.879,532.24099,
1913.968,573.07336,
1911.058,540.85173,
1908.147,552.18778,
1905.237,560.11765,
1902.326,567.55314,
1899.415,565.64328,
1896.505,543.29971,
1893.594,546.94208,
1890.684,564.61509,
1887.773,583.74557,
1884.863,583.29812,
1881.952,546.94784,
1879.041,548.0113,
1876.131,550.68186,
1873.220,541.40815,
1870.310,562.40299,
1867.399,563.14099,
1864.489,593.2293,
1861.578,569.07021,
1858.667,552.05911,
1855.757,573.11068,
1852.846,577.0635,
1849.936,558.65851,
1847.025,583.60191,
1844.114,563.97679,
1841.204,578.47815,
1838.293,576.13165,
1835.383,575.9505,
1832.472,577.34587,
1829.562,605.5099,
1826.651,585.20102,
1823.740,605.97948,
1820.830,622.43998,
1817.919,590.54994,
1815.009,604.53085,
1812.098,596.45572,
1809.188,585.74518,
1806.277,604.68236,
1803.366,626.5261,
1800.456,590.7403,
1797.545,587.25959,
1794.635,612.83592,
1791.724,584.22199,
1788.813,617.3214,
1785.903,621.83613,
1782.992,650.05488,
1780.082,600.68181,
1777.171,622.78666,
1774.261,612.88518,
1771.350,630.4995,
1768.439,623.9108,
1765.529,628.76487,
1762.618,662.72002,
1759.708,639.36377,
1756.797,625.02652,
1753.887,656.79264,
1750.976,633.33509,
1748.065,626.94374,
1745.155,641.95723,
1742.244,636.8415,
1739.334,687.90145,
1736.423,661.5475,
1733.512,660.49904,
1730.602,696.54964,
1727.691,653.92408,
1724.781,668.80149,
1721.870,677.125,
1718.960,668.08045,
1716.049,687.09937,
1713.138,714.20989,
1710.228,691.14579,
1707.317,720.73871,
1704.407,703.56347,
1701.496,688.36333,
1698.586,714.84453,
1695.675,710.57504,
1692.764,743.26026,
1689.854,786.26282,
1686.943,747.54148,
1684.033,764.65311,
1681.122,754.31192,
1678.211,816.52541,
1675.301,803.16817,
1672.390,797.17584,
1669.480,814.42181,
1666.569,851.16309,
1663.659,855.13761,
1660.748,915.10307,
1657.837,863.97792,
1654.927,902.21872,
1652.016,906.99977,
1649.106,943.39801,
1646.195,994.50862,
1643.285,1010.5124,
1640.374,1026.7278,
1637.463,1008.6114,
1634.553,1035.7457,
1631.642,1078.0045,
1628.732,1158.1546,
1625.821,1163.176,
1622.911,1240.6855,
1620.000,1318.1423,
1617.089,1431.8364,
1614.179,1485.6303,
1611.268,1542.9687,
1608.358,1631.8641,
1605.447,1649.3251,
1602.536,1638.0105,
1599.626,1712.5595,
1596.715,1708.2338,
1593.805,1679.4007,
1590.894,1644.4209,
1587.984,1601.1509,
1585.073,1596.8266,
1582.162,1628.8507,
1579.252,1588.4818,
1576.341,1550.0878,
1573.431,1532.1606,
1570.520,1548.2344,
1567.610,1528.7913,
1564.699,1493.2989,
1561.788,1496.5052,
1558.878,1457.0626,
1555.967,1439.4283,
1553.057,1405.4012,
1550.146,1361.1578,
1547.235,1347.896,
1544.325,1338.9454,
1541.414,1324.6443,
1538.504,1301.6557,
1535.593,1295.3502,
1532.683,1293.7214,
1529.772,1270.5001,
1526.861,1266.7692,
1523.951,1263.9616,
1521.040,1245.6061,
1518.130,1246.1542,
1515.219,1218.2454,
1512.309,1198.17,
1509.398,1177.7544,
1506.487,1168.4473,
1503.577,1212.9207,
1500.666,1193.2976,
1497.756,1141.1083,
1494.845,1163.6842,
1491.934,1129.1281,
1489.024,1130.0906,
1486.113,1131.9794,
1483.203,1109.9208,
1480.292,1141.914,
1477.382,1085.0816,
1474.471,1045.5689,
1471.560,1075.134,
1468.650,1048.1286,
1465.739,1016.3152,
1462.829,1024.0454,
1459.918,1036.8875,
1457.008,1036.0788,
1454.097,1043.7546,
1451.186,1048.6395,
1448.276,1045.5044,
1445.365,1061.3398,
1442.455,1062.3853,
1439.544,1048.9197,
1436.633,1056.698,
1433.723,1063.2526,
1430.812,1052.692,
1427.902,996.62891,
1424.991,975.77813,
1422.081,973.29005,
1419.170,980.90154,
1416.259,1002.3766,
1413.349,950.48192,
1410.438,942.62169,
1407.528,973.51841,
1404.617,960.52997,
1401.707,978.75077,
1398.796,986.16353,
1395.885,969.94007,
1392.975,976.79119,
1390.064,953.77053,
1387.154,924.75892,
1384.243,842.95163,
1381.332,821.55563,
1378.422,852.55466,
1375.511,919.06611,
1372.601,989.24278,
1369.690,1066.2745,
1366.780,1104.2622,
1363.869,1142.3635,
1360.958,1150.8239,
1358.048,1156.2447,
1355.137,1182.1524,
1352.227,1192.4321,
1349.316,1215.9531,
1346.406,1265.2933,
1343.495,1288.0171,
1340.584,1377.9109,
1337.674,1360.6594,
1334.763,1341.7128,
1331.853,1383.4382,
1328.942,1400.2459,
1326.032,1422.5155,
1323.121,1441.2033,
1320.210,1444.1272,
1317.300,1446.6664,
1314.389,1453.7501,
1311.479,1439.3387,
1308.568,1425.5415,
1305.657,1462.6682,
1302.747,1505.879,
1299.836,1496.8646,
1296.926,1556.7825,
1294.015,1656.9887,
1291.105,1607.412,
1288.194,1697.5716,
1285.283,1755.7771,
1282.373,1783.0468,
1279.462,1806.4973,
1276.552,1812.1565,
1273.641,1826.9014,
1270.731,1862.9489,
1267.820,1850.1535,
1264.909,1810.6743,
1261.999,1800.3913,
1259.088,1807.6883,
1256.178,1780.7184,
1253.267,1779.961,
1250.356,1737.7808,
1247.446,1693.6559,
1244.535,1686.5402,
1241.625,1676.7473,
1238.714,1626.0183,
1235.804,1572.5377,
1232.893,1559.6196,
1229.982,1582.1625,
1227.072,1524.2225,
1224.161,1520.9655,
1221.251,1456.3527,
1218.340,1415.3385,
1215.430,1389.71,
1212.519,1377.125,
1209.608,1373.5812,
1206.698,1370.1889,
1203.787,1382.7079,
1200.877,1404.2424,
1197.966,1438.4104,
1195.055,1493.8797,
1192.145,1535.4328,
1189.234,1575.3207,
1186.324,1596.0346,
1183.413,1606.7494,
1180.503,1622.8819,
1177.592,1633.7108,
1174.681,1611.7757,
1171.771,1560.3626,
