,PL4CC5~1,
Raman shift [1/cm],Intensity,
3014.167,2.625,
3011.256,1.0749893,
3008.346,42.081476,
3005.435,33.162101,
3002.525,31.380034,
2999.614,31.476963,
2996.704,39.943557,
2993.793,45.368088,
2990.882,50.625,
2987.972,39.63509,
2985.061,42.511701,
2982.151,43.625,
2979.240,53.941539,
2976.329,50.11681,
2973.419,48.363382,
2970.508,49.158347,
2967.598,68.478012,
2964.687,50.878396,
2961.777,57.530992,
2958.866,57.956354,
2955.955,43.171482,
2953.045,42.441554,
2950.134,61.636705,
2947.224,69.795813,
2944.313,64.838674,
2941.403,73.351731,
2938.492,67.348582,
2935.581,71.625,
2932.671,65.826732,
2929.760,63.932676,
2926.850,67.89342,
2923.939,61.821233,
2921.028,60.754272,
2918.118,69.885707,
2915.207,79.745304,
2912.297,84.616537,
2909.386,88.033756,
2906.476,73.889068,
2903.565,74.930922,
2900.654,84.848456,
2897.744,80.637572,
2894.833,81.212637,
2891.923,75.759598,
2889.012,69.041185,
2886.102,64.584466,
2883.191,76.609896,
2880.280,45.170449,
2877.370,50.892388,
2874.459,44.505528,
2871.549,59.375133,
2868.638,75.262107,
2865.727,85.228857,
2862.817,76.253346,
2859.906,86.662046,
2856.996,72.584242,
2854.085,74.582971,
2851.175,79.004541,
2848.264,79.330997,
2845.353,78.775969,
2842.443,78.836837,
2839.532,80.26672,
2836.622,74.776693,
2833.711,76.150903,
2830.801,89.21471,
2827.890,78.689705,
2824.979,87.699013,
2822.069,92.443046,
2819.158,75.104783,
2816.248,69.636579,
2813.337,89.449403,
2810.427,74.18422,
2807.516,76.207814,
2804.605,82.399035,
2801.695,86.11186,
2798.784,88.920692,
2795.874,73.920528,
2792.963,76.196705,
2790.052,76.626287,
2787.142,83.453807,
2784.231,75.011638,
2781.321,88.550612,
2778.410,69.244268,
2775.500,80.263968,
2772.589,79.547026,
2769.678,73.372393,
2766.768,83.001697,
2763.857,83.309007,
2760.947,76.090327,
2758.036,83.332083,
2755.126,93.195513,
2752.215,91.902227,
2749.304,85.135795,
2746.394,75.800367,
2743.483,87.075002,
2740.573,83.963484,
2737.662,89.752214,
2734.751,96.159047,
2731.841,61.40704,
2728.930,83.459872,
2726.020,73.41088,
2723.109,79.625,
2720.199,86.606326,
2717.288,75.081204,
2714.377,85.074842,
2711.467,94.264557,
2708.556,95.571525,
2705.646,103.93485,
2702.735,90.965211,
2699.825,96.157721,
2696.914,88.148628,
2694.003,90.982725,
2691.093,85.285652,
2688.182,89.73463,
2685.272,100.6691,
2682.361,93.171944,
2679.450,95.085919,
2676.540,97.52338,
2673.629,92.293163,
2670.719,92.909659,
2667.808,93.625,
2664.898,97.547181,
2661.987,99.558488,
2659.076,101.26078,
2656.166,91.222372,
2653.255,99.106293,
2650.345,101.19306,
2647.434,93.110567,
2644.524,95.732951,
2641.613,94.910353,
2638.702,101.41985,
2635.792,91.998883,
2632.881,98.892886,
2629.971,107.22237,
2627.060,99.290627,
2624.149,105.32813,
2621.239,103.37648,
2618.328,95.921711,
2615.418,96.984084,
2612.507,97.41547,
2609.597,91.910429,
2606.686,97.482421,
2603.775,93.42659,
2600.865,101.68303,
2597.954,102.57709,
2595.044,100.63386,
2592.133,108.40854,
2589.223,114.625,
2586.312,117.89136,
2583.401,105.07391,
2580.491,111.43268,
2577.580,96.667909,
2574.670,115.70657,
2571.759,106.98373,
2568.848,101.45366,
2565.938,107.91069,
2563.027,112.45453,
2560.117,111.17639,
2557.206,124.89806,
2554.296,118.76688,
2551.385,112.87298,
2548.474,119.77333,
2545.564,128.46672,
2542.653,101.09815,
2539.743,120.52642,
2536.832,115.78761,
2533.922,118.53038,
2531.011,113.44993,
2528.100,115.0919,
2525.190,116.20615,
2522.279,107.23467,
2519.369,114.49324,
2516.458,104.29285,
2513.548,113.7158,
2510.637,117.74797,
2507.726,115.87778,
2504.816,112.12557,
2501.905,105.07439,
2498.995,103.28191,
2496.084,116.07798,
2493.173,113.33526,
2490.263,121.78209,
2487.352,109.20927,
2484.442,123.19459,
2481.531,133.57704,
2478.621,132.4117,
2475.710,127.63267,
2472.799,129.11827,
2469.889,131.10977,
2466.978,112.14065,
2464.068,131.43991,
2461.157,112.74245,
2458.247,122.05148,
2455.336,117.34906,
2452.425,112.84198,
2449.515,113.36097,
2446.604,119.33006,
2443.694,132.83474,
2440.783,120.5732,
2437.872,114.13551,
2434.962,127.625,
2432.051,127.13734,
2429.141,130.89553,
2426.230,129.82057,
2423.320,133.52514,
2420.409,132.91977,
2417.498,137.43679,
2414.588,148.52228,
2411.677,123.30631,
2408.767,139.34843,
2405.856,139.66068,
2402.946,140.7796,
2400.035,124.13907,
2397.124,142.9619,
2394.214,144.3274,
2391.303,142.16091,
2388.393,139.63895,
2385.482,133.84531,
2382.571,153.81515,
2379.661,148.71795,
2376.750,148.67923,
2373.840,135.78129,
2370.929,146.48421,
2368.019,139.43227,
2365.108,138.22971,
2362.197,141.20858,
2359.287,145.22166,
2356.376,143.62852,
2353.466,138.82191,
2350.555,138.83497,
2347.645,143.54552,
2344.734,147.625,
2341.823,147.625,
2338.913,148.09216,
2336.002,146.36662,
2333.092,151.56746,
2330.181,159.15184,
2327.270,146.45008,
2324.360,136.7924,
2321.449,154.57736,
2318.539,141.75345,
2315.628,162.27129,
2312.718,159.7924,
2309.807,138.83573,
2306.896,177.33391,
2303.986,158.14445,
2301.075,148.68885,
2298.165,159.99065,
2295.254,179.28031,
2292.344,156.78688,
2289.433,144.31227,
2286.522,147.05806,
2283.612,158.42604,
2280.701,182.79985,
2277.791,164.1441,
2274.880,154.76496,
2271.969,166.88015,
2269.059,171.39066,
2266.148,155.76357,
2263.238,174.91456,
2260.327,174.21115,
2257.417,169.09944,
2254.506,173.45692,
2251.595,175.91228,
2248.685,159.89428,
2245.774,158.22933,
2242.864,184.1063,
2239.953,174.57676,
2237.043,173.07999,
2234.132,181.07435,
2231.221,177.07201,
2228.311,157.35827,
2225.400,199.94951,
2222.490,177.18202,
2219.579,175.18025,
2216.669,169.61069,
2213.758,171.32042,
2210.847,196.41842,
2207.937,188.23577,
2205.026,211.62559,
2202.116,196.67383,
2199.205,203.33724,
2196.294,201.88102,
2193.384,213.67703,
2190.473,213.76115,
2187.563,214.67817,
2184.652,226.52867,
2181.742,232.80696,
2178.831,232.98686,
2175.920,227.29349,
2173.010,238.67602,
2170.099,244.49157,
2167.189,252.55324,
2164.278,243.0652,
2161.368,257.33787,
2158.457,281.11785,
2155.546,261.29229,
2152.636,259.98668,
2149.725,287.75921,
2146.815,281.02543,
2143.904,289.72537,
2140.993,292.25461,
2138.083,293.24812,
2135.172,288.59981,
2132.262,301.0132,
2129.351,283.21452,
2126.441,284.45998,
2123.530,284.43419,
2120.619,266.93696,
2117.709,258.93337,
2114.798,240.46722,
2111.888,233.26225,
2108.977,219.55214,
2106.067,205.59149,
2103.156,218.70236,
2100.245,228.61873,
2097.335,215.49412,
2094.424,190.47085,
2091.514,185.41265,
2088.603,192.42222,
2085.692,199.58037,
2082.782,199.50453,
2079.871,201.08941,
2076.961,184.7874,
2074.050,201.72197,
2071.140,203.94681,
2068.229,200.99871,
2065.318,193.60076,
2062.408,194.23847,
2059.497,191.43453,
2056.587,201.71791,
2053.676,206.25823,
2050.766,193.70273,
2047.855,182.7674,
2044.944,191.61537,
2042.034,206.96012,
2039.123,190.64857,
2036.213,211.47383,
2033.302,191.45112,
2030.391,182.54045,
2027.481,205.40524,
2024.570,217.1535,
2021.660,211.97978,
2018.749,193.66299,
2015.839,193.54888,
2012.928,188.92366,
2010.017,204.74118,
2007.107,217.01938,
2004.196,193.73208,
2001.286,186.08435,
1998.375,196.49607,
1995.465,212.78393,
1992.554,197.34281,
1989.643,205.2448,
1986.733,202.78553,
1983.822,201.25203,
1980.912,181.00175,
1978.001,198.54893,
1975.090,195.20363,
1972.180,193.48805,
1969.269,202.43828,
1966.359,194.27335,
1963.448,188.19964,
1960.538,183.32141,
1957.627,181.625,
1954.716,191.33773,
1951.806,194.78047,
1948.895,183.08849,
1945.985,207.08905,
1943.074,180.22281,
1940.164,181.2501,
1937.253,205.12032,
1934.342,217.05228,
1931.432,193.03825,
1928.521,188.76835,
