,PL4CF9~1,
Raman shift [1/cm],Intensity,
3014.167,2.375,
3011.256,-1.5249785,
3008.346,45.922771,
3005.435,46.98984,
3002.525,45.960011,
2999.614,70.939954,
2996.704,60.568822,
2993.793,67.108872,
2990.882,70.901763,
2987.972,60.339685,
2985.061,56.921803,
2982.151,70.18173,
2979.240,71.691539,
2976.329,69.36954,
2973.419,69.082831,
2970.508,78.791584,
2967.598,73.801506,
2964.687,66.673233,
2961.777,93.118811,
2958.866,88.046616,
2955.955,67.715725,
2953.045,83.706078,
2950.134,91.025197,
2947.224,93.375,
2944.313,91.577279,
2941.403,83.291515,
2938.492,98.513209,
2935.581,82.289139,
2932.671,100.45223,
2929.760,90.65193,
2926.850,94.375,
2923.939,97.449727,
2921.028,89.945333,
2918.118,90.194899,
2915.207,101.73591,
2912.297,107.38769,
2909.386,105.34581,
2906.476,100.63061,
2903.565,98.615732,
2900.654,112.25772,
2897.744,104.55101,
2894.833,106.82882,
2891.923,102.53851,
2889.012,95.54263,
2886.102,97.207427,
2883.191,95.37972,
2880.280,82.528104,
2877.370,74.299406,
2874.459,68.959951,
2871.549,93.348894,
2868.638,102.55645,
2865.727,98.978857,
2862.817,102.3897,
2859.906,109.2354,
2856.996,106.84556,
2854.085,108.09348,
2851.175,108.47137,
2848.264,113.09067,
2845.353,118.05149,
2842.443,100.18057,
2839.532,105.46449,
2836.622,100.04362,
2833.711,107.27139,
2830.801,106.27426,
2827.890,105.91696,
2824.979,108.017,
2822.069,108.22716,
2819.158,95.755054,
2816.248,97.122105,
2813.337,116.67379,
2810.427,103.375,
2807.516,103.375,
2804.605,108.35336,
2801.695,106.63816,
2798.784,112.07931,
2795.874,116.67053,
2792.963,102.23202,
2790.052,106.3735,
2787.142,99.151346,
2784.231,91.730604,
2781.321,110.36347,
2778.410,87.014582,
2775.500,100.97017,
2772.589,96.874241,
2769.678,96.050717,
2766.768,102.69344,
2763.857,119.2671,
2760.947,100.89706,
2758.036,98.445028,
2755.126,108.18483,
2752.215,105.77953,
2749.304,102.6304,
2746.394,111.43346,
2743.483,112.62501,
2740.573,98.841764,
2737.662,107.3957,
2734.751,121.93324,
2731.841,103.64422,
2728.930,121.90472,
2726.020,115.0434,
2723.109,104.84942,
2720.199,117.06261,
2717.288,104.09398,
2714.377,113.34156,
2711.467,113.96511,
2708.556,121.06637,
2705.646,121.14964,
2702.735,118.53737,
2699.825,118.77684,
2696.914,110.42226,
2694.003,122.31972,
2691.093,111.9466,
2688.182,124.77574,
2685.272,118.21568,
2682.361,114.79858,
2679.450,123.70006,
2676.540,110.49694,
2673.629,115.37949,
2670.719,120.44062,
2667.808,126.27773,
2664.898,125.15418,
2661.987,122.2749,
2659.076,117.50216,
2656.166,126.02003,
2653.255,128.22534,
2650.345,127.67083,
2647.434,130.23239,
2644.524,135.12798,
2641.613,121.51768,
2638.702,137.07516,
2635.792,121.78078,
2632.881,126.52974,
2629.971,134.35491,
2627.060,119.53969,
2624.149,134.45625,
2621.239,136.38093,
2618.328,129.31532,
2615.418,109.35682,
2612.507,127.30382,
2609.597,130.65045,
2606.686,120.2967,
2603.775,137.65675,
2600.865,138.02345,
2597.954,126.51874,
2595.044,130.36614,
2592.133,132.375,
2589.223,151.09817,
2586.312,138.83733,
2583.401,131.375,
2580.491,142.99035,
2577.580,125.40636,
2574.670,142.99131,
2571.759,138.82449,
2568.848,126.02687,
2565.938,132.37486,
2563.027,149.54547,
2560.117,138.1133,
2557.206,132.47094,
2554.296,151.26287,
2551.385,149.42489,
2548.474,147.3382,
2545.564,165.93182,
2542.653,132.76426,
2539.743,145.27642,
2536.832,148.08902,
2533.922,160.35923,
2531.011,153.60049,
2528.100,145.83844,
2525.190,157.11844,
2522.279,148.4688,
2519.369,150.07313,
2516.458,150.4869,
2513.548,153.80224,
2510.637,153.49797,
2507.726,154.12593,
2504.816,150.81243,
2501.905,143.88232,
2498.995,155.07641,
2496.084,152.52135,
2493.173,149.63791,
2490.263,142.57726,
2487.352,159.45847,
2484.442,158.52704,
2481.531,156.6409,
2478.621,158.3039,
2475.710,163.44401,
2472.799,167.19569,
2469.889,151.375,
2466.978,149.21007,
2464.068,169.44386,
2461.157,153.22003,
2458.247,149.22795,
2455.336,160.92687,
2452.425,151.21932,
2449.515,155.21493,
2446.604,163.79208,
2443.694,158.8635,
2440.783,157.32658,
2437.872,162.66672,
2434.962,170.375,
2432.051,165.0107,
2429.141,162.93378,
2426.230,166.24462,
2423.320,183.9609,
2420.409,170.70203,
2417.498,160.17837,
2414.588,173.27228,
2411.677,179.26743,
2408.767,177.89272,
2405.856,178.62264,
2402.946,171.63684,
2400.035,171.27406,
2397.124,175.83488,
2394.214,186.4018,
2391.303,181.15955,
2388.393,176.13546,
2385.482,167.72749,
2382.571,178.34938,
2379.661,193.95629,
2376.750,196.42923,
2373.840,174.9032,
2370.929,171.36417,
2368.019,183.29127,
2365.108,176.69961,
2362.197,186.375,
2359.287,188.76999,
2356.376,167.41374,
2353.466,171.28244,
2350.555,194.18996,
2347.645,188.23063,
2344.734,192.46718,
2341.823,207.15942,
2338.913,183.66455,
2336.002,189.64525,
2333.092,195.23725,
2330.181,198.6921,
2327.270,191.03506,
2324.360,187.19808,
2321.449,199.55866,
2318.539,191.97134,
2315.628,208.92896,
2312.718,196.70979,
2309.807,214.23837,
2306.896,207.08391,
2303.986,196.59583,
2301.075,208.92817,
2298.165,201.99981,
2295.254,213.0734,
2292.344,198.58663,
2289.433,201.42909,
2286.522,212.80806,
2283.612,219.34568,
2280.701,223.375,
2277.791,203.77388,
2274.880,195.58088,
2271.969,216.44084,
2269.059,206.67199,
2266.148,202.8341,
2263.238,215.06997,
2260.327,225.03013,
2257.417,222.27278,
2254.506,226.75676,
2251.595,222.66228,
2248.685,211.80003,
2245.774,206.57283,
2242.864,222.34755,
2239.953,231.82336,
2237.043,219.49214,
2234.132,223.27371,
2231.221,213.13723,
2228.311,213.72422,
2225.400,240.20613,
2222.490,231.77559,
2219.579,221.74262,
2216.669,227.36069,
2213.758,234.28873,
2210.847,229.92665,
2207.937,245.64208,
2205.026,274.04235,
2202.116,262.4546,
2199.205,281.13759,
2196.294,269.25903,
2193.384,267.76951,
2190.473,284.1027,
2187.563,267.52001,
2184.652,300.08602,
2181.742,314.78402,
2178.831,318.2116,
2175.920,326.70651,
2173.010,310.24858,
2170.099,317.24008,
2167.189,319.3176,
2164.278,312.40214,
2161.368,327.23107,
2158.457,355.72941,
2155.546,349.2394,
2152.636,347.8271,
2149.725,359.03271,
2146.815,380.67425,
2143.904,384.17797,
2140.993,389.27979,
2138.083,384.92818,
2135.172,390.8624,
2132.262,394.87852,
2129.351,393.35429,
2126.441,389.72451,
2123.530,370.03828,
2120.619,340.09978,
2117.709,331.78281,
2114.798,319.97892,
2111.888,321.15041,
2108.977,302.83857,
2106.067,293.58311,
2103.156,310.85154,
2100.245,273.3819,
2097.335,281.36453,
2094.424,261.2898,
2091.514,263.7997,
2088.603,258.3243,
2085.692,268.83219,
2082.782,263.35901,
2079.871,267.41117,
2076.961,254.40825,
2074.050,261.375,
2071.140,259.60503,
2068.229,257.17837,
2065.318,277.28875,
2062.408,271.51117,
2059.497,269.5893,
2056.587,282.88649,
2053.676,261.8765,
2050.766,243.45273,
2047.855,246.77371,
2044.944,261.4391,
2042.034,266.00503,
2039.123,266.53662,
2036.213,269.5505,
2033.302,251.74459,
2030.391,251.01905,
2027.481,259.55785,
2024.570,280.91737,
2021.660,286.25674,
2018.749,278.64093,
2015.839,283.4918,
2012.928,273.90353,
2010.017,277.18064,
2007.107,274.33016,
2004.196,281.79165,
2001.286,266.89446,
1998.375,272.59646,
1995.465,294.89375,
1992.554,271.32818,
1989.643,284.75285,
1986.733,273.85658,
1983.822,281.52862,
1980.912,279.33564,
1978.001,285.92602,
1975.090,275.58568,
1972.180,278.61568,
1969.269,301.09344,
1966.359,287.72603,
1963.448,283.14119,
1960.538,282.31745,
1957.627,284.04992,
1954.716,267.86336,
1951.806,278.02082,
1948.895,292.54298,
1945.985,300.02206,
1943.074,279.78815,
1940.164,296.39412,
1937.253,291.67926,
1934.342,303.42633,
1931.432,290.32452,
1928.521,293.90868,
1925.611,299.77114,
1922.700,283.33771,
1919.790,281.09752,
1916.879,295.32876,
1913.968,292.37992,
1911.058,259.80145,
1908.147,319.18665,
1905.237,298.17647,
1902.326,297.1113,
1899.415,293.42256,
1896.505,276.01944,
1893.594,267.00613,
1890.684,277.89134,
1887.773,287.03857,
1884.863,306.13126,
1881.952,293.84519,
1879.041,314.12163,
1876.131,307.08742,
1873.220,299.88826,
1870.310,297.5185,
1867.399,317.05513,
1864.489,327.7519,
1861.578,309.38622,
1858.667,284.92287,
1855.757,311.57428,
1852.846,308.10322,
1849.936,301.72334,
1847.025,311.43583,
1844.114,301.16794,
1841.204,303.88549,
1838.293,314.86585,
1835.383,327.47949,
