,PL4EBD~1,
Raman shift [1/cm],Intensity,
3014.167,0.125,
3011.256,-0.67495705,
3008.346,31.288246,
3005.435,31.008391,
3002.525,26.710011,
2999.614,34.976963,
2996.704,40.036342,
2993.793,38.868088,
2990.882,42.430353,
2987.972,36.140135,
2985.061,36.908248,
2982.151,40.289711,
2979.240,49.125,
2976.329,40.859984,
2973.419,46.094449,
2970.508,44.52496,
2967.598,45.647088,
2964.687,45.67663,
2961.777,49.783055,
2958.866,51.456354,
2955.955,52.607303,
2953.045,49.024323,
2950.134,58.072552,
2947.224,59.925718,
2944.313,49.080128,
2941.403,48.470346,
2938.492,58.125,
2935.581,53.899242,
2932.671,62.682921,
2929.760,51.590384,
2926.850,58.706954,
2923.939,56.681045,
2921.028,64.730828,
2918.118,66.044394,
2915.207,71.131453,
2912.297,64.184238,
2909.386,59.70165,
2906.476,55.768251,
2903.565,56.173146,
2900.654,66.854009,
2897.744,60.062139,
2894.833,60.898089,
2891.923,56.961495,
2889.012,58.916907,
2886.102,57.520947,
2883.191,51.130664,
2880.280,45.847483,
2877.370,30.630831,
2874.459,38.948894,
2871.549,44.914558,
2868.638,61.580661,
2865.727,67.205755,
2862.817,66.567519,
2859.906,64.492517,
2856.996,74.129529,
2854.085,62.561956,
2851.175,63.435229,
2848.264,73.546664,
2845.353,77.995598,
2842.443,70.128482,
2839.532,73.333917,
2836.622,66.063152,
2833.711,63.28042,
2830.801,67.024265,
2827.890,65.666961,
2824.979,74.186952,
2822.069,77.840697,
2819.158,53.505054,
2816.248,59.354736,
2813.337,75.196959,
2810.427,63.470727,
2807.516,58.707814,
2804.605,74.673071,
2801.695,63.993419,
2798.784,73.311846,
2795.874,68.264838,
2792.963,67.910638,
2790.052,62.125858,
2787.142,66.756383,
2784.231,58.898276,
2781.321,82.302053,
2778.410,55.954948,
2775.500,64.017756,
2772.589,62.547785,
2769.678,66.94407,
2766.768,78.748303,
2763.857,70.545037,
2760.947,59.609239,
2758.036,64.74925,
2755.126,62.603631,
2752.215,64.102371,
2749.304,72.869602,
2746.394,69.782205,
2743.483,74.475053,
2740.573,69.448032,
2737.662,74.795117,
2734.751,78.241488,
2731.841,45.231215,
2728.930,65.675858,
2726.020,72.467014,
2723.109,66.712835,
2720.199,80.225173,
2717.288,57.84398,
2714.377,71.445662,
2711.467,76.698629,
2708.556,78.433632,
2705.646,83.420799,
2702.735,67.627579,
2699.825,74.037743,
2696.914,69.219988,
2694.003,79.968906,
2691.093,72.571449,
2688.182,81.525742,
2685.272,71.001243,
2682.361,79.154476,
2679.450,75.417184,
2676.540,77.02338,
2673.629,70.13398,
2670.719,69.978977,
2667.808,74.027729,
2664.898,71.501456,
2661.987,84.525066,
2659.076,83.633623,
2656.166,68.012429,
2653.255,77.900513,
2650.345,80.988883,
2647.434,82.953522,
2644.524,84.599836,
2641.613,77.781818,
2638.702,78.030314,
2635.792,74.530785,
2632.881,84.476083,
2629.971,83.01758,
2627.060,76.123129,
2624.149,91.584374,
2621.239,89.119071,
2618.328,72.167387,
2615.418,76.443186,
2612.507,91.192164,
2609.597,77.053143,
2606.686,78.956321,
2603.775,82.767862,
2600.865,85.244432,
2597.954,73.795797,
2595.044,84.812332,
2592.133,81.959413,
2589.223,88.474479,
2586.312,79.391362,
2583.401,75.103132,
2580.491,86.85096,
2577.580,91.133252,
2574.670,90.866993,
2571.759,81.529107,
2568.848,84.301791,
2565.938,83.267777,
2563.027,92.661373,
2560.117,84.405362,
2557.206,94.685884,
2554.296,87.356122,
2551.385,94.182961,
2548.474,98.977047,
2545.564,97.314933,
2542.653,90.34648,
2539.743,86.557226,
2536.832,100.43155,
2533.922,95.998846,
2531.011,90.599791,
2528.100,91.793973,
2525.190,85.543853,
2522.279,95.734674,
2519.369,102.08763,
2516.458,84.789307,
2513.548,91.833955,
2510.637,97.370931,
2507.726,98.939121,
2504.816,94.687571,
2501.905,100.8061,
2498.995,100.88612,
2496.084,97.125,
2493.173,89.940562,
2490.263,89.70919,
2487.352,102.3754,
2484.442,108.4098,
2481.531,107.54523,
2478.621,106.89278,
2475.710,106.13267,
2472.799,105.89183,
2469.889,99.216407,
2466.978,100.45486,
2464.068,98.294299,
2461.157,89.397419,
2458.247,97.154343,
2455.336,102.97433,
2452.425,109.23349,
2449.515,101.24766,
2446.604,100.00981,
2443.694,100.19491,
2440.783,99.886261,
2437.872,97.453184,
2434.962,104.81164,
2432.051,107.46462,
2429.141,105.58393,
2426.230,110.53828,
2423.320,118.7109,
2420.409,106.20843,
2417.498,102.31321,
2414.588,110.84741,
2411.677,92.236608,
2408.767,117.8248,
2405.856,111.69163,
2402.946,114.33322,
2400.035,105.83157,
2397.124,114.4619,
2394.214,114.5298,
2391.303,115.55589,
2388.393,110.67381,
2385.482,115.72844,
2382.571,114.92204,
2379.661,132.84586,
2376.750,122.33939,
2373.840,109.34063,
2370.929,104.17915,
2368.019,112.19767,
2365.108,107.2873,
2362.197,120.48668,
2359.287,117.34338,
2356.376,124.10915,
2353.466,131.97436,
2350.555,125.44523,
2347.645,121.5078,
2344.734,120.0052,
2341.823,126.05867,
2338.913,117.88171,
2336.002,118.79958,
2333.092,132.37783,
2330.181,129.59816,
2327.270,113.00508,
2324.360,114.35138,
2321.449,130.92431,
2318.539,128.25345,
2315.628,141.79686,
2312.718,131.87609,
2309.807,136.67151,
2306.896,138.83391,
2303.986,131.39131,
2301.075,134.10375,
2298.165,131.51928,
2295.254,141.90957,
2292.344,126.80965,
2289.433,134.19455,
2286.522,143.91078,
2283.612,130.60458,
2280.701,147.16532,
2277.791,125.00478,
2274.880,125.76293,
2271.969,137.19084,
2269.059,126.86341,
2266.148,147.38877,
2263.238,126.53815,
2260.327,131.29757,
2257.417,149.97166,
2254.506,153.46116,
2251.595,145.69591,
2248.685,135.8135,
2245.774,129.42175,
2242.864,150.96788,
2239.953,157.43545,
2237.043,145.13856,
2234.132,153.37177,
2231.221,136.91304,
2228.311,145.91235,
2225.400,154.29387,
2222.490,155.48321,
2219.579,135.4669,
2216.669,148.56538,
2213.758,157.21127,
2210.847,149.48269,
2207.937,152.92141,
2205.026,183.45824,
2202.116,184.81396,
2199.205,177.00029,
2196.294,174.49699,
2193.384,181.38801,
2190.473,179.69307,
2187.563,152.27484,
2184.652,185.98663,
2181.742,202.42049,
2178.831,200.04717,
2175.920,195.54212,
2173.010,200.2004,
2170.099,212.52381,
2167.189,195.04607,
2164.278,186.47274,
2161.368,208.12403,
2158.457,226.43049,
2155.546,213.47402,
2152.636,217.66752,
2149.725,238.93707,
2146.815,220.85912,
2143.904,237.02463,
2140.993,238.45301,
2138.083,236.64177,
2135.172,240.45287,
2132.262,253.61444,
2129.351,239.3077,
2126.441,229.05702,
2123.530,232.02398,
2120.619,222.16174,
2117.709,213.48812,
2114.798,211.56352,
2111.888,210.90041,
2108.977,193.22433,
2106.067,188.88338,
2103.156,202.32253,
2100.245,175.12688,
2097.335,177.04123,
2094.424,169.84305,
2091.514,167.11958,
2088.603,166.19409,
2085.692,186.94649,
2082.782,175.33396,
2079.871,163.83912,
2076.961,158.44789,
2074.050,178.54318,
2071.140,168.89497,
2068.229,177.85287,
2065.318,176.74225,
2062.408,172.18552,
2059.497,174.13691,
2056.587,178.125,
2053.676,160.97605,
2050.766,175.58539,
2047.855,150.52371,
2044.944,167.05127,
2042.034,183.99202,
2039.123,184.26641,
2036.213,189.28052,
2033.302,171.60336,
2030.391,162.2607,
2027.481,180.21018,
2024.570,173.63964,
2021.660,173.94761,
2018.749,168.96079,
2015.839,187.97277,
2012.928,176.88339,
2010.017,189.69612,
2007.107,187.07638,
2004.196,161.86306,
2001.286,168.64794,
1998.375,176.64567,
1995.465,197.93661,
1992.554,169.06648,
1989.643,191.15722,
1986.733,162.80395,
1983.822,155.5733,
1980.912,153.41272,
1978.001,175.93019,
1975.090,165.94484,
1972.180,161.9867,
1969.269,188.20266,
1966.359,183.71932,
1963.448,191.1184,
1960.538,189.19839,
1957.627,171.96709,
1954.716,191.49301,
1951.806,172.5721,
1948.895,184.56827,
1945.985,196.89134,
1943.074,160.13596,
1940.164,180.97122,
1937.253,196.02479,
1934.342,192.48383,
1931.432,165.73383,
1928.521,178.90566,
1925.611,195.89117,
1922.700,189.4192,
1919.790,191.43131,
1916.879,176.31074,
1913.968,186.11147,
1911.058,157.36225,
1908.147,201.39798,
1905.237,186.55145,
1902.326,179.24498,
1899.415,194.53231,
1896.505,185.125,
1893.594,192.84759,
1890.684,175.79184,
1887.773,181.15873,
1884.863,201.84937,
1881.952,198.33503,
1879.041,167.62188,
1876.131,160.56814,
1873.220,182.04544,
1870.310,199.97699,
1867.399,202.10901,
1864.489,188.77451,
1861.578,180.96559,
1858.667,191.7657,
1855.757,210.9114,
1852.846,217.58144,
1849.936,199.38025,
1847.025,204.12988,
1844.114,186.95325,
1841.204,185.55507,
1838.293,184.6092,
1835.383,184.28801,
1832.472,189.765,
1829.562,229.1487,
1826.651,211.25235,
1823.740,192.94109,
1820.830,220.67643,
1817.919,212.02309,
1815.009,205.5563,
1812.098,216.79428,
1809.188,192.79948,
1806.277,196.01434,
1803.366,231.87546,
1800.456,215.91594,
1797.545,195.86255,
1794.635,202.73799,
1791.724,207.71713,
1788.813,240.91831,
1785.903,226.92534,
1782.992,230.88351,
1780.082,192.57297,
1777.171,212.12125,
1774.261,214.18532,
1771.350,231.8355,
1768.439,210.16672,
1765.529,213.94541,
1762.618,231.99001,
1759.708,219.26614,
1756.797,216.57197,
1753.887,223.04774,
1750.976,194.94896,
1748.065,195.3293,
1745.155,216.34428,
1742.244,197.62595,
1739.334,243.32498,
1736.423,246.80914,
1733.512,230.5762,
1730.602,236.35319,
1727.691,206.1156,
1724.781,222.8686,
1721.870,205.982,
1718.960,210.81402,
1716.049,223.1927,
1713.138,228.54498,
1710.228,235.21708,
1707.317,230.81757,
1704.407,232.82019,
1701.496,250.44441,
1698.586,249.35305,
1695.675,251.93213,
1692.764,256.85861,
1689.854,264.77855,
1686.943,279.61912,
1684.033,281.10016,
1681.122,228.04259,
1678.211,263.77286,
1675.301,277.08492,
1672.390,249.15491,
1669.480,259.26137,
1666.569,276.39161,
1663.659,297.41898,
1660.748,313.67887,
1657.837,240.99979,
1654.927,281.2496,
1652.016,327.20164,
1649.106,290.93287,
1646.195,324.01213,
1643.285,359.85156,
1640.374,346.76612,
1637.463,283.93566,
1634.553,328.79,
1631.642,373.32044,
1628.732,390.96501,
1625.821,364.15837,
1622.911,414.83761,
1620.000,454.62105,
1617.089,444.34391,
1614.179,502.43294,
1611.268,500.27371,
1608.358,544.92431,
1605.447,569.75375,
1602.536,517.07555,
1599.626,565.56117,
1596.715,571.0326,
1593.805,572.01933,
1590.894,550.10825,
1587.984,562.71466,
1585.073,576.18562,
1582.162,558.08774,
1579.252,552.4884,
1576.341,513.67396,
1573.431,525.2707,
1570.520,535.71126,
1567.610,540.10544,
1564.699,540.39997,
1561.788,535.89969,
1558.878,506.13171,
1555.967,491.80367,
1553.057,455.40122,
1550.146,446.80134,
1547.235,447.63141,
1544.325,435.77309,
1541.414,440.38609,
1538.504,435.76613,
1535.593,428.48106,
1532.683,424.47772,
1529.772,417.00619,
1526.861,408.44583,
1523.951,408.99735,
1521.040,431.10731,
1518.130,413.2915,
1515.219,424.64534,
1512.309,416.84123,
1509.398,424.25814,
1506.487,413.92795,
1503.577,434.79883,
1500.666,449.40951,
1497.756,399.78647,
1494.845,442.88432,
1491.934,413.20374,
1489.024,437.26606,
1486.113,367.65662,
1483.203,351.46699,
1480.292,395.09611,
1477.382,373.21982,
1474.471,367.65976,
1471.560,381.18699,
1468.650,388.85809,
1465.739,375.39373,
1462.829,386.81997,
1459.918,384.65525,
1457.008,383.29437,
1454.097,395.51147,
1451.186,390.47123,
1448.276,396.62171,
1445.365,413.48045,
1442.455,411.16409,
1439.544,465.18225,
1436.633,478.60961,
1433.723,443.24962,
1430.812,446.41536,
1427.902,473.72692,
1424.991,414.96565,
1422.081,392.02303,
1419.170,427.27959,
1416.259,433.125,
1413.349,390.07626,
1410.438,399.91751,
1407.528,385.66282,
1404.617,395.61013,
1401.707,413.18488,
1398.796,396.18798,
1395.885,380.25889,
1392.975,387.18754,
1390.064,375.29247,
1387.154,326.00241,
1384.243,273.125,
1381.332,272.01835,
1378.422,265.0572,
1375.511,302.52844,
1372.601,350.12509,
1369.690,392.70001,
1366.780,457.7356,
1363.869,418.63922,
1360.958,404.72716,
1358.048,450.25014,
1355.137,484.38184,
1352.227,446.57572,
1349.316,417.51059,
1346.406,465.81335,
1343.495,499.11804,
1340.584,497.62553,
1337.674,465.59062,
1334.763,487.81869,
1331.853,532.32578,
1328.942,526.11982,
1326.032,491.68455,
1323.121,501.90815,
1320.210,513.45237,
1317.300,491.92549,
1314.389,491.05587,
1311.479,489.52318,
1308.568,463.45552,
1305.657,465.23947,
1302.747,484.45272,
1299.836,458.73926,
1296.926,463.89412,
1294.015,480.44195,
1291.105,467.03633,
1288.194,560.97416,
1285.283,545.74483,
1282.373,522.53128,
1279.462,545.57545,
1276.552,569.05414,
1273.641,560.25523,
1270.731,556.18024,
1267.820,579.93152,
1264.909,558.43252,
1261.999,547.38994,
1259.088,582.05054,
1256.178,607.24932,
1253.267,571.99803,
1250.356,558.09324,
1247.446,541.28337,
1244.535,538.54908,
1241.625,540.26206,
1238.714,511.44329,
1235.804,467.7221,
1232.893,464.61652,
1229.982,501.80646,
1227.072,462.87803,
1224.161,512.23623,
1221.251,454.37467,
1218.340,452.5028,
1215.430,453.66483,
1212.519,417.95943,
1209.608,393.98439,
1206.698,424.42322,
1203.787,465.65766,
1200.877,462.28919,
1197.966,448.8018,
1195.055,448.97825,
1192.145,479.93008,
1189.234,506.34481,
1186.324,518.39804,
1183.413,525.98287,
1180.503,532.46226,
1177.592,537.07458,
1174.681,551.1387,
1171.771,557.77471,
1168.860,542.59219,
1165.950,505.64826,
1163.039,494.33139,
1160.129,470.12065,
1157.218,453.64426,
1154.307,449.04372,
1151.397,443.16772,
1148.486,448.07314,
1145.576,458.46969,
1142.665,443.37517,
1139.754,460.83846,
