,PLC8A1~1,
Raman shift [1/cm],Intensity,
3014.167,-2,
3011.256,1.1000215,
3008.346,18.879689,
3005.435,34.844521,
3002.525,16.697427,
2999.614,36.425982,
2996.704,36.911342,
2993.793,25.486176,
2990.882,41.083942,
2987.972,31.035315,
2985.061,36.226599,
2982.151,26.954616,
2979.240,35.165391,
2976.329,43.50273,
2973.419,38.861876,
2970.508,35.483277,
2967.598,43.569879,
2964.687,39.775815,
2961.777,38.658055,
2958.866,54.343232,
2955.955,35.68806,
2953.045,35.834461,
2950.134,57.947552,
2947.224,55.886125,
2944.313,53.348291,
2941.403,48.916515,
2938.492,64,
2935.581,49.209846,
2932.671,60.240346,
2929.760,48.099978,
2926.850,46.425187,
2923.939,60.761695,
2921.028,51.14702,
2918.118,53.440808,
2915.207,68.829223,
2912.297,61.059238,
2909.386,63.007297,
2906.476,59.55057,
2903.565,59.838517,
2900.654,68.505553,
2897.744,53.11315,
2894.833,62.412363,
2891.923,50.025595,
2889.012,54,
2886.102,55.208107,
2883.191,51.00472,
2880.280,40.052622,
2877.370,28.633694,
2874.459,30.352211,
2871.549,46.144912,
2868.638,59.863915,
2865.727,58.342306,
2862.817,60.457218,
2859.906,61.290604,
2856.996,56.959242,
2854.085,59.838224,
2851.175,59.882505,
2848.264,57.725337,
2845.353,57.107835,
2842.443,57.208356,
2839.532,67.850638,
2836.622,40.151693,
2833.711,50.466261,
2830.801,54.503675,
2827.890,57.167842,
2824.979,73.913925,
2822.069,61.806674,
2819.158,48.420489,
2816.248,58.482631,
2813.337,63.340242,
2810.427,62.654273,
2807.516,59.841719,
2804.605,58.043274,
2801.695,58.644722,
2798.784,65.965077,
2795.874,61.730893,
2792.963,57.571705,
2790.052,56.001716,
2787.142,57.605153,
2784.231,48.128879,
2781.321,65.994236,
2778.410,54.319791,
2775.500,56.702415,
2772.589,52.307342,
2769.678,54.890747,
2766.768,56.695136,
2763.857,70.788052,
2760.947,54.471631,
2758.036,65.2485,
2755.126,69.049144,
2752.215,63.404526,
2749.304,68.978409,
2746.394,66.693529,
2743.483,71.350007,
2740.573,44.272012,
2737.662,56.914193,
2734.751,68.417559,
2731.841,48.836991,
2728.930,71.631438,
2726.020,67.78588,
2723.109,66.020751,
2720.199,58.059424,
2717.288,60.788329,
2714.377,64.645899,
2711.467,52.950554,
2708.556,74.903999,
2705.646,81.464782,
2702.735,63.847949,
2699.825,73.598164,
2696.914,60.094988,
2694.003,68.25691,
2691.093,66.874854,
2688.182,69.873334,
2685.272,62.123757,
2682.361,57.911573,
2679.450,73.370346,
2676.540,69.040648,
2673.629,69.00898,
2670.719,69.496306,
2667.808,67.243178,
2664.898,69,
2661.987,71.833389,
2659.076,68.762935,
2656.166,70.467543,
2653.255,70.406464,
2650.345,74.568058,
2647.434,70.885395,
2644.524,63.247022,
2641.613,74.800126,
2638.702,78.968438,
2635.792,69.811569,
2632.881,77.577371,
2629.971,76.255023,
