,PLDA91~1,
Raman shift [1/cm],Intensity,
3014.167,-1.375,
3011.256,0.92506442,
3008.346,128.88379,
3005.435,148.46952,
3002.525,144.58753,
2999.614,159.57565,
2996.704,166.71366,
2993.793,182.3773,
2990.882,184.57918,
2987.972,181.59473,
2985.061,177.3984,
2982.151,191.95442,
2979.240,198.57462,
2976.329,204.38183,
2973.419,232.01011,
2970.508,215.94164,
2967.598,234.62139,
2964.687,226.08696,
2961.777,237.71901,
2958.866,245.96081,
2955.955,238.83076,
2953.045,244.17534,
2950.134,255.11481,
2947.224,275.93816,
2944.313,278.98469,
2941.403,273.10128,
2938.492,304.90142,
2935.581,279.49621,
2932.671,285.14864,
2929.760,299.88269,
2926.850,304.20695,
2923.939,312.90067,
2921.028,312.21308,
2918.118,317.60611,
2915.207,331.33392,
2912.297,336.61654,
2909.386,346.80749,
2906.476,340.43118,
2903.565,315.35018,
2900.654,329.9071,
2897.744,328.58728,
2894.833,324.38791,
2891.923,326.6795,
2889.012,314.24928,
2886.102,322.06148,
2883.191,329.62122,
2880.280,312.10824,
2877.370,317.09584,
2874.459,311.44889,
2871.549,330.42788,
2868.638,357.08066,
2865.727,339.625,
2862.817,357.84023,
2859.906,332.1948,
2856.996,344.09103,
2854.085,343.70272,
2851.175,344.79068,
2848.264,339.625,
2845.353,352.38776,
2842.443,342.42361,
2839.532,332.75939,
2836.622,310.99023,
2833.711,320.20271,
2830.801,322.52426,
2827.890,314.06382,
2824.979,328.32895,
2822.069,326.52265,
2819.158,322.18565,
2816.248,325.88947,
2813.337,346.81037,
2810.427,328.32335,
2807.516,316.89125,
2804.605,329.91588,
2801.695,340.96709,
2798.784,329.21638,
2795.874,331.77012,
2792.963,330.91074,
2790.052,312.62908,
2787.142,334.49338,
2784.231,320.69023,
2781.321,334.49352,
2778.410,320.94479,
2775.500,321.02983,
2772.589,314.74044,
2769.678,334.65563,
2766.768,342.01527,
2763.857,328.41498,
2760.947,340.67543,
2758.036,346.08358,
2755.126,358.19551,
2752.215,354.77493,
2749.304,346.1358,
2746.394,349.01206,
2743.483,351.17504,
2740.573,345.28652,
2737.662,328.77292,
2734.751,355.85798,
2731.841,342.46199,
2728.930,370.58273,
2726.020,353.84433,
2723.109,348.07867,
2720.199,361.05624,
2717.288,355.01186,
2714.377,379.10371,
2711.467,374.39533,
2708.556,376.41237,
2705.646,375.85036,
2702.735,373.12242,
2699.825,370.625,
2696.914,366.57727,
2694.003,372.13882,
2691.093,377.4108,
2688.182,384.97093,
2685.272,369.50124,
2682.361,385.14247,
2679.450,387.25465,
2676.540,386.21852,
2673.629,373.26173,
2670.719,379.55938,
2667.808,386.09001,
2664.898,375.78064,
2661.987,384.79161,
2659.076,409.68317,
2656.166,391.625,
2653.255,397.40051,
2650.345,401.27291,
2647.434,397.85335,
2644.524,391.94156,
2641.613,413.45404,
2638.702,418.67234,
2635.792,393.24814,
2632.881,394.34546,
2629.971,409.92717,
2627.060,403.29,
2624.149,412.03126,
2621.239,411.88538,
2618.328,395.34558,
2615.418,408.63863,
2612.507,408.83051,
2609.597,403.54316,
2606.686,405.79368,
2603.775,417.34723,
2600.865,423.86049,
2597.954,412.34371,
2595.044,423.32119,
2592.133,441.08385,
2589.223,437.90183,
2586.312,452.23307,
2583.401,440.625,
2580.491,433.3654,
2577.580,434.6349,
2574.670,438.13436,
